timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,92.1900,92.1900,90.6700,91.1600,91.1600,1489759,0.0000,1.0000
2020-01-22,91.5700,92.4200,91.1700,92.0300,92.0300,1551598,0.0000,1.0000
2020-01-21,90.8200,91.3700,90.2000,91.2500,91.2500,1205591,0.0000,1.0000
2020-01-17,91.0000,91.5800,90.4100,91.0600,91.0600,1455485,0.0000,1.0000
2020-01-16,91.9000,91.9000,90.5400,91.4600,91.4600,1205004,0.0000,1.0000
2020-01-15,88.7900,91.6400,88.6800,91.3700,91.3700,1434944,0.0000,1.0000
2020-01-14,86.6000,88.9800,86.0200,88.8300,88.8300,1921783,0.0000,1.0000
2020-01-13,86.9700,87.2500,85.5000,86.1500,86.1500,1026160,0.0000,1.0000
2020-01-10,87.0400,87.3900,86.6000,87.0400,87.0400,965097,0.0000,1.0000
2020-01-09,85.6200,86.7300,84.8200,86.6600,86.6600,795395,0.0000,1.0000
2020-01-08,84.5600,85.8150,84.5300,85.4500,85.4500,1181999,0.0000,1.0000
2020-01-07,84.7600,85.2500,84.1920,84.6300,84.6300,847797,0.0000,1.0000
2020-01-06,83.6800,85.3100,83.0100,85.2400,85.2400,765036,0.0000,1.0000
2020-01-03,83.8100,85.0650,83.2700,84.0100,84.0100,801538,0.0000,1.0000
2020-01-02,85.6400,85.8000,84.3350,85.0800,85.0800,817562,0.0000,1.0000
2019-12-31,83.3800,85.0300,83.2200,85.0200,85.0200,1002021,0.0000,1.0000
2019-12-30,84.9500,85.2300,83.5800,83.6400,83.6400,592434,0.0000,1.0000
2019-12-27,85.1300,85.4900,84.8300,84.9100,84.9100,388382,0.0000,1.0000
2019-12-26,85.5400,85.6700,84.9377,85.0500,85.0500,487220,0.0000,1.0000
2019-12-24,86.0400,86.3000,85.2800,85.4200,85.4200,283373,0.0000,1.0000
2019-12-23,86.0200,86.1100,84.9800,85.6000,85.6000,865415,0.0000,1.0000
2019-12-20,84.5200,85.7600,83.8000,85.6700,85.6700,1666823,0.0000,1.0000
2019-12-19,83.5800,84.2100,83.1100,83.8000,83.8000,1444201,0.0000,1.0000
2019-12-18,82.6700,84.8500,82.5700,83.5500,83.5500,1527551,0.0000,1.0000
2019-12-17,85.9600,86.0900,82.9800,83.1500,83.1500,1947176,0.0000,1.0000
2019-12-16,85.4300,86.6600,85.0400,85.9600,85.9600,970835,0.0000,1.0000
2019-12-13,86.8100,87.6076,84.7600,84.8500,84.8500,977009,0.0000,1.0000
2019-12-12,87.1000,87.8100,86.1250,86.7900,86.7900,507466,0.0000,1.0000
2019-12-11,86.4300,87.0400,85.9300,86.6600,86.6600,926819,0.0000,1.0000
2019-12-10,86.3700,87.0500,84.9000,86.7600,86.7600,1767817,0.0000,1.0000
2019-12-09,88.2400,88.2400,86.2800,86.3900,86.3900,1076211,0.0000,1.0000
2019-12-06,88.2500,89.2100,87.8907,88.2400,88.2400,728446,0.0000,1.0000
2019-12-05,88.0900,88.8900,87.2300,87.8200,87.8200,997225,0.0000,1.0000
2019-12-04,87.6400,88.9650,87.5600,88.3600,88.3600,743043,0.0000,1.0000
2019-12-03,87.1900,87.5600,86.5400,87.4300,87.4300,918219,0.0000,1.0000
2019-12-02,87.8700,88.6000,86.9400,87.8300,87.8300,1109552,0.0000,1.0000
2019-11-29,87.9600,88.7500,87.7800,87.9100,87.9100,355792,0.0000,1.0000
2019-11-27,87.5000,88.5500,86.8800,88.5100,88.5100,629716,0.0000,1.0000
2019-11-26,90.7200,90.7200,86.7900,87.8500,87.8500,1887810,0.0000,1.0000
2019-11-25,90.5200,90.8100,89.8671,90.6400,90.6400,895178,0.0000,1.0000
2019-11-22,89.1000,90.5200,88.6700,90.2600,90.2600,1202454,0.0000,1.0000
2019-11-21,87.5700,88.7100,87.0100,88.3100,88.3100,1011454,0.0000,1.0000
2019-11-20,87.4400,88.3500,86.8800,87.5500,87.5500,1179316,0.0000,1.0000
2019-11-19,87.5700,88.1400,87.0000,87.8100,87.8100,651744,0.0000,1.0000
2019-11-18,87.0400,88.2000,87.0400,87.7700,87.7700,691178,0.0000,1.0000
2019-11-15,86.0000,87.7400,85.4500,87.3000,87.3000,1099983,0.4000,1.0000
2019-11-14,86.8400,87.1200,85.7900,86.1300,85.7372,1002396,0.0000,1.0000
2019-11-13,85.1400,86.7300,84.7250,86.0900,85.6973,741628,0.0000,1.0000
2019-11-12,84.5000,86.4900,84.1100,85.5400,85.1499,1105867,0.0000,1.0000
2019-11-11,84.8400,85.1000,82.1000,84.0400,83.6567,2179535,0.0000,1.0000
