timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,39.5900,39.5900,38.9900,39.2350,39.2350,138605,0.0000,1.0000
2020-01-22,39.7700,40.0600,39.6800,39.7600,39.7600,246299,0.0000,1.0000
2020-01-21,39.6400,39.8700,39.3800,39.4500,39.4500,329709,0.0000,1.0000
2020-01-17,40.5300,40.5450,39.4300,39.7900,39.7900,334878,0.0000,1.0000
2020-01-16,39.5200,40.5000,39.5050,40.4100,40.4100,341892,0.0000,1.0000
2020-01-15,39.1800,39.6700,39.0900,39.2800,39.2800,251986,0.0000,1.0000
2020-01-14,39.0100,39.5300,38.7200,39.3000,39.3000,287597,0.0000,1.0000
2020-01-13,38.6300,39.2400,38.6300,39.2200,39.2200,261459,0.0000,1.0000
2020-01-10,38.7000,38.8700,38.4600,38.6600,38.6600,205344,0.0000,1.0000
2020-01-09,38.5500,38.9200,38.4200,38.7200,38.7200,225062,0.0000,1.0000
2020-01-08,37.8700,38.6700,37.8500,38.4000,38.4000,326732,0.0000,1.0000
2020-01-07,38.3700,38.3700,37.6700,37.9900,37.9900,198401,0.0000,1.0000
2020-01-06,37.8300,38.3600,37.6700,38.3100,38.3100,339665,0.0000,1.0000
2020-01-03,37.8900,38.3900,37.8900,38.3200,38.3200,299511,0.0000,1.0000
2020-01-02,37.8900,38.4800,37.8400,38.4200,38.4200,358587,0.0000,1.0000
2019-12-31,38.1200,38.3200,37.5400,37.7100,37.7100,285355,0.1850,1.0000
2019-12-30,38.5000,38.5800,38.2000,38.3700,38.1827,226209,0.0000,1.0000
2019-12-27,38.7600,38.7850,38.3900,38.5000,38.3120,241733,0.0000,1.0000
2019-12-26,38.2100,38.6600,37.9450,38.6200,38.4315,357479,0.0000,1.0000
2019-12-24,37.6900,38.2800,37.4000,38.2000,38.0135,166650,0.0000,1.0000
2019-12-23,38.6400,38.6500,37.4500,37.7400,37.5558,519962,0.0000,1.0000
2019-12-20,39.0500,39.7400,38.5800,38.7000,38.5111,1423851,0.0000,1.0000
2019-12-19,35.5400,39.1900,35.0440,38.9600,38.7698,1099887,0.0000,1.0000
2019-12-18,37.2600,37.6500,36.2500,37.6100,37.4264,733004,0.0000,1.0000
2019-12-17,37.5500,37.6700,36.8500,37.0800,36.8990,463820,0.0000,1.0000
2019-12-16,37.5200,37.9300,37.3800,37.4800,37.2970,443653,0.0000,1.0000
2019-12-13,37.8800,37.9700,36.8700,37.0900,36.9089,355037,0.0000,1.0000
2019-12-12,38.1600,38.5200,37.8300,37.9500,37.7647,263648,0.0000,1.0000
2019-12-11,38.1300,38.3900,38.0100,38.1300,37.9439,185874,0.0000,1.0000
2019-12-10,38.2300,38.3700,37.9100,38.0700,37.8841,197232,0.0000,1.0000
2019-12-09,38.0400,38.3400,37.9600,38.1600,37.9737,322062,0.0000,1.0000
2019-12-06,38.0700,38.6250,38.0300,38.1400,37.9538,281670,0.0000,1.0000
2019-12-05,37.6500,37.9300,37.4500,37.6600,37.4761,239984,0.0000,1.0000
2019-12-04,37.8200,38.4100,37.5300,37.5600,37.3766,239344,0.0000,1.0000
2019-12-03,37.3800,37.6200,37.0400,37.6200,37.4363,160156,0.0000,1.0000
2019-12-02,38.1200,38.2600,37.6350,37.7200,37.5359,257236,0.0000,1.0000
2019-11-29,38.7200,38.7200,37.9700,37.9900,37.8045,117787,0.0000,1.0000
2019-11-27,38.9600,39.1300,38.7200,38.8400,38.6504,121381,0.0000,1.0000
2019-11-26,38.3200,38.8900,38.2800,38.7400,38.5509,214370,0.0000,1.0000
2019-11-25,37.9300,38.4900,37.6400,38.3200,38.1329,327189,0.0000,1.0000
2019-11-22,37.9200,38.0000,37.4300,37.6400,37.4562,208324,0.0000,1.0000
2019-11-21,38.7700,38.7750,37.8300,37.9100,37.7249,168527,0.0000,1.0000
2019-11-20,38.4800,39.1800,38.4800,38.6100,38.4215,251662,0.0000,1.0000
2019-11-19,38.5000,38.9500,38.3300,38.7600,38.5708,215589,0.0000,1.0000
2019-11-18,37.8200,38.5000,37.6900,38.3900,38.2026,162438,0.0000,1.0000
2019-11-15,38.5800,38.5800,37.7500,37.8900,37.7050,199144,0.0000,1.0000
2019-11-14,37.9400,38.4300,37.6900,38.3100,38.1230,138933,0.0000,1.0000
2019-11-13,37.9400,38.1500,37.7100,37.9900,37.8045,225494,0.0000,1.0000
2019-11-12,37.7400,38.7100,37.5943,38.3100,38.1230,190572,0.0000,1.0000
2019-11-11,37.5700,37.8600,37.2500,37.6800,37.4960,161664,0.0000,1.0000
2019-11-08,37.4000,37.8900,37.1901,37.8100,37.6254,224697,0.0000,1.0000
2019-11-07,37.5300,37.9300,36.3000,37.4200,37.2373,217925,0.0000,1.0000
2019-11-06,37.2600,37.3500,36.8900,37.1500,36.9686,253394,0.0000,1.0000
2019-11-05,36.9300,37.3400,36.7400,37.3300,37.1478,266369,0.0000,1.0000
2019-11-04,36.8200,37.1200,36.5100,36.7800,36.6004,274280,0.0000,1.0000
2019-11-01,36.7300,36.8516,35.7700,36.4600,36.2820,284073,0.0000,1.0000
2019-10-31,36.8100,36.9400,36.0300,36.4600,36.2820,1027969,0.0000,1.0000
2019-10-30,37.3200,37.3200,36.7500,37.0500,36.8691,260146,0.0000,1.0000
2019-10-29,37.5600,38.1600,37.3300,37.3700,37.1876,374163,0.0000,1.0000
2019-10-28,37.4600,37.9200,37.4600,37.7100,37.5259,273135,0.0000,1.0000
2019-10-25,36.7400,37.4800,36.5000,37.4000,37.2174,331473,0.0000,1.0000
2019-10-24,37.4400,37.4400,36.3800,36.8300,36.6502,240763,0.0000,1.0000
2019-10-23,37.9700,38.1100,37.2100,37.3700,37.1876,252864,0.0000,1.0000
2019-10-22,37.6100,38.1400,37.5000,37.9400,37.7548,283401,0.0000,1.0000
2019-10-21,37.9200,38.1600,37.4800,37.6800,37.4960,221103,0.0000,1.0000
