timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,24.0500,24.2000,23.6600,24.0200,24.0200,3162,0.0000,1.0000
2020-01-22,24.1000,24.3200,23.8100,24.0500,24.0500,11430,0.0000,1.0000
2020-01-21,24.3000,24.5900,23.8300,24.0600,24.0600,8448,0.0000,1.0000
2020-01-17,24.3382,24.6500,23.7800,24.2650,24.2650,8361,0.0000,1.0000
2020-01-16,23.4326,24.2100,23.4326,24.2000,24.2000,9593,0.0000,1.0000
2020-01-15,23.6700,24.1000,23.4100,24.0800,24.0800,18040,0.0000,1.0000
2020-01-14,23.6400,23.7000,23.4500,23.5300,23.5300,5787,0.0000,1.0000
2020-01-13,23.5700,23.8400,23.3600,23.3600,23.3600,11747,0.0000,1.0000
2020-01-10,23.8400,23.8400,23.1500,23.4500,23.4500,11548,0.0000,1.0000
2020-01-09,23.9000,23.9000,23.3500,23.3500,23.3500,5713,0.0000,1.0000
2020-01-08,23.6159,23.9207,23.6000,23.8490,23.8490,8657,0.0000,1.0000
2020-01-07,23.8900,23.9600,23.1300,23.5200,23.5200,18931,0.1200,1.0000
2020-01-06,23.6600,24.2627,23.3100,24.1600,24.0374,20528,0.0000,1.0000
2020-01-03,23.9600,24.6500,23.4900,23.4900,23.3708,11629,0.0000,1.0000
2020-01-02,23.9800,24.2300,23.9800,24.1300,24.0075,2743,0.0000,1.0000
2019-12-31,24.2400,24.2400,23.7900,23.7900,23.6692,1815,0.0000,1.0000
2019-12-30,23.7500,24.5070,23.7500,24.1800,24.0573,9769,0.0000,1.0000
2019-12-27,23.7000,24.2720,23.4700,23.6500,23.5299,7245,0.0000,1.0000
2019-12-26,23.3200,23.5500,23.3200,23.5000,23.3807,2987,0.0000,1.0000
2019-12-24,23.1000,23.1551,23.0500,23.0500,22.9330,1393,0.0000,1.0000
2019-12-23,22.9000,23.2500,22.9000,22.9500,22.8335,6910,0.0000,1.0000
2019-12-20,22.7077,22.7200,22.5535,22.7200,22.6047,1103,0.0000,1.0000
2019-12-19,22.7904,22.8000,22.7000,22.7600,22.6445,869,0.0000,1.0000
2019-12-18,21.9098,22.7500,21.8500,22.7000,22.5848,4703,0.0000,1.0000
2019-12-17,21.7137,21.7400,21.5000,21.7200,21.6097,4399,0.0000,1.0000
2019-12-16,21.4900,22.1700,21.4900,21.9264,21.8151,3562,0.0000,1.0000
2019-12-13,21.2800,21.7400,21.2187,21.7400,21.6296,5812,0.0000,1.0000
2019-12-12,21.3000,21.5000,20.8700,21.5000,21.3909,5050,0.0000,1.0000
2019-12-11,21.5800,21.5800,21.2100,21.2100,21.1023,1093,0.0000,1.0000
2019-12-10,21.2842,21.7000,21.2842,21.4732,21.3642,826,0.0000,1.0000
2019-12-09,21.6500,21.6500,21.3000,21.6100,21.5003,3471,0.0000,1.0000
2019-12-06,21.6800,22.1636,21.4900,21.6500,21.5401,15092,0.0000,1.0000
2019-12-05,21.5700,21.5700,21.5700,21.5700,21.4605,107,0.0000,1.0000
2019-12-04,22.7000,22.7500,21.3000,21.5700,21.4605,6196,0.0000,1.0000
2019-12-03,21.8500,22.0500,21.5900,21.6000,21.4904,11511,0.0000,1.0000
2019-12-02,22.0200,22.2000,21.6700,21.9000,21.7888,2768,0.0000,1.0000
2019-11-29,22.4300,22.4300,22.1900,22.1900,22.0774,554,0.0000,1.0000
2019-11-27,22.3500,22.5400,22.2725,22.4295,22.3156,1684,0.0000,1.0000
2019-11-26,22.3350,22.8500,22.1800,22.4100,22.2962,16596,0.0000,1.0000
2019-11-25,22.5000,22.5000,22.2200,22.2870,22.1739,4743,0.0000,1.0000
2019-11-22,22.5000,22.5000,21.5101,22.4300,22.3161,1775,0.0000,1.0000
2019-11-21,23.0100,23.5830,22.6550,22.6550,22.5400,3919,0.0000,1.0000
2019-11-20,23.1400,23.4600,22.7200,23.0000,22.8832,14201,0.0000,1.0000
2019-11-19,21.2000,23.1799,21.1900,23.1550,23.0375,12712,0.0000,1.0000
2019-11-18,20.4000,21.0700,20.3900,20.9200,20.8138,6336,0.0000,1.0000
2019-11-15,20.4320,20.9500,20.3016,20.5900,20.4855,2944,0.0000,1.0000
2019-11-14,20.5000,20.9500,20.4710,20.9500,20.8437,2518,0.0000,1.0000
2019-11-13,20.2600,20.3800,20.0000,20.3800,20.2765,1015,0.0000,1.0000
2019-11-12,20.1026,21.0000,20.0050,20.3100,20.2069,11758,0.0000,1.0000
2019-11-11,20.6300,20.6300,20.3421,20.3600,20.2566,3152,0.0000,1.0000
2019-11-08,20.5600,20.5600,20.5600,20.5600,20.4556,69,0.0000,1.0000
2019-11-07,20.6704,21.0000,20.5600,20.5600,20.4556,1506,0.0000,1.0000
2019-11-06,20.8357,20.8800,20.6434,20.8306,20.7249,2929,0.0000,1.0000
2019-11-05,20.7500,20.7696,20.6246,20.7000,20.5949,3021,0.0000,1.0000
2019-11-04,20.9600,21.0600,20.7000,20.8600,20.7541,3156,0.0000,1.0000
2019-11-01,20.7000,21.0600,20.7000,20.9248,20.8186,3214,0.0000,1.0000
2019-10-31,20.7000,20.7000,20.4000,20.6610,20.5561,1140,0.0000,1.0000
2019-10-30,21.1000,21.1000,20.3500,20.7100,20.6049,2514,0.0000,1.0000
2019-10-29,21.0100,21.3100,20.5700,20.5700,20.4656,5357,0.0000,1.0000
2019-10-28,20.3000,21.3344,20.3000,20.8300,20.7243,8657,0.0000,1.0000
2019-10-25,20.5800,20.6756,20.1700,20.2100,20.1074,3085,0.0000,1.0000
2019-10-24,21.0300,21.0300,20.5000,20.6207,20.5160,3754,0.0000,1.0000
2019-10-23,21.3400,21.5069,21.0192,21.0192,20.9125,5226,0.0000,1.0000
2019-10-22,20.9300,21.3673,20.9300,21.3400,21.2317,6918,0.0000,1.0000
2019-10-21,19.9600,20.9344,19.7566,20.9344,20.8281,7807,0.0000,1.0000
2019-10-18,19.6100,20.0400,19.6100,19.9617,19.8604,3837,0.0000,1.0000
2019-10-17,19.5000,19.6527,19.3472,19.3472,19.2490,6292,0.0000,1.0000
2019-10-16,19.8100,20.1007,19.5000,19.5000,19.4010,3902,0.0000,1.0000
2019-10-15,20.2363,20.2363,19.6600,19.7914,19.6909,3890,0.0000,1.0000
2019-10-14,20.1200,20.1200,19.8700,19.8700,19.7691,675,0.0000,1.0000
2019-10-11,19.6856,20.3734,19.6856,20.3000,20.1970,2773,0.0000,1.0000
2019-10-10,19.9900,20.0100,19.7100,19.9573,19.8560,3269,0.0000,1.0000
2019-10-09,20.0200,20.0200,19.1405,19.8016,19.7011,4049,0.0000,1.0000
2019-10-08,19.7000,19.9600,19.5900,19.8000,19.6995,2991,0.0000,1.0000
2019-10-07,20.3815,20.4000,19.9800,20.0800,19.9781,990,0.0000,1.0000
2019-10-04,20.2800,20.5828,20.2800,20.5828,20.4783,1177,0.0000,1.0000
2019-10-03,19.9300,20.3299,19.7900,20.0800,19.9781,6668,0.0000,1.0000
2019-10-02,19.7600,19.9300,19.5268,19.7600,19.6597,2367,0.0000,1.0000
2019-10-01,20.4100,20.5800,19.9573,20.1200,20.0179,4978,0.0000,1.0000
2019-09-30,20.1773,20.2600,19.8500,20.0227,19.9211,3691,0.1200,1.0000
2019-09-27,20.3700,20.6900,20.2900,20.4800,20.2547,3443,0.0000,1.0000
