timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,120.4200,121.0700,118.8500,120.8600,120.8600,2139892,0.0000,1.0000
2020-01-22,119.6400,121.0450,119.2800,120.4200,120.4200,1649250,0.0000,1.0000
2020-01-21,118.1900,119.6700,118.0000,119.3100,119.3100,2244119,0.0000,1.0000
2020-01-17,119.7500,119.9200,119.0200,119.4700,119.4700,2303296,0.0000,1.0000
2020-01-16,118.4800,119.2200,118.0100,119.1300,119.1300,1413598,0.0000,1.0000
2020-01-15,119.4100,119.4100,117.2300,117.5100,117.5100,1729207,0.0000,1.0000
2020-01-14,118.9800,120.5900,118.7000,119.5300,119.5300,1326776,0.0000,1.0000
2020-01-13,118.7800,119.6400,118.2200,119.0600,119.0600,1336056,0.0000,1.0000
2020-01-10,120.8000,120.8100,118.3700,118.5700,118.5700,1610520,0.0000,1.0000
2020-01-09,121.6300,121.6900,119.7400,120.6600,120.6600,1418485,0.0000,1.0000
2020-01-08,120.3100,121.4550,119.6900,120.6600,120.6600,2036477,0.0000,1.0000
2020-01-07,118.9000,120.8800,118.4000,119.5800,119.5800,2214839,0.0000,1.0000
2020-01-06,116.2500,117.3200,115.6100,116.9200,116.9200,1979387,0.0000,1.0000
2020-01-03,118.0000,119.6700,117.7300,118.3100,118.3100,1374372,0.0000,1.0000
2020-01-02,120.1100,120.6500,118.7400,120.4300,120.4300,1151468,0.0000,1.0000
2019-12-31,118.8200,119.1407,118.1350,118.8400,118.8400,963456,0.0000,1.0000
2019-12-30,119.2800,119.4500,117.9400,118.8600,118.8600,1107348,0.0000,1.0000
2019-12-27,119.7200,120.0000,118.9900,119.4500,119.4500,1360930,0.0000,1.0000
2019-12-26,119.6700,120.1300,119.2600,119.7300,119.7300,912635,0.0000,1.0000
2019-12-24,119.2600,119.8800,119.1100,119.7200,119.7200,487824,0.0000,1.0000
2019-12-23,120.0000,120.5450,119.0300,119.1700,119.1700,1565751,0.0000,1.0000
2019-12-20,120.1800,120.2200,117.9000,119.8200,119.8200,4449011,0.0000,1.0000
2019-12-19,117.3800,118.8200,117.1300,118.7000,118.7000,1713995,0.0000,1.0000
2019-12-18,118.8900,119.5300,116.8600,117.0000,117.0000,2708958,0.0000,1.0000
2019-12-17,118.9100,119.4100,118.0700,118.8200,118.8200,1467449,0.0000,1.0000
2019-12-16,119.5200,120.5000,118.4900,118.8600,118.8600,2062535,0.0000,1.0000
2019-12-13,117.5800,119.4700,116.9000,118.7700,118.7700,1644295,0.0000,1.0000
2019-12-12,115.8700,118.6600,115.6124,117.8100,117.8100,2424054,0.0000,1.0000
2019-12-11,114.9500,116.4900,114.7900,115.8500,115.8500,2203209,0.0000,1.0000
2019-12-10,114.5800,115.4400,114.0300,114.4100,114.4100,2815854,0.0000,1.0000
2019-12-09,115.7800,115.7800,114.5101,114.6200,114.6200,1553263,0.0000,1.0000
2019-12-06,114.7400,116.1000,114.4000,115.8900,115.8900,2150292,0.0000,1.0000
2019-12-05,113.9500,115.2300,113.1600,113.4300,113.4300,2443405,0.5400,1.0000
2019-12-04,111.8000,114.5100,111.8000,114.3900,113.8480,2890447,0.0000,1.0000
2019-12-03,109.5400,110.4300,108.6700,110.2500,109.7276,2157134,0.0000,1.0000
2019-12-02,113.0600,113.3600,110.9300,111.2600,110.7328,1715849,0.0000,1.0000
2019-11-29,113.0300,114.3900,112.4400,112.9500,112.4148,1036675,0.0000,1.0000
2019-11-27,116.1100,116.3100,113.0300,113.7000,113.1613,3948863,0.0000,1.0000
2019-11-26,108.6200,115.4500,107.5100,114.8900,114.3456,7432903,0.0000,1.0000
2019-11-25,111.6200,113.4700,111.3200,112.9300,112.3949,3031509,0.0000,1.0000
2019-11-22,111.0800,111.0800,109.1400,110.6500,110.1257,1783561,0.0000,1.0000
2019-11-21,109.0600,109.2350,107.8500,108.7800,108.2646,2903049,0.0000,1.0000
2019-11-20,110.8000,110.8300,108.2200,108.5800,108.0655,2988293,0.0000,1.0000
2019-11-19,112.7300,113.0300,111.5700,111.7100,111.1807,1876162,0.0000,1.0000
2019-11-18,113.0300,113.4000,111.7000,111.9700,111.4395,1845257,0.0000,1.0000
2019-11-15,114.7000,114.9500,112.5900,113.4000,112.8627,1767396,0.0000,1.0000
2019-11-14,113.7000,113.7000,112.5400,113.3200,112.7831,1102241,0.0000,1.0000
2019-11-13,112.2600,114.3850,111.9100,114.1700,113.6291,1729378,0.0000,1.0000
2019-11-12,113.0300,114.0100,112.7400,113.2600,112.7234,2277128,0.0000,1.0000
2019-11-11,112.5500,112.7400,111.4200,112.5500,112.0167,1263530,0.0000,1.0000
2019-11-08,111.9800,113.0400,111.1663,113.0200,112.4845,1123931,0.0000,1.0000
2019-11-07,113.7700,113.8200,111.5300,112.2900,111.7580,1139209,0.0000,1.0000
2019-11-06,113.0000,113.2200,110.6500,112.0300,111.4992,1676838,0.0000,1.0000
2019-11-05,111.4700,114.4300,111.3350,113.4500,112.9125,3043690,0.0000,1.0000
2019-11-04,111.0700,112.2600,110.3500,111.3900,110.8622,1696867,0.0000,1.0000
2019-11-01,107.6200,109.9200,107.5600,109.3700,108.8518,1991769,0.0000,1.0000
2019-10-31,107.7000,107.7000,104.9500,106.6300,106.1248,3847445,0.0000,1.0000
2019-10-30,110.5100,110.9900,107.7700,108.2500,107.7371,2543748,0.0000,1.0000
2019-10-29,109.2400,110.1200,107.8400,108.0600,107.5480,2766559,0.0000,1.0000
2019-10-28,107.7000,109.0780,107.4200,108.8300,108.3144,2072964,0.0000,1.0000
2019-10-25,105.5500,107.0300,105.1200,106.8300,106.3238,1867697,0.0000,1.0000
2019-10-24,106.3700,106.6750,104.9200,105.3200,104.8210,3053496,0.0000,1.0000
2019-10-23,107.5000,107.7500,104.5800,105.5700,105.0698,4596793,0.0000,1.0000
2019-10-22,111.2500,112.2400,110.7300,110.8800,110.3546,1664161,0.0000,1.0000
2019-10-21,110.1900,111.4800,109.9850,111.1100,110.5836,1327271,0.0000,1.0000
2019-10-18,110.1700,110.4300,108.4200,109.4800,108.9613,1428915,0.0000,1.0000
2019-10-17,111.7700,112.2600,109.6300,110.0000,109.4788,1494105,0.0000,1.0000
2019-10-16,112.7100,113.2500,110.3900,110.5900,110.0660,1963966,0.0000,1.0000
2019-10-15,110.7500,113.4100,110.5000,113.2900,112.7532,2629701,0.0000,1.0000
2019-10-14,110.5700,111.0000,109.9900,110.3400,109.8172,1761884,0.0000,1.0000
2019-10-11,109.7300,112.7200,109.7300,111.2200,110.6930,2626741,0.0000,1.0000
2019-10-10,107.8000,109.7700,107.5200,108.4400,107.9262,1902677,0.0000,1.0000
2019-10-09,107.7700,108.8700,106.7800,108.0700,107.5580,1907631,0.0000,1.0000
2019-10-08,109.9900,110.3600,106.0900,106.1300,105.6271,3240867,0.0000,1.0000
2019-10-07,112.9200,113.2900,110.7800,110.8400,110.3148,1764150,0.0000,1.0000
2019-10-04,111.8500,113.2200,111.1900,113.0300,112.4945,1437647,0.0000,1.0000
2019-10-03,108.8700,111.3000,108.0000,110.8700,110.3447,1880658,0.0000,1.0000
2019-10-02,109.1300,109.8100,108.1100,108.9700,108.4537,1658503,0.0000,1.0000
2019-10-01,114.8100,116.1937,109.5600,109.7800,109.2599,2902230,0.0000,1.0000
2019-09-30,112.1500,112.2400,110.5400,111.7300,111.2006,2395544,0.0000,1.0000
2019-09-27,112.9600,113.8590,110.3700,111.0400,110.5139,1517786,0.0000,1.0000
2019-09-26,112.8500,113.4400,111.6700,113.1400,112.6039,1043534,0.0000,1.0000
2019-09-25,111.1400,113.0600,109.7600,112.6800,112.1461,2395570,0.0000,1.0000
2019-09-24,115.0400,115.0599,110.6100,110.9600,110.4343,2928792,0.0000,1.0000
2019-09-23,114.9500,115.1400,113.3951,114.2900,113.7485,1730545,0.0000,1.0000
2019-09-20,115.7600,116.6200,114.6200,115.3300,114.7836,3281732,0.0000,1.0000
2019-09-19,116.1000,116.8400,115.0700,115.8800,115.3310,1678707,0.0000,1.0000
2019-09-18,115.2100,116.6200,114.8200,116.5600,116.0077,1359894,0.0000,1.0000
2019-09-17,114.9800,115.8700,114.4400,115.2800,114.7338,1447317,0.0000,1.0000
