timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-22,3.4300,3.4350,3.2901,3.4200,3.4200,45419,0.0000,1.0000
2020-01-21,3.4000,3.4500,3.3900,3.4400,3.4400,10871,0.0000,1.0000
2020-01-17,3.3600,3.4000,3.3550,3.4000,3.4000,15063,0.0000,1.0000
2020-01-16,3.3600,3.4001,3.3600,3.4000,3.4000,6402,0.0000,1.0000
2020-01-15,3.4200,3.5000,3.3600,3.4001,3.4001,8434,0.0000,1.0000
2020-01-14,3.4500,3.4500,3.3500,3.4200,3.4200,23879,0.0000,1.0000
2020-01-13,3.4000,3.4600,3.4000,3.4500,3.4500,12556,0.0000,1.0000
2020-01-10,3.4700,3.5000,3.4000,3.4800,3.4800,7739,0.0000,1.0000
2020-01-09,3.3950,3.5200,3.3700,3.4700,3.4700,65357,0.0000,1.0000
2020-01-08,3.4100,3.5500,3.4100,3.5500,3.5500,9050,0.0000,1.0000
2020-01-07,3.4400,3.4600,3.4030,3.4600,3.4600,6915,0.0000,1.0000
2020-01-06,3.4550,3.4600,3.3800,3.4200,3.4200,19264,0.0000,1.0000
2020-01-03,3.4900,3.5000,3.4500,3.4700,3.4700,7165,0.0000,1.0000
2020-01-02,3.4900,3.5350,3.4200,3.5000,3.5000,12341,0.0000,1.0000
2019-12-31,3.4500,3.5900,3.4000,3.5000,3.5000,20677,0.0250,1.0000
2019-12-30,3.4400,3.5500,3.4300,3.5100,3.4851,7350,0.0000,1.0000
2019-12-27,3.4500,3.4800,3.4300,3.4800,3.4553,32606,0.0000,1.0000
2019-12-26,3.4900,3.4900,3.4000,3.4700,3.4454,15854,0.0000,1.0000
2019-12-24,3.5000,3.5200,3.4200,3.4800,3.4553,8759,0.0000,1.0000
2019-12-23,3.5000,3.5900,3.4200,3.5200,3.4950,10890,0.0000,1.0000
2019-12-20,3.5000,3.5200,3.4800,3.5100,3.4851,12132,0.0000,1.0000
2019-12-19,3.4760,3.5100,3.4720,3.5000,3.4752,1561,0.0000,1.0000
2019-12-18,3.4400,3.5000,3.4200,3.4600,3.4355,7387,0.0000,1.0000
2019-12-17,3.4100,3.4500,3.4100,3.4300,3.4057,14401,0.0000,1.0000
2019-12-16,3.4400,3.4600,3.4200,3.4350,3.4106,20940,0.0000,1.0000
2019-12-13,3.4300,3.4300,3.4200,3.4300,3.4057,7980,0.0000,1.0000
2019-12-12,3.4500,3.5600,3.4200,3.4300,3.4057,25840,0.0000,1.0000
2019-12-11,3.4600,3.4900,3.4400,3.4500,3.4255,5585,0.0000,1.0000
2019-12-10,3.4900,3.5400,3.4500,3.4900,3.4652,3989,0.0000,1.0000
2019-12-09,3.4200,3.5800,3.4200,3.4900,3.4652,23781,0.0000,1.0000
2019-12-06,3.5000,3.5000,3.4400,3.4900,3.4652,14230,0.0000,1.0000
2019-12-05,3.5400,3.5400,3.5000,3.5000,3.4752,1703,0.0000,1.0000
2019-12-04,3.5300,3.5300,3.5000,3.5200,3.4950,1440,0.0000,1.0000
2019-12-03,3.4700,3.5400,3.4700,3.5400,3.5149,4820,0.0000,1.0000
2019-12-02,3.4800,3.4900,3.4400,3.4700,3.4454,13086,0.0000,1.0000
2019-11-29,3.4800,3.5200,3.4800,3.4800,3.4553,3966,0.0000,1.0000
2019-11-27,3.5500,3.5500,3.4400,3.5200,3.4950,17204,0.0000,1.0000
2019-11-26,3.4200,3.5700,3.4200,3.5600,3.5348,17680,0.0000,1.0000
2019-11-25,3.4200,3.4800,3.4000,3.4200,3.3957,17367,0.0000,1.0000
2019-11-22,3.4300,3.4700,3.4200,3.4200,3.3957,46863,0.0000,1.0000
2019-11-21,3.4200,3.4900,3.4200,3.4800,3.4553,7126,0.0000,1.0000
2019-11-20,3.5000,3.5000,3.5000,3.5000,3.4752,7408,0.0000,1.0000
2019-11-19,3.5200,3.5800,3.4900,3.5000,3.4752,28107,0.0000,1.0000
2019-11-18,3.6000,3.6000,3.5100,3.5400,3.5149,9069,0.0000,1.0000
2019-11-15,3.5900,3.5900,3.5600,3.5800,3.5546,3585,0.0000,1.0000
2019-11-14,3.5500,3.5700,3.5500,3.5500,3.5248,2597,0.0000,1.0000
2019-11-13,3.5500,3.5950,3.5100,3.5100,3.4851,1477,0.0000,1.0000
2019-11-12,3.6200,3.6200,3.5000,3.5500,3.5248,22876,0.0000,1.0000
2019-11-11,3.4800,3.6300,3.4500,3.6300,3.6043,15494,0.0000,1.0000
2019-11-08,3.6000,3.6400,3.5500,3.5900,3.5645,15363,0.0000,1.0000
2019-11-07,3.5700,3.5900,3.5500,3.5900,3.5645,4255,0.0000,1.0000
2019-11-06,3.6000,3.6000,3.5800,3.5900,3.5645,3001,0.0000,1.0000
2019-11-05,3.6000,3.6200,3.5500,3.6200,3.5943,11910,0.0000,1.0000
2019-11-04,3.5700,3.6500,3.4600,3.6500,3.6241,44019,0.0000,1.0000
2019-11-01,3.5860,3.5860,3.5100,3.5700,3.5447,9592,0.0000,1.0000
2019-10-31,3.5200,3.5900,3.5000,3.5900,3.5645,4842,0.0000,1.0000
2019-10-30,3.5500,3.5900,3.5100,3.5900,3.5645,9410,0.0000,1.0000
2019-10-29,3.5720,3.6000,3.5720,3.5900,3.5645,2419,0.0000,1.0000
2019-10-28,3.5500,3.5500,3.4700,3.5500,3.5248,16541,0.0000,1.0000
2019-10-25,3.6000,3.6000,3.4900,3.5200,3.4950,22521,0.0000,1.0000
