timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-21,31.5000,31.5900,30.9900,31.2200,31.2200,1896899,0.0000,1.0000
2019-08-20,32.2800,32.6400,31.8400,31.9500,31.9500,3275925,0.0000,1.0000
2019-08-19,31.9400,32.4100,31.7800,32.1300,32.1300,1893003,0.0000,1.0000
2019-08-16,31.0800,31.9900,31.0800,31.8900,31.8900,1935628,0.0000,1.0000
2019-08-15,31.0300,31.2900,30.9100,31.0500,31.0500,1500979,0.0000,1.0000
2019-08-14,31.2500,31.3500,30.9100,30.9700,30.9700,1370879,0.0000,1.0000
2019-08-13,31.2300,31.4700,31.0800,31.2400,31.2400,2854289,0.0000,1.0000
2019-08-12,31.1600,31.5400,31.1400,31.3500,31.3500,1628810,0.0000,1.0000
2019-08-09,31.7700,31.9400,31.4600,31.4600,31.4600,1112265,0.0000,1.0000
2019-08-08,31.3700,31.9900,31.1500,31.9300,31.9300,1566167,0.9500,1.0000
2019-08-07,32.2800,32.3109,31.7100,32.2600,31.3279,660471,0.0000,1.0000
2019-08-06,33.4000,33.4000,31.3700,32.2200,31.2891,1143460,0.0000,1.0000
2019-08-05,33.7000,33.8900,32.7400,33.0900,32.1339,1033719,0.0000,1.0000
2019-08-02,34.0000,34.3100,33.8900,33.9500,32.9691,643254,0.0000,1.0000
2019-08-01,33.9000,34.3100,33.6700,34.0500,33.0662,1318764,0.0000,1.0000
2019-07-31,33.8900,34.3400,33.8800,33.8800,32.9011,951250,0.0000,1.0000
2019-07-30,34.0100,34.4400,33.8900,33.9100,32.9302,561619,0.0000,1.0000
2019-07-29,33.7500,34.1600,33.7400,34.0700,33.0856,982692,0.0000,1.0000
2019-07-26,33.7600,34.1400,33.7002,33.8000,32.8234,522715,0.0000,1.0000
2019-07-25,33.7600,33.9300,33.6600,33.7800,32.8040,1432242,0.0000,1.0000
2019-07-24,33.6100,33.8100,33.5700,33.7600,32.7846,529063,0.0000,1.0000
2019-07-23,33.4000,33.7350,32.8200,33.6400,32.6680,558084,0.0000,1.0000
2019-07-22,33.6700,33.7000,33.3900,33.4100,32.4447,494862,0.0000,1.0000
2019-07-19,34.1100,34.3900,33.5700,33.7000,32.7263,335055,0.0000,1.0000
2019-07-18,34.4300,34.4300,34.0400,34.3000,33.3090,680654,0.0000,1.0000
2019-07-17,34.7000,34.8900,34.3700,34.4400,33.4449,258046,0.0000,1.0000
2019-07-16,34.6800,34.8200,34.5800,34.7000,33.6974,404119,0.0000,1.0000
2019-07-15,34.8300,35.0000,34.6700,34.8200,33.8139,342226,0.0000,1.0000
2019-07-12,34.9100,35.0400,34.7100,34.8700,33.8625,954062,0.0000,1.0000
2019-07-11,35.0200,35.1400,34.7103,34.9800,33.9693,895931,0.0000,1.0000
2019-07-10,35.0000,35.1500,34.9300,35.0200,34.0082,187901,0.0000,1.0000
2019-07-09,34.8900,35.0300,34.7000,34.9200,33.9111,153786,0.0000,1.0000
2019-07-08,34.7100,35.0000,34.7100,35.0000,33.9887,352899,0.0000,1.0000
2019-07-05,34.4200,34.8400,34.4200,34.8400,33.8334,99876,0.0000,1.0000
2019-07-03,35.3000,35.3300,34.3050,34.6500,33.6489,247892,0.0000,1.0000
2019-07-02,34.9600,35.3300,34.8800,35.3000,34.2801,310729,0.0000,1.0000
2019-07-01,34.9000,35.1900,34.8400,34.9600,33.9499,349762,0.0000,1.0000
2019-06-28,34.7400,35.0900,34.7300,34.8400,33.8334,396141,0.0000,1.0000
2019-06-27,34.5700,34.8100,34.4300,34.7600,33.7557,314317,0.0000,1.0000
2019-06-26,35.2700,35.2700,34.5600,34.5900,33.5906,299431,0.0000,1.0000
2019-06-25,34.8900,35.5000,34.8900,35.2700,34.2509,575294,0.0000,1.0000
2019-06-24,35.3000,35.4400,34.9100,34.9700,33.9596,478696,0.0000,1.0000
2019-06-21,34.8400,35.3800,34.6200,35.3300,34.3092,1189581,0.0000,1.0000
2019-06-20,34.7900,34.9600,34.6100,34.8800,33.8722,421450,0.0000,1.0000
2019-06-19,34.5000,34.8400,34.3100,34.6800,33.6780,715974,0.0000,1.0000
