timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,36.2300,36.8700,36.1100,36.5100,36.5100,36008,0.0000,1.0000
2020-01-22,36.6800,36.6800,36.1100,36.4600,36.4600,17427,0.0000,1.0000
2020-01-21,36.9400,36.9400,36.4850,36.6200,36.6200,12299,0.0000,1.0000
2020-01-17,37.6900,37.6900,36.7600,37.1000,37.1000,26519,0.0000,1.0000
2020-01-16,36.9500,37.6100,36.9500,37.4000,37.4000,11535,0.0000,1.0000
2020-01-15,36.9500,37.1300,36.5500,36.7900,36.7900,14226,0.0000,1.0000
2020-01-14,37.2700,37.5000,36.8100,37.0100,37.0100,28128,0.0000,1.0000
2020-01-13,36.9200,37.4700,36.6132,37.3900,37.3900,15642,0.0000,1.0000
2020-01-10,37.1000,37.1100,36.6700,37.0100,37.0100,19451,0.0000,1.0000
2020-01-09,37.3500,37.4387,36.9200,37.1700,37.1700,18848,0.0000,1.0000
2020-01-08,37.0700,37.5600,36.9225,37.3000,37.3000,17060,0.0000,1.0000
2020-01-07,37.3100,37.4900,37.0000,37.2100,37.2100,11505,0.0000,1.0000
2020-01-06,37.1100,37.7500,36.6400,37.5300,37.5300,21485,0.0000,1.0000
2020-01-03,37.2900,37.3500,36.9100,37.1200,37.1200,26502,0.0000,1.0000
2020-01-02,37.7900,38.0400,37.1643,37.6100,37.6100,16202,0.0000,1.0000
2019-12-31,37.6100,38.0000,37.5800,37.8000,37.8000,15933,0.0000,1.0000
2019-12-30,37.6100,37.8809,37.4000,37.7900,37.7900,16111,0.0000,1.0000
2019-12-27,37.9600,37.9600,37.2867,37.5200,37.5200,15474,0.0000,1.0000
2019-12-26,38.0000,38.3095,37.5800,38.0600,38.0600,36133,0.0000,1.0000
2019-12-24,37.5600,37.7900,37.5600,37.7900,37.7900,2322,0.0000,1.0000
2019-12-23,37.6700,37.8600,37.3900,37.6400,37.6400,17448,0.0000,1.0000
2019-12-20,37.9600,37.9850,37.5650,37.7800,37.7800,60946,0.0000,1.0000
