timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,39.0800,39.2800,38.8100,39.0400,39.0400,3837,0.0000,1.0000
2020-01-22,38.9900,39.5077,38.7200,39.0100,39.0100,8049,0.0000,1.0000
2020-01-21,39.1800,39.6000,38.4600,39.0300,39.0300,9821,0.0000,1.0000
2020-01-17,38.8000,39.4972,38.4535,39.2000,39.2000,15912,0.0000,1.0000
2020-01-16,37.3900,38.7300,37.3400,38.6200,38.6200,34781,0.0000,1.0000
2020-01-15,37.2400,37.3310,37.1200,37.1900,37.1900,16750,0.0000,1.0000
2020-01-14,36.6800,37.3100,36.6800,37.1100,37.1100,15055,0.0000,1.0000
2020-01-13,36.4400,36.8600,36.4400,36.8600,36.8600,46492,0.0000,1.0000
2020-01-10,36.2700,36.6268,36.2600,36.4300,36.4300,13975,0.0000,1.0000
2020-01-09,36.5600,36.6000,36.3016,36.4700,36.4700,7894,0.0000,1.0000
2020-01-08,36.5670,36.8400,36.2900,36.5000,36.5000,74692,0.0000,1.0000
2020-01-07,36.6900,36.9771,36.3500,36.4600,36.4600,31314,0.0000,1.0000
2020-01-06,36.5000,36.8800,36.4300,36.7100,36.7100,9473,0.0000,1.0000
2020-01-03,36.2900,36.7100,36.2900,36.6900,36.6900,10571,0.0000,1.0000
2020-01-02,37.1600,37.2000,36.5500,36.7800,36.7800,11537,0.0000,1.0000
2019-12-31,37.2500,37.4986,37.2100,37.2100,37.2100,10301,0.0000,1.0000
2019-12-30,37.3200,37.3900,37.1200,37.1200,37.1200,11327,0.0000,1.0000
2019-12-27,37.1900,37.3800,37.1700,37.3700,37.3700,9561,0.0000,1.0000
2019-12-26,37.2000,37.2400,37.0100,37.0100,37.0100,4385,0.0000,1.0000
2019-12-24,37.1000,37.1500,37.0000,37.0300,37.0300,3337,0.0000,1.0000
2019-12-23,37.2100,37.5700,37.0000,37.2300,37.2300,9573,0.0000,1.0000
2019-12-20,37.1400,37.5100,37.0524,37.2900,37.2900,31929,0.0000,1.0000
2019-12-19,37.6400,37.6880,37.0200,37.0900,37.0900,19652,0.0000,1.0000
2019-12-18,37.4400,37.6700,37.2800,37.5000,37.5000,3620,0.0000,1.0000
2019-12-17,37.3800,37.5200,37.0700,37.3100,37.3100,10004,0.0000,1.0000
2019-12-16,37.0000,37.4700,36.7623,37.3600,37.3600,7958,0.0000,1.0000
2019-12-13,36.7242,37.0700,36.5200,37.0700,37.0700,7381,0.0000,1.0000
2019-12-12,37.2300,37.2900,36.6600,36.8400,36.8400,12248,0.0000,1.0000
2019-12-11,37.4000,37.7100,37.0500,37.2700,37.2700,7974,0.0000,1.0000
2019-12-10,37.2500,37.4500,37.0700,37.4000,37.4000,9333,0.0000,1.0000
2019-12-09,37.8300,37.8300,37.0400,37.1300,37.1300,7801,0.0000,1.0000
2019-12-06,37.0100,37.8400,37.0100,37.7100,37.7100,16192,0.0000,1.0000
2019-12-05,37.6700,37.6700,37.0400,37.3700,37.3700,5305,0.0000,1.0000
2019-12-04,37.5900,37.7100,37.3400,37.4400,37.4400,6200,0.0000,1.0000
2019-12-03,36.8800,37.4395,36.8425,37.4000,37.4000,6457,0.0000,1.0000
2019-12-02,37.2700,37.2700,36.8000,37.1200,37.1200,8065,0.0000,1.0000
2019-11-29,37.3200,37.5943,37.2000,37.2000,37.2000,3883,0.0000,1.0000
2019-11-27,37.0700,37.7400,37.0266,37.4000,37.4000,7105,0.0000,1.0000
2019-11-26,36.8444,37.3600,36.8444,37.2300,37.2300,16669,0.0000,1.0000
2019-11-25,36.5300,37.1000,36.2676,37.1000,37.1000,12867,0.0000,1.0000
2019-11-22,36.6500,36.6900,36.0000,36.6900,36.6900,15235,0.0000,1.0000
2019-11-21,37.2500,37.2500,36.1600,36.2100,36.2100,6969,0.0000,1.0000
2019-11-20,36.5900,37.4300,36.5900,37.0000,37.0000,16796,0.0000,1.0000
2019-11-19,36.3604,36.7400,36.2386,36.7400,36.7400,9203,0.0000,1.0000
2019-11-18,36.4800,36.6400,36.2136,36.5900,36.5900,6420,0.0000,1.0000
2019-11-15,36.6000,36.8200,36.4100,36.4100,36.4100,14371,0.0000,1.0000
2019-11-14,36.9200,37.3200,36.4100,36.4100,36.4100,6495,0.0000,1.0000
2019-11-13,36.5300,37.1100,36.5200,37.1100,37.1100,9750,0.0000,1.0000
2019-11-12,36.6500,36.8380,36.4500,36.5200,36.5200,5966,0.0000,1.0000
2019-11-11,37.0200,37.0303,36.6000,36.7800,36.7800,9473,0.0000,1.0000
2019-11-08,37.2200,37.2800,37.0000,37.1500,37.1500,6514,0.0000,1.0000
2019-11-07,37.1404,37.2654,36.8200,37.0400,37.0400,8598,0.2496,1.0000
2019-11-06,37.1600,37.3840,36.7135,37.1000,36.8517,11939,0.0000,1.0000
2019-11-05,37.1500,37.3700,36.6500,37.3700,37.1199,9020,0.0000,1.0000
2019-11-04,36.9200,37.1700,36.6101,37.1700,36.9212,10087,0.0000,1.0000
