timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,116.0400,116.9300,115.8814,116.8500,116.8500,268738,0.0000,1.0000
2020-01-22,116.6600,116.7300,115.7200,116.0900,116.0900,690900,0.0000,1.0000
2020-01-21,115.1400,116.1100,114.5500,115.9200,115.9200,925467,0.0000,1.0000
2020-01-17,114.8000,115.0900,114.0400,114.9800,114.9800,602061,0.0000,1.0000
2020-01-16,114.0300,114.9550,113.7400,114.7100,114.7100,784975,0.0000,1.0000
2020-01-15,113.0200,113.9700,112.9800,113.7500,113.7500,561851,0.0000,1.0000
2020-01-14,112.6100,112.8800,112.0900,112.8100,112.8100,601440,0.0000,1.0000
2020-01-13,111.4000,112.8200,111.4000,112.5400,112.5400,403395,0.0000,1.0000
2020-01-10,111.3800,111.7874,111.1900,111.3900,111.3900,543350,0.0000,1.0000
2020-01-09,110.5800,111.5100,110.5500,111.1000,111.1000,834648,0.0000,1.0000
2020-01-08,111.7100,111.7100,110.6593,110.7400,110.7400,905124,0.0000,1.0000
2020-01-07,112.0000,112.0200,110.4250,111.7000,111.7000,876723,0.0000,1.0000
2020-01-06,110.9600,111.6800,110.8900,110.9600,110.9600,822911,0.0000,1.0000
2020-01-03,110.0600,111.3200,110.0600,111.1100,111.1100,724236,0.0000,1.0000
2020-01-02,112.0400,112.0400,109.4200,110.3800,110.3800,906891,0.0000,1.0000
2019-12-31,110.4400,111.8800,110.3800,111.8600,111.8600,637865,0.0000,1.0000
2019-12-30,109.9500,110.4800,109.7457,110.4700,110.4700,500716,0.0000,1.0000
2019-12-27,110.5400,110.5900,109.9800,110.1300,110.1300,648641,0.0000,1.0000
2019-12-26,110.9300,110.9800,110.1201,110.5000,110.5000,450481,0.0000,1.0000
2019-12-24,111.1700,111.2300,110.2500,110.5800,110.5800,179755,0.0000,1.0000
2019-12-23,112.3600,112.3600,110.8800,111.1100,111.1100,698668,0.0000,1.0000
2019-12-20,111.0000,112.8200,110.6500,112.2600,112.2600,1802003,0.0000,1.0000
2019-12-19,109.8500,110.8700,109.8500,110.8100,110.8100,1183212,0.0000,1.0000
2019-12-18,108.5000,110.3900,108.0700,110.1500,110.1500,1362220,0.0000,1.0000
2019-12-17,108.6600,109.6100,108.4700,108.6500,108.6500,720635,0.0000,1.0000
2019-12-16,106.9700,108.5000,106.8950,108.4300,108.4300,767671,0.0000,1.0000
2019-12-13,106.5000,107.2100,105.9600,107.0500,107.0500,720238,0.0000,1.0000
2019-12-12,107.0500,107.1100,105.9500,106.5100,106.5100,676939,0.0000,1.0000
2019-12-11,106.9700,107.4600,106.5800,107.2000,107.2000,754007,0.0000,1.0000
2019-12-10,106.5000,106.8800,106.1364,106.7500,106.7500,637845,0.0000,1.0000
2019-12-09,106.7400,107.0300,105.8500,106.3100,106.3100,669148,0.0000,1.0000
2019-12-06,106.6100,107.2600,106.4000,106.5200,106.5200,648711,0.0000,1.0000
2019-12-05,106.4700,106.8500,106.0100,106.7600,106.7600,698756,0.0000,1.0000
