timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,278.7100,280.2900,276.6800,278.7300,278.7300,786560,0.0000,1.0000
2020-01-22,278.2200,279.5000,277.6600,278.8300,278.8300,1049668,0.0000,1.0000
2020-01-21,276.8400,278.0600,275.3100,277.5300,277.5300,1290714,0.0000,1.0000
2020-01-17,277.7200,278.4300,275.3000,277.0800,277.0800,1170937,0.0000,1.0000
2020-01-16,278.6800,278.9900,274.3800,276.8700,276.8700,904365,0.0000,1.0000
2020-01-15,275.9200,279.6200,275.7900,277.3000,277.3000,1128745,0.0000,1.0000
2020-01-14,275.1200,277.4500,273.2700,275.9600,275.9600,1441453,0.0000,1.0000
2020-01-13,274.4600,276.4750,273.4000,276.2000,276.2000,1276642,0.0000,1.0000
2020-01-10,275.1300,276.2900,273.5900,274.4600,274.4600,972931,0.0000,1.0000
2020-01-09,274.7900,275.2050,272.9400,273.5400,273.5400,936608,0.0000,1.0000
2020-01-08,272.9100,275.5400,271.5600,273.4000,273.4000,1408520,0.0000,1.0000
2020-01-07,271.5800,273.5200,270.1300,272.7300,272.7300,1336402,0.0000,1.0000
2020-01-06,268.9600,273.7000,266.6500,273.3800,273.3800,1563671,0.0000,1.0000
2020-01-03,268.4600,271.0300,268.4100,269.5900,269.5900,1562929,0.0000,1.0000
2020-01-02,272.0900,273.4500,269.8650,272.5400,272.5400,1683808,0.0000,1.0000
2019-12-31,270.0600,272.0100,268.7400,271.9700,271.9700,829007,0.0000,1.0000
2019-12-30,272.6800,273.7100,270.0000,270.5200,270.5200,443855,0.0000,1.0000
2019-12-27,271.5800,272.9170,270.9600,272.8500,272.8500,546591,0.0000,1.0000
2019-12-26,273.0300,273.7800,270.3900,271.0600,271.0600,502230,0.0000,1.0000
2019-12-24,273.5600,273.8550,271.3000,273.0100,273.0100,210521,0.0000,1.0000
2019-12-23,272.2900,274.1700,271.1000,273.4900,273.4900,831879,0.0000,1.0000
2019-12-20,270.7600,275.4800,269.9500,271.6600,271.6600,2398345,0.0000,1.0000
2019-12-19,266.9700,269.0900,266.2200,267.8700,267.8700,1152548,0.0000,1.0000
2019-12-18,268.7600,269.3000,266.0600,267.1800,267.1800,1170673,0.0000,1.0000
2019-12-17,270.8400,272.9400,268.2000,269.0300,269.0300,1402079,0.0000,1.0000
2019-12-16,269.7900,270.0800,268.2800,269.8800,269.8800,1441545,0.0000,1.0000
2019-12-13,265.1300,269.4100,264.1700,268.7200,268.7200,1688843,0.0000,1.0000
2019-12-12,260.9100,266.5650,260.8100,265.4400,265.4400,1400891,0.0000,1.0000
2019-12-11,257.9400,261.3100,256.4700,261.0600,261.0600,1063638,0.0000,1.0000
2019-12-10,258.3700,258.5900,255.6800,257.2400,257.2400,974548,0.0000,1.0000
2019-12-09,259.1400,259.7600,257.3200,257.9000,257.9000,910413,0.7900,1.0000
2019-12-06,260.0000,261.9150,259.4100,260.6900,259.8939,1045980,0.0000,1.0000
2019-12-05,257.9500,260.1900,256.1000,258.9100,258.1193,834643,0.0000,1.0000
2019-12-04,256.3800,257.9952,254.7700,257.2300,256.4445,1096617,0.0000,1.0000
2019-12-03,256.1600,258.0200,253.5800,255.7300,254.9490,1672907,0.0000,1.0000
2019-12-02,258.0900,259.5900,255.7000,259.0300,258.2390,1419808,0.0000,1.0000
2019-11-29,258.9600,260.3303,257.4200,258.5000,257.7106,583213,0.0000,1.0000
2019-11-27,255.2200,261.6400,255.0000,260.4000,259.6048,1446410,0.0000,1.0000
2019-11-26,254.0700,256.1500,253.8950,255.2200,254.4406,1490033,0.0000,1.0000
2019-11-25,250.3100,254.2200,248.8700,253.8600,253.0848,1236358,0.0000,1.0000
2019-11-22,249.1200,250.2600,247.0900,249.8900,249.1269,974791,0.0000,1.0000
2019-11-21,247.1100,249.9400,246.4700,248.9600,248.1997,1009300,0.0000,1.0000
2019-11-20,246.7000,247.7400,245.3800,246.7800,246.0264,1277316,0.0000,1.0000
2019-11-19,244.6200,247.1900,243.6550,245.7800,245.0294,1079415,0.0000,1.0000
2019-11-18,248.6900,249.5200,242.7900,243.5100,242.7664,1793444,0.0000,1.0000
2019-11-15,250.1100,250.4600,247.3400,248.3000,247.5417,1157139,0.0000,1.0000
2019-11-14,247.2200,250.2100,247.2200,248.8000,248.0402,1004041,0.0000,1.0000
2019-11-13,242.0600,247.0300,240.6100,247.0100,246.2557,1389052,0.0000,1.0000
2019-11-12,241.7600,245.0000,241.2800,242.3600,241.6199,1035683,0.0000,1.0000
2019-11-11,243.3900,244.4400,241.7500,242.4400,241.6996,1085020,0.0000,1.0000
2019-11-08,244.0000,247.0750,244.0000,244.7900,244.0424,1495820,0.0000,1.0000
2019-11-07,251.1900,252.0700,243.9400,244.5700,243.8231,1458981,0.0000,1.0000
2019-11-06,246.6800,250.8100,246.4800,250.7900,250.0241,1785686,0.0000,1.0000
2019-11-05,254.9600,258.7700,246.3000,246.6800,245.9267,2887361,0.0000,1.0000
2019-11-04,260.6600,261.6900,257.6000,260.7000,259.9039,1272496,0.0000,1.0000
2019-11-01,257.7000,260.1000,256.9150,258.1500,257.3616,1385026,0.0000,1.0000
2019-10-31,255.5800,257.0300,254.0100,256.0000,255.2182,1629644,0.0000,1.0000
2019-10-30,254.0900,256.1700,253.9500,255.9500,255.1684,721465,0.0000,1.0000
2019-10-29,246.9200,257.2750,246.0500,254.2800,253.5035,1623652,0.0000,1.0000
2019-10-28,245.7500,249.1539,244.5900,246.0800,245.3285,1907296,0.0000,1.0000
2019-10-25,245.9000,248.0700,244.2200,244.3000,243.5539,1715899,0.0000,1.0000
2019-10-24,252.8900,252.8900,244.7600,245.9000,245.1491,1388232,0.0000,1.0000
2019-10-23,252.2800,253.0200,250.5460,251.6000,250.8317,969126,0.0000,1.0000
2019-10-22,254.3900,256.5100,249.8800,250.2800,249.5157,711988,0.0000,1.0000
2019-10-21,257.1100,259.1450,253.9800,254.1000,253.3240,954592,0.0000,1.0000
2019-10-18,256.6600,259.1200,255.7400,258.5900,257.8003,842894,0.0000,1.0000
2019-10-17,254.0000,258.0700,253.6800,256.8000,256.0158,1008409,0.0000,1.0000
2019-10-16,252.4400,254.0200,250.9200,252.9400,252.1676,1016323,0.0000,1.0000
2019-10-15,252.4100,254.5400,251.0200,253.2800,252.5065,904578,0.0000,1.0000
2019-10-14,252.8600,252.8600,250.4550,250.7200,249.9543,623350,0.0000,1.0000
2019-10-11,252.0600,254.9800,251.3800,252.8600,252.0878,851194,0.0000,1.0000
2019-10-10,246.5800,249.6100,245.7100,248.5400,247.7810,594463,0.0000,1.0000
2019-10-09,246.3700,248.6300,245.3500,247.8100,247.0532,595785,0.0000,1.0000
2019-10-08,247.8000,248.2299,244.0850,244.4800,243.7334,898915,0.0000,1.0000
2019-10-07,251.8000,253.0000,249.4800,249.5800,248.8178,896372,0.0000,1.0000
2019-10-04,251.8800,253.3000,250.3600,253.1100,252.3370,613232,0.0000,1.0000
2019-10-03,247.5700,251.2500,245.0800,250.9100,250.1438,816262,0.0000,1.0000
2019-10-02,249.2500,250.2100,245.0800,247.8700,247.1130,1071170,0.0000,1.0000
2019-10-01,254.2200,256.3400,250.1000,250.6400,249.8746,873630,0.0000,1.0000
2019-09-30,249.0500,254.4100,248.7600,252.9600,252.1875,1666556,0.0000,1.0000
2019-09-27,252.2900,252.3100,247.4800,248.0300,247.2726,907225,0.0000,1.0000
2019-09-26,254.8300,254.8300,248.2050,250.5400,249.7749,1069216,0.0000,1.0000
2019-09-25,250.9000,254.6600,250.5000,253.9500,253.1745,877686,0.0000,1.0000
2019-09-24,254.6400,256.1100,249.5000,251.0200,250.2534,1252871,0.0000,1.0000
2019-09-23,253.3900,255.5400,253.0801,253.4300,252.6561,967202,0.0000,1.0000
2019-09-20,255.6000,256.6250,253.2800,253.5500,252.7757,1927416,0.0000,1.0000
2019-09-19,257.5400,259.0700,256.0600,256.3800,255.5971,847759,0.0000,1.0000
2019-09-18,258.0000,259.3050,255.1900,257.5200,256.7336,760533,0.0000,1.0000
2019-09-17,259.8100,259.9300,257.5700,258.1500,257.3616,857462,0.0000,1.0000
2019-09-16,259.2800,259.8600,257.9500,258.7300,257.9399,851015,0.0000,1.0000
2019-09-13,262.8200,262.8700,259.8250,260.7000,259.9039,674709,0.0000,1.0000
2019-09-12,263.6100,263.8400,258.9900,262.1500,261.3494,1096464,0.0000,1.0000
2019-09-11,260.0500,261.4700,255.2900,261.0000,260.2029,1183155,0.0000,1.0000
2019-09-10,257.0800,260.5100,253.2200,260.5100,259.7144,1713257,0.0000,1.0000
2019-09-09,263.4200,263.5100,256.9500,257.8000,257.0127,848847,0.0000,1.0000
2019-09-06,258.9200,264.7400,257.4200,262.4800,261.6784,1351305,0.7700,1.0000
2019-09-05,257.6000,258.9450,256.2200,258.4800,256.9369,1027197,0.0000,1.0000
