timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,55.7000,57.1150,55.4700,56.9500,56.9500,75516,0.0000,1.0000
2020-01-22,54.6700,55.6600,54.4500,55.5000,55.5000,109763,0.0000,1.0000
2020-01-21,53.5200,54.6100,53.4000,54.4700,54.4700,69421,0.0000,1.0000
2020-01-17,54.0000,54.1400,53.3800,53.6800,53.6800,60003,0.0000,1.0000
2020-01-16,52.9900,54.0000,52.9800,53.7000,53.7000,42438,0.5300,1.0000
2020-01-15,53.2900,53.9700,53.0500,53.3300,52.8088,67295,0.0000,1.0000
2020-01-14,53.2000,53.5200,52.8000,53.2800,52.7593,78065,0.0000,1.0000
2020-01-13,52.0400,53.2900,51.9100,53.2600,52.7395,56183,0.0000,1.0000
2020-01-10,52.0000,52.2300,51.6600,52.0100,51.5017,77903,0.0000,1.0000
2020-01-09,52.6400,52.9200,51.8600,51.9400,51.4324,64587,0.0000,1.0000
2020-01-08,51.4400,52.5800,51.4400,52.4400,51.9275,115285,0.0000,1.0000
2020-01-07,52.0600,52.2100,50.8600,51.4500,50.9472,49031,0.0000,1.0000
2020-01-06,52.1600,52.5000,51.7000,52.2900,51.7790,68713,0.0000,1.0000
2020-01-03,50.9900,52.7200,50.9900,52.5400,52.0265,58661,0.0000,1.0000
2020-01-02,53.0000,53.0000,51.2100,51.4900,50.9868,49306,0.0000,1.0000
2019-12-31,51.6900,52.9900,51.4800,52.7800,52.2642,169110,0.0000,1.0000
2019-12-30,51.2600,51.9700,51.1400,51.7400,51.2343,37458,0.0000,1.0000
2019-12-27,51.4100,51.6300,50.7000,51.2900,50.7887,30110,0.0000,1.0000
2019-12-26,51.0900,51.7600,51.0000,51.1500,50.6501,27430,0.0000,1.0000
2019-12-24,51.1600,51.5500,50.7000,51.2600,50.7590,23765,0.0000,1.0000
2019-12-23,51.5500,51.8500,50.8601,51.0700,50.5709,39668,0.0000,1.0000
2019-12-20,51.9600,52.2500,51.4700,51.5800,51.0759,120813,0.0000,1.0000
2019-12-19,51.0800,51.8600,50.5500,51.8100,51.3037,53310,0.0000,1.0000
2019-12-18,50.4700,51.3000,50.1500,51.1300,50.6303,30751,0.0000,1.0000
2019-12-17,50.2700,50.9300,50.0000,50.2400,49.7490,74328,0.0000,1.0000
2019-12-16,50.4600,50.8300,49.8600,50.3100,49.8183,57501,0.0000,1.0000
2019-12-13,50.0000,50.4400,49.1300,50.1900,49.6995,34582,0.0000,1.0000
2019-12-12,51.0900,51.4900,50.0100,50.0900,49.6005,37419,0.0000,1.0000
2019-12-11,52.4900,52.6100,50.8000,51.0800,50.5808,57347,0.0000,1.0000
2019-12-10,52.0100,52.4400,51.5500,52.3600,51.8483,34261,0.0000,1.0000
2019-12-09,52.2300,52.7000,51.8800,52.0000,51.4918,48196,0.0000,1.0000
2019-12-06,51.6900,52.5600,51.4000,52.2400,51.7294,80127,0.0000,1.0000
2019-12-05,51.7800,52.1200,51.2150,51.2600,50.7590,49554,0.0000,1.0000
2019-12-04,51.9500,52.4600,51.6000,51.8700,51.3631,45101,0.0000,1.0000
2019-12-03,51.3000,52.1800,51.1400,51.7000,51.1947,44305,0.0000,1.0000
2019-12-02,53.0000,53.2100,51.5800,51.7100,51.2046,40169,0.0000,1.0000
2019-11-29,53.1900,53.7000,52.9200,53.1400,52.6207,17001,0.0000,1.0000
2019-11-27,52.9700,53.5300,52.7000,53.4800,52.9573,27948,0.0000,1.0000
2019-11-26,52.6300,53.4000,52.6000,52.9300,52.4127,45916,0.0000,1.0000
2019-11-25,51.0900,53.1200,50.7700,52.7400,52.2246,41024,0.0000,1.0000
2019-11-22,51.1500,51.3700,50.5500,50.8800,50.3827,25020,0.0000,1.0000
2019-11-21,51.5600,52.0400,50.7700,50.8900,50.3926,44162,0.0000,1.0000
2019-11-20,52.1600,52.5100,51.5600,51.5900,51.0858,52523,0.0000,1.0000
2019-11-19,52.8500,52.9000,52.1400,52.4800,51.9671,35083,0.0000,1.0000
2019-11-18,51.9800,53.0500,51.9300,52.6900,52.1751,40999,0.0000,1.0000
2019-11-15,52.5100,53.0000,51.9600,52.0000,51.4918,64246,0.0000,1.0000
2019-11-14,51.3100,52.5000,51.3100,52.1600,51.6502,35130,0.0000,1.0000
2019-11-13,51.5600,51.9700,51.0400,51.3000,50.7986,35381,0.0000,1.0000
2019-11-12,52.6800,53.2000,51.6000,51.8100,51.3037,35306,0.0000,1.0000
2019-11-11,52.6900,53.0200,51.6640,52.6700,52.1552,38517,0.0000,1.0000
2019-11-08,53.5300,54.9600,52.9300,52.9300,52.4127,38366,0.0000,1.0000
2019-11-07,53.9500,54.0550,53.3400,53.7300,53.2049,41251,0.0000,1.0000
2019-11-06,54.6100,55.2100,53.6000,53.7600,53.2346,44591,0.0000,1.0000
2019-11-05,54.0200,55.1200,53.2400,54.6500,54.1159,45416,0.0000,1.0000
2019-11-04,53.1300,53.9900,52.8500,53.8600,53.3336,29046,0.0000,1.0000
2019-11-01,53.8700,53.8700,51.6550,52.8100,52.2939,62022,0.0000,1.0000
2019-10-31,57.2900,57.2900,51.6600,53.5400,53.0167,100154,0.0000,1.0000
2019-10-30,56.0000,57.2700,55.6800,57.2300,56.6707,32203,0.0000,1.0000
2019-10-29,55.2100,56.6700,55.0900,56.0200,55.4725,55872,0.0000,1.0000
2019-10-28,55.0700,55.5500,54.8200,55.1300,54.5912,32621,0.0000,1.0000
2019-10-25,55.5600,55.6800,54.7600,54.9500,54.4130,42886,0.0000,1.0000
2019-10-24,55.4900,55.7150,54.4200,55.6200,55.0764,30899,0.0000,1.0000
2019-10-23,55.3000,55.5000,54.7300,55.1900,54.6506,22590,0.0000,1.0000
2019-10-22,55.3000,55.3000,54.7500,55.1300,54.5912,24061,0.0000,1.0000
2019-10-21,54.7800,55.3400,54.7401,55.1900,54.6506,32181,0.0000,1.0000
2019-10-18,54.2900,54.8050,53.9300,54.7200,54.1852,24220,0.0000,1.0000
2019-10-17,54.0400,54.6400,53.9400,54.4500,53.9178,38346,0.0000,1.0000
2019-10-16,53.8300,54.2500,53.5900,54.1000,53.5713,36102,0.5300,1.0000
2019-10-15,54.4200,55.2300,54.0500,54.3700,53.3163,56855,0.0000,1.0000
2019-10-14,54.1800,54.2450,53.6000,54.1900,53.1398,42509,0.0000,1.0000
2019-10-11,53.9600,55.1400,53.9000,54.2400,53.1888,35719,0.0000,1.0000
