timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,55.2100,55.2500,54.5400,54.8700,54.8700,3293042,0.0000,1.0000
2020-01-22,54.3700,55.4900,54.2200,55.3200,55.3200,3059792,0.0000,1.0000
2020-01-21,53.8900,54.4000,53.5000,54.0100,54.0100,1874033,0.0000,1.0000
2020-01-17,54.5300,54.6400,53.6300,53.9300,53.9300,2566369,0.0000,1.0000
2020-01-16,54.1700,54.5200,53.6100,54.4200,54.4200,2710143,0.0000,1.0000
2020-01-15,52.2700,54.1200,52.0350,53.8100,53.8100,4023233,0.0000,1.0000
2020-01-14,50.9400,52.4600,50.9400,52.4500,52.4500,3186252,0.0000,1.0000
2020-01-13,50.5300,50.5600,49.8000,50.4400,50.4400,2526464,0.0000,1.0000
2020-01-10,50.4000,50.7200,49.8800,50.6300,50.6300,2298197,0.0000,1.0000
2020-01-09,50.2000,50.4350,49.6700,50.3000,50.3000,1746997,0.0000,1.0000
2020-01-08,49.6800,50.3100,49.2550,50.0600,50.0600,1727067,0.0000,1.0000
2020-01-07,49.6100,49.9900,49.3300,49.7900,49.7900,1820170,0.0000,1.0000
2020-01-06,49.2600,49.8200,48.9321,49.7700,49.7700,2404310,0.0000,1.0000
2020-01-03,49.3200,49.8000,49.1400,49.3600,49.3600,1876264,0.0000,1.0000
2020-01-02,50.9200,51.0100,49.4750,50.0900,50.0900,2824570,0.0000,1.0000
2019-12-31,50.1300,50.9000,50.1000,50.5800,50.5800,1908317,0.4811,1.0000
2019-12-30,51.4700,51.6600,50.7000,50.7700,50.2916,1648888,0.0000,1.0000
2019-12-27,51.1400,51.6100,50.7500,51.5000,51.0148,1427118,0.0000,1.0000
2019-12-26,51.3500,51.4529,50.9200,51.1700,50.6879,839615,0.0000,1.0000
2019-12-24,51.3700,51.7700,51.0800,51.2900,50.8067,535372,0.0000,1.0000
2019-12-23,51.8100,51.9400,51.1100,51.1300,50.6483,1402241,0.0000,1.0000
2019-12-20,51.0900,52.0300,50.5100,51.8000,51.3119,4939471,0.0000,1.0000
2019-12-19,51.3500,51.4600,50.5000,50.6100,50.1332,1920881,0.0000,1.0000
2019-12-18,51.2400,51.5800,50.8250,51.1000,50.6185,2624313,0.0000,1.0000
2019-12-17,53.5700,53.6000,51.0000,51.5700,51.0841,3657052,0.0000,1.0000
2019-12-16,53.2600,53.9800,52.6300,53.7000,53.1940,2872450,0.0000,1.0000
2019-12-13,54.4700,54.7550,53.5900,53.6600,53.1544,1568633,0.0000,1.0000
2019-12-12,54.3800,55.0200,54.1070,54.6600,54.1450,1533197,0.0000,1.0000
2019-12-11,53.7100,54.3500,53.7000,54.2800,53.7686,1684615,0.0000,1.0000
2019-12-10,54.2100,54.2200,53.4500,53.8200,53.3129,1823202,0.0000,1.0000
2019-12-09,54.7100,54.8100,54.0300,54.3400,53.8280,1581758,0.0000,1.0000
2019-12-06,54.6100,55.0900,54.5000,54.8700,54.3530,1525888,0.0000,1.0000
2019-12-05,54.8700,55.0300,54.2200,54.2500,53.7389,1924836,0.0000,1.0000
2019-12-04,54.7400,55.0700,54.4500,54.7800,54.2639,1753770,0.0000,1.0000
2019-12-03,54.2700,54.6000,53.8300,54.5300,54.0162,2301259,0.0000,1.0000
2019-12-02,55.0300,55.0700,54.5100,54.6400,54.1252,1622247,0.0000,1.0000
2019-11-29,54.9200,55.2700,54.7500,55.0300,54.5115,833434,0.0000,1.0000
2019-11-27,54.2100,55.2550,54.1500,55.2200,54.6997,1988836,0.0000,1.0000
2019-11-26,56.2400,56.2400,53.7600,54.2100,53.6992,5571948,0.0000,1.0000
2019-11-25,55.9900,56.4900,55.6200,56.3500,55.8191,2111080,0.0000,1.0000
2019-11-22,55.3300,55.9850,55.2500,55.6900,55.1653,2061874,0.0000,1.0000
2019-11-21,55.4200,55.6200,54.8600,55.1700,54.6502,2300357,0.0000,1.0000
2019-11-20,55.3100,55.8050,55.0885,55.4100,54.8879,2686359,0.0000,1.0000
2019-11-19,56.2400,56.3700,55.6500,55.6800,55.1554,2136958,0.0000,1.0000
2019-11-18,56.1400,56.6900,55.8100,56.0100,55.4823,2719880,0.0000,1.0000
2019-11-15,54.9300,56.2700,54.7500,56.2400,55.7101,3373295,0.0000,1.0000
2019-11-14,54.8500,55.3300,54.5900,54.7500,54.2341,4312294,0.0000,1.0000
2019-11-13,53.8100,54.9400,53.5400,54.7900,54.2738,3394026,0.0000,1.0000
2019-11-12,53.6400,54.1900,53.5325,54.0300,53.5209,3432944,0.0000,1.0000
2019-11-11,53.2000,53.7200,52.8200,53.6800,53.1742,3544756,0.0000,1.0000
2019-11-08,52.9500,53.8600,52.3000,53.7500,53.2436,3366177,0.0000,1.0000
2019-11-07,54.2400,54.7600,52.6900,53.2000,52.6987,4773536,0.0000,1.0000
2019-11-06,51.4900,51.9600,51.0100,51.4300,50.9454,3042071,0.0000,1.0000
2019-11-05,52.0000,52.7200,51.4700,51.5000,51.0148,3111388,0.0000,1.0000
2019-11-04,50.6500,51.8850,50.5000,51.7400,51.2525,2398073,0.0000,1.0000
2019-11-01,49.7500,50.9000,49.4600,50.4400,49.9648,2035462,0.0000,1.0000
2019-10-31,49.8800,50.1600,49.0700,49.4500,48.9841,3952889,0.0000,1.0000
2019-10-30,50.4800,50.7800,49.3700,50.1600,49.6874,2807661,0.0000,1.0000
2019-10-29,50.1400,51.5050,49.8200,51.2300,50.7473,2313387,0.0000,1.0000
2019-10-28,50.0400,50.5700,49.9700,50.2800,49.8063,1382705,0.0000,1.0000
2019-10-25,49.7000,50.2000,49.1500,50.0500,49.5784,1933447,0.0000,1.0000
2019-10-24,50.1700,50.2499,49.1400,49.6900,49.2218,2072088,0.0000,1.0000
2019-10-23,50.4300,50.7200,49.7100,50.0200,49.5487,2095308,0.0000,1.0000
2019-10-22,50.4900,50.7800,49.7300,50.7400,50.2619,1969130,0.0000,1.0000
2019-10-21,51.1300,51.4800,49.1500,50.4100,49.9350,4717570,0.0000,1.0000
2019-10-18,51.0700,51.6700,50.7400,51.5400,51.0544,3655207,0.0000,1.0000
2019-10-17,49.1900,51.3600,49.1850,51.2100,50.7275,4511588,0.0000,1.0000
2019-10-16,49.1100,50.9900,48.3000,49.0700,48.6077,5941428,0.0000,1.0000
2019-10-15,47.2500,47.9700,47.0300,47.9000,47.4487,1888106,0.0000,1.0000
2019-10-14,46.7600,46.9900,46.4800,46.7800,46.3392,1466863,0.0000,1.0000
2019-10-11,46.7200,47.5500,46.7200,46.9200,46.4779,2044053,0.0000,1.0000
2019-10-10,45.3000,46.7100,45.3000,46.0500,45.6161,2432673,0.0000,1.0000
2019-10-09,45.2600,45.5100,45.1600,45.3000,44.8732,1940877,0.0000,1.0000
2019-10-08,45.2700,45.4800,44.6800,44.9600,44.5364,1971180,0.0000,1.0000
2019-10-07,46.0900,46.1150,45.3992,45.6000,45.1704,1853565,0.0000,1.0000
2019-10-04,45.8800,46.1800,45.3400,46.0700,45.6359,1866969,0.0000,1.0000
2019-10-03,45.5900,45.9000,44.8000,45.8100,45.3784,2509621,0.0000,1.0000
2019-10-02,46.8900,47.0700,45.6600,45.7600,45.3288,3253515,0.0000,1.0000
2019-10-01,47.5100,48.3900,47.0600,47.2800,46.8345,2497733,0.0000,1.0000
2019-09-30,47.0000,47.4200,46.9636,47.1900,46.7454,2461200,0.4811,1.0000
2019-09-27,47.5500,47.7000,46.9000,47.5700,46.6462,3159278,0.0000,1.0000
2019-09-26,47.6600,48.1800,46.5100,47.3000,46.3815,2018094,0.0000,1.0000
2019-09-25,46.9600,47.8750,46.6800,47.6700,46.7443,2560800,0.0000,1.0000
2019-09-24,47.3100,47.7800,46.7500,47.0600,46.1461,2446492,0.0000,1.0000
2019-09-23,47.7000,47.8900,46.5600,47.1700,46.2540,2361003,0.0000,1.0000
