timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,75.5000,76.0000,75.0100,75.2200,75.2200,11328,0.0000,1.0000
2020-01-22,75.4500,75.9100,74.9400,75.2200,75.2200,33344,0.0000,1.0000
2020-01-21,76.2550,76.5000,75.5000,75.5000,75.5000,4278,0.0000,1.0000
2020-01-17,77.2200,77.3400,75.9459,76.3900,76.3900,6266,0.0000,1.0000
2020-01-16,77.5400,77.5400,76.8200,77.0000,77.0000,8995,0.0000,1.0000
2020-01-15,76.1000,76.5000,75.5000,75.7500,75.7500,4571,0.0000,1.0000
2020-01-14,77.0000,77.0000,75.7125,75.9800,75.9800,8094,0.0000,1.0000
2020-01-13,76.9500,77.0000,75.2501,76.6300,76.6300,5097,0.0000,1.0000
2020-01-10,77.5000,77.8500,76.4700,77.1300,77.1300,6999,0.0000,1.0000
2020-01-09,76.7500,77.4500,75.2700,76.8000,76.8000,9796,0.0000,1.0000
2020-01-08,76.9300,76.9300,76.9300,76.9300,76.9300,1974,0.0000,1.0000
2020-01-07,75.6100,77.7509,75.0000,76.9300,76.9300,16260,0.0000,1.0000
2020-01-06,77.6900,77.7100,75.4500,76.3000,76.3000,11945,0.0000,1.0000
2020-01-03,77.6525,78.3700,77.5300,77.5400,77.5400,3495,0.0000,1.0000
2020-01-02,79.6500,79.6500,78.2950,78.5100,78.5100,11433,0.0000,1.0000
2019-12-31,79.7400,80.2500,78.9100,80.1500,80.1500,10704,0.0000,1.0000
2019-12-30,79.4700,80.2500,78.5100,79.9800,79.9800,12719,0.0000,1.0000
2019-12-27,80.0000,80.0000,79.3300,79.3300,79.3300,10011,0.0000,1.0000
2019-12-26,79.1900,79.7300,79.1900,79.3900,79.3900,3558,0.0000,1.0000
2019-12-24,78.9000,80.0000,78.9000,79.1000,79.1000,9150,0.0000,1.0000
2019-12-23,79.8500,80.2000,78.9900,79.5000,79.5000,11242,0.0000,1.0000
2019-12-20,79.5200,80.6000,79.3400,79.8600,79.8600,49100,0.0000,1.0000
2019-12-19,78.9000,80.0000,78.6700,79.7400,79.7400,7863,0.0000,1.0000
2019-12-18,78.7570,80.1400,78.7570,79.1100,79.1100,4355,0.0000,1.0000
2019-12-17,80.0100,81.0200,78.7400,80.1500,80.1500,51374,0.0000,1.0000
2019-12-16,78.8800,80.3500,78.8800,80.1200,80.1200,34691,0.0000,1.0000
2019-12-13,75.1700,79.0000,75.0500,78.9500,78.9500,41221,0.0000,1.0000
2019-12-12,75.1100,76.2250,74.2450,75.7900,75.7900,19677,0.0000,1.0000
2019-12-11,75.2500,75.2500,74.1300,75.0100,75.0100,40717,0.0000,1.0000
2019-12-10,74.1200,74.5000,74.0000,74.5000,74.5000,12099,0.0000,1.0000
2019-12-09,73.7000,74.9085,73.0000,74.1300,74.1300,20648,0.0000,1.0000
2019-12-06,73.2600,74.6000,73.2500,74.2500,74.2500,229663,0.0000,1.0000
2019-12-05,75.8100,75.8900,73.7700,75.2200,75.2200,9685,0.0000,1.0000
2019-12-04,77.5000,77.5300,76.3600,76.3600,76.3600,4631,0.0000,1.0000
2019-12-03,77.5000,77.5000,77.5000,77.5000,77.5000,652,0.0000,1.0000
2019-12-02,77.3800,78.4700,77.3800,78.0000,78.0000,2478,0.0000,1.0000
2019-11-29,79.4800,79.4800,77.1100,77.9000,77.9000,6636,0.0000,1.0000
2019-11-27,77.3700,79.9450,77.3700,78.5100,78.5100,2826,0.0000,1.0000
2019-11-26,76.5000,80.7000,76.5000,79.7500,79.7500,5459,0.0000,1.0000
2019-11-25,79.3500,80.6400,78.0400,79.5300,79.5300,6383,0.0000,1.0000
2019-11-22,79.6350,79.8800,79.3500,79.3500,79.3500,1962,0.0000,1.0000
