timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,94.3400,95.1500,94.1800,95.0900,95.0900,59325,0.0000,1.0000
2020-01-22,94.2800,94.7100,93.8500,94.6100,94.6100,73465,0.0000,1.0000
2020-01-21,94.9900,94.9900,93.8050,94.3100,94.3100,53941,0.0000,1.0000
2020-01-17,95.7900,95.7900,94.5700,95.1900,95.1900,51398,0.0000,1.0000
2020-01-16,94.2400,95.5900,94.2400,95.5400,95.5400,40302,0.0000,1.0000
2020-01-15,93.2100,94.4100,93.1200,94.1900,94.1900,41852,0.0000,1.0000
2020-01-14,93.2000,93.2100,92.2600,93.0800,93.0800,57590,0.0000,1.0000
2020-01-13,91.6100,92.9700,91.6100,92.8500,92.8500,57108,0.0000,1.0000
2020-01-10,91.6600,91.7800,91.1700,91.7500,91.7500,49106,0.0000,1.0000
2020-01-09,91.3100,91.9900,90.8300,91.4600,91.4600,50098,0.0000,1.0000
2020-01-08,92.4200,92.4800,90.9100,91.2700,91.2700,104999,0.0000,1.0000
2020-01-07,93.1100,93.8900,92.2300,92.5800,92.5800,45875,0.0000,1.0000
2020-01-06,94.2300,94.2300,93.2400,93.4100,93.4100,77990,0.0000,1.0000
2020-01-03,94.1900,94.8282,94.1900,94.4600,94.4600,47231,0.0000,1.0000
2020-01-02,96.3500,96.3500,93.5300,94.4900,94.4900,92031,0.0000,1.0000
2019-12-31,94.8400,95.8300,94.8400,95.8300,95.8300,100035,0.0000,1.0000
2019-12-30,94.7500,95.1700,94.4900,95.1700,95.1700,31530,0.0000,1.0000
2019-12-27,95.3100,95.3100,94.3750,95.0800,95.0800,55891,0.0000,1.0000
2019-12-26,95.8800,96.4600,94.2600,95.1400,95.1400,41396,0.0000,1.0000
2019-12-24,96.6200,96.6200,95.7000,95.9700,95.9700,20582,0.0000,1.0000
2019-12-23,97.7300,97.7750,95.8800,96.4400,96.4400,50427,0.0000,1.0000
2019-12-20,97.8300,98.5500,97.0200,97.5000,97.5000,300965,0.0000,1.0000
2019-12-19,97.0700,97.2900,96.5700,96.7500,96.7500,48610,0.0000,1.0000
2019-12-18,95.8900,97.0900,95.0200,97.0600,97.0600,50343,0.0000,1.0000
2019-12-17,95.1100,96.0000,95.1000,95.7700,95.7700,53737,0.0000,1.0000
2019-12-16,93.9900,95.0400,93.7800,94.9000,94.9000,49799,0.0000,1.0000
2019-12-13,94.0900,94.2000,93.3700,94.0300,94.0300,26990,0.4050,1.0000
2019-12-12,95.7500,96.3400,94.1400,94.5400,94.1345,54411,0.0000,1.0000
2019-12-11,95.0400,96.2600,94.4250,95.6100,95.2000,67291,0.0000,1.0000
2019-12-10,92.6600,94.9100,92.6300,94.7200,94.3138,97845,0.0000,1.0000
2019-12-09,92.9700,92.9700,92.0200,92.4600,92.0635,75929,0.0000,1.0000
2019-12-06,92.5700,94.2000,92.5700,93.0500,92.6509,71287,0.0000,1.0000
2019-12-05,92.7300,93.0600,92.0600,93.0300,92.6310,45613,0.0000,1.0000
2019-12-04,91.5000,92.8050,91.5000,92.6000,92.2029,91058,0.0000,1.0000
2019-12-03,91.0200,91.6400,90.6900,91.4800,91.0877,61443,0.0000,1.0000
2019-12-02,90.8700,91.3000,90.2700,91.0600,90.6695,66534,0.0000,1.0000
2019-11-29,91.8700,92.1300,90.9900,91.1400,90.7491,19102,0.0000,1.0000
2019-11-27,90.8600,92.1700,90.8600,92.0200,91.6254,60801,0.0000,1.0000
2019-11-26,91.0900,91.8600,90.3400,90.9700,90.5799,77058,0.0000,1.0000
2019-11-25,90.6400,91.4200,90.4000,91.1400,90.7491,52532,0.0000,1.0000
2019-11-22,89.2500,90.7800,88.8400,90.4500,90.0621,54592,0.0000,1.0000
2019-11-21,89.9900,90.3300,89.0400,89.3500,88.9668,39382,0.0000,1.0000
2019-11-20,90.1900,90.9100,89.7800,89.9800,89.5941,80791,0.0000,1.0000
2019-11-19,89.5600,90.8900,89.4300,90.3600,89.9725,53725,0.0000,1.0000
2019-11-18,89.5000,90.5290,89.5000,89.6700,89.2854,37749,0.0000,1.0000
2019-11-15,89.7000,89.9400,89.1900,89.5300,89.1460,50624,0.0000,1.0000
