timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,159.5800,159.9700,157.6100,159.5100,159.5100,184712,0.0000,1.0000
2020-01-22,163.4900,163.7100,159.1500,159.7000,159.7000,351740,0.0000,1.0000
2020-01-21,163.1700,163.6800,162.2900,162.6100,162.6100,347722,0.0000,1.0000
2020-01-17,163.1500,164.8000,163.1500,163.9500,163.9500,263277,0.0000,1.0000
2020-01-16,161.1000,163.1400,160.5400,162.9400,162.9400,386489,0.0000,1.0000
2020-01-15,161.6400,163.4900,159.8000,160.4600,160.4600,367905,0.0000,1.0000
2020-01-14,161.6000,162.5600,159.8300,161.7700,161.7700,275682,0.0000,1.0000
2020-01-13,160.5000,161.0400,159.8000,160.7500,160.7500,212041,0.0000,1.0000
2020-01-10,160.9600,160.9700,159.6800,160.2900,160.2900,339025,0.0000,1.0000
2020-01-09,160.8800,162.7750,160.3600,160.6500,160.6500,343859,0.0000,1.0000
2020-01-08,158.6900,160.6200,158.5067,160.1300,160.1300,469909,0.0000,1.0000
2020-01-07,160.1300,161.4300,158.8200,159.0800,159.0800,367595,0.0000,1.0000
2020-01-06,160.3800,161.4300,159.8700,161.3300,161.3300,273626,0.0000,1.0000
2020-01-03,161.9800,162.4200,160.0300,161.2800,161.2800,309298,0.0000,1.0000
2020-01-02,163.0400,164.1800,161.7300,164.0600,164.0600,322074,0.0000,1.0000
2019-12-31,161.8800,162.7200,161.3500,161.8400,161.8400,216724,0.0000,1.0000
2019-12-30,162.8100,162.8100,161.8400,162.0400,162.0400,187455,0.0000,1.0000
2019-12-27,162.5900,163.2000,161.6500,163.0400,163.0400,159204,0.0000,1.0000
2019-12-26,162.2200,162.2200,161.0900,162.1500,162.1500,154171,0.0000,1.0000
2019-12-24,161.6200,162.4900,161.5750,161.9100,161.9100,68015,0.0000,1.0000
2019-12-23,163.2300,163.2300,161.5000,161.6400,161.6400,313942,0.0000,1.0000
2019-12-20,161.2600,163.3400,160.8500,163.0700,163.0700,857465,0.0000,1.0000
2019-12-19,159.6900,160.6100,159.0400,160.1200,160.1200,258290,0.0000,1.0000
2019-12-18,161.4800,161.4800,159.7900,159.9900,159.9900,583539,0.0000,1.0000
2019-12-17,160.0200,161.8100,160.0200,161.2200,161.2200,332025,0.0000,1.0000
2019-12-16,159.2700,160.6000,158.9500,159.9100,159.9100,446293,0.0000,1.0000
2019-12-13,158.4200,160.0000,157.6000,158.9600,158.9600,323603,0.0000,1.0000
2019-12-12,157.1300,158.8600,156.8050,158.5100,158.5100,320129,0.0000,1.0000
2019-12-11,156.3900,158.2500,155.8000,157.3700,157.3700,584309,0.0000,1.0000
2019-12-10,156.7600,158.1500,155.2500,155.7300,155.7300,426394,0.0000,1.0000
2019-12-09,158.1500,158.5000,157.2700,157.2700,157.2700,274686,0.0000,1.0000
2019-12-06,159.2500,160.5600,158.2500,158.7000,158.7000,423179,0.0000,1.0000
2019-12-05,156.0700,158.5450,155.8300,157.9100,157.9100,349514,0.0000,1.0000
2019-12-04,155.1200,157.2700,154.9800,155.6200,155.6200,465449,0.0000,1.0000
2019-12-03,152.6200,154.4600,151.6400,154.2700,154.2700,327530,0.0000,1.0000
2019-12-02,156.0800,156.7250,154.0700,154.1000,154.1000,344689,0.0000,1.0000
2019-11-29,157.4000,158.1670,155.8700,155.9800,155.9800,125654,0.0000,1.0000
2019-11-27,159.6600,159.6600,157.2600,158.1300,158.1300,149866,0.0000,1.0000
2019-11-26,158.6000,159.9900,157.5028,159.1600,159.1600,400900,0.0000,1.0000
