timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-22,50.0000,50.2500,49.5000,50.0000,50.0000,6386,0.0000,1.0000
2020-01-21,48.2500,51.0000,48.0000,50.0000,50.0000,55655,0.0000,1.0000
2020-01-17,47.5000,47.5000,47.5000,47.5000,47.5000,61,0.0000,1.0000
2020-01-16,48.0000,48.5000,47.2000,47.5000,47.5000,36947,0.0000,1.0000
2020-01-15,47.7000,48.5000,47.5101,48.5000,48.5000,2414,0.0000,1.0000
2020-01-14,48.0000,48.5000,47.2000,48.5000,48.5000,1328,0.0000,1.0000
2020-01-13,45.6600,50.0000,45.6600,48.3000,48.3000,20765,0.0000,1.0000
2020-01-10,45.0000,45.8500,45.0000,45.6500,45.6500,21737,0.0000,1.0000
2020-01-09,44.5000,45.4000,44.0500,45.4000,45.4000,38772,0.0000,1.0000
2020-01-08,44.0400,44.4725,44.0000,44.4000,44.4000,4247,0.0000,1.0000
2020-01-07,43.8500,44.2100,43.4000,44.0100,44.0100,5425,0.0000,1.0000
2020-01-06,44.1100,44.2300,43.8600,43.8600,43.8600,2695,0.0000,1.0000
2020-01-03,44.7200,44.9400,44.5500,44.6500,44.6500,2477,0.0000,1.0000
2020-01-02,44.8900,44.8900,44.1100,44.5000,44.5000,26024,0.0000,1.0000
2019-12-31,44.5500,44.5500,44.0500,44.5000,44.5000,3018,0.0000,1.0000
2019-12-30,44.3380,44.5500,44.3380,44.5500,44.5500,9117,0.0000,1.0000
2019-12-27,44.5000,44.5000,44.5000,44.5000,44.5000,118,0.0000,1.0000
2019-12-26,44.8900,44.8900,44.5000,44.5000,44.5000,5786,0.0000,1.0000
2019-12-24,44.8500,44.8900,44.5000,44.8900,44.8900,1013,0.0000,1.0000
2019-12-23,44.0000,44.9100,43.0600,44.0000,44.0000,8737,0.0000,1.0000
2019-12-20,44.9500,44.9500,44.5000,44.5000,44.5000,1454,0.0000,1.0000
2019-12-19,43.4950,44.9500,43.4950,44.9500,44.9500,8436,0.0000,1.0000
2019-12-18,42.8200,43.7200,42.8200,43.6500,43.6500,3305,0.0000,1.0000
2019-12-17,42.5700,43.4900,42.5700,42.9000,42.9000,3035,0.0000,1.0000
2019-12-16,42.5100,43.5000,42.5100,43.5000,43.5000,85890,0.0000,1.0000
2019-12-13,42.6200,43.5000,42.6200,43.2500,43.2500,57105,0.0000,1.0000
2019-12-12,43.7500,43.7500,43.0300,43.0300,43.0300,50674,0.0000,1.0000
2019-12-11,44.2400,45.0000,43.3500,43.3500,43.3500,7224,0.0000,1.0000
2019-12-10,43.2500,44.8800,43.2500,44.2000,44.2000,4768,0.0000,1.0000
2019-12-09,43.0500,43.7500,42.5500,43.7500,43.7500,7998,0.0000,1.0000
2019-12-06,42.5000,43.0000,42.5000,43.0000,43.0000,11208,0.0000,1.0000
2019-12-05,42.7500,43.2500,42.7500,42.7500,42.7500,2989,0.0000,1.0000
2019-12-04,42.5000,43.0500,42.5000,42.7500,42.7500,2481,0.0000,1.0000
2019-12-03,42.1200,43.0000,42.1200,43.0000,43.0000,1438,0.0000,1.0000
2019-12-02,43.3000,43.3000,42.0400,42.0400,42.0400,737,0.0000,1.0000
2019-11-29,42.9000,42.9000,42.9000,42.9000,42.9000,151,0.2100,1.0000
