timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,282.2900,286.1700,281.2000,286.0500,286.0500,227568,0.0000,1.0000
2020-01-22,283.5400,284.5000,282.1700,282.5300,282.5300,325059,0.0000,1.0000
2020-01-21,284.1800,285.2200,281.7700,282.0400,282.0400,464631,0.0000,1.0000
2020-01-17,287.6900,287.7408,282.4400,284.2300,284.2300,488824,0.0000,1.0000
2020-01-16,284.5700,287.4500,284.3800,286.5100,286.5100,354137,0.0000,1.0000
2020-01-15,281.9600,285.8700,281.9600,284.6400,284.6400,425508,0.0000,1.0000
2020-01-14,282.0200,283.8800,281.2000,281.5200,281.5200,447225,0.0000,1.0000
2020-01-13,279.8500,283.3000,279.4800,282.8500,282.8500,408418,0.0000,1.0000
2020-01-10,280.1100,281.1200,277.5000,278.8400,278.8400,320202,0.0000,1.0000
2020-01-09,273.0600,282.8900,273.0600,279.3500,279.3500,810809,0.0000,1.0000
2020-01-08,270.7700,275.8200,268.9050,275.2800,275.2800,702061,0.0000,1.0000
2020-01-07,268.1200,271.2466,267.3400,270.0700,270.0700,388388,0.0000,1.0000
2020-01-06,268.1300,270.3500,266.7800,270.2700,270.2700,409372,0.0000,1.0000
2020-01-03,268.0700,271.9800,267.0650,269.5700,269.5700,493104,0.0000,1.0000
2020-01-02,269.8600,270.8300,266.5850,270.7900,270.7900,506791,0.0000,1.0000
2019-12-31,268.3100,269.5900,266.7500,269.0800,269.0800,369630,0.0000,1.0000
2019-12-30,269.0500,269.3750,266.2450,268.3600,268.3600,302333,0.0000,1.0000
2019-12-27,268.5300,269.6000,267.4400,269.0100,269.0100,289151,0.0000,1.0000
2019-12-26,269.0900,269.8060,266.4200,268.1300,268.1300,269837,0.0000,1.0000
2019-12-24,271.1800,271.7000,267.3200,268.8100,268.8100,141739,0.0000,1.0000
2019-12-23,270.7600,272.1000,270.1300,270.8600,270.8600,624611,0.0000,1.0000
2019-12-20,268.9900,271.6800,267.3900,271.5000,271.5000,1305802,0.0000,1.0000
2019-12-19,265.2400,269.0300,264.9500,268.0100,268.0100,699431,0.0000,1.0000
2019-12-18,263.1600,274.7500,263.0100,265.8800,265.8800,1557516,0.0000,1.0000
2019-12-17,261.8000,262.4300,259.1900,260.7600,260.7600,900195,0.0000,1.0000
2019-12-16,266.1000,266.9800,258.1200,260.7300,260.7300,729297,0.0000,1.0000
2019-12-13,259.2700,262.5800,258.4800,261.8100,261.8100,716438,0.0000,1.0000
2019-12-12,257.8000,260.1000,256.6400,259.2500,259.2500,432897,0.0000,1.0000
2019-12-11,256.5500,258.2600,254.2650,258.0500,258.0500,437560,0.0000,1.0000
2019-12-10,254.2500,256.7300,253.9700,255.9000,255.9000,430224,0.0000,1.0000
2019-12-09,256.4200,256.4200,253.6500,253.8100,253.8100,440206,0.0000,1.0000
2019-12-06,257.5900,259.7500,255.8900,256.2200,256.2200,434480,0.0000,1.0000
2019-12-05,255.1400,255.7500,253.5800,254.7000,254.7000,407047,0.0000,1.0000
2019-12-04,256.5300,258.8100,254.7300,254.9500,254.9500,402490,0.0000,1.0000
2019-12-03,253.9900,256.4400,253.4500,255.3800,255.3800,572712,0.0000,1.0000
2019-12-02,256.3400,258.0000,254.3800,255.8900,255.8900,613955,0.0000,1.0000
2019-11-29,259.0500,259.4100,255.8800,257.0600,257.0600,290111,0.0000,1.0000
2019-11-27,255.7800,260.5700,254.2100,260.3200,260.3200,857152,0.0000,1.0000
2019-11-26,251.6700,256.4300,251.0000,256.0500,256.0500,1063086,0.0000,1.0000
2019-11-25,253.6500,254.9400,250.1900,250.8700,250.8700,657262,0.0000,1.0000
2019-11-22,256.3700,257.4400,252.8300,254.0900,254.0900,494511,0.0000,1.0000
2019-11-21,259.3400,259.9000,253.3700,253.6300,253.6300,505842,0.0000,1.0000
2019-11-20,256.8000,261.2900,256.6600,259.4600,259.4600,633358,0.0000,1.0000
2019-11-19,256.8800,259.4100,255.2200,257.9000,257.9000,492697,0.0000,1.0000
2019-11-18,255.2500,258.1700,254.1100,256.1400,256.1400,600042,0.0000,1.0000
2019-11-15,258.4500,260.0250,255.5350,256.1200,256.1200,659585,0.0000,1.0000
2019-11-14,253.9300,259.5500,252.1470,259.3600,259.3600,610157,0.0000,1.0000
2019-11-13,252.3600,255.6500,247.6700,255.2400,255.2400,1693754,0.0000,1.0000
2019-11-12,260.3200,262.2500,258.2550,258.8500,258.8500,1193439,0.0000,1.0000
2019-11-11,259.9500,261.8799,259.7000,260.6100,260.6100,435618,0.0000,1.0000
2019-11-08,261.8800,263.9750,260.1300,260.8800,260.8800,630030,0.0000,1.0000
2019-11-07,264.2900,264.7300,261.7400,262.0000,262.0000,572357,2.5500,1.0000
2019-11-06,267.6800,267.6850,263.3822,264.9500,262.3961,573579,0.0000,1.0000
2019-11-05,271.0200,271.0200,265.4460,266.9900,264.4165,447736,0.0000,1.0000
2019-11-04,269.8000,271.9799,267.2600,269.7200,267.1202,424461,0.0000,1.0000
2019-11-01,270.9000,271.5800,267.0300,268.8900,266.2982,628081,0.0000,1.0000
2019-10-31,276.4900,277.8500,268.4600,268.6700,266.0803,669219,0.0000,1.0000
2019-10-30,275.1000,276.4900,273.3200,276.2600,273.5971,354305,0.0000,1.0000
2019-10-29,270.5800,276.2800,270.4700,274.5200,271.8739,453514,0.0000,1.0000
2019-10-28,271.4900,272.5600,270.5700,271.7900,269.1702,338588,0.0000,1.0000
2019-10-25,272.3100,272.6300,269.8500,270.3400,267.7342,274529,0.0000,1.0000
2019-10-24,268.6400,272.6350,267.9400,272.3400,269.7149,403934,0.0000,1.0000
2019-10-23,265.8800,268.1700,264.6900,268.1300,265.5455,292262,0.0000,1.0000
2019-10-22,270.3200,270.6400,265.9052,266.1300,263.5648,269565,0.0000,1.0000
2019-10-21,270.0400,271.9593,268.4400,269.9900,267.3876,300510,0.0000,1.0000
2019-10-18,268.5800,270.0000,266.7900,269.3100,266.7141,451862,0.0000,1.0000
2019-10-17,268.7600,269.6500,266.1600,268.3300,265.7436,377394,0.0000,1.0000
2019-10-16,269.1800,269.1800,265.7750,266.9700,264.3967,421051,0.0000,1.0000
2019-10-15,266.6200,269.5000,266.0000,269.4500,266.8528,473237,0.0000,1.0000
