timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-09,69.9800,70.0000,69.9800,69.9800,69.9800,318960,0.0000,1.0000
2019-10-08,69.9900,70.0000,69.9800,69.9900,69.9900,44039,0.0000,1.0000
2019-10-07,69.9900,70.0300,69.9500,69.9800,69.9800,23489,0.0000,1.0000
2019-10-04,70.0000,70.0500,69.9500,70.0100,70.0100,39849,0.0000,1.0000
2019-10-03,69.9800,70.0700,69.8800,69.9500,69.9500,27521,0.0000,1.0000
2019-10-02,70.0300,70.0600,69.9300,70.0000,70.0000,38486,0.0000,1.0000
2019-10-01,69.9100,70.0600,69.8631,69.9600,69.9600,25601,0.0000,1.0000
2019-09-30,70.1100,70.1800,69.9500,70.0600,70.0600,20433,0.0000,1.0000
2019-09-27,70.2000,70.2000,70.0000,70.1100,70.1100,14926,0.0000,1.0000
2019-09-26,70.0900,70.1900,70.0100,70.0900,70.0900,16331,0.0000,1.0000
2019-09-25,69.7600,70.2300,69.7600,70.1600,70.1600,37646,0.0000,1.0000
2019-09-24,70.1300,70.3655,69.8100,69.8800,69.8800,43296,0.0000,1.0000
2019-09-23,70.2000,70.3900,70.0800,70.3000,70.3000,47894,0.0000,1.0000
2019-09-20,69.8100,70.1000,69.8100,70.0400,70.0400,59594,0.0000,1.0000
2019-09-19,70.2100,70.2100,70.0000,70.0200,70.0200,30777,0.0000,1.0000
2019-09-18,70.1200,70.2400,69.9500,70.0000,70.0000,25858,0.0000,1.0000
2019-09-17,70.3500,70.3500,69.9600,70.0300,70.0300,37208,0.0000,1.0000
2019-09-16,69.9800,70.4900,69.9800,70.0400,70.0400,33353,0.0000,1.0000
2019-09-13,69.9000,70.1500,69.9000,70.0500,70.0500,59393,0.0000,1.0000
2019-09-12,70.1000,70.4900,70.0100,70.3000,70.3000,52459,0.0000,1.0000
2019-09-11,70.0100,70.1400,69.8600,70.0700,70.0700,42124,0.0000,1.0000
2019-09-10,70.0800,70.1800,69.9561,70.0100,70.0100,40378,0.0000,1.0000
2019-09-09,69.8500,70.1000,69.8100,70.0400,70.0400,23318,0.0000,1.0000
2019-09-06,70.0700,70.0700,69.8600,69.8600,69.8600,38626,0.0000,1.0000
2019-09-05,70.0100,70.2500,69.9600,70.0300,70.0300,39572,0.0000,1.0000
2019-09-04,70.2000,70.2050,69.9100,69.9400,69.9400,24911,0.0000,1.0000
2019-09-03,70.0700,70.2000,69.8400,70.1400,70.1400,22734,0.0000,1.0000
2019-08-30,70.1400,70.3324,69.9601,70.1400,70.1400,25904,0.3275,1.0000
2019-08-29,70.4500,70.4500,70.2800,70.3200,69.9932,16583,0.0000,1.0000
2019-08-28,70.2500,70.4600,70.2100,70.3400,70.0131,34146,0.0000,1.0000
2019-08-27,70.1800,70.2900,70.1200,70.2700,69.9434,24982,0.0000,1.0000
2019-08-26,69.7800,70.2000,68.5000,70.2000,69.8737,24786,0.0000,1.0000
2019-08-23,69.4400,69.9950,69.4400,69.6700,69.3462,35910,0.0000,1.0000
2019-08-22,69.9900,70.0200,69.6000,69.7200,69.3960,22847,0.0000,1.0000
2019-08-21,69.9400,70.0200,69.8438,69.9000,69.5751,22290,0.0000,1.0000
2019-08-20,69.9900,70.0300,69.8401,69.8600,69.5353,15037,0.0000,1.0000
2019-08-19,70.0000,70.2000,69.8700,70.0200,69.6946,23244,0.0000,1.0000
2019-08-16,70.0000,70.1000,69.8400,70.0300,69.7045,40102,0.0000,1.0000
2019-08-15,69.8200,70.0200,69.8200,69.9800,69.6548,26939,0.0000,1.0000
2019-08-14,69.8000,70.0100,69.7200,69.8000,69.4756,21328,0.0000,1.0000
2019-08-13,69.9100,70.0500,69.8100,69.9900,69.6647,14955,0.0000,1.0000
2019-08-12,69.9200,70.0200,69.6900,70.0000,69.6747,42360,0.0000,1.0000
2019-08-09,69.9100,70.0250,69.5000,69.8000,69.4756,28299,0.0000,1.0000
2019-08-08,69.7600,70.0650,69.6650,70.0100,69.6846,33820,0.0000,1.0000
2019-08-07,69.7600,70.0350,69.5600,69.7300,69.4059,24380,0.0000,1.0000
2019-08-06,69.6300,69.9700,69.5000,69.8900,69.5652,25003,0.0000,1.0000
2019-08-05,69.8500,70.2296,69.5300,69.5900,69.2666,26983,0.0000,1.0000
2019-08-02,69.7200,70.0800,69.7200,69.8700,69.5453,21619,0.0000,1.0000
2019-08-01,69.8600,70.2600,69.7500,69.7500,69.4258,25574,0.0000,1.0000
2019-07-31,70.4200,70.5000,69.9000,69.9000,69.5751,32215,0.0000,1.0000
2019-07-30,69.9500,70.5000,69.8100,70.4100,70.0828,60478,0.0000,1.0000
2019-07-29,70.2000,70.2000,69.8500,69.9900,69.6647,21918,0.0000,1.0000
2019-07-26,69.8200,70.3500,69.8100,69.9300,69.6050,39313,0.0000,1.0000
2019-07-25,69.6200,69.8600,69.6200,69.7500,69.4258,14350,0.0000,1.0000
2019-07-24,69.6000,69.9400,69.5100,69.5700,69.2467,26525,0.0000,1.0000
2019-07-23,69.4400,69.8700,69.2660,69.6100,69.2865,14126,0.0000,1.0000
2019-07-22,69.2900,69.9800,69.2500,69.5000,69.1770,18863,0.0000,1.0000
2019-07-19,69.6800,70.0500,69.5000,69.5700,69.2467,17718,0.0000,1.0000
2019-07-18,69.9700,70.2300,69.8600,70.0000,69.6747,27871,0.0000,1.0000
2019-07-17,69.9700,70.1200,69.7646,70.0000,69.6747,38250,0.0000,1.0000
2019-07-16,69.6900,70.0700,69.6900,70.0300,69.7045,11334,0.0000,1.0000
2019-07-15,69.7000,69.8800,69.4329,69.7800,69.4557,14269,0.0000,1.0000
2019-07-12,69.7600,70.0900,69.6000,69.9000,69.5751,25148,0.0000,1.0000
2019-07-11,69.8300,70.0500,69.5500,70.0300,69.7045,39760,0.0000,1.0000
2019-07-10,69.7100,70.1100,69.7000,69.8800,69.5552,15644,0.0000,1.0000
2019-07-09,69.7600,70.0250,69.4900,69.7100,69.3860,14405,0.0000,1.0000
2019-07-08,69.7800,70.1400,69.3900,69.9300,69.6050,22012,0.0000,1.0000
2019-07-05,69.6800,69.8900,69.4060,69.8800,69.5552,13479,0.0000,1.0000
2019-07-03,69.3200,69.7400,69.3200,69.7400,69.4159,19678,0.0000,1.0000
2019-07-02,69.0400,69.7100,69.0400,69.3600,69.0376,15933,0.0000,1.0000
2019-07-01,69.6900,69.6900,68.7600,69.1300,68.8087,26046,0.0000,1.0000
2019-06-28,69.0100,69.9300,68.8790,69.7200,69.3960,435667,0.0000,1.0000
2019-06-27,68.6800,69.0600,68.5500,68.8600,68.5400,24046,0.0000,1.0000
2019-06-26,69.7900,69.8195,68.6031,68.7900,68.4703,45158,0.0000,1.0000
2019-06-25,69.7800,69.9700,69.1452,69.6700,69.3462,29352,0.0000,1.0000
2019-06-24,69.7500,70.1900,69.1157,69.8600,69.5353,45699,0.0000,1.0000
2019-06-21,68.4700,69.5350,68.3450,69.2600,68.9381,38406,0.0000,1.0000
2019-06-20,69.1000,69.3100,68.7700,69.1600,68.8386,15419,0.0000,1.0000
2019-06-19,68.4900,69.6050,68.1632,69.2800,68.9580,43591,0.0000,1.0000
2019-06-18,68.1200,68.5800,67.8078,68.5800,68.2613,41396,0.0000,1.0000
2019-06-17,68.7800,68.8500,67.7500,68.0300,67.7138,31038,0.0000,1.0000
2019-06-14,68.5400,68.9600,68.5400,68.6300,68.3110,21911,0.0000,1.0000
2019-06-13,69.4900,69.4900,68.3000,68.6200,68.3011,37775,0.0000,1.0000
2019-06-12,68.1100,69.4900,68.1100,69.3900,69.0675,44327,0.0000,1.0000
2019-06-11,68.3400,68.6900,67.8150,68.0800,67.7636,67424,0.0000,1.0000
2019-06-10,68.0500,68.8700,66.6850,68.5500,68.2314,15576,0.0000,1.0000
2019-06-07,68.9100,69.2900,68.1100,68.1100,67.7935,23333,0.0000,1.0000
2019-06-06,68.8100,69.0600,68.4900,68.8500,68.5300,18751,0.0000,1.0000
2019-06-05,69.2300,69.4600,68.6100,68.8700,68.5499,47825,0.0000,1.0000
2019-06-04,69.5700,69.5700,68.8800,69.2400,68.9182,27994,0.0000,1.0000
2019-06-03,69.9000,69.9000,69.0500,69.4900,69.1670,24004,0.0000,1.0000
2019-05-31,69.8300,69.9600,69.3500,69.8400,69.5154,14969,0.3275,1.0000
2019-05-30,70.0100,70.2300,69.4800,69.9300,69.2801,18582,0.0000,1.0000
2019-05-29,70.1200,70.3300,69.8110,70.0000,69.3495,30560,0.0000,1.0000
2019-05-28,70.0700,70.3800,69.8200,70.1400,69.4882,64675,0.0000,1.0000
2019-05-24,69.6400,69.9200,69.4578,69.8200,69.1711,12852,0.0000,1.0000
2019-05-23,69.8200,70.1000,69.2800,69.4800,68.8343,21899,0.0000,1.0000
2019-05-22,70.0700,70.1000,69.8108,70.0000,69.3495,25602,0.0000,1.0000
2019-05-21,70.0600,70.0600,69.6600,70.0000,69.3495,34721,0.0000,1.0000
2019-05-20,70.0000,70.3100,69.7743,69.9400,69.2900,19137,0.0000,1.0000
2019-05-17,69.7400,70.2230,69.5800,70.0100,69.3594,47451,0.0000,1.0000
2019-05-16,69.4600,70.0000,69.4000,69.8500,69.2009,19736,0.0000,1.0000
2019-05-15,69.2800,70.0000,69.2800,69.5900,68.9433,14182,0.0000,1.0000
2019-05-14,69.5700,69.9700,69.4327,69.5400,68.8937,17814,0.0000,1.0000
2019-05-13,69.2400,69.9400,69.2400,69.6200,68.9730,22252,0.0000,1.0000
2019-05-10,69.4900,69.8000,69.0774,69.6700,69.0225,66803,0.0000,1.0000
2019-05-09,69.2800,69.7500,69.2371,69.6000,68.9532,16928,0.0000,1.0000
2019-05-08,69.4700,69.7400,69.0273,69.3800,68.7352,25932,0.0000,1.0000
2019-05-07,69.5000,69.7400,69.1400,69.4800,68.8343,70284,0.0000,1.0000
2019-05-06,68.5800,69.5900,68.4237,69.4900,68.8442,35442,0.0000,1.0000
2019-05-03,69.0900,69.4800,68.8800,69.1300,68.4876,27167,0.0000,1.0000
2019-05-02,68.7243,69.1100,68.4044,69.0200,68.3786,19473,0.0000,1.0000
2019-05-01,68.7000,69.1449,67.8177,68.8700,68.2300,44523,0.0000,1.0000
2019-04-30,68.4000,68.7700,68.4000,68.5700,67.9328,22799,0.0000,1.0000
2019-04-29,68.1495,68.4800,68.1495,68.4600,67.8238,11182,0.0000,1.0000
2019-04-26,68.2000,68.5799,67.6905,68.4750,67.8386,10230,0.0000,1.0000
2019-04-25,68.0000,68.4900,67.3200,68.1500,67.5167,26837,0.0000,1.0000
2019-04-24,67.3000,68.4699,67.3000,68.0100,67.3780,14255,0.0000,1.0000
2019-04-23,67.7200,68.2700,67.3300,67.3300,66.7043,59862,0.0000,1.0000
2019-04-22,68.3500,68.4864,67.5700,67.7600,67.1303,14320,0.0000,1.0000
2019-04-18,68.3000,69.1600,68.3000,68.4300,67.7941,23978,0.0000,1.0000
2019-04-17,68.3000,68.8750,68.2300,68.3000,67.6653,25772,0.0000,1.0000
2019-04-16,69.0100,69.3700,68.1300,68.1300,67.4969,41324,0.0000,1.0000
2019-04-15,69.5200,69.8600,69.2400,69.4200,68.7749,14233,0.0000,1.0000
2019-04-12,69.6300,69.6300,69.1700,69.5800,68.9334,33996,0.0000,1.0000
2019-04-11,69.6400,69.7300,69.3200,69.5800,68.9334,20852,0.0000,1.0000
2019-04-10,69.2800,69.7300,69.2800,69.6600,69.0126,39403,0.0000,1.0000
2019-04-09,70.0200,70.0600,69.2000,69.2300,68.5866,36791,0.0000,1.0000
2019-04-08,68.8100,70.4400,68.3500,70.2300,69.5773,143925,0.0000,1.0000
2019-04-05,68.8700,69.1500,68.3100,68.9400,68.2993,80337,0.0000,1.0000
2019-04-04,68.5500,69.1100,68.0600,68.9200,68.2795,52541,0.0000,1.0000
