timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,126.1200,127.5200,126.0500,127.1100,127.1100,1240557,0.0000,1.0000
2020-01-22,126.1000,127.1700,125.8100,126.2800,126.2800,1647962,0.0000,1.0000
2020-01-21,124.4300,125.8100,123.8000,125.7300,125.7300,1286419,0.0000,1.0000
2020-01-17,123.8200,124.7761,123.1500,124.4400,124.4400,1354987,0.0000,1.0000
2020-01-16,122.8500,123.9900,122.1000,123.6700,123.6700,2232101,0.0000,1.0000
2020-01-15,120.9600,121.9200,120.6200,120.9900,120.9900,1443667,0.0000,1.0000
2020-01-14,121.9700,122.7000,119.9800,120.7500,120.7500,2408226,0.0000,1.0000
2020-01-13,120.6100,122.2000,119.7600,121.9700,121.9700,2072057,0.0000,1.0000
2020-01-10,119.0600,120.6700,118.4500,120.3700,120.3700,2048756,0.0000,1.0000
2020-01-09,118.3000,119.6700,118.0700,118.7200,118.7200,980002,0.0000,1.0000
2020-01-08,117.8400,118.9500,117.2400,118.7100,118.7100,2553853,0.0000,1.0000
2020-01-07,118.3800,118.5300,116.7600,117.6900,117.6900,1006351,0.0000,1.0000
2020-01-06,119.4700,119.6500,118.0500,118.8600,118.8600,1150660,0.0000,1.0000
2020-01-03,117.2300,120.1800,117.0800,119.9400,119.9400,869372,0.0000,1.0000
2020-01-02,120.0100,120.3600,117.4600,118.0000,118.0000,1071910,0.0000,1.0000
2019-12-31,118.4100,119.7800,118.0500,119.7400,119.7400,1129560,0.0000,1.0000
2019-12-30,117.9300,118.3500,117.1350,118.3100,118.3100,694360,0.0000,1.0000
2019-12-27,118.5000,118.8000,117.3100,118.1800,118.1800,580289,0.0000,1.0000
2019-12-26,116.9600,118.1100,116.9600,118.1100,118.1100,745102,0.0000,1.0000
2019-12-24,116.9700,117.4600,116.2600,116.7400,116.7400,486744,0.0000,1.0000
2019-12-23,118.2800,118.7700,116.3300,116.6200,116.6200,1099466,0.0000,1.0000
2019-12-20,120.6500,120.9200,117.5300,118.0200,118.0200,2730563,0.0000,1.0000
2019-12-19,116.1000,119.0900,115.7400,119.0000,119.0000,2011157,0.0000,1.0000
2019-12-18,113.8100,116.6400,113.7700,116.4200,116.4200,1654972,0.0000,1.0000
2019-12-17,115.6900,116.0500,113.5800,113.8100,113.8100,1300491,0.0000,1.0000
2019-12-16,114.0000,115.8600,113.2500,115.4900,115.4900,1587088,0.0000,1.0000
2019-12-13,114.4500,115.1800,112.3200,113.7100,113.7100,2847181,0.0000,1.0000
2019-12-12,116.2100,117.0000,114.5500,114.6700,114.6700,2054753,1.0800,1.0000
2019-12-11,117.9400,118.0500,115.6200,117.0200,115.9282,1748601,0.0000,1.0000
2019-12-10,118.7400,118.9200,117.4600,117.5900,116.4928,1576789,0.0000,1.0000
2019-12-09,118.3700,119.2700,118.0500,118.7200,117.6123,1228573,0.0000,1.0000
2019-12-06,118.1500,119.3800,117.9200,118.3700,117.2656,1411283,0.0000,1.0000
2019-12-05,119.2000,119.6100,116.7300,117.5200,116.4235,2132412,0.0000,1.0000
2019-12-04,117.6000,119.3800,117.5500,119.1000,117.9887,1129680,0.0000,1.0000
2019-12-03,119.3200,119.7200,117.7100,118.1000,116.9981,1622280,0.0000,1.0000
2019-12-02,120.9200,120.9850,118.9100,119.2600,118.1473,1774360,0.0000,1.0000
2019-11-29,121.0000,121.5550,120.6500,120.9500,119.8215,497728,0.0000,1.0000
2019-11-27,120.6700,121.3700,120.3900,121.2000,120.0691,1320792,0.0000,1.0000
2019-11-26,118.1100,120.8200,117.8800,120.6200,119.4946,2669554,0.0000,1.0000
2019-11-25,120.3300,121.1100,117.8100,118.3000,117.1962,1759706,0.0000,1.0000
2019-11-22,120.0700,120.3400,119.0400,119.6000,118.4841,1885375,0.0000,1.0000
2019-11-21,120.8000,121.0500,118.8700,119.8400,118.7218,1511655,0.0000,1.0000
2019-11-20,121.9500,122.2000,120.2900,121.3400,120.2078,1932208,0.0000,1.0000
2019-11-19,121.0900,122.1000,120.2000,121.9900,120.8518,1582082,0.0000,1.0000
2019-11-18,118.9800,120.6700,118.9800,120.4700,119.3460,1620995,0.0000,1.0000
2019-11-15,117.6100,118.9200,117.0300,118.8700,117.7609,1674178,0.0000,1.0000
2019-11-14,116.2900,117.2200,115.9500,117.1200,116.0272,1741702,0.0000,1.0000
2019-11-13,116.5200,116.8200,115.7500,116.1300,115.0465,1972453,0.0000,1.0000
2019-11-12,116.8100,118.4200,116.0100,116.1000,115.0167,3393615,0.0000,1.0000
2019-11-11,116.5600,117.5200,116.2400,116.6600,115.5715,2027562,0.0000,1.0000
2019-11-08,117.0500,118.4300,116.1800,116.5700,115.4823,2595746,0.0000,1.0000
2019-11-07,122.3400,122.6900,118.0200,118.6800,117.5727,2692520,0.0000,1.0000
2019-11-06,123.7200,124.3300,122.2500,122.7000,121.5552,1541173,0.0000,1.0000
2019-11-05,123.7200,123.9973,122.2000,123.3300,122.1793,1624393,0.0000,1.0000
