timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,167.7200,167.7200,164.2200,166.9300,166.9300,56744,0.0000,1.0000
2020-01-22,171.1000,172.1400,167.3800,167.5700,167.5700,122621,0.0000,1.0000
2020-01-21,169.4900,171.3600,169.4900,170.2500,170.2500,103265,0.0000,1.0000
2020-01-17,168.9800,169.9400,167.1750,169.4900,169.4900,92891,0.0000,1.0000
2020-01-16,167.1400,169.0500,166.6300,168.3300,168.3300,121841,0.0000,1.0000
2020-01-15,165.7100,167.7400,165.7100,166.3000,166.3000,109814,0.0000,1.0000
2020-01-14,165.2500,166.5900,165.0350,165.6000,165.6000,108060,0.0000,1.0000
2020-01-13,165.0000,166.4500,164.6900,165.5800,165.5800,87293,0.0000,1.0000
2020-01-10,167.1700,167.5355,164.1500,164.5800,164.5800,65036,0.0000,1.0000
2020-01-09,165.8900,167.8000,165.8350,166.4200,166.4200,74199,0.0000,1.0000
2020-01-08,165.8100,167.2700,164.5000,165.0600,165.0600,146416,0.0000,1.0000
2020-01-07,167.5500,167.6850,164.8700,166.2500,166.2500,85570,0.0000,1.0000
2020-01-06,164.5400,168.0200,163.7612,167.5600,167.5600,132813,0.9650,1.0000
2020-01-03,163.1700,167.6300,163.1700,166.9500,165.9940,54954,0.0000,1.0000
2020-01-02,166.2500,166.5900,163.8000,165.1400,164.1944,72477,0.0000,1.0000
2019-12-31,165.9200,167.0700,165.7000,166.0000,165.0495,53050,0.0000,1.0000
2019-12-30,166.6300,166.6300,164.8700,166.0300,165.0793,58030,0.0000,1.0000
2019-12-27,167.3200,167.3200,165.6100,166.4400,165.4869,65794,0.0000,1.0000
2019-12-26,167.2800,168.6950,166.4200,167.1900,166.2326,47135,0.0000,1.0000
2019-12-24,166.0600,168.0400,166.0600,167.6100,166.6502,27209,0.0000,1.0000
2019-12-23,170.2500,170.2500,165.7500,165.8100,164.8605,67112,0.0000,1.0000
2019-12-20,169.3900,171.3300,167.5800,169.6800,168.7084,191447,0.0000,1.0000
2019-12-19,169.2200,171.0300,168.0400,168.7900,167.8235,93982,0.0000,1.0000
2019-12-18,172.1100,172.1100,168.9300,168.9600,167.9925,128616,0.0000,1.0000
2019-12-17,171.7500,172.7600,170.8000,172.0800,171.0946,62724,0.0000,1.0000
2019-12-16,170.4200,173.7100,165.9000,172.1500,171.1642,100625,0.0000,1.0000
2019-12-13,168.6900,169.9700,168.4100,168.8000,167.8334,71738,0.0000,1.0000
2019-12-12,172.1700,172.1700,168.1200,168.7300,167.7638,84889,0.0000,1.0000
2019-12-11,167.2600,173.0400,166.9250,172.3500,171.3631,185097,0.0000,1.0000
2019-12-10,168.5500,170.1150,166.9700,167.2600,166.3022,58953,0.0000,1.0000
2019-12-09,168.6900,169.7700,167.5250,168.6300,167.6644,78770,0.0000,1.0000
2019-12-06,168.3600,170.2000,168.3600,169.0700,168.1019,79997,0.0000,1.0000
2019-12-05,168.5400,169.9300,167.4050,167.5900,166.6304,117568,0.0000,1.0000
2019-12-04,166.7200,170.7900,166.4700,168.1900,167.2269,103012,0.0000,1.0000
2019-12-03,162.7800,168.2000,162.7800,167.5500,166.5906,109963,0.0000,1.0000
2019-12-02,169.2000,170.1700,166.8000,166.9800,166.0238,127617,0.0000,1.0000
2019-11-29,171.8600,172.0300,168.7900,169.3000,168.3306,74183,0.0000,1.0000
2019-11-27,173.8600,174.3500,171.2800,171.6300,170.6472,154483,0.0000,1.0000
2019-11-26,171.3400,175.5100,171.3400,173.0600,172.0690,481253,0.0000,1.0000
2019-11-25,173.5400,175.0200,171.9456,171.9800,170.9952,97211,0.0000,1.0000
2019-11-22,171.3800,174.0250,170.3516,173.2100,172.2182,105187,0.0000,1.0000
2019-11-21,176.1400,176.3500,170.0900,171.0200,170.0407,132464,0.0000,1.0000
2019-11-20,177.0500,180.4000,175.1500,176.3100,175.3004,120150,0.0000,1.0000
2019-11-19,178.3600,179.7550,176.4850,177.2900,176.2748,76061,0.0000,1.0000
2019-11-18,176.9500,178.7450,176.1750,178.6100,177.5873,63694,0.0000,1.0000
2019-11-15,185.1200,186.2133,176.2200,177.0400,176.0262,101394,0.0000,1.0000
2019-11-14,182.5700,187.5000,182.4000,184.8500,183.7915,125446,0.0000,1.0000
2019-11-13,181.7100,183.7450,179.5100,182.3500,181.3058,102504,0.0000,1.0000
2019-11-12,181.1100,183.2800,178.8100,182.2300,181.1865,104960,0.0000,1.0000
2019-11-11,179.6600,182.1500,178.5100,180.7800,179.7448,55904,0.0000,1.0000
2019-11-08,176.9500,181.7600,176.9400,180.1000,179.0687,88094,0.0000,1.0000
2019-11-07,177.4600,179.0600,175.7700,176.2300,175.2209,141053,0.0000,1.0000
2019-11-06,181.9500,184.4720,175.6550,176.8300,175.8174,124808,0.0000,1.0000
2019-11-05,180.8900,183.6200,179.0000,181.8700,180.8286,99452,0.0000,1.0000
2019-11-04,183.9800,184.2850,179.5000,180.6900,179.6553,112096,0.0000,1.0000
2019-11-01,185.0000,186.7500,182.3500,183.1100,182.0615,83573,0.0000,1.0000
2019-10-31,189.3800,189.5000,183.5900,184.2700,183.2148,105673,0.0000,1.0000
2019-10-30,187.4100,190.0000,184.8200,189.3800,188.2956,91101,0.0000,1.0000
2019-10-29,184.3200,189.1000,184.3200,186.9100,185.8397,90060,0.0000,1.0000
2019-10-28,187.0200,189.8200,183.4900,184.2600,183.2049,104699,0.0000,1.0000
2019-10-25,182.4600,188.4400,181.5000,185.6600,184.5969,167985,0.0000,1.0000
2019-10-24,184.2300,186.5250,179.0700,182.4300,181.3854,147570,0.0000,1.0000
2019-10-23,186.0000,186.4650,182.2900,183.6000,182.5487,157254,0.0000,1.0000
2019-10-22,190.0000,190.3950,184.8300,186.3800,185.3128,118912,0.0000,1.0000
2019-10-21,188.8200,191.0230,188.0050,189.4700,188.3851,124159,0.0000,1.0000
2019-10-18,185.9700,188.4500,184.0900,187.2600,186.1877,153965,0.0000,1.0000
2019-10-17,184.0700,188.9700,183.1400,186.4200,185.3525,180322,0.0000,1.0000
2019-10-16,179.1500,182.4000,177.1200,181.5700,180.5303,128088,0.0000,1.0000
2019-10-15,183.3200,183.5900,179.0600,179.3200,178.2932,130902,0.0000,1.0000
2019-10-14,184.8500,184.8500,180.7600,182.3800,181.3357,192870,0.0000,1.0000
2019-10-11,184.6600,186.7800,182.9500,184.9000,183.8412,152591,0.0000,1.0000
2019-10-10,180.6000,184.1250,180.4500,182.6600,181.6141,189582,0.0000,1.0000
2019-10-09,179.8800,183.2700,179.8800,181.0100,179.9735,148172,0.0000,1.0000
2019-10-08,178.4100,180.7300,175.7100,179.1500,178.1242,143996,0.0000,1.0000
2019-10-07,181.2200,181.7450,179.1500,179.1500,178.1242,170518,0.0000,1.0000
2019-10-04,179.3600,182.2900,177.8600,181.6000,180.5601,174493,0.9000,1.0000
2019-10-03,177.3400,180.1300,176.3700,180.0300,178.1164,235212,0.0000,1.0000
2019-10-02,180.1200,180.3400,175.0850,177.4400,175.5539,163796,0.0000,1.0000
2019-10-01,185.5200,187.4100,180.6400,181.2100,179.2838,151542,0.0000,1.0000
2019-09-30,185.1100,186.4500,180.4100,185.6500,183.6766,258735,0.0000,1.0000
2019-09-27,189.5500,189.5500,182.0100,183.8700,181.9156,173531,0.0000,1.0000
2019-09-26,193.7800,193.7800,188.2780,189.5400,187.5253,145530,0.0000,1.0000
2019-09-25,191.1500,194.8800,190.7000,193.6000,191.5421,476040,0.0000,1.0000
2019-09-24,191.1800,195.9900,190.2500,190.9500,188.9203,321429,0.0000,1.0000
2019-09-23,189.0500,191.5550,188.1008,190.1200,188.0991,320023,0.0000,1.0000
2019-09-20,198.8200,198.8200,189.5150,190.2100,188.1882,522391,0.0000,1.0000
2019-09-19,204.9600,205.5750,198.4500,198.8400,196.7264,224367,0.0000,1.0000
2019-09-18,209.5000,211.3000,204.2700,205.5500,203.3651,165363,0.0000,1.0000
2019-09-17,205.7800,210.7200,205.7800,210.2300,207.9954,141926,0.0000,1.0000
2019-09-16,205.0000,207.0100,203.5200,206.2000,204.0082,103144,0.0000,1.0000
2019-09-13,206.7900,210.0000,204.5900,205.8200,203.6323,125539,0.0000,1.0000
2019-09-12,206.2300,207.1200,204.2400,206.2300,204.0379,127219,0.0000,1.0000
2019-09-11,203.4700,206.9900,202.3800,205.7400,203.5531,181842,0.0000,1.0000
2019-09-10,213.9300,213.9300,200.5200,203.4300,201.2677,178269,0.0000,1.0000
2019-09-09,216.6800,216.6800,210.6500,215.0800,212.7938,132934,0.0000,1.0000
