timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,90.0200,91.2700,89.9200,91.2400,91.2400,1661952,0.0000,1.0000
2020-01-22,89.3700,90.2600,88.6500,89.9500,89.9500,1521372,0.0000,1.0000
2020-01-21,88.9300,89.8500,88.6000,89.8000,89.8000,2227733,0.0000,1.0000
2020-01-17,87.9000,88.8200,87.4000,88.7300,88.7300,2209620,0.0000,1.0000
2020-01-16,87.1900,87.8100,87.1900,87.7600,87.7600,1908692,0.0000,1.0000
2020-01-15,86.2000,87.7300,86.1450,87.3200,87.3200,2196866,0.0000,1.0000
2020-01-14,85.2600,85.9100,85.1500,85.8500,85.8500,2317871,0.0000,1.0000
2020-01-13,84.4900,85.3300,84.4100,85.1500,85.1500,1691142,0.0000,1.0000
2020-01-10,83.6400,84.5600,83.6400,84.4100,84.4100,2028497,0.0000,1.0000
2020-01-09,82.5500,83.5200,82.5400,83.4000,83.4000,1372097,0.0000,1.0000
2020-01-08,82.6100,83.1700,82.3400,82.7500,82.7500,1543098,0.0000,1.0000
2020-01-07,83.3000,83.3000,82.0900,82.6800,82.6800,2432858,0.0000,1.0000
2020-01-06,83.0500,83.7500,83.0000,83.3100,83.3100,2717481,0.0000,1.0000
2020-01-03,83.1300,83.5100,82.7000,82.8600,82.8600,2199106,0.0000,1.0000
2020-01-02,85.0300,85.0300,83.0800,83.2300,83.2300,3278221,0.0000,1.0000
2019-12-31,84.4500,85.0900,84.3900,85.0700,85.0700,1625867,0.0000,1.0000
2019-12-30,84.1100,84.4200,83.7800,84.4100,84.4100,1352504,0.0000,1.0000
2019-12-27,84.3000,84.5400,84.0750,84.3200,84.3200,1474318,0.0000,1.0000
2019-12-26,84.0400,84.3400,83.5800,84.3000,84.3000,838814,0.0000,1.0000
2019-12-24,83.6900,84.0800,83.2600,83.9600,83.9600,494517,0.0000,1.0000
2019-12-23,84.7000,84.8200,83.3000,83.7300,83.7300,1920782,0.0000,1.0000
2019-12-20,83.9800,85.3250,83.8300,84.5900,84.5900,4670650,0.0000,1.0000
2019-12-19,83.0800,83.9050,82.9600,83.7800,83.7800,2311644,0.5350,1.0000
2019-12-18,83.2200,83.7100,82.7300,83.5900,83.0596,3030883,0.0000,1.0000
2019-12-17,82.2100,82.9650,82.0600,82.8000,82.2746,1037371,0.0000,1.0000
2019-12-16,81.4800,82.0500,81.1900,82.0500,81.5294,1439054,0.0000,1.0000
2019-12-13,80.8500,81.4804,80.2500,81.3400,80.8239,1001261,0.0000,1.0000
2019-12-12,81.3100,81.5200,80.7400,80.8500,80.3370,1066301,0.0000,1.0000
2019-12-11,80.9200,81.5000,80.4800,81.3500,80.8338,1521611,0.0000,1.0000
2019-12-10,80.7600,81.1600,80.6300,80.9800,80.4662,1127829,0.0000,1.0000
2019-12-09,81.2600,81.2700,80.2500,80.7200,80.2078,2030583,0.0000,1.0000
2019-12-06,81.9000,82.3100,81.1000,81.2000,80.6848,2115702,0.0000,1.0000
2019-12-05,82.7800,82.8950,81.9700,82.1600,81.6387,2420311,0.0000,1.0000
2019-12-04,81.9400,83.0800,81.7600,83.0200,82.4932,2286497,0.0000,1.0000
2019-12-03,82.3400,82.5500,81.6350,82.0300,81.5095,1666427,0.0000,1.0000
2019-12-02,82.3200,82.5700,81.7600,82.0200,81.4996,2334910,0.0000,1.0000
2019-11-29,83.1200,83.4850,82.5400,82.6400,82.1156,863403,0.0000,1.0000
2019-11-27,82.9400,83.0400,82.5500,82.9000,82.3740,2256328,0.0000,1.0000
2019-11-26,82.0500,82.9300,81.9900,82.7200,82.1951,3333699,0.0000,1.0000
2019-11-25,82.2500,82.5700,81.8300,82.1500,81.6287,1783153,0.0000,1.0000
2019-11-22,82.2900,82.6300,81.5600,82.2300,81.7082,2169524,0.0000,1.0000
2019-11-21,82.4900,82.8400,81.2400,82.2200,81.6983,2921844,0.0000,1.0000
2019-11-20,82.3600,83.1200,82.0300,82.5000,81.9765,2164727,0.0000,1.0000
2019-11-19,81.8800,82.6350,81.5300,82.2000,81.6784,1835828,0.0000,1.0000
2019-11-18,81.6700,82.8900,81.5900,82.1500,81.6287,2413792,0.0000,1.0000
2019-11-15,80.9800,81.4300,80.5700,81.2700,80.7543,2249399,0.0000,1.0000
2019-11-14,81.1600,81.1800,80.6300,80.8000,80.2873,2512060,0.0000,1.0000
2019-11-13,79.5300,80.9300,79.2900,80.9100,80.3966,1809817,0.0000,1.0000
2019-11-12,79.2700,79.5250,78.9000,79.1900,78.6875,1413907,0.0000,1.0000
2019-11-11,79.3800,79.5500,78.9200,79.2900,78.7869,1442827,0.0000,1.0000
2019-11-08,79.1200,79.6000,78.5800,79.4100,78.9061,1326311,0.0000,1.0000
2019-11-07,80.6800,81.1100,78.7200,79.3900,78.8863,2050759,0.0000,1.0000
2019-11-06,81.0900,81.6200,80.6800,81.3900,80.8736,1906141,0.0000,1.0000
2019-11-05,81.0500,81.6820,80.5300,81.0800,80.5655,2167561,0.0000,1.0000
2019-11-04,82.6100,82.7250,80.9950,81.4200,80.9034,1669115,0.0000,1.0000
2019-11-01,83.8400,83.9800,82.6900,82.7900,82.2647,1556053,0.0000,1.0000
2019-10-31,83.3900,84.0500,82.9600,83.7400,83.2086,1559412,0.0000,1.0000
2019-10-30,83.0800,83.7800,82.6800,83.2400,82.7118,2189674,0.0000,1.0000
2019-10-29,82.7200,83.1200,82.2100,82.9000,82.3740,2105861,0.0000,1.0000
2019-10-28,84.8200,85.1460,83.5800,83.8500,83.3180,1373084,0.0000,1.0000
2019-10-25,86.3300,86.5500,85.2000,85.3100,84.7687,1424220,0.0000,1.0000
2019-10-24,86.0200,86.5250,85.8700,86.2000,85.6530,914237,0.0000,1.0000
2019-10-23,86.0500,86.2350,85.5100,86.0600,85.5139,1408103,0.0000,1.0000
2019-10-22,86.3600,86.5400,85.6700,85.8600,85.3152,1011957,0.0000,1.0000
2019-10-21,85.6500,86.1900,85.3200,86.1400,85.5934,1570768,0.0000,1.0000
2019-10-18,84.9200,85.7600,84.5500,85.6000,85.0568,1256835,0.0000,1.0000
2019-10-17,84.5400,85.3300,84.4700,85.1200,84.5799,1106148,0.0000,1.0000
2019-10-16,83.9700,84.7000,83.5700,84.5800,84.0433,1474329,0.0000,1.0000
2019-10-15,84.8900,85.1400,83.7850,84.0900,83.5564,1722986,0.0000,1.0000
2019-10-14,85.7900,85.8750,84.7200,84.7600,84.2222,847376,0.0000,1.0000
2019-10-11,85.2000,86.0000,84.9000,85.5700,85.0270,1149584,0.0000,1.0000
2019-10-10,85.6400,85.9600,84.8200,85.5400,84.9972,1501086,0.0000,1.0000
2019-10-09,84.9300,86.2600,84.9300,86.0900,85.5437,1820675,0.0000,1.0000
2019-10-08,85.4100,85.5800,84.8400,84.8500,84.3116,1344363,0.0000,1.0000
2019-10-07,85.3100,85.6900,85.0800,85.3700,84.8283,1471168,0.0000,1.0000
2019-10-04,84.7900,85.7100,84.5800,85.6100,85.0668,1480549,0.0000,1.0000
2019-10-03,84.5200,84.7100,84.0000,84.6600,84.1228,2091102,0.0000,1.0000
2019-10-02,85.3800,85.4900,84.1700,84.4200,83.8843,2225041,0.0000,1.0000
