timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,77.1000,77.4200,75.9900,76.1300,76.1300,354486,0.0000,1.0000
2020-01-22,77.9100,78.4700,77.2100,77.7000,77.7000,383245,0.0000,1.0000
2020-01-21,76.5800,77.9000,76.2200,77.2700,77.2700,845880,0.0000,1.0000
2020-01-17,77.5800,77.6800,76.7400,77.2000,77.2000,389458,0.0000,1.0000
2020-01-16,75.9100,78.3300,75.9100,77.2400,77.2400,681752,0.0000,1.0000
2020-01-15,74.7600,75.6450,74.3600,75.1700,75.1700,594212,0.0000,1.0000
2020-01-14,74.8000,75.9500,74.6000,75.1900,75.1900,488311,0.0000,1.0000
2020-01-13,75.1300,75.3250,73.9500,74.4800,74.4800,596730,0.0000,1.0000
2020-01-10,75.3000,75.4700,74.2600,74.6500,74.6500,378872,0.0000,1.0000
2020-01-09,75.8900,76.0000,73.9400,75.1100,75.1100,486774,0.0000,1.0000
2020-01-08,73.4600,75.7694,73.3000,75.3300,75.3300,497439,0.0000,1.0000
2020-01-07,73.3700,73.8600,72.9500,73.3800,73.3800,618448,0.0000,1.0000
2020-01-06,72.2600,73.9700,71.4100,73.8400,73.8400,686046,0.0000,1.0000
2020-01-03,74.5900,74.9800,72.5600,73.3800,73.3800,429036,0.0000,1.0000
2020-01-02,75.4300,75.7500,74.9300,75.7200,75.7200,360887,0.0000,1.0000
2019-12-31,74.7900,75.2100,74.3900,74.7600,74.7600,311724,0.0000,1.0000
2019-12-30,75.6600,75.9725,74.6600,75.0100,75.0100,366764,0.0000,1.0000
2019-12-27,76.7000,76.8800,75.3600,75.3800,75.3800,207400,0.0000,1.0000
2019-12-26,76.1700,76.9100,76.1100,76.5700,76.5700,156899,0.0000,1.0000
2019-12-24,76.0100,76.4700,75.8200,76.0000,76.0000,88283,0.0000,1.0000
2019-12-23,76.7500,76.9200,75.4575,75.6600,75.6600,226966,0.0000,1.0000
2019-12-20,76.3300,77.0700,75.7200,76.5600,76.5600,819431,0.0000,1.0000
2019-12-19,76.7400,76.8900,75.6700,75.7400,75.7400,298167,0.0000,1.0000
2019-12-18,76.3300,76.4200,75.7900,76.2600,76.2600,434037,0.0000,1.0000
2019-12-17,75.7200,76.1600,74.9000,75.8700,75.8700,394901,0.0000,1.0000
2019-12-16,76.3400,77.2400,75.3900,75.5600,75.5600,413772,0.0000,1.0000
2019-12-13,76.1000,77.0800,75.4600,75.5700,75.5700,353310,0.0000,1.0000
2019-12-12,74.1200,76.3200,74.0400,76.3000,76.3000,380600,0.0000,1.0000
2019-12-11,74.4500,74.9000,73.6500,73.9800,73.9800,437701,0.0000,1.0000
2019-12-10,75.5800,76.0700,74.2900,74.5400,74.5400,491302,0.0000,1.0000
2019-12-09,77.1000,77.1800,75.6200,75.7400,75.7400,411288,0.0000,1.0000
2019-12-06,76.7200,77.6900,76.6950,77.1500,77.1500,292175,0.0000,1.0000
2019-12-05,76.5300,77.1850,75.5800,75.8800,75.8800,590359,0.0000,1.0000
2019-12-04,75.1100,76.4236,75.1100,75.9000,75.9000,484226,0.0000,1.0000
2019-12-03,75.5900,75.5900,74.0100,75.0700,75.0700,483676,0.0000,1.0000
2019-12-02,77.4400,78.0600,76.4100,76.4600,76.4600,261374,0.0000,1.0000
2019-11-29,78.0100,78.1400,77.2000,77.3800,77.3800,89850,0.0000,1.0000
2019-11-27,79.0900,79.1100,78.0400,78.3400,78.3400,279860,0.5800,1.0000
2019-11-26,80.2000,80.8600,78.9800,79.1900,78.6080,317001,0.0000,1.0000
2019-11-25,78.8000,80.3500,78.3800,80.1100,79.5213,476570,0.0000,1.0000
2019-11-22,77.6200,78.7100,77.6200,78.5000,77.9231,227857,0.0000,1.0000
2019-11-21,78.0000,78.1600,76.9200,77.4100,76.8411,375750,0.0000,1.0000
2019-11-20,77.0400,79.0000,76.4900,77.8400,77.2679,564266,0.0000,1.0000
2019-11-19,76.2300,76.8504,76.0500,76.5000,75.9378,253771,0.0000,1.0000
2019-11-18,75.7500,76.4100,75.2400,76.0000,75.4415,298581,0.0000,1.0000
2019-11-15,76.3800,76.7600,75.4200,75.8000,75.2429,248061,0.0000,1.0000
2019-11-14,74.9300,75.9900,74.6900,75.8500,75.2926,335639,0.0000,1.0000
2019-11-13,76.3200,76.9700,74.9900,75.2300,74.6771,298304,0.0000,1.0000
2019-11-12,77.2500,78.0800,76.6000,77.1500,76.5830,285113,0.0000,1.0000
2019-11-11,77.7200,78.1550,77.1200,77.3000,76.7319,333436,0.0000,1.0000
2019-11-08,78.7600,79.0000,77.9500,78.2800,77.7047,203584,0.0000,1.0000
2019-11-07,78.8300,80.1700,78.4800,78.8200,78.2407,437731,0.0000,1.0000
2019-11-06,77.8900,78.2800,77.5000,77.8700,77.2977,353730,0.0000,1.0000
2019-11-05,77.3800,78.7300,77.1257,77.9100,77.3374,615924,0.0000,1.0000
2019-11-04,75.5200,77.1300,74.4500,76.7700,76.2058,528404,0.0000,1.0000
2019-11-01,74.5400,75.6600,74.1800,75.1400,74.5878,446807,0.0000,1.0000
2019-10-31,73.3900,73.9500,72.8000,73.6400,73.0988,851867,0.0000,1.0000
2019-10-30,75.0600,75.0600,73.1701,73.6700,73.1286,564082,0.0000,1.0000
2019-10-29,75.4500,76.1000,74.6500,75.4400,74.8856,511332,0.0000,1.0000
2019-10-28,75.1700,76.9421,75.1700,76.1200,75.5606,526272,0.0000,1.0000
2019-10-25,74.1600,74.9800,73.9400,74.5300,73.9823,452513,0.0000,1.0000
2019-10-24,73.5700,74.3600,72.9500,74.2900,73.7440,481555,0.0000,1.0000
