Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,1.683410,1.683410,1.683410,1.683410,1.288615,0
2004-01-02,1.683410,1.713860,1.680640,1.700020,1.301329,10802867
2004-01-05,1.702790,1.708330,1.658490,1.677870,1.284374,34717867
2004-01-06,1.675100,1.677870,1.614190,1.616960,1.237748,0
2004-01-07,1.630800,1.647410,1.597580,1.597580,1.222914,56540940
2004-01-08,1.619730,1.628030,1.589270,1.600350,1.225034,29591239
2004-01-09,1.608650,1.614190,1.580960,1.592040,1.218673,28368599
2004-01-12,1.592040,1.697250,1.572660,1.680640,1.286494,68487834
2004-01-13,1.680640,1.736010,1.664030,1.677870,1.284374,98896936
2004-01-14,1.688950,1.741550,1.669560,1.730480,1.324646,57804797
2004-01-15,1.722170,1.736010,1.705560,1.722170,1.318285,37904102
2004-01-16,1.719400,1.736010,1.711100,1.733250,1.326766,24263000
2004-01-19,1.730480,1.785850,1.730480,1.777550,1.360677,41925320
2004-01-20,1.777550,1.780310,1.738780,1.747090,1.337360,23129241
2004-01-21,1.738780,1.758160,1.719400,1.727710,1.322525,21191755
2004-01-22,1.736010,1.749860,1.708330,1.719400,1.316164,21111759
2004-01-23,1.716630,1.722170,1.677870,1.686180,1.290735,32324542
2004-01-26,1.677870,1.711100,1.675100,1.694480,1.297088,17690556
2004-01-27,1.702790,1.727710,1.697250,1.702790,1.303450,22070155
2004-01-28,1.702790,1.722170,1.658490,1.669560,1.278013,67473837
2004-01-29,1.655720,1.666800,1.605880,1.625260,1.244102,84609741
2004-01-30,1.633570,1.658490,1.622500,1.636340,1.252584,34807629
2004-02-02,1.647410,1.661260,1.625260,1.630800,1.248343,28851316
2004-02-03,1.644650,1.666800,1.600350,1.605880,1.229267,70158274
2004-02-04,1.605880,1.636340,1.586500,1.622500,1.241989,57895350
2004-02-05,1.628030,1.644650,1.611420,1.619730,1.239869,33556840
2004-02-06,1.625260,1.636340,1.608650,1.622500,1.241989,24920283
2004-02-09,1.633570,1.633570,1.619730,1.625260,1.244102,19333936
2004-02-10,1.628030,1.675100,1.619730,1.669560,1.278013,61433201
2004-02-11,1.675100,1.702790,1.672330,1.675100,1.282254,48254088
2004-02-12,1.691710,1.702790,1.677870,1.677870,1.284374,34627368
2004-02-13,1.680640,1.686180,1.636340,1.647410,1.261057,33981029
2004-02-16,1.650180,1.652950,1.630800,1.639110,1.254704,16125218
2004-02-17,1.650180,1.680640,1.636340,1.680640,1.286494,33299089
2004-02-18,1.688950,1.730480,1.688950,1.719400,1.316164,84515796
2004-02-19,1.719400,1.758160,1.708330,1.730480,1.324646,71046793
2004-02-20,1.724940,1.738780,1.691710,1.694480,1.297088,38768622
2004-02-23,1.700020,1.730480,1.697250,1.727710,1.322525,34010324
2004-02-24,1.730480,1.752630,1.708330,1.716630,1.314044,39819633
2004-02-25,1.724940,1.777550,1.722170,1.774780,1.358556,90850791
2004-02-26,1.780310,1.796930,1.749860,1.760930,1.347955,75949264
2004-02-27,1.777550,1.824610,1.719400,1.719400,1.316164,210244815
2004-03-01,1.733250,1.758160,1.722170,1.741550,1.333120,62257124
2004-03-02,1.749860,1.755400,1.722170,1.733250,1.326766,30806752
2004-03-03,1.724940,1.749860,1.722170,1.730480,1.324646,31186727
2004-03-04,1.730480,1.747090,1.708330,1.719400,1.316164,46608205
2004-03-05,1.722170,1.724940,1.705560,1.713860,1.311924,29954242
2004-03-08,1.716630,1.730480,1.708330,1.727710,1.322525,22672214
2004-03-09,1.719400,1.722170,1.694480,1.716630,1.314044,33342805
2004-03-10,1.713860,1.713860,1.683410,1.688950,1.292855,25229237
2004-03-11,1.680640,1.680640,1.603110,1.619730,1.239869,81155686
2004-03-12,1.614190,1.666800,1.583730,1.650180,1.263178,94806756
2004-03-15,1.655720,1.658490,1.616960,1.616960,1.237748,39742017
2004-03-16,1.614190,1.647410,1.603110,1.628030,1.246222,35016130
2004-03-17,1.639110,1.655720,1.622500,1.628030,1.246222,30358245
2004-03-18,1.639110,1.639110,1.586500,1.592040,1.218673,28351360
