timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,277.4900,280.6300,276.8756,280.1100,280.1100,227923,0.0000,1.0000
2020-01-22,278.3000,281.9300,278.3000,279.2400,279.2400,256095,0.0000,1.0000
2020-01-21,274.2000,280.4900,274.2000,276.8000,276.8000,342816,0.0000,1.0000
2020-01-17,277.0600,278.0400,274.8600,275.7200,275.7200,241200,0.0000,1.0000
2020-01-16,273.2400,276.5900,272.9440,276.3900,276.3900,258793,0.0000,1.0000
2020-01-15,268.0800,272.2500,268.0800,271.5100,271.5100,270816,0.0000,1.0000
2020-01-14,266.4900,270.0000,266.4850,268.1800,268.1800,298476,0.0000,1.0000
2020-01-13,264.9200,268.7200,264.9200,266.9900,266.9900,364252,0.0000,1.0000
2020-01-10,269.1100,269.1100,264.6100,264.8800,264.8800,376920,0.0000,1.0000
2020-01-09,270.6800,272.4800,268.4200,268.7900,268.7900,434428,0.0000,1.0000
2020-01-08,267.1400,270.3800,267.0500,269.0900,269.0900,287881,0.0000,1.0000
2020-01-07,267.0000,270.3500,266.1900,267.0300,267.0300,237239,0.0000,1.0000
2020-01-06,266.8600,267.3000,263.7500,267.1600,267.1600,349916,0.0000,1.0000
2020-01-03,265.9200,269.3800,264.8700,268.6700,268.6700,237385,0.0000,1.0000
2020-01-02,268.6600,270.1800,266.6000,268.7300,268.7300,314520,0.0000,1.0000
2019-12-31,267.0200,269.4500,267.0200,268.3000,268.3000,259601,0.0000,1.0000
2019-12-30,271.5300,271.5800,266.7000,267.6900,267.6900,285496,0.0000,1.0000
2019-12-27,269.9300,272.9100,268.4500,271.1000,271.1000,226743,0.0000,1.0000
2019-12-26,268.4000,269.6400,267.1700,268.9400,268.9400,143498,0.0000,1.0000
2019-12-24,268.7400,268.7900,266.9600,267.0600,267.0600,111671,0.0000,1.0000
2019-12-23,266.8400,269.9800,266.1000,267.7400,267.7400,310927,0.0000,1.0000
2019-12-20,262.3800,269.1800,262.3800,265.0000,265.0000,772486,0.0000,1.0000
2019-12-19,264.2300,270.3150,257.6800,269.8200,269.8200,816920,0.0000,1.0000
2019-12-18,268.6000,271.7600,267.7700,269.1000,269.1000,504234,0.0000,1.0000
2019-12-17,271.9800,272.1950,268.0100,268.5900,268.5900,454913,0.0000,1.0000
2019-12-16,273.8600,275.8350,270.5300,271.6000,271.6000,442386,0.0000,1.0000
2019-12-13,269.0800,271.4000,268.2100,271.2800,271.2800,319485,0.0000,1.0000
2019-12-12,270.2100,271.5700,268.2800,270.0400,270.0400,618697,0.0000,1.0000
2019-12-11,269.9800,271.7500,267.2350,271.6000,271.6000,296025,0.0000,1.0000
2019-12-10,269.8600,271.9400,269.0800,270.3800,270.3800,359245,0.0000,1.0000
