timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,59.1500,59.1500,58.0800,58.4500,58.4500,226761,0.0000,1.0000
2020-01-22,59.7300,59.8400,59.1500,59.4400,59.4400,99308,0.0000,1.0000
2020-01-21,60.0800,60.0800,59.3700,59.4600,59.4600,132308,0.0000,1.0000
2020-01-17,60.4400,60.8500,60.1200,60.4100,60.4100,129560,0.0000,1.0000
2020-01-16,60.1800,60.8400,59.6750,60.0800,60.0800,194455,0.0000,1.0000
2020-01-15,59.2200,59.9600,58.8000,59.6800,59.6800,150042,0.0000,1.0000
2020-01-14,59.9600,60.2900,59.3400,59.4800,59.4800,135872,0.0000,1.0000
2020-01-13,58.2300,60.2200,58.1300,60.1500,60.1500,172121,0.0000,1.0000
2020-01-10,58.3400,58.7100,57.9200,58.3200,58.3200,89288,0.0000,1.0000
2020-01-09,57.8800,58.8000,57.6700,58.4400,58.4400,119729,0.0000,1.0000
2020-01-08,57.4100,57.9500,57.1600,57.7900,57.7900,191643,0.0000,1.0000
2020-01-07,58.3600,58.3600,57.1800,57.2700,57.2700,180955,0.0000,1.0000
2020-01-06,57.9100,58.6800,57.4800,58.6000,58.6000,207282,0.0000,1.0000
2020-01-03,57.5700,58.5500,57.1800,58.4600,58.4600,182834,0.0000,1.0000
2020-01-02,57.5700,58.4200,57.2207,58.4100,58.4100,159332,0.0000,1.0000
2019-12-31,56.7700,57.7200,56.1600,57.3200,57.3200,137928,0.0000,1.0000
2019-12-30,56.8000,57.2600,56.3400,57.0000,57.0000,82291,0.0000,1.0000
2019-12-27,56.8200,56.9200,56.2600,56.8000,56.8000,76833,0.0000,1.0000
2019-12-26,56.6400,56.7500,56.2650,56.5800,56.5800,71015,0.0000,1.0000
2019-12-24,56.8900,56.8900,56.2600,56.6500,56.6500,30496,0.0000,1.0000
2019-12-23,57.0100,57.0100,56.2300,56.7000,56.7000,102117,0.0000,1.0000
2019-12-20,56.9800,57.4700,56.5600,56.9200,56.9200,650158,0.0000,1.0000
2019-12-19,56.3500,56.6400,55.6300,56.5600,56.5600,157695,0.0000,1.0000
2019-12-18,56.0000,56.4200,55.1950,56.3500,56.3500,126465,0.0000,1.0000
