timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-22,772.0000,772.0000,770.5000,772.0000,772.0000,48,0.0000,1.0000
2020-01-21,774.9900,774.9900,770.0000,770.0000,770.0000,396,0.0000,1.0000
2020-01-17,770.0000,774.9900,770.0000,774.9900,774.9900,398,0.0000,1.0000
2020-01-16,772.9999,773.0000,769.5000,769.5000,769.5000,61,0.0000,1.0000
2020-01-15,775.0000,775.0000,775.0000,775.0000,775.0000,2,0.0000,1.0000
2020-01-14,778.0000,778.0000,769.5000,769.5000,769.5000,442,0.0000,1.0000
2020-01-13,775.0000,775.0000,774.9600,774.9600,774.9600,72,0.0000,1.0000
2020-01-10,774.0000,774.0000,774.0000,774.0000,774.0000,1,0.0000,1.0000
2020-01-09,770.0000,771.0000,770.0000,771.0000,771.0000,97,0.0000,1.0000
2020-01-08,768.0000,768.0000,767.0000,767.0000,767.0000,13,0.0000,1.0000
2020-01-07,766.6200,767.1000,766.6200,767.1000,767.1000,67,0.0000,1.0000
2020-01-06,768.0100,768.0100,766.6100,766.6100,766.6100,28,0.0000,1.0000
2020-01-03,771.0000,771.0000,771.0000,771.0000,771.0000,10,0.0000,1.0000
2020-01-02,773.9900,775.0000,770.0000,771.0000,771.0000,2162,0.0000,1.0000
2019-12-31,774.0000,774.0000,768.1000,768.1000,768.1000,227,0.0000,1.0000
2019-12-30,774.0000,774.0000,771.0500,774.0000,774.0000,10,0.0000,1.0000
2019-12-27,773.9600,773.9600,773.9600,773.9600,773.9600,0,0.0000,1.0000
2019-12-26,773.8000,774.0000,773.8000,773.9600,773.9600,8,0.0000,1.0000
2019-12-24,769.3000,769.3000,767.8500,767.8500,767.8500,75,0.0000,1.0000
2019-12-23,772.6000,773.9600,769.3400,769.3400,769.3400,221,0.0000,1.0000
2019-12-20,776.6000,776.6000,774.0000,774.0000,774.0000,5,0.0000,1.0000
2019-12-19,777.0000,777.0000,777.0000,777.0000,777.0000,0,0.0000,1.0000
2019-12-18,777.0400,777.0400,776.6001,777.0000,777.0000,258,0.0000,1.0000
2019-12-17,780.0000,780.0000,777.1000,779.8000,779.8000,58,0.0000,1.0000
2019-12-16,782.0000,782.0000,777.6000,777.6000,777.6000,28,0.0000,1.0000
2019-12-13,780.6000,780.6000,780.6000,780.6000,780.6000,202,0.0000,1.0000
2019-12-12,780.0000,784.9600,780.0000,784.9600,784.9600,3,0.0000,1.0000
2019-12-11,780.1000,780.1000,780.1000,780.1000,780.1000,0,0.0000,1.0000
2019-12-10,783.0000,783.0000,780.1000,780.1000,780.1000,231,0.0000,1.0000
2019-12-09,785.0000,785.0000,780.0000,780.0000,780.0000,71,0.0000,1.0000
2019-12-06,780.0000,785.0000,780.0000,785.0000,785.0000,9,0.0000,1.0000
2019-12-05,793.0000,793.0000,779.8500,780.0000,780.0000,40,7.1500,1.0000
2019-12-04,799.9600,799.9600,799.9600,799.9600,792.6936,0,0.0000,1.0000
2019-12-03,799.9600,799.9600,799.9600,799.9600,792.6936,8,0.0000,1.0000
2019-12-02,800.0000,800.0000,795.0000,795.0000,787.7787,91,0.0000,1.0000
2019-11-29,799.0000,799.0000,799.0000,799.0000,791.7424,2,0.0000,1.0000
2019-11-27,793.0000,795.0100,793.0000,795.0100,787.7886,35,0.0000,1.0000
2019-11-26,787.0000,787.0000,787.0000,787.0000,779.8514,2,0.0000,1.0000
2019-11-25,787.0000,787.0000,787.0000,787.0000,779.8514,11,0.0000,1.0000
2019-11-22,785.0000,785.0000,785.0000,785.0000,777.8695,3,0.0000,1.0000
2019-11-21,773.2500,777.5000,773.2500,777.5000,770.4377,59,0.0000,1.0000
2019-11-20,775.0000,775.0000,773.1000,773.1000,766.0776,27,0.0000,1.0000
2019-11-19,772.6000,775.5000,772.6000,775.5000,768.4558,9,0.0000,1.0000
2019-11-18,775.0000,775.0000,772.5000,772.5000,765.4831,11,0.0000,1.0000
2019-11-15,774.5000,774.5000,774.5000,774.5000,767.4649,0,0.0000,1.0000
2019-11-14,774.5000,774.5000,774.5000,774.5000,767.4649,0,0.0000,1.0000
2019-11-13,774.5000,774.5000,774.5000,774.5000,767.4649,0,0.0000,1.0000
2019-11-12,774.5000,774.5000,774.5000,774.5000,767.4649,7,0.0000,1.0000
2019-11-11,772.3000,774.5000,772.3000,772.5000,765.4831,3,0.0000,1.0000
2019-11-08,785.0000,785.0000,772.3000,772.3000,765.2849,544,0.0000,1.0000
2019-11-07,775.0000,775.0000,772.0000,772.0000,764.9876,16,0.0000,1.0000
2019-11-06,775.0000,785.0000,775.0000,785.0000,777.8695,2,0.0000,1.0000
2019-11-05,785.0000,785.0000,771.1100,771.1100,764.1057,76,0.0000,1.0000
2019-11-04,780.0000,780.0000,775.0000,775.0000,767.9604,3,0.0000,1.0000
2019-11-01,780.0000,780.0000,780.0000,780.0000,772.9149,25,0.0000,1.0000
2019-10-31,772.5000,772.5000,772.5000,772.5000,765.4831,0,0.0000,1.0000
2019-10-30,780.0000,780.0000,772.5000,772.5000,765.4831,80,0.0000,1.0000
2019-10-29,779.0000,780.0000,779.0000,780.0000,772.9149,5,0.0000,1.0000
2019-10-28,779.0000,779.0000,772.5000,772.5000,765.4831,5,0.0000,1.0000
2019-10-25,778.0000,779.0000,778.0000,778.0000,770.9331,4,0.0000,1.0000
2019-10-24,778.0000,778.0000,778.0000,778.0000,770.9331,1,0.0000,1.0000
2019-10-23,778.0000,778.0000,772.5000,778.0000,770.9331,33,0.0000,1.0000
2019-10-22,770.0000,778.0000,770.0000,778.0000,770.9331,17,0.0000,1.0000
2019-10-21,770.0000,770.0000,770.0000,770.0000,763.0058,0,0.0000,1.0000
2019-10-18,774.9600,774.9600,774.9600,774.9600,767.9207,3,0.0000,1.0000
2019-10-17,761.6000,770.0000,761.6000,770.0000,763.0058,31,0.0000,1.0000
2019-10-16,761.0000,780.0000,761.0000,761.6000,754.6821,61,0.0000,1.0000
2019-10-15,790.0000,790.0000,780.0000,780.0000,772.9149,10,0.0000,1.0000
2019-10-14,804.0000,804.0000,755.7500,775.0000,767.9604,33,0.0000,1.0000
2019-10-11,780.0000,800.0000,772.5000,772.5000,765.4831,21,0.0000,1.0000
2019-10-10,777.0000,777.0000,772.5000,772.5000,765.4831,14,0.0000,1.0000
2019-10-09,775.0000,775.0000,770.0000,770.0000,763.0058,37,0.0000,1.0000
2019-10-08,772.5000,778.0000,755.0000,775.0000,767.9604,832,0.0000,1.0000
2019-10-07,780.0000,780.0000,780.0000,780.0000,772.9149,0,0.0000,1.0000
2019-10-04,780.0000,780.0000,780.0000,780.0000,772.9149,0,0.0000,1.0000
2019-10-03,780.0000,780.0000,780.0000,780.0000,772.9149,4,0.0000,1.0000
2019-10-02,780.0000,780.0000,780.0000,780.0000,772.9149,12,0.0000,1.0000
2019-10-01,780.0000,780.0000,771.3000,771.3000,764.2940,24,0.0000,1.0000
2019-09-30,780.0000,780.0000,780.0000,780.0000,772.9149,25,0.0000,1.0000
2019-09-27,775.0000,780.0000,775.0000,780.0000,772.9149,11,0.0000,1.0000
2019-09-26,780.0000,780.0000,780.0000,780.0000,772.9149,6,0.0000,1.0000
2019-09-25,780.0000,780.0000,775.0000,780.0000,772.9149,13,0.0000,1.0000
2019-09-24,780.0000,780.0000,780.0000,780.0000,772.9149,21,0.0000,1.0000
2019-09-23,785.0000,785.0000,775.0000,775.0000,767.9604,10,0.0000,1.0000
2019-09-20,800.0000,800.0000,795.0000,795.0000,787.7787,16,0.0000,1.0000
2019-09-19,800.0000,800.0000,800.0000,800.0000,792.7333,0,0.0000,1.0000
2019-09-18,800.0000,800.0000,800.0000,800.0000,792.7333,5,0.0000,1.0000
