timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,107.7700,109.1100,107.2988,108.7100,108.7100,508410,0.0000,1.0000
2020-01-22,109.0300,109.0300,107.8300,108.0800,108.0800,477610,0.0000,1.0000
2020-01-21,105.1800,108.7134,105.1400,108.7100,108.7100,753921,0.0000,1.0000
2020-01-17,106.3900,106.4000,104.8400,105.6300,105.6300,697481,0.0000,1.0000
2020-01-16,104.6600,105.3800,103.9100,105.3800,105.3800,576889,0.0000,1.0000
2020-01-15,103.5100,105.1800,102.9312,105.1500,105.1500,586715,0.0000,1.0000
2020-01-14,101.2800,102.6700,100.8000,102.5000,102.5000,501141,0.0000,1.0000
2020-01-13,102.0100,102.3400,101.3200,101.3600,101.3600,311185,0.0000,1.0000
2020-01-10,101.2500,102.7200,101.1200,102.4100,102.4100,417618,0.0000,1.0000
2020-01-09,100.0000,101.2380,99.6600,100.8100,100.8100,517636,0.0000,1.0000
2020-01-08,103.9300,104.1600,100.6500,100.8300,100.8300,597507,0.0000,1.0000
2020-01-07,103.6100,104.3900,103.2200,104.0800,104.0800,434281,0.0000,1.0000
2020-01-06,104.8300,105.2400,103.5200,103.8800,103.8800,519323,0.0000,1.0000
2020-01-03,105.6400,105.8700,102.7800,103.2300,103.2300,767712,0.0000,1.0000
2020-01-02,104.0000,104.2300,102.7500,103.4500,103.4500,421184,0.0000,1.0000
2019-12-31,103.8500,104.0700,102.7300,103.3000,103.3000,346836,0.0000,1.0000
2019-12-30,101.9400,103.3800,101.7300,103.3000,103.3000,481739,0.0000,1.0000
2019-12-27,103.1000,103.2000,101.6900,101.9000,101.9000,343242,0.0000,1.0000
2019-12-26,102.4800,103.8700,101.8402,102.9000,102.9000,519353,0.0000,1.0000
2019-12-24,100.0000,101.6500,99.8980,101.3600,101.3600,362376,0.0000,1.0000
2019-12-23,96.7900,99.6100,96.3800,99.6100,99.6100,647223,0.0000,1.0000
2019-12-20,97.6700,98.1900,96.4400,96.4400,96.4400,631438,0.0000,1.0000
2019-12-19,97.3700,98.0500,96.9600,97.6100,97.6100,531764,0.0000,1.0000
2019-12-18,96.9400,98.0700,96.8500,97.2600,97.2600,407474,0.0000,1.0000
2019-12-17,98.1000,98.1000,96.7030,96.8500,96.8500,515296,0.0000,1.0000
2019-12-16,99.0000,99.0100,97.6600,97.8800,97.8800,380232,0.0000,1.0000
2019-12-13,97.2800,98.8300,97.1200,98.5000,98.5000,589374,0.0000,1.0000
2019-12-12,99.0900,99.5900,97.2700,97.6100,97.6100,606184,0.0000,1.0000
2019-12-11,98.8100,98.9100,97.6800,98.5300,98.5300,492815,0.0000,1.0000
2019-12-10,97.6700,98.7900,97.1828,98.7600,98.7600,475526,0.0000,1.0000
2019-12-09,97.5700,98.3600,97.0600,97.0800,97.0800,479314,0.0000,1.0000
2019-12-06,96.7500,98.3300,96.2600,97.0600,97.0600,602755,0.0000,1.0000
2019-12-05,97.4500,99.0900,97.4500,98.0700,98.0700,806286,0.0000,1.0000
2019-12-04,99.0400,99.3939,97.1500,97.4700,97.4700,576281,0.2500,1.0000
2019-12-03,99.5800,101.2000,98.3200,98.9600,98.7068,968334,0.0000,1.0000
2019-12-02,98.2900,99.3500,97.8900,98.8600,98.6071,547911,0.0000,1.0000
2019-11-29,97.8000,98.7400,97.8000,98.3200,98.0685,245597,0.0000,1.0000
2019-11-27,97.1200,98.0800,96.9300,97.6600,97.4102,366318,0.0000,1.0000
2019-11-26,97.0000,97.8600,96.4700,97.7200,97.4700,480709,0.0000,1.0000
2019-11-25,96.4100,98.0200,96.2300,96.9200,96.6720,402826,0.0000,1.0000
2019-11-22,97.7200,97.7400,96.4900,96.9400,96.6920,318467,0.0000,1.0000
2019-11-21,98.1900,98.7399,97.2800,97.5100,97.2605,383341,0.0000,1.0000
2019-11-20,98.5000,99.1600,97.5400,98.4100,98.1582,474539,0.0000,1.0000
2019-11-19,98.8800,100.0000,98.5500,98.6400,98.3876,657556,0.0000,1.0000
2019-11-18,98.8800,99.6000,98.5500,99.0200,98.7667,464659,0.0000,1.0000
2019-11-15,98.6400,99.4300,98.5000,99.0400,98.7866,602111,0.0000,1.0000
