timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,182.8700,185.4700,182.0500,184.6000,184.6000,867052,0.0000,1.0000
2020-01-22,183.8600,185.5800,183.0900,183.1000,183.1000,1050302,0.0000,1.0000
2020-01-21,181.4600,184.5600,180.8150,183.2900,183.2900,2074838,0.0000,1.0000
2020-01-17,182.7800,183.1200,181.4800,181.8900,181.8900,1820004,0.0000,1.0000
2020-01-16,181.5300,183.0700,181.1100,182.4000,182.4000,1289882,1.0200,1.0000
2020-01-15,181.0700,182.9600,181.0700,181.6100,180.6001,1174680,0.0000,1.0000
2020-01-14,181.0000,181.5300,179.6600,180.9700,179.9636,917870,0.0000,1.0000
2020-01-13,180.2400,182.0900,180.0400,181.1300,180.1227,898041,0.0000,1.0000
2020-01-10,181.5100,181.7900,179.4100,179.5100,178.5117,831729,0.0000,1.0000
2020-01-09,181.0000,182.9100,180.9600,181.6100,180.6001,1581572,0.0000,1.0000
2020-01-08,180.2000,181.9400,179.6000,180.4800,179.4763,1199890,0.0000,1.0000
2020-01-07,180.4200,181.6300,179.7500,180.0200,179.0189,1454721,0.0000,1.0000
2020-01-06,181.5500,182.9800,181.0048,182.0900,181.0774,1956988,0.0000,1.0000
2020-01-03,178.0000,180.4300,178.0000,180.1800,179.1780,1662226,0.0000,1.0000
2020-01-02,177.4500,179.0400,176.9200,178.4300,177.4377,1472055,0.0000,1.0000
2019-12-31,175.9800,176.8700,175.3200,176.3500,175.3693,726273,0.0000,1.0000
2019-12-30,177.5400,177.8700,175.7700,176.0100,175.0312,886648,0.0000,1.0000
2019-12-27,178.3900,178.9400,177.1400,177.4900,176.5030,781115,0.0000,1.0000
2019-12-26,179.1200,179.2655,177.4100,178.1900,177.1991,664574,0.0000,1.0000
2019-12-24,180.0200,180.0800,178.2700,178.8200,177.8256,321382,0.0000,1.0000
2019-12-23,179.1700,180.7200,178.5100,179.7400,178.7405,1404439,0.0000,1.0000
2019-12-20,178.7600,179.5400,178.1100,178.3300,177.3383,1961946,0.0000,1.0000
2019-12-19,179.1000,179.9400,178.2300,178.6500,177.6565,1161857,0.0000,1.0000
2019-12-18,181.0700,181.3200,178.4200,178.4600,177.4676,995101,0.0000,1.0000
2019-12-17,181.2900,182.0500,180.6800,181.1000,180.0929,857512,0.0000,1.0000
2019-12-16,179.4200,180.8900,178.8500,180.5900,179.5857,1031474,0.0000,1.0000
2019-12-13,179.9000,180.9200,178.4050,179.0300,178.0344,968344,0.0000,1.0000
2019-12-12,180.0000,182.6700,179.3898,180.4700,179.4664,1204687,0.0000,1.0000
2019-12-11,180.2800,180.5650,177.5700,179.2700,178.2731,1565582,0.0000,1.0000
2019-12-10,183.0300,183.2900,180.2400,180.4800,179.4763,1191424,0.0000,1.0000
2019-12-09,183.0400,183.9300,182.2500,183.1700,182.1514,1275057,0.0000,1.0000
2019-12-06,183.0000,183.7400,181.9800,183.5500,182.5293,1467408,0.0000,1.0000
2019-12-05,179.0000,182.5800,178.6950,182.3700,181.3558,2458329,0.0000,1.0000
2019-12-04,177.8300,180.7000,177.7500,178.0800,177.0897,1409001,0.0000,1.0000
2019-12-03,177.0000,178.2047,175.7000,177.0400,176.0555,2985857,0.0000,1.0000
2019-12-02,182.0300,182.2600,177.7500,177.9900,177.0002,1963722,0.0000,1.0000
2019-11-29,182.6900,182.6900,181.2000,181.7400,180.7293,915649,0.0000,1.0000
2019-11-27,182.4400,182.8800,181.6400,182.3500,181.3360,1930415,0.0000,1.0000
2019-11-26,182.7900,183.7800,181.7300,182.0200,181.0078,1849085,0.0000,1.0000
2019-11-25,183.2000,183.7200,182.4700,182.6600,181.6442,855015,0.0000,1.0000
2019-11-22,183.3200,183.5673,182.1578,182.8800,181.8630,560156,0.0000,1.0000
2019-11-21,184.0500,184.8800,182.8000,182.9500,181.9326,808820,0.0000,1.0000
