timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,13.4700,13.4700,12.4000,12.4700,12.4700,1534981,0.0000,1.0000
2020-01-22,14.4100,14.6700,14.2700,14.2800,14.2800,507865,0.0000,1.0000
2020-01-21,15.4000,15.4065,14.3900,14.4100,14.4100,520623,0.0000,1.0000
2020-01-17,15.5100,15.5639,15.2800,15.3900,15.3900,226037,0.0000,1.0000
2020-01-16,15.4800,15.6400,15.4000,15.4800,15.4800,125161,0.0000,1.0000
2020-01-15,15.4200,15.5248,15.3300,15.4700,15.4700,113835,0.0000,1.0000
2020-01-14,15.4000,15.6500,15.3100,15.4300,15.4300,209902,0.0000,1.0000
2020-01-13,15.5100,15.6650,15.3500,15.4600,15.4600,187112,0.0000,1.0000
2020-01-10,15.3700,15.5100,15.2600,15.5100,15.5100,218408,0.0000,1.0000
2020-01-09,15.4400,15.5400,15.2500,15.4200,15.4200,145214,0.0000,1.0000
2020-01-08,15.7000,15.9548,15.4000,15.4000,15.4000,183843,0.0000,1.0000
2020-01-07,15.5000,15.7868,15.5000,15.7000,15.7000,156418,0.0000,1.0000
2020-01-06,15.4000,15.7100,15.4000,15.5800,15.5800,184909,0.0000,1.0000
2020-01-03,15.7300,15.7300,15.4700,15.5400,15.5400,142875,0.0000,1.0000
2020-01-02,15.6600,15.8800,15.4700,15.6300,15.6300,167938,0.0000,1.0000
2019-12-31,15.1300,15.6700,15.1000,15.6400,15.6400,468682,0.0000,1.0000
2019-12-30,15.4300,15.5800,15.1000,15.1400,15.1400,264987,0.0000,1.0000
2019-12-27,15.7300,15.7500,15.4300,15.4300,15.4300,211476,0.0000,1.0000
2019-12-26,15.5900,15.7200,15.4902,15.6300,15.6300,251675,0.0000,1.0000
2019-12-24,15.7800,15.7800,15.5560,15.6000,15.6000,96892,0.0000,1.0000
2019-12-23,15.8500,15.9000,15.4500,15.7000,15.7000,287664,0.0000,1.0000
2019-12-20,15.9600,16.0200,15.8100,15.9000,15.9000,358080,0.0000,1.0000
2019-12-19,15.7000,16.0300,15.7000,15.9400,15.9400,271394,0.0000,1.0000
2019-12-18,15.1000,15.8200,15.1000,15.7100,15.7100,293575,0.0000,1.0000
2019-12-17,15.4100,15.7400,15.1200,15.2300,15.2300,275596,0.0000,1.0000
2019-12-16,15.6900,16.0000,15.3500,15.5000,15.5000,344176,0.0000,1.0000
2019-12-13,15.5500,15.8000,15.4100,15.5400,15.5400,366752,0.0000,1.0000
2019-12-12,15.9400,16.2000,15.5110,15.6700,15.6700,317214,0.0000,1.0000
2019-12-11,16.0000,16.0500,15.3000,15.9700,15.9700,506056,0.0000,1.0000
2019-12-10,15.4900,16.3500,15.4300,16.0200,16.0200,694127,0.0000,1.0000
2019-12-09,14.5300,15.1900,14.5100,15.0600,15.0600,570211,0.0000,1.0000
2019-12-06,14.2600,14.6200,14.1800,14.5300,14.5300,324568,0.0000,1.0000
2019-12-05,14.8400,14.9000,14.0000,14.3000,14.3000,386761,0.0000,1.0000
2019-12-04,14.3600,14.7927,14.3100,14.7800,14.7800,307449,0.0000,1.0000
2019-12-03,14.0500,14.3500,13.7700,14.1900,14.1900,325702,0.0000,1.0000
2019-12-02,14.6100,14.6300,14.0500,14.0500,14.0500,355987,0.0000,1.0000
2019-11-29,14.7600,14.8800,14.5101,14.5500,14.5500,149403,0.0000,1.0000
2019-11-27,14.7500,15.0700,14.7100,14.8000,14.8000,320862,0.0000,1.0000
2019-11-26,15.1300,15.2250,14.4700,14.7100,14.7100,448546,0.0000,1.0000
2019-11-25,15.4200,15.5100,15.0200,15.2300,15.2300,259541,0.0000,1.0000
2019-11-22,15.7700,16.1700,15.3900,15.4200,15.4200,319258,0.0000,1.0000
2019-11-21,15.4500,15.7400,15.3300,15.6100,15.6100,257455,0.0000,1.0000
2019-11-20,15.4100,15.5000,15.1100,15.3500,15.3500,400863,0.0000,1.0000
2019-11-19,16.3700,16.4350,15.4000,15.5100,15.5100,643187,0.0000,1.0000
2019-11-18,17.0000,17.0600,16.3400,16.5300,16.5300,298947,0.0000,1.0000
2019-11-15,17.2200,17.2500,16.7300,17.0600,17.0600,221610,0.0000,1.0000
2019-11-14,17.4100,17.5800,16.8000,17.0800,17.0800,334383,0.0000,1.0000
2019-11-13,17.6700,17.8325,17.3000,17.3000,17.3000,174129,0.0000,1.0000
2019-11-12,17.4500,18.1000,17.2900,17.7000,17.7000,271494,0.0000,1.0000
2019-11-11,18.0000,18.1100,17.2600,17.4500,17.4500,417821,0.0000,1.0000
2019-11-08,18.3200,18.4100,17.9450,18.1000,18.1000,285226,0.0000,1.0000
2019-11-07,19.0800,19.0800,18.3000,18.4300,18.4300,279973,0.5500,1.0000
2019-11-06,20.1200,20.1200,19.3100,19.5100,18.9446,331974,0.0000,1.0000
2019-11-05,20.0700,20.1799,19.8100,20.1200,19.5370,154157,0.0000,1.0000
2019-11-04,20.2500,20.2800,19.7600,19.9800,19.4010,287055,0.0000,1.0000
2019-11-01,19.8800,20.1400,19.8100,20.1400,19.5564,156250,0.0000,1.0000
2019-10-31,19.9600,19.9600,19.5700,19.8100,19.2359,125311,0.0000,1.0000
2019-10-30,20.1400,20.2000,19.4950,19.8900,19.3136,139995,0.0000,1.0000
2019-10-29,20.2400,20.2600,19.8800,20.0100,19.4302,220348,0.0000,1.0000
2019-10-28,20.3400,20.4700,20.2000,20.3500,19.7603,82577,0.0000,1.0000
2019-10-25,20.3100,20.5800,20.2700,20.2800,19.6923,80253,0.0000,1.0000
2019-10-24,20.4600,20.5000,20.0800,20.3100,19.7215,89509,0.0000,1.0000
2019-10-23,19.9700,20.5000,19.8300,20.4600,19.8671,127672,0.0000,1.0000
2019-10-22,19.9800,20.0000,19.7900,19.9200,19.3428,188240,0.0000,1.0000
2019-10-21,19.6900,20.0100,19.6900,19.8800,19.3039,72166,0.0000,1.0000
2019-10-18,19.8700,19.8700,19.6100,19.6600,19.0903,91305,0.0000,1.0000
2019-10-17,19.8500,20.0500,19.7300,19.8600,19.2845,89048,0.0000,1.0000
2019-10-16,19.6400,20.0200,19.6400,19.8500,19.2748,68900,0.0000,1.0000
2019-10-15,19.9000,20.2000,19.6400,19.6400,19.0709,95898,0.0000,1.0000
2019-10-14,19.8000,19.9454,19.6350,19.8600,19.2845,55234,0.0000,1.0000
2019-10-11,19.8500,20.0100,19.7800,19.8500,19.2748,91169,0.0000,1.0000
2019-10-10,19.3100,19.7169,19.3100,19.6900,19.1194,110663,0.0000,1.0000
2019-10-09,19.2600,19.3700,18.9700,19.1800,18.6242,73354,0.0000,1.0000
2019-10-08,19.2100,19.2100,18.8550,19.0500,18.4980,96200,0.0000,1.0000
2019-10-07,18.8500,19.4300,18.8500,19.2300,18.6728,167675,0.0000,1.0000
2019-10-04,18.5000,18.8800,18.4700,18.8200,18.2746,94239,0.0000,1.0000
2019-10-03,18.2200,18.4700,18.0902,18.3800,17.8474,130480,0.0000,1.0000
2019-10-02,18.6000,18.6700,18.2200,18.2200,17.6920,120872,0.0000,1.0000
2019-10-01,18.9800,19.3600,18.6100,18.6600,18.1193,157110,0.0000,1.0000
2019-09-30,19.0100,19.0900,18.7300,18.9800,18.4300,120741,0.0000,1.0000
2019-09-27,18.9600,19.2700,18.9100,19.1200,18.5659,99361,0.0000,1.0000
2019-09-26,19.1100,19.2200,18.8000,18.9800,18.4300,105945,0.0000,1.0000
