timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,17.1600,17.5800,16.9100,17.5700,17.5700,289217,0.0000,1.0000
2020-01-22,17.1100,17.3100,16.9900,17.2600,17.2600,96291,0.0000,1.0000
2020-01-21,17.6100,17.8700,16.9800,17.0800,17.0800,157351,0.0000,1.0000
2020-01-17,18.2300,18.2300,17.8400,17.8700,17.8700,116750,0.0000,1.0000
2020-01-16,17.5000,18.1450,17.4400,18.1000,18.1000,166786,0.0000,1.0000
2020-01-15,17.3400,17.6150,17.1900,17.3700,17.3700,342692,0.0000,1.0000
2020-01-14,17.3400,17.4700,17.1900,17.4500,17.4500,156546,0.0000,1.0000
2020-01-13,17.0200,17.3800,16.9000,17.3700,17.3700,150421,0.0000,1.0000
2020-01-10,17.5100,17.6900,17.0100,17.0400,17.0400,124538,0.0000,1.0000
2020-01-09,17.5500,17.6500,17.3400,17.4000,17.4000,149471,0.0000,1.0000
2020-01-08,17.1800,17.5800,17.1800,17.5300,17.5300,141943,0.0000,1.0000
2020-01-07,16.9300,17.3200,16.8800,17.1800,17.1800,220007,0.0000,1.0000
2020-01-06,17.4600,17.5300,16.9200,17.0600,17.0600,208643,0.0000,1.0000
2020-01-03,17.5500,17.8750,17.4885,17.6400,17.6400,217875,0.0000,1.0000
2020-01-02,18.3200,18.3900,17.7670,17.8900,17.8900,193858,0.1300,1.0000
2019-12-31,18.3300,18.5800,18.2600,18.3000,18.1680,146354,0.0000,1.0000
2019-12-30,18.2500,18.4200,18.2100,18.3300,18.1978,139779,0.0000,1.0000
2019-12-27,18.2800,18.3100,18.0700,18.2500,18.1183,128823,0.0000,1.0000
2019-12-26,18.5000,18.5700,18.2100,18.2800,18.1481,87255,0.0000,1.0000
2019-12-24,18.2900,18.4900,18.2350,18.4400,18.3070,43705,0.0000,1.0000
2019-12-23,18.2000,18.4300,17.8733,18.3000,18.1680,234708,0.0000,1.0000
2019-12-20,18.4400,18.5300,18.0300,18.4200,18.2871,1009167,0.0000,1.0000
2019-12-19,18.5200,18.5900,18.3300,18.4500,18.3169,199187,0.0000,1.0000
2019-12-18,18.3600,18.4300,18.2138,18.3900,18.2573,544642,0.0000,1.0000
2019-12-17,18.3700,18.4400,18.1500,18.2500,18.1183,435461,0.0000,1.0000
2019-12-16,18.6700,18.6700,18.1900,18.3000,18.1680,213205,0.0000,1.0000
2019-12-13,18.6100,18.8000,18.3300,18.4900,18.3566,144812,0.0000,1.0000
2019-12-12,18.7000,18.9000,18.5100,18.5700,18.4360,259430,0.0000,1.0000
2019-12-11,18.8200,18.8700,18.6200,18.6700,18.5353,223020,0.0000,1.0000
2019-12-10,18.8700,18.9881,18.4700,18.6600,18.5254,193423,0.0000,1.0000
2019-12-09,18.5000,18.9600,18.5000,18.9200,18.7835,265332,0.0000,1.0000
2019-12-06,18.4700,18.7600,18.4400,18.4600,18.3268,254434,0.0000,1.0000
2019-12-05,18.1600,18.2900,18.0400,18.1800,18.0488,262948,0.0000,1.0000
2019-12-04,17.9700,18.4700,17.9700,18.1300,17.9992,218047,0.0000,1.0000
2019-12-03,17.5900,17.9050,17.4500,17.8200,17.6914,184547,0.0000,1.0000
2019-12-02,17.9200,18.0100,17.7500,17.8500,17.7212,149025,0.0000,1.0000
2019-11-29,18.3000,18.3300,17.8000,17.8500,17.7212,61344,0.0000,1.0000
2019-11-27,18.1500,18.2200,17.9400,18.2200,18.0886,89384,0.0000,1.0000
2019-11-26,17.9400,18.1700,17.8000,18.0100,17.8801,155610,0.0000,1.0000
2019-11-25,17.4900,17.9500,17.4650,17.9400,17.8106,318084,0.0000,1.0000
2019-11-22,17.7400,17.7800,17.4450,17.4600,17.3340,151689,0.0000,1.0000
2019-11-21,17.7100,17.7700,17.5800,17.5800,17.4532,200219,0.0000,1.0000
2019-11-20,17.7800,17.9750,17.5300,17.6000,17.4730,338691,0.0000,1.0000
2019-11-19,18.0000,18.2000,17.9000,17.9100,17.7808,169925,0.0000,1.0000
