timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,30.3700,30.8800,30.1750,30.8400,30.8400,1723858,0.0000,1.0000
2020-01-22,30.6600,30.9300,30.2850,30.3000,30.3000,1096989,0.0000,1.0000
2020-01-21,31.0000,31.0350,30.4700,30.5000,30.5000,1531051,0.0000,1.0000
2020-01-17,31.1200,31.2700,30.8900,30.9800,30.9800,1198801,0.0000,1.0000
2020-01-16,30.8000,31.1800,30.6200,31.1550,31.1550,1366373,0.0000,1.0000
2020-01-15,30.5300,30.8850,30.5300,30.7900,30.7900,1359683,0.0000,1.0000
2020-01-14,30.2800,30.6500,30.2100,30.5700,30.5700,1195255,0.0000,1.0000
2020-01-13,30.2100,30.3200,30.0500,30.1700,30.1700,1382539,0.0000,1.0000
2020-01-10,29.8300,30.1200,29.7700,30.0700,30.0700,1530066,0.0000,1.0000
2020-01-09,29.9300,29.9800,29.5200,29.8900,29.8900,2328116,0.0000,1.0000
2020-01-08,29.5000,29.9400,29.4550,29.8600,29.8600,3031537,0.0000,1.0000
2020-01-07,29.7800,29.8200,29.1650,29.4300,29.4300,1093992,0.1150,1.0000
2020-01-06,29.4700,30.2700,29.2600,29.8700,29.7537,2129747,0.0000,1.0000
2020-01-03,29.0400,29.1800,28.8600,29.0900,28.9768,1582627,0.0000,1.0000
2020-01-02,29.0900,29.4850,28.8470,29.4600,29.3453,1872044,0.0000,1.0000
2019-12-31,29.0700,29.3300,28.8600,28.9800,28.8672,1697972,0.0000,1.0000
2019-12-30,28.9000,29.2500,28.7200,29.2450,29.1312,1362148,0.0000,1.0000
2019-12-27,29.0600,29.1300,28.9050,28.9950,28.8821,790491,0.0000,1.0000
2019-12-26,28.9900,29.0000,28.7400,28.9800,28.8672,865267,0.0000,1.0000
2019-12-24,29.0000,29.1050,28.8600,28.9500,28.8373,515336,0.0000,1.0000
2019-12-23,29.6500,29.6850,28.8900,28.9100,28.7975,1281539,0.0000,1.0000
2019-12-20,29.2800,29.7400,29.1200,29.6700,29.5545,4213882,0.0000,1.0000
2019-12-19,29.0500,29.2400,28.9100,29.1300,29.0166,1374605,0.0000,1.0000
2019-12-18,28.8000,29.2250,28.7300,29.2000,29.0863,1742245,0.0000,1.0000
2019-12-17,28.7200,28.9500,28.5100,28.7800,28.6680,1470576,0.0000,1.0000
2019-12-16,27.8200,28.7550,27.8200,28.5900,28.4787,1970355,0.0000,1.0000
2019-12-13,28.9200,28.9387,27.6600,27.7500,27.6420,1447601,0.0000,1.0000
2019-12-12,28.4300,28.9700,28.3600,28.9400,28.8274,1649735,0.0000,1.0000
2019-12-11,28.1200,28.5900,28.1200,28.3650,28.2546,1941659,0.0000,1.0000
2019-12-10,27.9700,28.3600,27.7200,28.1150,28.0056,1252205,0.0000,1.0000
2019-12-09,28.6200,28.6900,28.0850,28.1000,27.9906,1265486,0.0000,1.0000
2019-12-06,28.4400,28.8650,28.4400,28.7100,28.5983,1868288,0.0000,1.0000
2019-12-05,28.1400,28.3700,28.0800,28.2100,28.1002,1463279,0.0000,1.0000
2019-12-04,28.0600,28.4300,28.0100,28.0300,27.9209,1313924,0.0000,1.0000
2019-12-03,28.2500,28.2500,27.9300,28.0500,27.9408,817136,0.0000,1.0000
2019-12-02,28.6700,28.7800,28.4000,28.5800,28.4688,942977,0.0000,1.0000
2019-11-29,28.7600,28.8000,28.3500,28.4000,28.2895,679038,0.0000,1.0000
2019-11-27,28.7500,28.8850,28.6300,28.8700,28.7576,665760,0.0000,1.0000
2019-11-26,28.5100,28.8300,28.3000,28.7500,28.6381,950522,0.0000,1.0000
2019-11-25,28.2400,28.5600,28.0501,28.5400,28.4289,1207186,0.0000,1.0000
2019-11-22,28.6800,28.8200,28.1150,28.1400,28.0305,805643,0.0000,1.0000
2019-11-21,28.6400,28.7900,28.5300,28.6150,28.5036,1681378,0.0000,1.0000
2019-11-20,28.6000,28.6700,28.3400,28.5200,28.4090,1979660,0.0000,1.0000
2019-11-19,28.8200,28.8200,28.4600,28.6600,28.5484,1262543,0.0000,1.0000
2019-11-18,28.4200,28.6500,28.3250,28.5650,28.4538,1258102,0.0000,1.0000
2019-11-15,29.0200,29.1600,28.4400,28.4800,28.3691,1487783,0.0000,1.0000
2019-11-14,28.1900,29.0600,28.1600,28.8700,28.7576,2737248,0.0000,1.0000
2019-11-13,28.7700,28.8304,28.2200,28.2500,28.1400,1122108,0.0000,1.0000
2019-11-12,29.1000,29.4500,28.8250,28.8700,28.7576,941641,0.0000,1.0000
