timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,37.7100,37.8200,37.2200,37.7900,37.7900,35403,0.0000,1.0000
2020-01-22,38.3000,38.4650,37.7300,37.7800,37.7800,37510,0.0000,1.0000
2020-01-21,38.1800,38.4900,37.9400,38.1300,38.1300,46671,0.0000,1.0000
2020-01-17,38.8100,38.8400,38.1700,38.5000,38.5000,31471,0.0000,1.0000
2020-01-16,37.9600,38.6400,37.9100,38.5600,38.5600,37098,0.0000,1.0000
2020-01-15,37.5000,37.9900,37.3400,37.7400,37.7400,39847,0.0000,1.0000
2020-01-14,37.7900,37.7900,37.4100,37.5300,37.5300,37649,0.0000,1.0000
2020-01-13,37.1800,37.8300,37.1800,37.7900,37.7900,41061,0.0000,1.0000
2020-01-10,37.5700,37.5700,36.8300,37.1800,37.1800,38040,0.0000,1.0000
2020-01-09,37.5600,37.7200,37.3100,37.5000,37.5000,35976,0.0000,1.0000
2020-01-08,37.1500,37.4200,37.0700,37.3600,37.3600,31724,0.0000,1.0000
2020-01-07,37.3100,37.6800,36.9400,37.1400,37.1400,32429,0.0000,1.0000
2020-01-06,37.5300,37.7500,36.8401,37.4700,37.4700,47658,0.0000,1.0000
2020-01-03,37.2800,37.8400,37.1900,37.5700,37.5700,32453,0.0000,1.0000
2020-01-02,37.8600,37.8600,37.1400,37.6800,37.6800,38171,0.0000,1.0000
2019-12-31,37.8000,37.8600,37.4300,37.5000,37.5000,45211,0.0000,1.0000
2019-12-30,37.5100,37.9791,37.3000,37.7100,37.7100,50282,0.0000,1.0000
2019-12-27,37.9600,37.9600,37.3700,37.4500,37.4500,44564,0.0000,1.0000
2019-12-26,38.1000,38.1000,37.6500,37.7900,37.7900,15901,0.0000,1.0000
2019-12-24,38.1500,38.1800,37.6400,37.9200,37.9200,16034,0.0000,1.0000
2019-12-23,38.4900,38.5800,37.8200,38.0300,38.0300,53276,0.0000,1.0000
2019-12-20,39.2300,39.6000,38.3900,38.4200,38.4200,235526,0.0000,1.0000
2019-12-19,38.6600,39.2550,38.3500,39.0500,39.0500,72878,0.0000,1.0000
2019-12-18,38.5700,38.8100,38.0300,38.6800,38.6800,60045,0.0000,1.0000
2019-12-17,38.4700,38.7900,37.3800,38.6400,38.6400,137359,0.0000,1.0000
2019-12-16,38.5900,38.9900,38.2500,38.9400,38.9400,68100,0.0000,1.0000
2019-12-13,38.1800,38.4600,37.4800,38.2800,38.2800,44783,0.0000,1.0000
2019-12-12,37.7500,38.6600,37.5300,38.4000,38.4000,77238,0.0000,1.0000
2019-12-11,37.3100,37.8700,37.0850,37.7900,37.7900,28874,0.0000,1.0000
2019-12-10,36.8600,37.3900,36.8000,37.1600,37.1600,36704,0.0000,1.0000
2019-12-09,36.8700,37.2900,36.6100,36.8700,36.8700,25120,0.0000,1.0000
2019-12-06,37.4100,37.4900,36.8100,36.9000,36.9000,36836,0.0000,1.0000
2019-12-05,36.2800,36.8899,36.0900,36.6400,36.6400,26696,0.0000,1.0000
2019-12-04,36.4700,36.9700,36.0300,36.0700,36.0700,27454,0.0000,1.0000
2019-12-03,36.3600,36.5850,36.0000,36.1400,36.1400,65918,0.0000,1.0000
2019-12-02,37.0100,37.2800,36.5200,36.7300,36.7300,48231,0.0000,1.0000
2019-11-29,37.0000,37.1050,36.7800,37.0100,37.0100,22259,0.0000,1.0000
2019-11-27,37.3300,37.5000,36.9700,37.1100,37.1100,33913,0.0000,1.0000
2019-11-26,37.2000,37.4400,37.0100,37.2400,37.2400,32922,0.0000,1.0000
2019-11-25,36.4200,37.2500,36.3000,37.0700,37.0700,57078,0.0000,1.0000
2019-11-22,36.3700,36.5000,36.0800,36.1700,36.1700,29071,0.0000,1.0000
2019-11-21,36.5200,36.6400,36.0500,36.2800,36.2800,39373,0.0000,1.0000
2019-11-20,36.4400,36.8500,36.1600,36.3200,36.3200,51512,0.0000,1.0000
2019-11-19,36.4200,36.8200,36.3000,36.5000,36.5000,32651,0.0000,1.0000
2019-11-18,36.0000,36.3900,35.8917,36.1400,36.1400,37774,0.0000,1.0000
2019-11-15,36.4200,36.5800,36.0800,36.1100,36.1100,21944,0.0000,1.0000
2019-11-14,36.0000,36.3900,35.9900,36.1900,36.1900,32413,0.1450,1.0000
2019-11-13,36.3700,36.4500,36.0700,36.0800,35.9360,30522,0.0000,1.0000
2019-11-12,36.3300,37.1800,36.1200,36.5800,36.4340,40844,0.0000,1.0000
2019-11-11,36.3400,36.4252,36.0800,36.2300,36.0854,32778,0.0000,1.0000
2019-11-08,36.9900,37.1200,36.4000,36.5400,36.3942,37727,0.0000,1.0000
2019-11-07,37.4200,37.6100,37.0100,37.0600,36.9121,28370,0.0000,1.0000
2019-11-06,37.4700,37.4700,36.6500,37.0300,36.8822,65733,0.0000,1.0000
2019-11-05,37.6300,38.0000,37.1400,37.4400,37.2906,54321,0.0000,1.0000
2019-11-04,37.6300,37.9000,37.2500,37.6900,37.5396,49649,0.0000,1.0000
2019-11-01,37.1500,37.8200,37.1100,37.3900,37.2408,47271,0.0000,1.0000
2019-10-31,37.2300,37.2300,36.4000,36.9400,36.7926,65300,0.0000,1.0000
2019-10-30,37.5900,37.5900,36.6700,37.1100,36.9619,60832,0.0000,1.0000
2019-10-29,36.7400,37.6500,36.6674,37.6000,37.4500,94647,0.0000,1.0000
2019-10-28,36.2800,37.0500,35.9900,36.9700,36.8225,65376,0.0000,1.0000
2019-10-25,35.9300,36.4491,35.1200,36.1800,36.0356,63200,0.0000,1.0000
2019-10-24,36.1700,36.2800,35.4200,35.9500,35.8065,72674,0.0000,1.0000
2019-10-23,35.8000,36.0300,35.3700,35.9500,35.8065,52257,0.0000,1.0000
2019-10-22,35.5000,36.0200,34.9700,35.7300,35.5874,54783,0.0000,1.0000
2019-10-21,35.7600,36.2100,35.3500,35.5000,35.3583,58061,0.0000,1.0000
2019-10-18,34.6900,35.4400,34.6100,35.4100,35.2687,75940,0.0000,1.0000
2019-10-17,34.6500,35.0700,34.4100,34.9000,34.7607,43615,0.0000,1.0000
2019-10-16,34.1900,34.7800,34.1100,34.4100,34.2727,48870,0.0000,1.0000
2019-10-15,34.0000,34.6350,33.7700,34.3800,34.2428,30288,0.0000,1.0000
2019-10-14,34.1000,34.1900,33.6600,33.8600,33.7249,32362,0.0000,1.0000
2019-10-11,34.2600,35.0500,34.0800,34.1500,34.0137,57247,0.0000,1.0000
2019-10-10,33.4100,33.9600,33.3800,33.5300,33.3962,34643,0.0000,1.0000
2019-10-09,33.5700,33.5800,33.0100,33.4900,33.3564,32021,0.0000,1.0000
2019-10-08,33.6800,33.6800,33.0600,33.1900,33.0576,35664,0.0000,1.0000
2019-10-07,33.8900,34.1300,33.1900,33.9300,33.7946,91403,0.0000,1.0000
2019-10-04,33.6800,33.9700,33.2789,33.9300,33.7946,31202,0.0000,1.0000
2019-10-03,33.6300,33.8250,32.8377,33.5700,33.4360,47040,0.0000,1.0000
2019-10-02,33.7500,33.9600,33.2500,33.6900,33.5556,56929,0.0000,1.0000
2019-10-01,35.0100,35.3600,33.7600,33.9600,33.8245,48607,0.0000,1.0000
2019-09-30,35.1300,35.4400,34.7400,34.7900,34.6512,65784,0.0000,1.0000
2019-09-27,35.0600,35.4400,34.5200,35.0700,34.9300,41975,0.0000,1.0000
2019-09-26,35.1000,35.2500,34.7950,34.9700,34.8304,61105,0.0000,1.0000
2019-09-25,34.0500,35.3100,34.0500,35.1900,35.0496,50388,0.0000,1.0000
2019-09-24,34.2400,34.3000,33.6800,34.0600,33.9241,50017,0.0000,1.0000
2019-09-23,33.6800,34.5500,33.6800,34.2600,34.1233,46727,0.0000,1.0000
2019-09-20,33.6600,34.2700,33.2500,34.0200,33.8842,223174,0.0000,1.0000
2019-09-19,33.9100,34.4100,33.6500,33.7400,33.6054,52197,0.0000,1.0000
2019-09-18,34.0200,34.1400,33.4600,33.8300,33.6950,49361,0.0000,1.0000
2019-09-17,34.0000,34.2300,33.2500,34.0800,33.9440,36856,0.0000,1.0000
2019-09-16,34.2600,34.7400,33.5900,34.0600,33.9241,60443,0.0000,1.0000
2019-09-13,34.1500,34.5500,33.4700,34.4500,34.3125,86630,0.0000,1.0000
2019-09-12,32.9000,34.0300,32.2436,33.9500,33.8145,76705,0.0000,1.0000
2019-09-11,31.8900,33.1000,31.4510,32.9000,32.7687,59680,0.0000,1.0000
2019-09-10,29.9100,32.2450,29.9100,31.7000,31.5735,58672,0.0000,1.0000
2019-09-09,29.8000,30.1750,29.5600,29.8000,29.6811,74005,0.0000,1.0000
2019-09-06,30.0700,30.0700,29.6000,29.8700,29.7508,29391,0.0000,1.0000
2019-09-05,29.6600,30.7900,29.6500,30.0500,29.9301,58331,0.0000,1.0000
2019-09-04,29.7200,29.9000,29.5300,29.6100,29.4918,18829,0.0000,1.0000
2019-09-03,29.6700,29.6700,29.1581,29.3700,29.2528,30538,0.0000,1.0000
2019-08-30,29.9800,30.1300,29.5400,29.8700,29.7508,31710,0.0000,1.0000
2019-08-29,29.6500,29.9300,29.6400,29.6500,29.5317,24986,0.0000,1.0000
2019-08-28,29.0000,29.5600,29.0000,29.2000,29.0835,61365,0.0000,1.0000
2019-08-27,29.9700,30.0650,29.0100,29.0500,28.9341,30791,0.0000,1.0000
2019-08-26,29.4600,29.8000,29.1300,29.7400,29.6213,23748,0.0000,1.0000
2019-08-23,29.9800,30.1500,29.0000,29.1400,29.0237,46079,0.0000,1.0000
2019-08-22,30.5400,30.7000,30.0700,30.1000,29.9799,20029,0.0000,1.0000
2019-08-21,30.6100,30.7000,30.2905,30.3200,30.1990,31596,0.0000,1.0000
2019-08-20,30.3800,30.5000,30.0500,30.2300,30.1094,18503,0.0000,1.0000
2019-08-19,30.9900,31.0500,30.3000,30.4000,30.2787,46903,0.0000,1.0000
2019-08-16,30.1000,30.8200,30.1000,30.4900,30.3683,34144,0.0000,1.0000
2019-08-15,30.0700,30.2400,29.6900,29.9300,29.8106,22873,0.0000,1.0000
2019-08-14,31.0000,31.1500,29.6900,29.9400,29.8205,62256,0.1350,1.0000
2019-08-13,30.7600,31.7600,30.6000,31.3900,31.1244,31748,0.0000,1.0000
2019-08-12,31.0200,31.1800,30.7500,30.7800,30.5196,15608,0.0000,1.0000
2019-08-09,31.9800,31.9800,30.6800,31.2500,30.9856,25288,0.0000,1.0000
2019-08-08,31.4800,32.2800,31.1900,31.9900,31.7193,40900,0.0000,1.0000
2019-08-07,31.0200,31.6800,30.6000,31.3000,31.0352,30907,0.0000,1.0000
2019-08-06,31.2500,31.8800,30.7800,31.3900,31.1244,28410,0.0000,1.0000
2019-08-05,31.9900,32.1800,30.7900,31.0600,30.7972,33848,0.0000,1.0000
2019-08-02,32.3500,32.8000,31.9800,32.2000,31.9275,34860,0.0000,1.0000
2019-08-01,33.2100,33.6800,32.4300,32.5800,32.3043,36256,0.0000,1.0000
2019-07-31,33.1500,34.2000,33.1500,33.2200,32.9389,72028,0.0000,1.0000
2019-07-30,32.2400,33.4907,32.1800,33.3000,33.0182,47534,0.0000,1.0000
2019-07-29,32.7500,33.2500,32.0500,32.5300,32.2547,49764,0.0000,1.0000
2019-07-26,31.8900,33.2200,30.9900,32.8700,32.5919,49400,0.0000,1.0000
2019-07-25,32.3500,32.3500,31.3900,31.7200,31.4516,17888,0.0000,1.0000
2019-07-24,31.5200,32.3700,31.2636,32.2800,32.0069,19971,0.0000,1.0000
2019-07-23,31.0500,31.6700,30.9700,31.5900,31.3227,17652,0.0000,1.0000
2019-07-22,31.1400,31.3992,30.5539,30.8900,30.6286,37104,0.0000,1.0000
2019-07-19,31.4900,31.8080,30.9900,31.0400,30.7774,50392,0.0000,1.0000
2019-07-18,31.1700,31.6800,31.1200,31.5200,31.2533,31206,0.0000,1.0000
2019-07-17,31.4300,31.4700,31.0239,31.1600,30.8963,27730,0.0000,1.0000
2019-07-16,31.0000,31.8100,31.0000,31.4500,31.1839,22102,0.0000,1.0000
2019-07-15,31.5800,31.5800,30.8400,31.0500,30.7873,26100,0.0000,1.0000
2019-07-12,30.7300,31.7700,30.7300,31.3900,31.1244,41151,0.0000,1.0000
2019-07-11,30.7600,31.0300,29.9300,30.7400,30.4799,110420,0.0000,1.0000
2019-07-10,31.1200,31.6300,30.4200,30.6600,30.4006,91301,0.0000,1.0000
2019-07-09,31.5700,31.6400,31.0800,31.6000,31.3326,40935,0.0000,1.0000
2019-07-08,32.2300,32.6600,31.3700,31.7300,31.4615,31137,0.0000,1.0000
2019-07-05,32.7500,32.8050,32.2500,32.4500,32.1754,36373,0.0000,1.0000
2019-07-03,32.5500,32.9700,32.5500,32.8100,32.5324,26587,0.0000,1.0000
2019-07-02,32.7000,32.8448,32.3300,32.5500,32.2746,38092,0.0000,1.0000
2019-07-01,33.2000,33.5100,32.1300,32.6900,32.4134,52361,0.0000,1.0000
2019-06-28,31.9500,32.9500,31.9500,32.8300,32.5522,127556,0.0000,1.0000
2019-06-27,31.2700,31.8100,31.2700,31.7600,31.4913,32123,0.0000,1.0000
2019-06-26,31.3500,31.4800,31.0500,31.2500,30.9856,39597,0.0000,1.0000
2019-06-25,31.3000,31.6065,31.1000,31.2500,30.9856,84607,0.0000,1.0000
2019-06-24,31.5100,31.9300,30.8900,31.2500,30.9856,105166,0.0000,1.0000
2019-06-21,30.9000,31.9700,30.9000,31.5100,31.2434,109907,0.0000,1.0000
2019-06-20,30.9000,31.2800,30.5300,30.8800,30.6187,79867,0.0000,1.0000
2019-06-19,30.7200,30.8500,30.4400,30.5300,30.2717,53529,0.0000,1.0000
2019-06-18,30.3900,30.8700,30.3900,30.6600,30.4006,20266,0.0000,1.0000
2019-06-17,30.0800,30.3700,30.0000,30.1900,29.9345,26646,0.0000,1.0000
2019-06-14,30.2800,30.5000,29.8100,29.9200,29.6668,45702,0.0000,1.0000
