timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-22,221.0000,223.0000,219.3200,219.9100,219.9100,1411393,0.0000,1.0000
2020-01-21,219.4000,221.3400,217.8100,220.4600,220.4600,1527234,0.0000,1.0000
2020-01-17,215.3000,219.4650,214.0100,219.3800,219.3800,1934474,0.0000,1.0000
2020-01-16,214.0200,214.9900,213.2000,214.3500,214.3500,876557,0.0000,1.0000
2020-01-15,212.4000,215.6700,211.8500,213.1600,213.1600,882653,0.0000,1.0000
2020-01-14,212.5700,213.0900,211.6200,212.7800,212.7800,1265363,0.0000,1.0000
2020-01-13,211.4400,212.7500,208.7175,212.6000,212.6000,1306901,0.0000,1.0000
2020-01-10,212.0700,212.3400,209.7050,210.3700,210.3700,1186459,0.0000,1.0000
2020-01-09,210.3900,212.9400,210.2633,212.2900,212.2900,979981,0.0000,1.0000
2020-01-08,212.7500,214.8899,210.4100,211.2900,211.2900,1683321,0.0000,1.0000
2020-01-07,212.0200,214.2400,211.0000,212.7300,212.7300,1551533,0.0000,1.0000
2020-01-06,212.2200,214.0000,209.1400,211.7200,211.7200,1968125,0.0000,1.0000
2020-01-03,206.1700,210.8300,206.1700,210.4700,210.4700,2182244,0.0000,1.0000
2020-01-02,198.4300,203.3700,198.0550,203.3100,203.3100,1214661,0.0000,1.0000
2019-12-31,199.9200,200.5600,197.0400,197.8700,197.8700,1010883,0.0000,1.0000
2019-12-30,201.7700,201.7800,199.0000,200.0800,200.0800,838100,0.0000,1.0000
2019-12-27,202.0800,203.2300,201.2500,201.7100,201.7100,881467,0.0000,1.0000
2019-12-26,201.2300,202.0000,200.6200,201.6100,201.6100,637725,0.0000,1.0000
2019-12-24,202.8900,203.0200,200.6000,201.2200,201.2200,330616,0.0000,1.0000
2019-12-23,200.7700,203.1895,199.0600,201.7300,201.7300,1129448,0.0000,1.0000
2019-12-20,199.6000,200.7700,197.1100,199.9900,199.9900,2304914,0.0000,1.0000
2019-12-19,198.2200,198.9700,196.1500,197.4100,197.4100,1288740,0.0000,1.0000
2019-12-18,199.2100,199.9400,196.5500,197.7200,197.7200,1306615,0.0000,1.0000
2019-12-17,200.9700,201.9800,196.2800,199.0800,199.0800,1240129,0.0000,1.0000
2019-12-16,200.5900,202.4500,199.1000,201.3400,201.3400,1322674,0.0000,1.0000
2019-12-13,195.7800,200.3500,195.7800,200.1800,200.1800,1515940,0.0000,1.0000
2019-12-12,198.3900,199.9900,195.2300,196.2800,196.2800,1102102,0.0000,1.0000
2019-12-11,196.1600,198.6400,196.1600,198.4800,198.4800,1078877,0.0000,1.0000
2019-12-10,198.0700,199.4800,196.5500,196.9600,196.9600,1626460,0.0000,1.0000
2019-12-09,192.5000,193.7600,191.9300,193.6200,193.6200,1239579,0.0000,1.0000
2019-12-06,193.5500,195.3900,192.2400,192.4900,192.4900,1333369,0.0000,1.0000
2019-12-05,193.6800,194.6800,193.1500,193.3900,193.3900,909857,0.0000,1.0000
2019-12-04,195.7800,196.4500,193.5900,193.6800,193.6800,1062525,0.0000,1.0000
2019-12-03,194.2700,195.5600,193.3200,194.9400,194.9400,1313826,0.0000,1.0000
2019-12-02,200.2200,200.6700,193.8600,194.2700,194.2700,1364278,0.0000,1.0000
2019-11-29,201.1100,201.6600,199.3600,201.0900,201.0900,485936,0.0000,1.0000
2019-11-27,199.5100,200.9055,198.5250,200.5000,200.5000,802029,0.0000,1.0000
2019-11-26,197.5800,200.2800,196.5400,199.7100,199.7100,1932704,0.0000,1.0000
2019-11-25,198.6700,200.5500,195.9000,196.4900,196.4900,1710418,0.0000,1.0000
2019-11-22,200.6800,201.2100,197.6511,198.6400,198.6400,900518,0.0000,1.0000
2019-11-21,204.0000,205.0900,198.6250,199.0600,199.0600,1746281,0.7500,1.0000
2019-11-20,203.4200,206.2000,203.3300,204.8100,204.0412,1227776,0.0000,1.0000
2019-11-19,203.9400,204.9900,202.2800,203.1500,202.3875,1301661,0.0000,1.0000
2019-11-18,202.3800,204.2200,202.0100,202.7400,201.9790,1285089,0.0000,1.0000
2019-11-15,201.6300,202.9800,200.9500,202.5200,201.7598,1212849,0.0000,1.0000
2019-11-14,199.2800,201.4900,198.6300,199.7600,199.0102,858533,0.0000,1.0000
2019-11-13,197.9300,200.2850,196.3400,199.2300,198.4822,1313265,0.0000,1.0000
2019-11-12,194.7300,198.6500,194.0300,198.1900,197.4461,1951387,0.0000,1.0000
2019-11-11,194.6500,195.7400,191.9500,195.1600,194.4275,1470200,0.0000,1.0000
2019-11-08,194.3800,197.7500,194.3100,196.0200,195.2842,1374547,0.0000,1.0000
2019-11-07,197.0000,197.3900,194.5600,194.8800,194.1485,1569604,0.0000,1.0000
2019-11-06,192.0600,196.3000,192.0600,195.9500,195.2145,1753963,0.0000,1.0000
2019-11-05,194.3700,194.8700,190.5500,193.0400,192.3154,2652765,0.0000,1.0000
2019-11-04,201.0000,201.6150,193.7700,194.9300,194.1983,2417339,0.0000,1.0000
2019-11-01,206.3500,208.0000,200.1500,201.4100,200.6540,2411835,0.0000,1.0000
2019-10-31,207.3800,209.3500,204.5900,206.3100,205.5356,1962772,0.0000,1.0000
2019-10-30,206.8600,209.1200,203.0100,207.8200,207.0399,1676413,0.0000,1.0000
2019-10-29,201.2400,204.0100,200.2700,202.9900,202.2281,1795212,0.0000,1.0000
2019-10-28,200.9700,202.6500,199.9300,200.5900,199.8371,1140529,0.0000,1.0000
2019-10-25,204.4900,204.4900,199.1750,200.9600,200.2057,1138990,0.0000,1.0000
2019-10-24,199.8700,206.2700,199.3900,204.1000,203.3339,1415012,0.0000,1.0000
2019-10-23,201.2400,201.8800,198.7400,200.3800,199.6279,1189695,0.0000,1.0000
2019-10-22,198.5000,202.5050,197.0800,200.6700,199.9168,1434219,0.0000,1.0000
2019-10-21,199.2500,202.1900,198.7300,199.6600,198.9106,1145637,0.0000,1.0000
2019-10-18,201.0100,201.6673,195.1300,198.0800,197.3365,2112412,0.0000,1.0000
2019-10-17,208.2200,208.5650,200.7600,200.9400,200.1858,1296164,0.0000,1.0000
2019-10-16,205.7300,208.2000,204.5100,206.7800,206.0038,1197779,0.0000,1.0000
2019-10-15,207.2900,208.4000,205.3800,205.5200,204.7486,866587,0.0000,1.0000
