timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,144.2000,144.4097,142.1500,142.8700,142.8700,4679140,0.0000,1.0000
2020-01-22,143.3200,145.7900,142.5500,143.8900,143.8900,15766442,0.0000,1.0000
2020-01-21,137.8100,139.3500,137.6000,139.1700,139.1700,7130819,0.0000,1.0000
2020-01-17,136.5400,138.3300,136.1600,138.3100,138.3100,5622251,0.0000,1.0000
2020-01-16,137.3200,138.1900,137.0100,137.9800,137.9800,4319896,0.0000,1.0000
2020-01-15,136.0000,138.0550,135.7100,136.6200,136.6200,4045591,0.0000,1.0000
2020-01-14,136.2800,137.1390,135.5500,135.8200,135.8200,3680958,0.0000,1.0000
2020-01-13,135.4800,136.6400,135.0700,136.6000,136.6000,3162843,0.0000,1.0000
2020-01-10,137.0000,137.8700,136.3100,136.6900,136.6900,3255398,0.0000,1.0000
2020-01-09,135.7400,136.7900,135.3100,136.7400,136.7400,3730549,0.0000,1.0000
2020-01-08,134.5100,135.8600,133.9200,135.3100,135.3100,4345952,0.0000,1.0000
2020-01-07,133.6900,134.9600,133.4000,134.1900,134.1900,3267592,0.0000,1.0000
2020-01-06,133.4200,134.2400,133.2000,134.1000,134.1000,2421128,0.0000,1.0000
2020-01-03,133.5700,134.8600,133.5600,134.3400,134.3400,2373470,0.0000,1.0000
2020-01-02,135.0000,135.9200,134.7701,135.4200,135.4200,3148461,0.0000,1.0000
2019-12-31,132.5300,134.1200,132.4000,134.0400,134.0400,3777504,0.0000,1.0000
2019-12-30,135.2000,135.3000,132.5000,132.8100,132.8100,4118929,0.0000,1.0000
2019-12-27,135.0000,135.7500,134.8700,135.2700,135.2700,2752185,0.0000,1.0000
2019-12-26,134.9800,135.3055,134.6500,134.9100,134.9100,2129654,0.0000,1.0000
2019-12-24,135.6100,135.6200,134.6100,134.9800,134.9800,1202087,0.0000,1.0000
2019-12-23,135.7800,136.1500,135.0000,135.5500,135.5500,2803158,0.0000,1.0000
2019-12-20,135.7400,136.4200,134.9500,135.5900,135.5900,7111779,0.0000,1.0000
2019-12-19,134.4600,134.7250,134.1900,134.5600,134.5600,3866494,0.0000,1.0000
