timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,73.1300,73.2922,71.9900,72.6700,72.6700,74509,0.0000,1.0000
2020-01-22,73.0600,73.8400,72.4100,73.0600,73.0600,60271,0.0000,1.0000
2020-01-21,73.6000,73.6500,72.3200,73.0600,73.0600,95719,0.0000,1.0000
2020-01-17,74.5100,74.9600,73.4100,73.6700,73.6700,63227,0.0000,1.0000
2020-01-16,74.3800,75.0000,73.9650,74.3800,74.3800,64219,0.0000,1.0000
2020-01-15,72.2300,74.5400,72.1800,74.2000,74.2000,186736,0.0000,1.0000
2020-01-14,71.7300,73.0000,71.7200,72.1900,72.1900,216666,0.0000,1.0000
2020-01-13,71.7200,72.1650,71.6800,72.0500,72.0500,73699,0.0000,1.0000
2020-01-10,71.9800,72.7600,71.2900,71.5100,71.5100,76505,0.0000,1.0000
2020-01-09,71.5800,72.9900,71.3400,71.9700,71.9700,103857,0.0000,1.0000
2020-01-08,71.6600,72.2200,71.1200,71.1200,71.1200,95834,0.0000,1.0000
2020-01-07,71.4400,71.8400,70.7400,71.7600,71.7600,62502,0.0000,1.0000
2020-01-06,71.5700,72.4000,71.2100,71.5300,71.5300,80779,0.0000,1.0000
2020-01-03,71.9900,72.8900,71.5200,71.9300,71.9300,88094,0.0000,1.0000
2020-01-02,73.1100,73.1100,71.9050,72.5100,72.5100,130607,0.0000,1.0000
2019-12-31,73.1600,73.6995,72.6500,72.7100,72.7100,106468,0.0000,1.0000
2019-12-30,72.4300,73.4200,72.0300,73.0900,73.0900,55770,0.3300,1.0000
2019-12-27,72.4300,73.0550,71.8700,72.6100,72.2836,61102,0.0000,1.0000
2019-12-26,72.1800,72.4600,71.8800,72.1500,71.8257,32361,0.0000,1.0000
2019-12-24,71.5100,72.2700,70.9600,72.0600,71.7361,24531,0.0000,1.0000
2019-12-23,72.3300,72.3300,70.4300,71.2500,70.9298,76756,0.0000,1.0000
2019-12-20,70.5100,72.4300,70.5100,72.2500,71.9253,290050,0.0000,1.0000
2019-12-19,70.4600,70.6000,69.5800,70.5400,70.2229,138658,0.0000,1.0000
2019-12-18,70.9500,71.0000,70.1700,70.5000,70.1831,81022,0.0000,1.0000
2019-12-17,71.3700,71.9850,70.6000,70.9300,70.6112,80277,0.0000,1.0000
2019-12-16,72.1100,73.0000,71.1200,71.4200,71.0990,102366,0.0000,1.0000
2019-12-13,72.3600,72.3600,70.9500,71.7200,71.3976,116570,0.0000,1.0000
2019-12-12,71.6300,72.6900,70.9800,72.2600,71.9352,129814,0.0000,1.0000
2019-12-11,72.4400,72.7300,71.4200,71.5500,71.2284,71519,0.0000,1.0000
2019-12-10,71.9100,72.4000,71.4451,72.1800,71.8556,108354,0.0000,1.0000
2019-12-09,72.6900,72.9000,70.7200,71.8700,71.5470,112103,0.0000,1.0000
2019-12-06,71.9800,73.2300,71.9500,72.8200,72.4927,80120,0.0000,1.0000
2019-12-05,70.4100,72.1100,70.1500,71.5600,71.2384,100273,0.0000,1.0000
2019-12-04,69.9300,70.9100,69.4100,70.5100,70.1931,78571,0.0000,1.0000
2019-12-03,69.8800,70.2000,68.8700,69.8700,69.5560,61569,0.0000,1.0000
2019-12-02,70.6000,70.9850,70.1000,70.2800,69.9641,83906,0.0000,1.0000
2019-11-29,71.8900,71.8900,70.2400,70.4900,70.1732,35793,0.0000,1.0000
2019-11-27,68.5700,71.9700,68.5700,71.4700,71.1488,138766,0.0000,1.0000
2019-11-26,69.1400,69.7600,67.9500,68.2800,67.9731,178418,0.0000,1.0000
2019-11-25,67.5600,70.0000,67.3900,69.0500,68.7396,101501,0.0000,1.0000
2019-11-22,68.7400,69.2600,66.8800,67.6500,67.3459,99572,0.0000,1.0000
2019-11-21,74.9000,74.9200,66.6471,68.7600,68.4509,309724,0.0000,1.0000
2019-11-20,78.1800,79.3150,76.5450,77.2000,76.8530,154184,0.0000,1.0000
2019-11-19,75.2100,78.2800,74.7750,78.2700,77.9182,133662,0.0000,1.0000
2019-11-18,75.5400,76.0900,74.9400,75.0500,74.7127,177611,0.0000,1.0000
2019-11-15,77.1400,77.5500,75.3700,75.4300,75.0910,129034,0.0000,1.0000
2019-11-14,77.4000,78.3700,76.7200,76.8000,76.4548,83979,0.0000,1.0000
2019-11-13,75.7500,77.5300,74.6100,77.1100,76.7634,142596,0.0000,1.0000
2019-11-12,76.4300,76.9900,75.4400,75.8600,75.5190,222432,0.0000,1.0000
2019-11-11,77.0800,77.9400,75.9600,76.1800,75.8376,130869,0.0000,1.0000
2019-11-08,77.7200,78.5500,76.6200,77.1700,76.8231,63989,0.0000,1.0000
2019-11-07,77.2800,78.9950,76.2000,77.7400,77.3906,73435,0.0000,1.0000
2019-11-06,77.1200,81.4000,75.5000,78.2000,77.8485,99424,0.0000,1.0000
2019-11-05,78.1600,78.9800,77.0400,78.6700,78.3164,112511,0.0000,1.0000
2019-11-04,77.3000,78.4100,76.9200,78.0400,77.6892,85976,0.0000,1.0000
2019-11-01,77.7000,77.7300,76.2000,77.0800,76.7335,110560,0.0000,1.0000
2019-10-31,76.7700,77.4800,76.0823,77.4300,77.0820,86403,0.0000,1.0000
2019-10-30,75.4600,77.0800,75.0300,77.0200,76.6738,67266,0.0000,1.0000
2019-10-29,75.3600,75.9000,74.6650,75.5700,75.2303,83410,0.0000,1.0000
2019-10-28,74.7200,75.2800,74.4900,75.0600,74.7226,52859,0.0000,1.0000
2019-10-25,73.6700,74.7200,73.4200,74.5000,74.1651,60928,0.0000,1.0000
2019-10-24,72.8000,74.0300,72.2300,73.7800,73.4484,90276,0.0000,1.0000
