timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,114.5400,116.7600,113.9100,116.5000,116.5000,966783,0.0000,1.0000
2020-01-22,114.5200,116.1900,113.6300,114.3900,114.3900,1323430,0.0000,1.0000
2020-01-21,115.1700,118.3800,114.7600,115.8600,115.8600,1860993,0.0000,1.0000
2020-01-17,114.5614,118.9976,112.7900,114.6800,114.6800,3945844,0.0000,1.0000
2020-01-16,119.7600,120.8400,119.1400,119.7600,119.7600,1119504,0.0000,1.0000
2020-01-15,118.8400,120.4400,118.5300,119.0350,119.0350,654149,0.0000,1.0000
2020-01-14,118.7500,119.7700,118.3861,118.9850,118.9850,613925,0.0000,1.0000
2020-01-13,118.7900,119.3300,117.7301,118.5000,118.5000,545939,0.0000,1.0000
2020-01-10,119.4200,120.1100,118.7900,119.0800,119.0800,558616,0.0000,1.0000
2020-01-09,119.3700,120.1300,118.5000,119.0300,119.0300,1058547,0.0000,1.0000
2020-01-08,117.7700,119.4100,117.2900,118.7600,118.7600,652332,0.0000,1.0000
2020-01-07,114.8500,117.8600,113.9900,117.6500,117.6500,614479,0.0000,1.0000
2020-01-06,111.2200,116.1998,111.2200,115.0000,115.0000,928679,0.0000,1.0000
2020-01-03,115.8500,117.2100,115.8500,117.0300,117.0300,535225,0.0000,1.0000
2020-01-02,117.9000,117.9900,116.4400,117.5200,117.5200,623060,0.0000,1.0000
2019-12-31,116.3300,117.1950,115.7405,116.7800,116.7800,448188,0.0000,1.0000
2019-12-30,116.6400,116.9700,114.3947,116.5800,116.5800,295616,0.0000,1.0000
2019-12-27,116.7500,117.1100,116.2900,116.6800,116.6800,333450,0.0000,1.0000
2019-12-26,116.9500,117.1300,115.9100,116.7500,116.7500,252818,0.0000,1.0000
2019-12-24,116.3700,117.0100,115.8700,116.5600,116.5600,164145,0.0000,1.0000
2019-12-23,117.3800,117.3800,115.8000,116.3900,116.3900,623811,0.0000,1.0000
2019-12-20,116.1000,117.1900,114.9800,116.7200,116.7200,3995011,0.0000,1.0000
2019-12-19,115.5800,116.1100,114.9500,115.5200,115.5200,741268,0.0000,1.0000
2019-12-18,114.5300,115.6950,113.5600,115.5200,115.5200,751275,0.0000,1.0000
2019-12-17,114.7300,115.4800,112.5000,114.6000,114.6000,1024767,0.0000,1.0000
2019-12-16,112.9600,114.6500,112.4500,114.4900,114.4900,1377811,0.0000,1.0000
2019-12-13,112.6700,115.9200,112.2300,113.0000,113.0000,826054,0.0000,1.0000
2019-12-12,111.4000,113.2900,110.8100,112.4500,112.4500,1581417,0.0000,1.0000
2019-12-11,113.0600,113.7300,111.3900,111.3900,111.3900,1019175,0.0000,1.0000
2019-12-10,114.5900,114.5900,112.7400,112.9700,112.9700,571885,0.0000,1.0000
2019-12-09,115.0000,115.4200,114.2500,114.4900,114.4900,655030,0.0000,1.0000
2019-12-06,114.1700,115.8900,114.0200,114.4500,114.4500,529107,0.0000,1.0000
2019-12-05,112.2100,113.5200,111.6900,113.4600,113.4600,980745,0.0000,1.0000
2019-12-04,111.3500,112.8900,111.3500,111.7900,111.7900,1017610,0.0000,1.0000
2019-12-03,112.8800,113.2950,111.4000,111.6100,111.6100,1010955,0.0000,1.0000
2019-12-02,115.9500,116.9000,114.2500,114.3200,114.3200,883842,0.0000,1.0000
2019-11-29,116.6100,117.0550,115.3600,115.6200,115.6200,271658,0.0000,1.0000
2019-11-27,117.5100,117.8900,115.9200,116.6400,116.6400,387475,0.0000,1.0000
2019-11-26,117.6800,118.3600,116.7750,117.4800,117.4800,557277,0.0000,1.0000
2019-11-25,116.5600,118.1800,116.3700,117.3600,117.3600,515557,0.0000,1.0000
2019-11-22,116.0100,116.7300,115.5200,116.3150,116.3150,465155,0.0000,1.0000
2019-11-21,115.4500,116.2000,114.5700,115.8100,115.8100,550336,0.0000,1.0000
2019-11-20,115.9800,116.1450,114.6300,115.3900,115.3900,621813,0.0000,1.0000
2019-11-19,116.9000,116.9000,115.2900,116.1400,116.1400,566237,0.0000,1.0000
2019-11-18,114.7900,116.9600,114.7900,116.1400,116.1400,464010,0.0000,1.0000
2019-11-15,117.4000,117.7800,115.5900,115.7400,115.7400,512527,0.0000,1.0000
2019-11-14,116.4100,116.8700,115.4600,116.8700,116.8700,583591,0.0000,1.0000
2019-11-13,117.3700,117.9800,116.2900,116.5200,116.5200,609464,0.0000,1.0000
2019-11-12,118.0900,119.4300,117.8800,118.5300,118.5300,534046,0.0000,1.0000
2019-11-11,119.5700,119.5700,117.3000,118.1800,118.1800,638675,0.0000,1.0000
2019-11-08,120.6100,121.3300,119.8100,119.9800,119.9800,634634,0.0000,1.0000
2019-11-07,119.9900,122.2900,119.1850,120.6100,120.6100,488404,0.2600,1.0000
2019-11-06,119.6900,120.0400,117.9350,119.9200,119.6620,997792,0.0000,1.0000
2019-11-05,120.6800,121.2100,118.9500,119.8900,119.6321,907937,0.0000,1.0000
2019-11-04,120.5200,121.8250,120.0500,120.6600,120.4005,1136452,0.0000,1.0000
2019-11-01,117.5600,120.0000,116.3329,119.9000,119.6421,812295,0.0000,1.0000
2019-10-31,116.4700,117.7000,116.0000,117.5600,117.3071,699683,0.0000,1.0000
2019-10-30,118.7200,118.7200,116.4450,117.7000,117.4468,729401,0.0000,1.0000
2019-10-29,116.3100,119.3900,116.1500,119.0100,118.7540,944021,0.0000,1.0000
2019-10-28,117.1700,117.6600,116.1850,116.7900,116.5388,770480,0.0000,1.0000
2019-10-25,115.8200,116.8700,115.4000,116.7500,116.4989,763911,0.0000,1.0000
2019-10-24,116.6400,116.7500,115.1200,115.7600,115.5110,779145,0.0000,1.0000
2019-10-23,116.7500,117.3300,115.0900,116.8500,116.5986,827089,0.0000,1.0000
2019-10-22,115.0800,117.5500,114.5350,117.3400,117.0876,1070485,0.0000,1.0000
2019-10-21,116.1600,117.1500,115.0000,115.3800,115.1318,760593,0.0000,1.0000
2019-10-18,116.5500,117.2500,115.0400,115.5800,115.3314,852820,0.0000,1.0000
2019-10-17,115.6100,117.1500,115.6100,116.1800,115.9301,1010654,0.0000,1.0000
2019-10-16,113.6300,117.1800,110.6900,115.6500,115.4012,2448138,0.0000,1.0000
2019-10-15,109.0000,112.0000,108.5600,111.6000,111.3599,1422492,0.0000,1.0000
2019-10-14,109.9300,110.2400,109.0900,109.5800,109.3443,905577,0.0000,1.0000
2019-10-11,109.5000,111.1600,108.9900,110.3500,110.1126,787604,0.0000,1.0000
2019-10-10,105.6800,108.0100,105.4100,107.5800,107.3486,592152,0.0000,1.0000
2019-10-09,106.5700,107.4500,105.8950,106.0300,105.8019,710046,0.0000,1.0000
2019-10-08,104.9100,107.5000,104.9100,105.9850,105.7570,743978,0.0000,1.0000
2019-10-07,108.3800,109.1200,106.8700,108.1100,107.8774,736426,0.0000,1.0000
2019-10-04,108.4900,109.2600,107.3200,108.5800,108.3464,535194,0.0000,1.0000
2019-10-03,106.9600,108.8300,105.2350,108.7800,108.5460,759825,0.0000,1.0000
2019-10-02,107.9700,109.2300,106.2500,106.6800,106.4505,875685,0.0000,1.0000
2019-10-01,111.1100,112.1100,107.5200,108.4100,108.1768,827744,0.0000,1.0000
2019-09-30,111.4400,112.3900,110.1700,110.6500,110.4120,963131,0.0000,1.0000
2019-09-27,114.1000,114.2900,110.4000,111.0400,110.8011,1017204,0.0000,1.0000
2019-09-26,113.8400,114.2400,112.9700,113.7000,113.4554,542959,0.0000,1.0000
2019-09-25,112.4400,114.4600,112.0600,113.9000,113.6550,916699,0.0000,1.0000
2019-09-24,114.3600,114.4800,111.7000,112.5100,112.2680,576684,0.0000,1.0000
2019-09-23,113.9200,115.0000,113.0024,113.4500,113.2060,853125,0.0000,1.0000
2019-09-20,112.9800,114.7200,112.4200,114.1500,113.9045,1245298,0.0000,1.0000
2019-09-19,114.9100,115.1900,112.8800,113.1000,112.8567,721367,0.0000,1.0000
2019-09-18,113.9500,114.8600,112.4200,114.6400,114.3934,750236,0.0000,1.0000
2019-09-17,114.3800,115.1200,113.2100,114.9200,114.6728,583915,0.0000,1.0000
2019-09-16,114.3800,116.0700,113.7100,115.0000,114.7526,517181,0.0000,1.0000
2019-09-13,115.2500,115.8200,113.6800,114.9600,114.7127,508495,0.0000,1.0000
2019-09-12,115.4000,115.4200,113.4200,114.5000,114.2537,835278,0.0000,1.0000
2019-09-11,115.7000,115.9600,112.8200,115.7500,115.5010,1056489,0.0000,1.0000
2019-09-10,113.2500,116.2500,111.7800,116.2400,115.9900,1248986,0.0000,1.0000
2019-09-09,111.5500,114.0500,111.2400,113.8700,113.6251,1014315,0.0000,1.0000
2019-09-06,112.6700,113.2300,110.5300,110.7400,110.5018,989414,0.0000,1.0000
2019-09-05,110.4300,112.9700,110.0800,112.4400,112.1981,1157658,0.0000,1.0000
2019-09-04,107.7400,109.1200,107.2700,108.8300,108.5959,933409,0.0000,1.0000
2019-09-03,106.9300,107.8700,105.5500,106.6500,106.4206,933378,0.0000,1.0000
2019-08-30,107.2200,109.0000,107.2200,108.0400,107.8076,1004909,0.0000,1.0000
2019-08-29,105.6000,107.9100,105.2700,106.9000,106.6701,1063266,0.0000,1.0000
2019-08-28,100.2200,104.3700,99.3250,103.9700,103.7464,1067224,0.0000,1.0000
2019-08-27,101.4000,102.4700,100.0300,100.6600,100.4435,1247061,0.0000,1.0000
2019-08-26,99.7700,101.0800,98.6500,100.7500,100.5333,800660,0.0000,1.0000
2019-08-23,101.5500,101.6200,98.3400,99.1400,98.9267,1160554,0.0000,1.0000
2019-08-22,102.5500,102.5500,100.9400,101.7900,101.5710,547325,0.0000,1.0000
2019-08-21,101.1200,102.3500,100.5300,101.9300,101.7107,619680,0.0000,1.0000
2019-08-20,99.5500,100.6250,99.1600,100.1800,99.9645,658430,0.0000,1.0000
2019-08-19,99.1200,100.4100,99.1200,99.5100,99.2959,419051,0.0000,1.0000
2019-08-16,96.4400,98.2800,95.7400,98.0200,97.8092,783904,0.0000,1.0000
2019-08-15,97.8800,97.8800,93.6500,95.3600,95.1549,1698282,0.0000,1.0000
2019-08-14,99.6300,100.7500,97.5000,97.5000,97.2903,978011,0.0000,1.0000
2019-08-13,98.6600,102.2000,97.8200,101.0900,100.8725,899617,0.0000,1.0000
2019-08-12,98.5500,98.8800,97.2700,98.4200,98.2083,775474,0.0000,1.0000
2019-08-09,99.0600,99.4900,96.3700,98.7100,98.4977,571875,0.0000,1.0000
2019-08-08,98.0300,99.3500,97.5600,99.2800,99.0664,934482,0.0000,1.0000
2019-08-07,96.7100,97.5700,95.3700,97.4100,97.2005,840318,0.0000,1.0000
2019-08-06,97.5000,98.2200,95.7900,97.9300,97.7193,923796,0.0000,1.0000
2019-08-05,100.5800,100.5800,96.1700,96.9000,96.6916,1144944,0.0000,1.0000
2019-08-02,100.6500,102.4500,99.8500,101.6700,101.4513,1466994,0.0000,1.0000
2019-08-01,102.0300,103.4300,101.1000,101.2200,101.0023,1336199,0.2600,1.0000
2019-07-31,102.5000,103.3300,100.8000,102.3700,101.8881,703025,0.0000,1.0000
2019-07-30,100.8500,102.7000,99.8200,102.6400,102.1568,639818,0.0000,1.0000
