timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,162.6700,165.4900,161.6300,163.4500,163.4500,104516,0.0000,1.0000
2020-01-22,162.9900,162.9900,161.1100,162.5700,162.5700,73776,0.0000,1.0000
2020-01-21,160.5800,161.0600,160.0050,160.7600,160.7600,78437,0.0000,1.0000
2020-01-17,162.6300,162.8000,160.3300,160.4000,160.4000,84569,0.0000,1.0000
2020-01-16,161.4600,163.0800,160.2575,161.5700,161.5700,71524,0.0000,1.0000
2020-01-15,161.5500,163.1800,159.7900,160.7400,160.7400,102386,0.0000,1.0000
2020-01-14,162.7400,163.5800,159.2800,161.6800,161.6800,124676,0.0000,1.0000
2020-01-13,159.1200,163.3700,155.3650,162.9100,162.9100,134432,0.0000,1.0000
2020-01-10,157.2600,159.7800,156.7500,158.8900,158.8900,103654,0.0000,1.0000
2020-01-09,157.8300,158.4300,155.7400,157.2500,157.2500,107126,0.0000,1.0000
2020-01-08,155.7400,158.0600,155.6800,157.2400,157.2400,105411,0.0000,1.0000
2020-01-07,154.9000,156.3000,154.3900,156.1700,156.1700,86509,0.0000,1.0000
2020-01-06,155.8400,157.4200,154.4600,155.4500,155.4500,91439,0.0000,1.0000
2020-01-03,156.0400,157.6200,154.6750,156.8900,156.8900,111332,0.0000,1.0000
2020-01-02,160.6900,162.2350,155.1800,156.4100,156.4100,131927,0.0000,1.0000
2019-12-31,160.0100,161.3400,159.6000,160.1000,160.1000,71797,0.0000,1.0000
2019-12-30,160.3900,160.5000,159.0300,159.7700,159.7700,63793,0.0000,1.0000
2019-12-27,159.7600,160.4000,158.8200,160.3900,160.3900,42372,0.0000,1.0000
2019-12-26,159.8500,160.1200,158.4200,159.6900,159.6900,53173,0.0000,1.0000
2019-12-24,161.8600,161.8600,159.4950,159.8000,159.8000,29807,0.0000,1.0000
2019-12-23,164.6800,164.6800,159.5600,161.4700,161.4700,81672,0.0000,1.0000
2019-12-20,159.9500,164.9900,159.3600,164.0800,164.0800,365791,0.0000,1.0000
2019-12-19,157.5100,161.3400,156.6950,159.9600,159.9600,123429,0.0000,1.0000
2019-12-18,156.8200,157.4800,155.3600,157.2600,157.2600,71091,0.0000,1.0000
2019-12-17,155.2800,156.6100,154.8300,156.3700,156.3700,76447,0.0000,1.0000
2019-12-16,155.6500,157.0700,154.4200,155.1600,155.1600,99465,0.0000,1.0000
2019-12-13,158.2500,158.2500,154.6700,155.1800,155.1800,75351,0.0000,1.0000
2019-12-12,157.3500,159.3700,157.0700,158.3400,158.3400,71592,0.0000,1.0000
2019-12-11,156.7300,157.9700,156.2900,157.7900,157.7900,65370,0.0000,1.0000
2019-12-10,156.6700,158.0100,156.3950,156.9400,156.9400,69216,0.0000,1.0000
2019-12-09,157.7400,158.2500,156.7000,157.2600,157.2600,58786,0.0000,1.0000
2019-12-06,158.3900,158.9700,156.9000,158.1600,158.1600,73459,0.0000,1.0000
2019-12-05,158.1400,159.9900,157.4800,157.9700,157.9700,64630,0.7000,1.0000
2019-12-04,158.4400,159.6000,158.2100,158.5400,157.8406,74302,0.0000,1.0000
2019-12-03,157.4900,158.5350,156.4500,158.1600,157.4622,80232,0.0000,1.0000
2019-12-02,158.1800,158.9500,156.8500,157.5000,156.8052,114004,0.0000,1.0000
2019-11-29,159.2100,159.3500,157.7700,158.0300,157.3328,33175,0.0000,1.0000
2019-11-27,160.6300,160.6300,158.6800,159.7600,159.0552,52275,0.0000,1.0000
2019-11-26,158.3500,160.6300,158.0700,159.6700,158.9656,70935,0.0000,1.0000
2019-11-25,157.4500,158.8000,156.3500,158.6400,157.9401,70045,0.0000,1.0000
