timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,155.1700,155.4600,152.5400,155.1100,155.1100,1092586,0.0000,1.0000
2020-01-22,155.6700,156.4500,154.5400,155.7400,155.7400,1672217,0.0000,1.0000
2020-01-21,155.8000,156.1100,154.2400,155.2700,155.2700,1267015,0.0000,1.0000
2020-01-17,156.8000,156.9700,155.0450,156.3300,156.3300,1687005,0.0000,1.0000
2020-01-16,154.9900,156.3200,153.9400,156.2600,156.2600,921467,0.0000,1.0000
2020-01-15,150.6800,155.9300,150.3400,154.0300,154.0300,1385778,0.0000,1.0000
2020-01-14,148.4900,151.3300,147.9600,150.6700,150.6700,2318645,0.0000,1.0000
2020-01-13,143.5300,144.9700,142.3800,143.6500,143.6500,936791,0.0000,1.0000
2020-01-10,144.5200,145.4200,143.2500,143.8100,143.8100,1157468,0.0000,1.0000
2020-01-09,140.6300,142.0300,140.0000,141.3000,141.3000,802881,0.0000,1.0000
2020-01-08,138.0000,140.7400,137.3500,140.5600,140.5600,845559,0.0000,1.0000
2020-01-07,137.0200,137.8800,135.8000,137.8500,137.8500,681113,0.0000,1.0000
2020-01-06,136.0400,138.1700,135.2200,138.1600,138.1600,1225204,0.0000,1.0000
2020-01-03,136.5300,137.6300,135.5700,136.7200,136.7200,746649,0.0000,1.0000
2020-01-02,139.1100,139.8500,137.5200,138.6900,138.6900,976465,0.0000,1.0000
2019-12-31,136.7000,138.4000,136.3000,138.3200,138.3200,626667,0.0000,1.0000
2019-12-30,139.5200,139.6900,137.0800,137.1700,137.1700,606915,0.0000,1.0000
2019-12-27,139.3400,139.9200,137.8600,139.4400,139.4400,570344,0.0000,1.0000
2019-12-26,139.5100,139.6400,138.3300,139.3100,139.3100,626702,0.0000,1.0000
2019-12-24,137.2400,138.8600,137.0626,138.8100,138.8100,320165,0.0000,1.0000
2019-12-23,137.9700,138.8700,136.9600,137.6000,137.6000,1022212,0.0000,1.0000
2019-12-20,136.5400,137.9300,135.4050,137.6400,137.6400,2440388,0.0000,1.0000
2019-12-19,137.2000,137.9200,134.6600,135.6100,135.6100,1541882,0.0000,1.0000
2019-12-18,137.7500,140.0600,136.9200,136.9900,136.9900,1652870,0.0000,1.0000
2019-12-17,142.0000,142.1800,137.0600,137.9000,137.9000,1662744,0.0000,1.0000
2019-12-16,140.9700,143.4200,140.0200,142.2000,142.2000,1096526,0.0000,1.0000
2019-12-13,143.0700,144.1000,140.0300,140.6000,140.6000,749249,0.0000,1.0000
2019-12-12,143.4500,144.9800,142.5600,143.9300,143.9300,773287,0.0000,1.0000
2019-12-11,143.1500,143.8300,142.0200,143.3600,143.3600,792852,0.0000,1.0000
2019-12-10,142.6700,142.9400,140.6800,142.7500,142.7500,797778,0.0000,1.0000
2019-12-09,142.3500,144.4200,142.1100,142.8800,142.8800,1151898,0.0000,1.0000
2019-12-06,141.7400,143.1000,141.5304,142.2700,142.2700,1449003,0.0000,1.0000
2019-12-05,142.8200,143.8400,140.3700,140.6100,140.6100,1730334,0.0000,1.0000
