timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,76.7500,77.7900,76.1900,77.3700,77.3700,84151,0.0000,1.0000
2020-01-22,78.3100,78.4685,76.5000,76.9500,76.9500,117012,0.0000,1.0000
2020-01-21,77.5800,78.4900,76.7700,78.0300,78.0300,307664,0.0000,1.0000
2020-01-17,78.9300,79.0500,77.7300,77.9400,77.9400,81737,0.0000,1.0000
2020-01-16,79.6200,79.9500,77.8200,78.6700,78.6700,107074,0.3750,1.0000
2020-01-15,79.3100,81.0000,79.3100,79.8100,79.4314,111971,0.0000,1.0000
2020-01-14,78.4800,79.6450,78.1200,79.4900,79.1129,113026,0.0000,1.0000
2020-01-13,77.6200,78.8700,77.2300,78.7200,78.3465,88572,0.0000,1.0000
2020-01-10,78.1000,78.8500,77.2700,77.5300,77.1622,74554,0.0000,1.0000
2020-01-09,78.1600,79.9300,77.7750,78.0400,77.6698,109519,0.0000,1.0000
2020-01-08,77.2300,78.2100,76.5600,78.0000,77.6300,90675,0.0000,1.0000
2020-01-07,76.8500,77.2200,76.2400,77.2100,76.8437,131162,0.0000,1.0000
2020-01-06,76.5000,77.6800,76.3000,77.0700,76.7044,254414,0.0000,1.0000
2020-01-03,76.0900,76.9600,75.6600,76.9100,76.5451,101798,0.0000,1.0000
2020-01-02,76.8200,77.2050,75.7500,76.5900,76.2266,125322,0.0000,1.0000
2019-12-31,77.4400,77.8100,76.4600,76.5400,76.1769,87334,0.0000,1.0000
2019-12-30,77.4200,77.6700,76.7400,77.6700,77.3015,101070,0.0000,1.0000
2019-12-27,77.2300,77.8800,76.8500,77.5400,77.1721,56843,0.0000,1.0000
2019-12-26,77.7100,77.9897,76.5000,77.3700,77.0029,49358,0.0000,1.0000
2019-12-24,77.3400,78.3120,77.2000,77.5900,77.2219,55556,0.0000,1.0000
2019-12-23,78.0800,78.1316,76.1950,77.5300,77.1622,76168,0.0000,1.0000
2019-12-20,77.4200,78.4100,76.8800,77.6000,77.2319,259895,0.0000,1.0000
2019-12-19,76.5800,77.4200,75.4200,77.1400,76.7740,79785,0.0000,1.0000
2019-12-18,75.4200,77.1100,75.2100,76.8900,76.5252,165379,0.0000,1.0000
2019-12-17,74.4100,75.0300,73.6500,75.0300,74.6740,189567,0.0000,1.0000
2019-12-16,74.5800,75.3000,74.1800,74.4200,74.0669,132939,0.3750,1.0000
2019-12-13,74.7700,74.7700,73.4400,74.1300,73.4084,141556,0.0000,1.0000
2019-12-12,75.7400,76.0100,74.6200,74.7800,74.0521,139362,0.0000,1.0000
2019-12-11,75.7200,76.3400,75.0000,75.9400,75.2008,142604,0.0000,1.0000
2019-12-10,76.7800,77.2400,75.2000,75.3400,74.6066,316816,0.0000,1.0000
2019-12-09,76.4400,77.3400,75.9900,77.0700,76.3198,111211,0.0000,1.0000
2019-12-06,75.6100,77.3900,75.6100,76.4600,75.7157,291322,0.0000,1.0000
2019-12-05,73.7500,75.6000,73.4723,75.2200,74.4878,94017,0.0000,1.0000
2019-12-04,73.9700,74.9200,73.6000,73.6700,72.9529,87432,0.0000,1.0000
2019-12-03,73.0000,74.1900,72.4700,73.7300,73.0123,83776,0.0000,1.0000
2019-12-02,73.8000,73.8000,72.7000,73.4000,72.6855,100055,0.0000,1.0000
2019-11-29,73.3600,74.2200,72.5100,73.3400,72.6261,100344,0.0000,1.0000
2019-11-27,75.2500,75.6000,73.2200,73.5200,72.8044,87591,0.0000,1.0000
2019-11-26,73.2400,75.1100,73.2400,74.9000,74.1709,151855,0.0000,1.0000
2019-11-25,72.3400,73.5700,72.2088,73.2500,72.5370,87962,0.0000,1.0000
2019-11-22,72.8700,72.8700,71.3200,71.8100,71.1110,105062,0.0000,1.0000
2019-11-21,73.4700,73.8100,71.8200,72.7600,72.0518,72220,0.0000,1.0000
2019-11-20,74.8300,75.0345,72.1700,73.3100,72.5964,120179,0.0000,1.0000
2019-11-19,73.3900,75.1600,73.3900,75.1100,74.3789,149132,0.0000,1.0000
2019-11-18,73.1800,73.1800,72.5600,73.0100,72.2993,78264,0.0000,1.0000
2019-11-15,73.1800,73.6700,72.7200,73.1800,72.4677,95542,0.0000,1.0000
2019-11-14,72.4700,73.3150,72.3400,73.0200,72.3092,86148,0.0000,1.0000
2019-11-13,72.8900,74.0000,72.6800,72.7500,72.0418,111189,0.0000,1.0000
2019-11-12,73.8100,74.3199,72.9900,73.3700,72.6558,122728,0.0000,1.0000
2019-11-11,73.5600,74.2100,73.0100,73.7000,72.9826,68976,0.0000,1.0000
2019-11-08,74.4200,75.1600,73.5600,73.7300,73.0123,118846,0.0000,1.0000
2019-11-07,75.2500,76.2900,74.1400,74.7900,74.0620,104345,0.0000,1.0000
2019-11-06,75.1600,75.5100,73.5800,74.7900,74.0620,120508,0.0000,1.0000
2019-11-05,75.5100,76.5400,74.6200,75.3900,74.6561,223604,0.0000,1.0000
2019-11-04,75.7000,75.9900,73.7900,75.5100,74.7750,100328,0.0000,1.0000
2019-11-01,76.6300,77.7100,75.2650,75.5800,74.8443,134281,0.0000,1.0000
