timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,170.7400,173.1500,170.7100,172.7400,172.7400,650058,0.0000,1.0000
2020-01-22,171.6200,173.5200,171.4000,172.5300,172.5300,828596,0.0000,1.0000
2020-01-21,168.8500,171.3500,168.7300,171.1500,171.1500,991277,0.0000,1.0000
2020-01-17,167.3300,168.7600,166.9800,168.6800,168.6800,542130,0.0000,1.0000
2020-01-16,167.9300,168.1560,166.1200,167.1500,167.1500,849076,0.0000,1.0000
2020-01-15,167.1700,169.2400,167.1700,167.6100,167.6100,726501,0.0000,1.0000
2020-01-14,165.5100,167.0200,165.5100,166.8900,166.8900,949261,0.0000,1.0000
2020-01-13,164.3000,166.0200,164.3000,165.3000,165.3000,616089,0.0000,1.0000
2020-01-10,161.7200,164.9735,161.7200,164.2300,164.2300,550026,0.0000,1.0000
2020-01-09,164.7100,165.7200,161.1100,162.2400,162.2400,1385391,0.0000,1.0000
2020-01-08,169.2700,169.5400,167.3000,167.3800,167.3800,507151,0.0000,1.0000
2020-01-07,170.7300,171.1350,168.1600,168.2800,168.2800,715964,0.0000,1.0000
2020-01-06,170.2600,171.7200,169.6150,171.2200,171.2200,663098,0.0000,1.0000
2020-01-03,167.6700,170.9300,167.1300,170.2000,170.2000,734936,0.0000,1.0000
2020-01-02,169.3700,170.5700,167.3700,167.5300,167.5300,780618,0.0000,1.0000
2019-12-31,170.3800,170.9900,169.6700,169.7300,169.7300,897573,0.0000,1.0000
2019-12-30,170.8400,170.9250,168.9500,170.3800,170.3800,783271,0.6200,1.0000
2019-12-27,169.9800,172.1500,169.8200,171.8500,171.2269,542658,0.0000,1.0000
2019-12-26,168.2900,169.7000,167.8700,169.6200,169.0050,713061,0.0000,1.0000
2019-12-24,167.3600,168.6100,167.2200,168.2500,167.6400,217602,0.0000,1.0000
2019-12-23,169.0900,169.7400,167.1500,167.2500,166.6436,416875,0.0000,1.0000
2019-12-20,169.1900,170.2100,168.2100,168.2500,167.6400,1626881,0.0000,1.0000
2019-12-19,167.2300,169.1300,167.2000,168.3100,167.6998,530947,0.0000,1.0000
2019-12-18,167.7100,168.1300,166.4800,167.4700,166.8628,585341,0.0000,1.0000
2019-12-17,167.6000,168.6100,166.7100,167.0300,166.4244,454203,0.0000,1.0000
2019-12-16,167.8200,168.2400,167.0800,167.6200,167.0123,768821,0.0000,1.0000
2019-12-13,165.9700,167.8600,165.6694,167.5000,166.8927,551839,0.0000,1.0000
2019-12-12,169.8100,170.8100,166.3300,166.4600,165.8565,597023,0.0000,1.0000
2019-12-11,171.3300,171.6134,169.1000,170.6500,170.0313,450136,0.0000,1.0000
2019-12-10,168.9900,171.9600,168.0100,171.3600,170.7387,587624,0.0000,1.0000
2019-12-09,172.2100,172.9500,171.5900,172.7400,172.1137,375367,0.0000,1.0000
2019-12-06,172.4000,173.3100,171.5600,171.9900,171.3664,371668,0.0000,1.0000
2019-12-05,171.1600,172.2400,170.4500,172.1800,171.5557,427281,0.0000,1.0000
2019-12-04,169.5700,171.8300,169.3400,171.3700,170.7487,481885,0.0000,1.0000
2019-12-03,169.0500,170.9700,168.1800,170.8400,170.2206,589036,0.0000,1.0000
2019-12-02,168.8500,169.5100,167.9300,169.2100,168.5965,521514,0.0000,1.0000
2019-11-29,169.5300,169.9800,168.8900,169.2500,168.6363,504421,0.0000,1.0000
2019-11-27,168.9300,170.4000,167.7450,169.4300,168.8157,469127,0.0000,1.0000
2019-11-26,166.9700,168.9800,166.1500,168.9300,168.3175,907998,0.0000,1.0000
2019-11-25,167.4300,167.5000,165.7500,166.6200,166.0159,475417,0.0000,1.0000
2019-11-22,166.7400,167.4500,164.4950,166.9100,166.3048,453038,0.0000,1.0000
2019-11-21,167.5100,167.9100,166.0000,166.4300,165.8266,645369,0.0000,1.0000
2019-11-20,166.1500,168.1600,165.4400,167.9500,167.3411,610366,0.0000,1.0000
2019-11-19,165.4500,166.4050,164.6100,165.9600,165.3583,388984,0.0000,1.0000
2019-11-18,162.4700,165.5800,160.9300,165.4700,164.8701,915080,0.0000,1.0000
2019-11-15,162.9900,162.9900,160.7000,162.3800,161.7913,1564318,0.0000,1.0000
2019-11-14,163.9600,164.1200,162.6700,163.1100,162.5186,468683,0.0000,1.0000
2019-11-13,161.2300,163.8200,160.7600,163.6600,163.0666,555859,0.0000,1.0000
2019-11-12,160.4300,161.2100,159.6000,161.1200,160.5358,512734,0.0000,1.0000
2019-11-11,159.5100,160.7500,159.3501,160.4400,159.8583,553343,0.0000,1.0000
2019-11-08,160.0700,160.4800,158.4900,159.6900,159.1110,601557,0.0000,1.0000
2019-11-07,159.0000,160.5900,157.8900,160.4300,159.8483,520553,0.0000,1.0000
2019-11-06,159.2600,160.6300,158.7200,159.3200,158.7423,572701,0.0000,1.0000
2019-11-05,158.0800,159.6100,157.8600,159.0200,158.4434,814556,0.0000,1.0000
2019-11-04,160.5000,161.3050,157.6100,158.4600,157.8855,948710,0.0000,1.0000
2019-11-01,160.8200,162.0200,160.2200,160.6300,160.0476,407274,0.0000,1.0000
2019-10-31,162.8600,163.0600,160.0000,160.6900,160.1074,612168,0.0000,1.0000
2019-10-30,162.7300,163.9100,161.4500,163.0600,162.4688,496707,0.0000,1.0000
2019-10-29,160.3400,163.1100,160.0200,162.4200,161.8311,458094,0.0000,1.0000
2019-10-28,159.9100,160.4100,159.0100,160.2200,159.6391,542504,0.0000,1.0000
2019-10-25,160.2100,160.3500,158.1900,159.3800,158.8021,556136,0.0000,1.0000
2019-10-24,160.4100,160.5200,158.9400,160.0000,159.4199,444237,0.0000,1.0000
2019-10-23,160.6500,161.1499,159.2000,160.4600,159.8782,484564,0.0000,1.0000
2019-10-22,162.8800,163.4200,160.4600,160.5000,159.9181,652097,0.0000,1.0000
2019-10-21,161.3900,162.8800,161.1740,162.3800,161.7913,544553,0.0000,1.0000
