timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,64.2000,64.9300,63.4000,64.7000,64.7000,887511,0.0000,1.0000
2020-01-22,65.0000,65.0000,64.1850,64.2300,64.2300,1461365,0.0000,1.0000
2020-01-21,64.5500,65.3300,64.0900,64.8500,64.8500,1459961,0.0000,1.0000
2020-01-17,64.9100,64.9950,64.2000,64.3700,64.3700,1087827,0.0000,1.0000
2020-01-16,64.8400,65.1599,64.4100,65.0000,65.0000,626248,0.0000,1.0000
2020-01-15,65.0000,65.3400,64.6500,64.6600,64.6600,1087517,0.0000,1.0000
2020-01-14,65.0000,65.3400,64.8000,65.0800,65.0800,1772634,0.0000,1.0000
2020-01-13,64.2500,65.2300,63.9200,64.8600,64.8600,1651641,0.0000,1.0000
2020-01-10,63.6400,64.1500,63.3600,64.1300,64.1300,1111332,0.0000,1.0000
2020-01-09,63.6000,63.8500,63.0600,63.6500,63.6500,912888,0.0000,1.0000
2020-01-08,63.2100,63.6100,63.0619,63.5500,63.5500,928175,0.0000,1.0000
2020-01-07,63.4200,63.4200,62.4200,63.2100,63.2100,1003411,0.0000,1.0000
2020-01-06,62.7100,63.4100,62.6800,63.1200,63.1200,993659,0.0000,1.0000
2020-01-03,62.9600,63.0600,61.9500,62.7500,62.7500,926655,0.0000,1.0000
2020-01-02,63.0000,63.1400,62.5900,62.8300,62.8300,718776,0.0000,1.0000
2019-12-31,61.0000,62.8700,61.0000,62.8700,62.8700,2005634,0.0000,1.0000
2019-12-30,61.8000,62.2000,61.1600,61.3100,61.3100,1081173,0.0000,1.0000
2019-12-27,62.0200,62.3600,61.7200,61.7800,61.7800,796692,0.0000,1.0000
2019-12-26,61.8100,62.2310,61.7100,62.0200,62.0200,1101212,0.0000,1.0000
2019-12-24,61.9500,62.0900,61.4250,61.9000,61.9000,621599,0.0000,1.0000
2019-12-23,62.5100,62.8400,61.7050,62.1500,62.1500,1035961,0.0000,1.0000
2019-12-20,62.5000,62.6400,62.1200,62.5100,62.5100,1841999,0.0000,1.0000
2019-12-19,62.9500,63.3550,62.1300,62.4500,62.4500,1366939,0.0000,1.0000
2019-12-18,63.0000,63.6500,62.7200,63.0800,63.0800,1119046,0.0000,1.0000
2019-12-17,63.4500,64.3400,62.6600,62.8700,62.8700,1440199,0.0000,1.0000
2019-12-16,62.6000,63.5150,62.5200,63.2700,63.2700,1100012,0.0000,1.0000
2019-12-13,62.5700,62.7163,61.5700,62.6900,62.6900,1172218,0.0000,1.0000
2019-12-12,61.4400,62.7800,61.4100,62.4600,62.4600,1645362,0.0000,1.0000
2019-12-11,60.5000,61.7500,60.4400,61.7500,61.7500,1259449,0.0000,1.0000
2019-12-10,60.5600,60.9500,60.1900,60.5500,60.5500,1361197,0.0000,1.0000
2019-12-09,59.1500,60.2527,58.9500,60.1600,60.1600,1289429,0.0000,1.0000
2019-12-06,58.9200,59.5130,58.9200,59.1500,59.1500,748393,0.0000,1.0000
2019-12-05,58.8500,59.5600,58.8400,58.9600,58.9600,727754,0.0000,1.0000
2019-12-04,58.8300,59.2165,58.2100,58.8800,58.8800,709770,0.0000,1.0000
2019-12-03,58.3700,59.3500,58.1300,58.5900,58.5900,656199,0.0000,1.0000
2019-12-02,58.5600,58.9100,57.7200,58.7500,58.7500,980673,0.0000,1.0000
2019-11-29,58.8600,59.0300,58.1900,58.4700,58.4700,368508,0.0000,1.0000
2019-11-27,59.9900,60.1124,58.7900,59.0300,59.0300,942934,0.0000,1.0000
2019-11-26,61.2300,61.4820,59.7800,59.9100,59.9100,761664,0.0000,1.0000
2019-11-25,61.2100,61.7900,60.8700,61.1600,61.1600,726824,0.0000,1.0000
2019-11-22,61.2500,61.7700,60.9500,61.1900,61.1900,636103,0.0000,1.0000
2019-11-21,60.3700,61.2500,59.8300,61.1700,61.1700,790898,0.0000,1.0000
2019-11-20,59.1300,60.3500,59.1300,60.0800,60.0800,575190,0.0000,1.0000
2019-11-19,59.9500,60.0200,59.0600,59.1600,59.1600,706573,0.0000,1.0000
2019-11-18,60.6200,60.7700,59.8600,59.9400,59.9400,601012,0.0000,1.0000
2019-11-15,60.3000,61.0159,60.3000,60.7800,60.7800,821100,0.0000,1.0000
2019-11-14,61.2500,61.3800,60.1700,60.2800,60.2800,821001,0.0000,1.0000
2019-11-13,60.5300,61.4500,60.4328,60.8400,60.8400,886947,0.0000,1.0000
2019-11-12,60.4000,61.1700,60.2900,60.5900,60.5900,605225,0.0000,1.0000
2019-11-11,60.5200,60.8380,60.1600,60.4600,60.4600,627245,0.0000,1.0000
2019-11-08,59.4700,60.8300,58.8100,60.6200,60.6200,1168733,0.0000,1.0000
2019-11-07,60.5300,60.6600,58.7700,59.5500,59.5500,1725790,0.0000,1.0000
2019-11-06,60.9500,61.1300,60.1000,60.4800,60.4800,941900,1.0200,1.0000
2019-11-05,63.0000,63.0250,61.1400,62.0900,61.0602,1102877,0.0000,1.0000
2019-11-04,62.5500,63.3000,62.3900,62.7400,61.6994,1029291,0.0000,1.0000
2019-11-01,62.3900,62.8200,61.8200,62.6800,61.6404,768732,0.0000,1.0000
2019-10-31,64.1200,64.4750,62.0800,62.3200,61.2864,1506352,0.0000,1.0000
2019-10-30,63.7300,64.4700,63.6600,64.1200,63.0565,885250,0.0000,1.0000
2019-10-29,63.1600,64.0000,63.0100,63.7300,62.6730,781441,0.0000,1.0000
