timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,170.0000,172.5800,168.6500,172.2900,172.2900,328574,0.0000,1.0000
2020-01-22,169.5100,171.6600,169.5100,170.3400,170.3400,562981,0.0000,1.0000
2020-01-21,168.9600,170.3300,167.9700,168.7100,168.7100,290075,0.0000,1.0000
2020-01-17,168.5000,170.1500,168.5000,169.5000,169.5000,197296,0.0000,1.0000
2020-01-16,166.8900,168.6200,166.8900,168.3300,168.3300,193014,0.0000,1.0000
2020-01-15,165.4300,166.3100,164.2900,165.9900,165.9900,178339,0.0000,1.0000
2020-01-14,165.3700,165.8350,163.7500,165.0900,165.0900,331895,0.0000,1.0000
2020-01-13,163.5000,165.3900,163.2401,165.3700,165.3700,127203,0.0000,1.0000
2020-01-10,164.7300,164.8500,163.4300,163.6100,163.6100,314836,0.0000,1.0000
2020-01-09,162.7400,164.6700,162.1650,164.6300,164.6300,180465,0.0000,1.0000
2020-01-08,163.0000,163.4000,161.6800,162.1800,162.1800,197459,0.0000,1.0000
2020-01-07,162.8700,164.2000,162.2250,163.0100,163.0100,201211,0.0000,1.0000
2020-01-06,163.8200,163.9000,162.4400,163.6000,163.6000,160883,0.0000,1.0000
2020-01-03,162.8300,164.3800,162.5200,164.0600,164.0600,163241,0.0000,1.0000
2020-01-02,163.2200,165.2300,162.2300,165.2300,165.2300,251914,0.0000,1.0000
2019-12-31,163.5500,164.8000,162.6400,162.8400,162.8400,227119,0.0000,1.0000
2019-12-30,162.7000,164.7950,162.2500,163.3600,163.3600,229953,0.0000,1.0000
2019-12-27,163.1300,165.1600,162.1800,162.8000,162.8000,289534,0.0000,1.0000
2019-12-26,162.8600,163.8300,162.2900,162.8600,162.8600,207501,0.0000,1.0000
2019-12-24,164.3700,164.7700,163.2000,163.2800,163.2800,87390,0.0000,1.0000
2019-12-23,164.7300,164.9700,163.2600,163.8900,163.8900,252181,0.0000,1.0000
2019-12-20,164.5000,165.2800,162.8950,164.3900,164.3900,1189977,0.0000,1.0000
2019-12-19,162.8000,164.1945,162.2100,163.6500,163.6500,394395,0.3800,1.0000
2019-12-18,165.8500,166.2200,163.0600,163.8500,163.4704,311871,0.0000,1.0000
2019-12-17,164.9100,167.5000,164.5600,166.8400,166.4535,330451,0.0000,1.0000
2019-12-16,160.5400,165.3700,160.5400,164.8100,164.4282,482917,0.0000,1.0000
2019-12-13,162.3000,165.1300,159.6000,161.5200,161.1458,522592,0.0000,1.0000
2019-12-12,164.7000,166.0400,160.9800,163.0000,162.6224,719683,0.0000,1.0000
2019-12-11,165.8100,167.4800,164.9000,167.0000,166.6131,341633,0.0000,1.0000
2019-12-10,166.2900,167.6200,164.3550,165.6300,165.2463,174794,0.0000,1.0000
2019-12-09,167.3700,168.2445,166.1700,166.2500,165.8649,128517,0.0000,1.0000
2019-12-06,167.5000,168.9750,166.9400,167.6600,167.2716,252933,0.0000,1.0000
2019-12-05,165.5900,166.6899,165.1100,165.9700,165.5855,164209,0.0000,1.0000
2019-12-04,163.9700,166.9900,163.2100,164.6000,164.2187,207727,0.0000,1.0000
2019-12-03,163.5200,164.4800,161.2885,164.0400,163.6600,168356,0.0000,1.0000
2019-12-02,166.6900,167.3200,164.3800,165.3400,164.9570,148458,0.0000,1.0000
2019-11-29,166.7300,167.4700,165.4650,165.8300,165.4458,90309,0.0000,1.0000
2019-11-27,165.5600,167.0000,165.1112,166.9800,166.5932,167719,0.0000,1.0000
2019-11-26,164.8900,166.5500,164.6503,166.1800,165.7950,204248,0.0000,1.0000
2019-11-25,164.1400,167.2100,164.1400,165.2100,164.8273,206115,0.0000,1.0000
2019-11-22,164.4900,164.7000,162.9100,164.3000,163.9194,125157,0.0000,1.0000
