timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,44.0000,44.4300,43.2100,44.3500,44.3500,387500,0.0000,1.0000
2020-01-22,44.6400,44.6700,43.7000,44.1000,44.1000,649068,0.0000,1.0000
2020-01-21,45.5200,45.5200,44.7100,44.8500,44.8500,482783,0.0000,1.0000
2020-01-17,45.5000,45.6300,45.0007,45.4900,45.4900,332718,0.0000,1.0000
2020-01-16,45.3800,45.7400,45.1850,45.3600,45.3600,502143,0.0000,1.0000
2020-01-15,44.8800,45.3300,44.7500,45.2800,45.2800,487935,0.0000,1.0000
2020-01-14,44.6100,44.9300,44.1450,44.8400,44.8400,434334,0.0000,1.0000
2020-01-13,44.9800,45.1338,44.6900,44.8400,44.8400,614297,0.0000,1.0000
2020-01-10,44.9500,45.1500,44.7220,44.9300,44.9300,412277,0.0000,1.0000
2020-01-09,44.9000,45.2800,44.6300,44.9500,44.9500,435113,0.0000,1.0000
2020-01-08,45.4800,45.6500,44.7100,45.0200,45.0200,355899,0.0000,1.0000
2020-01-07,45.6600,45.7250,45.0400,45.5300,45.5300,418817,0.0000,1.0000
2020-01-06,45.3100,46.0050,45.2800,45.7200,45.7200,800592,0.0000,1.0000
2020-01-03,44.8000,45.4000,44.6700,45.2200,45.2200,433694,0.0000,1.0000
2020-01-02,46.6000,46.6700,44.7100,44.8500,44.8500,701111,0.0000,1.0000
2019-12-31,45.8900,46.5800,45.8200,46.5400,46.5400,608268,0.0000,1.0000
2019-12-30,46.4400,46.5620,45.8710,45.9600,45.9600,431417,0.4350,1.0000
2019-12-27,47.0000,47.1000,46.7300,46.8700,46.4305,280738,0.0000,1.0000
2019-12-26,46.9800,47.2300,46.8300,46.9600,46.5197,320175,0.0000,1.0000
2019-12-24,47.4300,47.6300,46.6900,46.7100,46.2720,223402,0.0000,1.0000
2019-12-23,47.3900,47.4400,47.0500,47.4200,46.9754,265440,0.0000,1.0000
2019-12-20,47.5600,47.7000,46.8800,47.3400,46.8961,2465916,0.0000,1.0000
2019-12-19,47.2400,47.5550,47.2400,47.3000,46.8565,368729,0.0000,1.0000
2019-12-18,46.4400,47.5800,46.3300,47.3000,46.8565,696667,0.0000,1.0000
2019-12-17,46.6500,46.9200,46.3800,46.5200,46.0838,441046,0.0000,1.0000
2019-12-16,46.4300,46.7400,46.2700,46.6600,46.2225,759767,0.0000,1.0000
2019-12-13,46.1600,46.4100,45.9100,46.3700,45.9352,513313,0.0000,1.0000
2019-12-12,46.0000,46.6000,45.8700,46.1100,45.6777,633612,0.0000,1.0000
2019-12-11,45.8000,46.3000,45.7400,45.9200,45.4895,507809,0.0000,1.0000
2019-12-10,45.0500,45.8600,44.8200,45.8300,45.4003,441522,0.0000,1.0000
2019-12-09,45.1000,45.3600,44.8500,45.0800,44.6573,401279,0.0000,1.0000
2019-12-06,45.2400,45.8000,45.1000,45.1300,44.7069,635422,0.0000,1.0000
2019-12-05,45.2700,45.4000,44.8050,44.9400,44.5186,520308,0.0000,1.0000
2019-12-04,44.4300,45.2700,44.3650,45.0900,44.6672,728041,0.0000,1.0000
2019-12-03,44.9300,45.0300,44.4550,44.5700,44.1521,374212,0.0000,1.0000
2019-12-02,45.0800,45.4100,44.7700,44.9400,44.5186,455184,0.0000,1.0000
2019-11-29,45.6900,45.7100,45.0000,45.0200,44.5979,187240,0.0000,1.0000
2019-11-27,45.2200,45.7300,45.2100,45.7300,45.3012,385952,0.0000,1.0000
2019-11-26,45.7700,45.8900,45.1500,45.2400,44.8158,416463,0.0000,1.0000
2019-11-25,45.4100,46.1900,45.1373,45.7400,45.3111,449100,0.0000,1.0000
2019-11-22,45.2200,45.5200,44.7200,45.3100,44.8852,376506,0.0000,1.0000
2019-11-21,45.3800,45.6200,44.9900,45.0800,44.6573,489021,0.0000,1.0000
2019-11-20,45.3400,45.6200,45.1300,45.3800,44.9545,829656,0.0000,1.0000
2019-11-19,45.9900,46.5400,45.5300,45.5600,45.1328,603604,0.0000,1.0000
2019-11-18,45.8600,46.1950,45.7300,45.9300,45.4994,671966,0.0000,1.0000
2019-11-15,45.2200,45.9500,45.2200,45.9500,45.5192,875173,0.0000,1.0000
2019-11-14,46.1700,46.2850,44.9550,45.1100,44.6870,684277,0.0000,1.0000
2019-11-13,45.9900,46.6900,45.9306,46.1400,45.7074,551947,0.0000,1.0000
2019-11-12,45.7800,46.1800,45.2700,46.0300,45.5984,451611,0.0000,1.0000
2019-11-11,46.5300,46.5800,45.7000,45.7800,45.3508,587229,0.0000,1.0000
2019-11-08,46.2600,46.6800,45.8600,46.6600,46.2225,615728,0.0000,1.0000
2019-11-07,46.1400,46.6100,46.0200,46.5400,46.1036,669885,0.0000,1.0000
2019-11-06,46.0500,46.7500,45.7300,46.0700,45.6380,736747,0.0000,1.0000
2019-11-05,46.2500,47.0500,45.8500,46.1600,45.7272,1019493,0.0000,1.0000
2019-11-04,45.5700,46.5400,45.3400,46.2900,45.8560,713599,0.0000,1.0000
2019-11-01,45.3000,45.9000,44.0100,45.4600,45.0338,1016710,0.0000,1.0000
2019-10-31,45.4100,45.5700,44.9700,45.3100,44.8852,1977578,0.0000,1.0000
2019-10-30,45.9900,46.1000,45.1300,45.3300,44.9050,656140,0.0000,1.0000
2019-10-29,45.5000,46.2500,45.3400,45.9900,45.5588,740243,0.0000,1.0000
2019-10-28,45.7200,46.1300,45.3950,45.5100,45.0833,523634,0.0000,1.0000
2019-10-25,45.4800,45.7800,45.2675,45.6400,45.2121,517683,0.0000,1.0000
2019-10-24,45.8500,45.8548,45.2300,45.5200,45.0932,453030,0.0000,1.0000
2019-10-23,45.2800,45.8700,44.9490,45.7200,45.2913,445306,0.0000,1.0000
2019-10-22,44.8500,45.6100,44.4200,45.3000,44.8753,582762,0.0000,1.0000
2019-10-21,44.6900,44.8100,43.9100,44.7500,44.3304,477951,0.0000,1.0000
2019-10-18,44.7600,44.8329,44.4700,44.5800,44.1620,671980,0.0000,1.0000
2019-10-17,44.9300,45.0598,43.9300,44.8300,44.4097,855857,0.0000,1.0000
2019-10-16,44.8600,45.6250,44.7700,44.9100,44.4889,602635,0.0000,1.0000
2019-10-15,45.1600,45.7300,44.5100,44.8400,44.4196,1075864,0.0000,1.0000
2019-10-14,44.9200,45.2700,44.4100,44.7700,44.3502,629773,0.0000,1.0000
2019-10-11,43.6800,45.2950,43.6800,44.9200,44.4988,1193330,0.0000,1.0000
2019-10-10,43.3500,43.5400,43.0100,43.4900,43.0822,640812,0.0000,1.0000
2019-10-09,43.5700,43.6550,42.9800,43.4300,43.0228,618340,0.0000,1.0000
2019-10-08,43.8300,44.0500,43.2500,43.3100,42.9039,738005,0.0000,1.0000
2019-10-07,44.8000,44.9755,43.9900,44.0900,43.6766,746194,0.0000,1.0000
2019-10-04,45.2300,45.5400,44.3700,45.0100,44.5880,625071,0.0000,1.0000
2019-10-03,45.0300,45.3800,44.6100,45.1100,44.6870,1019776,0.0000,1.0000
2019-10-02,45.5600,45.6650,44.6200,45.1200,44.6970,766223,0.0000,1.0000
2019-10-01,47.0000,47.0100,45.3300,45.5900,45.1625,599859,0.0000,1.0000
2019-09-30,46.9900,47.2100,46.7800,46.9200,46.4801,475072,0.0000,1.0000
2019-09-27,46.8600,47.5350,46.7900,47.0600,46.6188,513281,0.4350,1.0000
2019-09-26,48.1400,48.1400,46.8700,47.3400,46.4666,526184,0.0000,1.0000
2019-09-25,47.7700,48.1900,47.7700,48.0200,47.1341,485415,0.0000,1.0000
2019-09-24,48.1000,48.2100,47.7700,47.8700,46.9868,540173,0.0000,1.0000
2019-09-23,47.3100,48.2500,47.3100,47.8400,46.9574,638388,0.0000,1.0000
2019-09-20,48.2700,48.4400,47.2800,47.2800,46.4077,1255922,0.0000,1.0000
2019-09-19,48.8700,49.5432,47.9600,48.1300,47.2420,632272,0.0000,1.0000
2019-09-18,48.6900,48.9550,48.2700,48.5600,47.6641,495884,0.0000,1.0000
2019-09-17,49.0200,49.1200,48.2646,48.4700,47.5758,485175,0.0000,1.0000
2019-09-16,49.2100,49.3800,48.8183,49.1500,48.2432,600476,0.0000,1.0000
2019-09-13,48.7600,49.3500,48.5300,48.7300,47.8310,456608,0.0000,1.0000
2019-09-12,50.3700,50.4600,48.5100,48.7400,47.8408,423509,0.0000,1.0000
2019-09-11,49.3200,50.0000,49.0250,50.0000,49.0776,558628,0.0000,1.0000
2019-09-10,48.0400,49.4500,48.0400,49.2700,48.3610,648884,0.0000,1.0000
2019-09-09,47.0900,48.2200,46.8800,48.2100,47.3206,772410,0.0000,1.0000
2019-09-06,47.5900,47.5900,46.8600,47.0000,46.1329,414189,0.0000,1.0000
2019-09-05,46.8900,47.8500,46.8900,47.4600,46.5844,784764,0.0000,1.0000
2019-09-04,46.9000,47.2000,46.5900,46.9800,46.1133,390921,0.0000,1.0000
2019-09-03,46.5700,46.8850,46.0300,46.8100,45.9464,564376,0.0000,1.0000
2019-08-30,46.6300,46.9900,46.2100,46.7400,45.8777,618496,0.0000,1.0000
2019-08-29,46.1400,46.8300,46.1400,46.6100,45.7501,406532,0.0000,1.0000
2019-08-28,45.8300,46.2300,45.6100,45.7600,44.9158,594661,0.0000,1.0000
2019-08-27,46.7300,46.7300,45.7400,45.7500,44.9060,303248,0.0000,1.0000
2019-08-26,45.7600,46.5200,45.5600,46.4100,45.5538,460614,0.0000,1.0000
2019-08-23,46.8600,46.9700,45.4700,45.5800,44.7391,460493,0.0000,1.0000
2019-08-22,47.4800,47.6000,46.8400,46.9400,46.0740,486152,0.0000,1.0000
2019-08-21,46.9600,47.5700,46.9400,47.5300,46.6531,454364,0.0000,1.0000
2019-08-20,47.6600,47.6600,46.9100,46.9400,46.0740,320343,0.0000,1.0000
2019-08-19,47.1800,47.6500,47.0300,47.4700,46.5942,444349,0.0000,1.0000
2019-08-16,46.5800,47.1500,46.4600,47.0400,46.1722,838074,0.0000,1.0000
2019-08-15,46.4400,46.9300,46.1100,46.5900,45.7305,581116,0.0000,1.0000
2019-08-14,47.0600,47.2100,46.3900,46.4800,45.6225,640061,0.0000,1.0000
2019-08-13,46.7600,47.9600,46.6950,47.3200,46.4470,877493,0.0000,1.0000
2019-08-12,47.2500,47.4207,46.4800,47.1400,46.2703,585769,0.0000,1.0000
2019-08-09,49.0500,49.1700,47.1600,47.4700,46.5942,911511,0.0000,1.0000
2019-08-08,48.4400,49.0700,47.9850,49.0300,48.1254,891298,0.0000,1.0000
2019-08-07,47.7000,48.7500,47.0900,48.5900,47.6936,893792,0.0000,1.0000
2019-08-06,47.8800,47.9800,46.9800,47.8600,46.9770,940711,0.0000,1.0000
2019-08-05,48.4900,48.4900,46.9800,47.7200,46.8396,1352979,0.0000,1.0000
2019-08-02,47.0400,49.0100,46.6600,48.8600,47.9586,1628390,0.0000,1.0000
2019-08-01,47.5700,47.8500,46.7800,46.8700,46.0053,1187625,0.0000,1.0000
2019-07-31,47.3900,48.5700,47.3000,47.7400,46.8592,3328556,0.0000,1.0000
2019-07-30,46.1400,47.5900,46.1400,47.3000,46.4274,1628184,0.0000,1.0000
2019-07-29,46.1100,46.6500,45.8350,46.2300,45.3771,932057,0.0000,1.0000
2019-07-26,46.8100,46.9700,45.7900,46.0700,45.2201,1170009,0.0000,1.0000
2019-07-25,47.9300,48.2550,46.6000,46.8400,45.9758,992664,0.0000,1.0000
2019-07-24,48.1600,48.3800,47.9050,47.9500,47.0654,816384,0.0000,1.0000
2019-07-23,48.3200,48.5600,47.6100,48.1000,47.2126,1165056,0.0000,1.0000
2019-07-22,48.5300,48.6700,47.9900,48.3000,47.4089,717337,0.0000,1.0000
2019-07-19,49.4900,49.5400,48.3000,48.5000,47.6052,874473,0.0000,1.0000
2019-07-18,50.4700,50.4700,49.3200,49.4200,48.5083,937927,0.0000,1.0000
2019-07-17,51.8700,52.0498,50.5950,50.6400,49.7057,598494,0.0000,1.0000
2019-07-16,51.6400,51.7400,50.9700,51.6200,50.6677,822158,0.0000,1.0000
2019-07-15,52.7500,52.9350,51.7100,51.9400,50.9818,851930,0.0000,1.0000
2019-07-12,53.4700,53.6500,52.8850,53.1400,52.1596,416802,0.0000,1.0000
2019-07-11,53.7100,53.7800,53.3020,53.5400,52.5522,385311,0.0000,1.0000
2019-07-10,53.8900,53.9200,53.5800,53.7300,52.7387,291461,0.0000,1.0000
2019-07-09,53.3400,53.5850,53.1000,53.5200,52.5326,345447,0.0000,1.0000
2019-07-08,53.8600,53.9000,53.3700,53.6000,52.6111,432691,0.0000,1.0000
2019-07-05,53.4200,53.7300,52.9700,53.7100,52.7191,403988,0.0000,1.0000
2019-07-03,53.8800,54.6100,53.7700,53.9100,52.9154,1484692,0.0000,1.0000
2019-07-02,53.3300,53.8500,53.1700,53.7100,52.7191,722070,0.0000,1.0000
2019-07-01,52.8800,53.1500,52.7000,53.1200,52.1400,578187,0.0000,1.0000
2019-06-28,51.9700,52.8400,51.9700,52.7500,51.7768,922091,0.0000,1.0000
2019-06-27,52.7800,52.9700,51.7100,51.8700,50.9131,637126,0.4350,1.0000
2019-06-26,54.5200,54.5200,53.2200,53.2200,51.8037,444312,0.0000,1.0000
2019-06-25,54.5300,54.8800,54.3688,54.4400,52.9912,611444,0.0000,1.0000
2019-06-24,54.8800,54.9200,54.3600,54.4700,53.0204,452386,0.0000,1.0000
2019-06-21,53.9500,54.6100,53.8500,54.6000,53.1470,1095407,0.0000,1.0000
2019-06-20,54.9000,54.9000,53.8900,54.1800,52.7382,489946,0.0000,1.0000
2019-06-19,54.0200,54.4700,53.8700,54.3200,52.8744,385505,0.0000,1.0000
2019-06-18,54.6500,54.6500,53.7200,54.0200,52.5824,511848,0.0000,1.0000
2019-06-17,53.8600,54.2900,53.5000,54.2100,52.7674,523093,0.0000,1.0000
2019-06-14,53.9500,54.2200,53.7600,54.0400,52.6019,337877,0.0000,1.0000
2019-06-13,53.4700,53.7900,53.3900,53.7700,52.3391,473012,0.0000,1.0000
