timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,75.0300,76.1400,74.8500,76.1100,76.1100,134918,0.0000,1.0000
2020-01-22,74.5000,75.2600,74.5000,74.9600,74.9600,136784,0.0000,1.0000
2020-01-21,73.7100,74.7600,73.4100,74.5800,74.5800,290523,0.0000,1.0000
2020-01-17,73.2100,73.7600,72.6100,73.6300,73.6300,220312,0.0000,1.0000
2020-01-16,73.7000,74.2200,72.9600,72.9900,72.9900,217473,0.0000,1.0000
2020-01-15,72.1600,73.7400,72.0800,73.3400,73.3400,181727,0.0000,1.0000
2020-01-14,72.1500,72.4300,71.7500,72.0500,72.0500,161138,0.0000,1.0000
2020-01-13,71.3200,72.5200,71.2000,72.2200,72.2200,320813,0.0000,1.0000
2020-01-10,71.2100,71.6400,70.6700,71.3200,71.3200,428831,0.0000,1.0000
2020-01-09,70.8300,71.6400,70.1400,71.1500,71.1500,236566,0.0000,1.0000
2020-01-08,72.7300,72.7850,71.9200,72.3600,72.3600,288766,0.0000,1.0000
2020-01-07,73.2400,73.2400,72.2000,72.6300,72.6300,201491,0.0000,1.0000
2020-01-06,73.5300,74.1900,73.3600,73.4300,73.4300,181053,0.0000,1.0000
2020-01-03,73.4800,74.3200,73.4800,73.9600,73.9600,200819,0.0000,1.0000
2020-01-02,73.8700,74.0000,72.8200,73.6600,73.6600,192724,0.0000,1.0000
2019-12-31,73.1000,73.9100,73.1000,73.7300,73.7300,196357,0.0000,1.0000
2019-12-30,72.3000,73.1300,72.0900,73.0900,73.0900,157843,0.0000,1.0000
2019-12-27,72.2800,72.5700,71.9100,72.5600,72.5600,135282,0.0000,1.0000
2019-12-26,72.0000,72.2300,71.4200,72.1400,72.1400,212758,0.0000,1.0000
2019-12-24,72.4500,72.7214,71.4600,71.8000,71.8000,58932,0.0000,1.0000
2019-12-23,73.8200,73.9000,72.0400,72.3400,72.3400,169579,0.0000,1.0000
2019-12-20,73.4400,74.1300,73.0400,73.8600,73.8600,437037,0.0000,1.0000
2019-12-19,72.9700,73.4900,72.7000,73.3300,73.3300,143167,0.0000,1.0000
2019-12-18,71.5000,73.1000,71.3800,73.0900,73.0900,224952,0.0000,1.0000
2019-12-17,70.6700,71.7800,70.5400,71.4300,71.4300,162436,0.0000,1.0000
2019-12-16,69.7600,70.5800,69.6300,70.5800,70.5800,245150,0.0000,1.0000
2019-12-13,69.3300,69.9200,68.7500,69.6500,69.6500,189348,0.0000,1.0000
2019-12-12,69.3900,70.0933,69.0324,69.2400,69.2400,130225,0.0000,1.0000
2019-12-11,69.1300,69.6800,68.7900,69.5200,69.5200,130031,0.0000,1.0000
2019-12-10,68.2900,69.0700,68.2805,68.9700,68.9700,125079,0.0000,1.0000
2019-12-09,68.4600,68.6400,68.0400,68.5600,68.5600,211752,0.0000,1.0000
2019-12-06,68.8700,69.6700,68.2300,68.2300,68.2300,134788,0.0000,1.0000
2019-12-05,67.9300,68.8900,67.8200,68.7500,68.7500,208913,0.0000,1.0000
2019-12-04,67.8300,68.8500,67.8300,68.1300,68.1300,191312,0.0000,1.0000
2019-12-03,68.3300,68.6400,67.4900,67.7000,67.7000,95559,0.0000,1.0000
2019-12-02,68.5600,68.6000,68.1700,68.3700,68.3700,119934,0.0000,1.0000
2019-11-29,68.8000,69.4500,68.4900,68.7700,68.7700,98513,0.0000,1.0000
2019-11-27,68.5300,69.3900,68.5300,69.0600,69.0600,177493,0.0000,1.0000
2019-11-26,67.7600,68.8900,67.7000,68.6700,68.6700,182694,0.0000,1.0000
2019-11-25,67.0300,68.0500,67.0300,67.9400,67.9400,119838,0.0000,1.0000
2019-11-22,66.7600,67.4000,65.9200,67.0400,67.0400,127591,0.0000,1.0000
2019-11-21,65.8800,66.6800,65.4700,66.4700,66.4700,165091,0.0000,1.0000
2019-11-20,64.8200,65.8500,64.6757,65.8200,65.8200,193021,0.0000,1.0000
2019-11-19,65.2700,65.5800,65.0050,65.1600,65.1600,129549,0.0000,1.0000
2019-11-18,65.3400,66.0600,65.2200,65.2700,65.2700,109392,0.0000,1.0000
2019-11-15,65.5100,65.6500,64.8300,65.3900,65.3900,185592,0.0000,1.0000
2019-11-14,65.9900,66.3900,65.3200,65.3500,65.3500,103926,0.0000,1.0000
2019-11-13,64.8400,65.9350,64.8400,65.7100,65.7100,166473,0.0000,1.0000
2019-11-12,64.4700,65.2700,64.1900,64.8900,64.8900,131351,0.0000,1.0000
2019-11-11,64.6600,65.0000,64.3200,64.3600,64.3600,107282,0.0000,1.0000
2019-11-08,64.4200,65.2500,63.9400,64.7900,64.7900,90487,0.0000,1.0000
2019-11-07,65.5800,66.1800,64.1859,64.7100,64.7100,102328,0.0000,1.0000
2019-11-06,65.8200,66.5300,65.1500,65.5200,65.5200,184126,0.0000,1.0000
2019-11-05,65.5900,65.9600,62.8700,65.2400,65.2400,237827,0.0000,1.0000
2019-11-04,69.3000,69.3000,66.7900,66.9200,66.9200,100750,0.0000,1.0000
2019-11-01,69.5700,70.2500,69.0900,69.3500,69.3500,100574,0.0000,1.0000
2019-10-31,69.6100,70.2200,68.8300,69.3600,69.3600,78551,0.0000,1.0000
2019-10-30,68.9500,69.7100,68.7900,69.5800,69.5800,83932,0.4775,1.0000
2019-10-29,69.4500,70.0300,69.1800,69.4200,68.9468,106242,0.0000,1.0000
2019-10-28,69.6600,70.3850,69.4429,69.7800,69.3044,173772,0.0000,1.0000
2019-10-25,71.2700,71.2700,69.9000,69.9300,69.4534,67266,0.0000,1.0000
2019-10-24,71.2300,71.2300,70.7000,71.0000,70.5161,73446,0.0000,1.0000
2019-10-23,71.3000,71.4500,70.6000,70.9100,70.4267,99835,0.0000,1.0000
2019-10-22,70.4300,71.3100,70.0100,70.9000,70.4168,150397,0.0000,1.0000
2019-10-21,70.2000,70.4248,69.7600,70.1100,69.6321,77222,0.0000,1.0000
2019-10-18,69.9200,70.2200,69.2500,69.9700,69.4931,80737,0.0000,1.0000
2019-10-17,69.9200,70.4600,69.3700,70.0600,69.5825,129357,0.0000,1.0000
2019-10-16,69.6600,70.2425,69.0700,69.6700,69.1951,102746,0.0000,1.0000
2019-10-15,70.1400,70.3300,68.9800,69.5400,69.0660,112829,0.0000,1.0000
2019-10-14,70.5400,70.5400,69.8500,70.0000,69.5229,90629,0.0000,1.0000
2019-10-11,69.5600,70.9700,69.2300,70.3600,69.8804,132505,0.0000,1.0000
2019-10-10,69.4500,69.8000,68.9500,69.5000,69.0263,115051,0.0000,1.0000
2019-10-09,69.4700,69.7500,68.8000,69.3700,68.8972,92733,0.0000,1.0000
2019-10-08,69.5700,69.6100,68.3700,68.9700,68.4999,99196,0.0000,1.0000
2019-10-07,69.7200,69.9600,69.2600,69.7700,69.2945,107433,0.0000,1.0000
2019-10-04,69.3500,70.4700,68.8100,69.9300,69.4534,155038,0.0000,1.0000
2019-10-03,69.5900,69.7500,68.6400,69.0700,68.5992,93473,0.0000,1.0000
2019-10-02,70.5200,70.8000,69.2600,69.6600,69.1852,126736,0.0000,1.0000
2019-10-01,70.9100,71.7208,70.5300,70.6000,70.1188,100390,0.0000,1.0000
2019-09-30,71.4100,72.2550,71.3400,71.3400,70.8538,261969,0.0000,1.0000
2019-09-27,71.8300,72.1000,71.1250,71.3300,70.8438,142196,0.0000,1.0000
2019-09-26,71.6900,71.7950,71.2950,71.3200,70.8339,92265,0.0000,1.0000
2019-09-25,71.0600,71.5300,70.7150,71.2700,70.7842,163297,0.0000,1.0000
2019-09-24,70.8000,71.2800,70.4350,70.8500,70.3671,181641,0.0000,1.0000
2019-09-23,71.0300,71.4600,70.6600,70.7100,70.2281,189577,0.0000,1.0000
2019-09-20,71.9400,72.2800,71.3200,71.4200,70.9332,334394,0.0000,1.0000
2019-09-19,72.1100,72.4100,71.4200,71.9000,71.4099,145361,0.0000,1.0000
2019-09-18,71.4700,71.8500,70.9700,71.5200,71.0325,125225,0.0000,1.0000
2019-09-17,71.2200,71.8200,71.1100,71.2900,70.8041,122318,0.0000,1.0000
2019-09-16,72.0400,72.2600,71.2400,71.4400,70.9531,108218,0.0000,1.0000
2019-09-13,71.1900,72.4500,70.8200,71.8100,71.3206,133635,0.0000,1.0000
2019-09-12,72.4000,72.7300,71.8100,72.0300,71.5391,125404,0.0000,1.0000
2019-09-11,69.9800,71.7000,69.7877,71.6400,71.1517,130915,0.0000,1.0000
2019-09-10,70.0100,70.8600,69.7000,69.8900,69.4136,121412,0.0000,1.0000
2019-09-09,70.1200,70.4100,69.6500,70.1100,69.6321,99196,0.0000,1.0000
2019-09-06,71.3600,71.3600,70.4400,70.5500,70.0691,73032,0.0000,1.0000
2019-09-05,71.3000,72.1600,70.8839,71.2400,70.7544,129464,0.0000,1.0000
2019-09-04,71.5600,72.1300,71.3900,71.7100,71.2212,89208,0.0000,1.0000
2019-09-03,71.2000,71.8300,70.9900,71.6400,71.1517,105294,0.0000,1.0000
2019-08-30,71.1000,71.4700,70.8500,71.3600,70.8736,90620,0.0000,1.0000
2019-08-29,70.7300,71.6100,70.7300,71.2600,70.7743,78592,0.0000,1.0000
2019-08-28,70.3000,70.9100,70.1800,70.5500,70.0691,91129,0.0000,1.0000
2019-08-27,71.0600,71.6600,70.2000,70.2400,69.7613,106956,0.0000,1.0000
2019-08-26,70.0100,70.6300,69.9345,70.6100,70.1287,103748,0.0000,1.0000
2019-08-23,71.2400,71.6100,69.7200,69.8500,69.3739,134514,0.0000,1.0000
2019-08-22,71.4500,71.9100,71.1300,71.3400,70.8538,109404,0.0000,1.0000
2019-08-21,71.3500,71.6400,70.5800,71.6400,71.1517,76017,0.0000,1.0000
2019-08-20,71.5800,71.6100,70.9300,71.4000,70.9133,82245,0.0000,1.0000
2019-08-19,71.8200,72.2900,71.0400,71.5400,71.0524,95909,0.0000,1.0000
2019-08-16,71.0000,72.4200,70.3900,71.9500,71.4596,112860,0.0000,1.0000
2019-08-15,70.6400,71.4500,70.2800,71.0900,70.6055,148303,0.0000,1.0000
2019-08-14,70.4700,70.6200,70.0400,70.4200,69.9400,125662,0.0000,1.0000
2019-08-13,69.9300,70.5800,69.8800,70.5000,70.0195,82246,0.0000,1.0000
2019-08-12,70.3100,70.5300,69.8500,70.1500,69.6719,53500,0.0000,1.0000
2019-08-09,71.0500,71.5200,70.2400,70.2400,69.7613,131025,0.0000,1.0000
2019-08-08,69.8400,71.3950,69.5500,71.2800,70.7942,135108,0.0000,1.0000
2019-08-07,70.5400,70.5400,69.2100,70.1000,69.6222,141853,0.0000,1.0000
2019-08-06,73.5000,73.5000,69.7100,70.7400,70.2578,182497,0.0000,1.0000
2019-08-05,71.4200,71.4200,69.4800,70.3300,69.8506,148171,0.0000,1.0000
2019-08-02,71.7700,72.1400,71.0100,71.1300,70.6452,98843,0.0000,1.0000
2019-08-01,71.3800,72.1600,71.1600,71.9100,71.4199,108561,0.0000,1.0000
2019-07-31,71.4700,72.6600,70.8000,71.4200,70.9332,207823,0.0000,1.0000
2019-07-30,71.3200,71.9950,71.1800,71.4400,70.9531,154543,0.4750,1.0000
2019-07-29,71.4600,72.0700,71.2700,71.8800,70.9185,106936,0.0000,1.0000
2019-07-26,70.9100,71.8200,70.6000,71.5200,70.5634,84717,0.0000,1.0000
2019-07-25,71.1900,71.6300,70.5300,70.8800,69.9319,104244,0.0000,1.0000
2019-07-24,70.8400,71.4300,70.2300,71.2700,70.3167,130102,0.0000,1.0000
2019-07-23,70.5700,70.9500,70.1600,70.8100,69.8629,97339,0.0000,1.0000
2019-07-22,71.3600,71.4700,70.3500,70.6400,69.6951,95962,0.0000,1.0000
2019-07-19,71.5400,72.0100,71.0200,71.0400,70.0898,143372,0.0000,1.0000
2019-07-18,70.6900,71.7800,70.3500,71.7500,70.7903,115601,0.0000,1.0000
2019-07-17,70.1900,70.9900,70.1700,70.7600,69.8135,76364,0.0000,1.0000
2019-07-16,69.7400,70.2200,69.5700,70.0200,69.0834,82325,0.0000,1.0000
2019-07-15,70.0400,70.2800,69.6600,70.0600,69.1229,67499,0.0000,1.0000
2019-07-12,70.2600,70.3800,69.9100,70.0700,69.1328,199836,0.0000,1.0000
2019-07-11,70.1800,70.4700,69.7300,70.2400,69.3005,166552,0.0000,1.0000
2019-07-10,70.3800,70.5000,69.8250,70.2300,69.2906,110768,0.0000,1.0000
2019-07-09,69.9500,70.1300,69.5700,69.9800,69.0440,118996,0.0000,1.0000
2019-07-08,69.8000,70.1400,69.6300,70.0600,69.1229,187846,0.0000,1.0000
2019-07-05,69.1300,69.9500,68.6900,69.9500,69.0144,155101,0.0000,1.0000
2019-07-03,69.4900,69.9000,69.4500,69.6100,68.6789,65708,0.0000,1.0000
2019-07-02,69.0400,69.5150,68.7700,69.3100,68.3829,155478,0.0000,1.0000
