timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,67.7700,67.8600,66.7300,67.2700,67.2700,1344430,0.0000,1.0000
2020-01-22,66.5900,67.9800,66.5100,67.8900,67.8900,2156648,0.0000,1.0000
2020-01-21,65.9500,67.3250,65.9500,66.5200,66.5200,2382162,0.0000,1.0000
2020-01-17,65.0000,66.2000,64.9400,65.6500,65.6500,1437098,0.0000,1.0000
2020-01-16,64.0000,64.9600,63.1500,64.7600,64.7600,2129483,0.0000,1.0000
2020-01-15,64.1200,65.5300,64.0900,65.2900,65.2900,1642034,0.0000,1.0000
2020-01-14,64.8500,65.2500,64.0400,64.2300,64.2300,1564751,0.0000,1.0000
2020-01-13,65.1300,65.3150,64.6600,65.0700,65.0700,1187731,0.0000,1.0000
2020-01-10,64.9200,65.3300,64.5100,64.9300,64.9300,817334,0.0000,1.0000
2020-01-09,65.0000,65.5700,64.7400,64.8400,64.8400,637651,0.0000,1.0000
2020-01-08,64.9400,65.5600,64.6800,64.8500,64.8500,659961,0.0000,1.0000
2020-01-07,64.9300,65.6200,64.6950,64.8400,64.8400,1370446,0.0000,1.0000
2020-01-06,64.4200,65.0300,63.8600,64.7100,64.7100,615851,0.0000,1.0000
2020-01-03,64.1600,64.8300,63.9800,64.5500,64.5500,784328,0.0000,1.0000
2020-01-02,65.3400,65.3400,64.3700,65.0200,65.0200,524623,0.2400,1.0000
2019-12-31,64.6400,65.3100,64.5000,65.1200,64.8805,516350,0.0000,1.0000
2019-12-30,65.2400,65.2600,64.7100,64.7500,64.5119,348178,0.0000,1.0000
2019-12-27,65.4700,65.5050,65.0880,65.2100,64.9702,450879,0.0000,1.0000
2019-12-26,65.2400,65.3250,64.8800,65.2600,65.0200,543613,0.0000,1.0000
2019-12-24,65.0800,65.5200,64.6900,65.2600,65.0200,263650,0.0000,1.0000
2019-12-23,65.1300,65.3250,64.7400,65.0000,64.7610,758976,0.0000,1.0000
2019-12-20,65.5300,65.6100,64.7200,65.0000,64.7610,2087942,0.0000,1.0000
2019-12-19,65.5000,65.6800,64.9100,65.4700,65.2292,1267947,0.0000,1.0000
2019-12-18,65.4800,65.7900,64.7800,65.7200,65.4783,1499908,0.0000,1.0000
2019-12-17,64.7300,65.3800,64.6600,65.0200,64.7809,1391006,0.0000,1.0000
2019-12-16,64.7800,65.5250,64.7400,65.2000,64.9602,839013,0.0000,1.0000
2019-12-13,65.6500,65.7700,64.3420,64.5800,64.3425,707783,0.0000,1.0000
2019-12-12,64.8400,65.9200,64.8100,65.6400,65.3986,766077,0.0000,1.0000
2019-12-11,64.9500,65.2100,64.7300,65.1000,64.8606,1063313,0.0000,1.0000
2019-12-10,65.2500,65.4500,64.8200,65.0800,64.8407,879305,0.0000,1.0000
2019-12-09,66.0800,66.3500,65.0300,65.0600,64.8207,892158,0.0000,1.0000
2019-12-06,67.5400,67.8800,66.1000,66.4700,66.2256,1011201,0.0000,1.0000
2019-12-05,65.5900,66.2500,65.3300,66.1100,65.8669,973221,0.0000,1.0000
2019-12-04,64.4000,66.6500,64.1200,65.4300,65.1894,2984936,0.0000,1.0000
2019-12-03,65.6700,66.2200,65.2200,65.8700,65.6278,1203407,0.0000,1.0000
2019-12-02,67.1400,67.4900,66.2400,66.3400,66.0960,1091057,0.0000,1.0000
2019-11-29,67.7800,67.9600,66.9300,67.0600,66.8134,428543,0.0000,1.0000
2019-11-27,68.4400,68.7200,67.2300,67.9100,67.6603,846602,0.0000,1.0000
2019-11-26,67.3200,68.7100,66.8800,68.5000,68.2481,1978502,0.0000,1.0000
2019-11-25,67.1800,67.6900,66.6150,66.6300,66.3850,900268,0.0000,1.0000
2019-11-22,67.0000,67.7100,66.9100,67.2600,67.0126,855520,0.0000,1.0000
2019-11-21,67.7200,67.9500,66.7100,66.8700,66.6241,784900,0.0000,1.0000
2019-11-20,66.2000,67.6100,66.2000,67.2000,66.9529,1276432,0.0000,1.0000
2019-11-19,67.2500,67.6000,66.3500,66.4700,66.2256,1225293,0.0000,1.0000
2019-11-18,66.6100,67.2800,66.3000,67.1900,66.9429,1751820,0.0000,1.0000
2019-11-15,65.2800,65.3100,64.8300,65.1600,64.9204,1035328,0.0000,1.0000
2019-11-14,64.4100,65.0550,64.2400,64.9200,64.6813,1261684,0.0000,1.0000
2019-11-13,64.1800,65.1100,63.8400,64.9800,64.7410,1087487,0.0000,1.0000
2019-11-12,63.6200,64.6200,63.4600,64.5200,64.2827,1523378,0.0000,1.0000
2019-11-11,62.3600,63.3900,62.2200,63.3000,63.0672,999526,0.0000,1.0000
2019-11-08,62.5800,62.7600,62.2500,62.5900,62.3598,455112,0.0000,1.0000
2019-11-07,63.6000,63.8900,62.3800,62.5300,62.3000,911544,0.0000,1.0000
2019-11-06,63.2000,63.3700,62.1600,63.2600,63.0274,734403,0.0000,1.0000
2019-11-05,63.6600,63.9100,63.0350,63.1900,62.9576,2216705,0.0000,1.0000
2019-11-04,63.1400,63.6500,62.6450,63.4700,63.2366,1501453,0.0000,1.0000
2019-11-01,61.8400,62.4700,61.8400,62.4500,62.2203,867427,0.0000,1.0000
2019-10-31,61.1600,61.4000,60.5300,61.2800,61.0546,1176740,0.0000,1.0000
2019-10-30,61.8800,62.0150,60.4800,61.2500,61.0247,1304794,0.0000,1.0000
2019-10-29,63.5800,63.5800,62.0300,62.0700,61.8417,1137368,0.0000,1.0000
2019-10-28,62.9500,63.9900,62.8200,63.0100,62.7783,2182325,0.0000,1.0000
2019-10-25,61.9600,63.9200,61.7400,62.6800,62.4495,1756792,0.0000,1.0000
2019-10-24,61.2000,62.2300,61.2000,61.6900,61.4631,1830228,0.0000,1.0000
