timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,36.3100,36.8271,35.4521,36.4500,36.4500,17691,0.0000,1.0000
2020-01-22,38.2500,38.2500,36.4400,36.4600,36.4600,7875,0.0000,1.0000
2020-01-21,37.6000,38.3850,37.2000,38.0000,38.0000,17760,0.0000,1.0000
2020-01-17,38.7400,38.7400,37.3092,37.6100,37.6100,10896,0.0000,1.0000
2020-01-16,37.0000,38.8000,37.0000,38.3800,38.3800,21637,0.0000,1.0000
2020-01-15,36.7800,36.9044,36.6330,36.8000,36.8000,19929,0.0000,1.0000
2020-01-14,36.7600,36.8329,36.5150,36.6100,36.6100,9163,0.0000,1.0000
2020-01-13,36.2300,36.7600,35.7820,36.7600,36.7600,9494,0.0000,1.0000
2020-01-10,36.7400,37.1400,36.2401,36.2800,36.2800,10255,0.0000,1.0000
2020-01-09,36.1100,36.7800,36.1100,36.4600,36.4600,10541,0.0000,1.0000
2020-01-08,35.6100,36.7900,35.6100,36.2100,36.2100,6769,0.0000,1.0000
2020-01-07,35.7300,36.0600,35.0200,35.6800,35.6800,9359,0.0000,1.0000
2020-01-06,35.0200,35.8100,35.0200,35.5600,35.5600,11046,0.0000,1.0000
2020-01-03,36.0400,36.0400,34.3500,34.7900,34.7900,28969,0.0000,1.0000
2020-01-02,36.3000,36.8714,36.2600,36.2600,36.2600,5503,0.0000,1.0000
2019-12-31,36.7036,36.7036,36.0534,36.2500,36.2500,8930,0.0000,1.0000
2019-12-30,36.8500,37.3464,36.3300,36.5000,36.5000,5839,0.0000,1.0000
2019-12-27,37.7800,37.7800,36.4600,36.9600,36.9600,10721,0.0000,1.0000
2019-12-26,37.8300,38.0000,37.3700,37.3700,37.3700,5784,0.0000,1.0000
2019-12-24,36.5200,37.7600,36.5200,37.7600,37.7600,3752,0.0000,1.0000
2019-12-23,36.9900,37.2800,36.3249,37.2800,37.2800,9052,0.0000,1.0000
2019-12-20,37.5000,38.2000,36.2768,36.8800,36.8800,44513,0.0000,1.0000
2019-12-19,36.8000,37.6100,36.8000,37.2100,37.2100,10375,0.0000,1.0000
2019-12-18,36.9800,37.0000,36.5800,36.9400,36.9400,7038,0.0000,1.0000
2019-12-17,37.2400,37.2400,36.0700,36.7400,36.7400,7960,0.0000,1.0000
2019-12-16,36.8300,38.1900,36.8300,37.2400,37.2400,14164,0.0000,1.0000
2019-12-13,36.7500,37.0000,36.2036,37.0000,37.0000,11143,0.0000,1.0000
2019-12-12,36.6500,37.0200,36.5500,36.9800,36.9800,13379,0.0000,1.0000
2019-12-11,36.0600,36.7739,35.4700,36.7500,36.7500,6333,0.0000,1.0000
2019-12-10,35.2100,36.1400,35.2100,36.0600,36.0600,6435,0.0000,1.0000
2019-12-09,35.0000,36.1875,34.3500,35.2100,35.2100,10089,0.0000,1.0000
2019-12-06,35.4800,36.2900,35.0500,35.5400,35.5400,12781,0.0000,1.0000
2019-12-05,34.2300,35.0400,34.0800,34.8200,34.8200,4091,0.0000,1.0000
2019-12-04,34.5300,34.7000,34.0000,34.0000,34.0000,12049,0.0000,1.0000
2019-12-03,34.9800,35.1350,34.1295,34.3400,34.3400,6922,0.0000,1.0000
2019-12-02,36.3000,37.1286,35.2000,35.4800,35.4800,8103,0.0000,1.0000
2019-11-29,35.8800,36.2900,35.8800,36.2900,36.2900,2466,0.0000,1.0000
2019-11-27,36.1500,36.6685,35.3700,36.1900,36.1900,6841,0.0000,1.0000
2019-11-26,35.6700,36.0900,35.2600,36.0900,36.0900,4687,0.0000,1.0000
2019-11-25,35.2800,35.7500,34.8650,35.7500,35.7500,7374,0.0000,1.0000
2019-11-22,34.8500,35.1000,34.7108,35.1000,35.1000,7019,0.0000,1.0000
2019-11-21,35.1700,35.1700,34.5100,34.7200,34.7200,6189,0.0000,1.0000
2019-11-20,35.2900,36.0093,35.0700,35.0700,35.0700,16069,0.0000,1.0000
2019-11-19,35.2200,35.5200,35.1500,35.4100,35.4100,10303,0.0000,1.0000
2019-11-18,34.6500,35.5300,34.0000,35.3100,35.3100,29993,0.0000,1.0000
2019-11-15,34.5100,35.1700,34.1712,34.9800,34.9800,10240,0.0000,1.0000
2019-11-14,33.7500,34.4500,33.7500,34.3000,34.3000,6854,0.2500,1.0000
2019-11-13,34.8600,35.1400,33.1900,33.8700,33.6249,21106,0.0000,1.0000
2019-11-12,36.0500,36.0500,35.0200,35.0200,34.7666,6534,0.0000,1.0000
2019-11-11,37.0000,37.0000,35.6400,35.8100,35.5509,6990,0.0000,1.0000
2019-11-08,38.5400,38.5400,36.7900,37.2200,36.9507,4783,0.0000,1.0000
