timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,43.0300,43.5700,42.9300,43.2300,43.2300,2000566,0.0000,1.0000
2020-01-22,43.9100,44.0900,43.2100,43.2500,43.2500,2458252,0.0000,1.0000
2020-01-21,43.2500,44.0800,43.2000,44.0200,44.0200,1321299,0.0000,1.0000
2020-01-17,43.5000,43.7300,43.2050,43.2600,43.2600,1387765,0.0000,1.0000
2020-01-16,43.3600,43.7450,43.0000,43.4700,43.4700,2266406,0.0000,1.0000
2020-01-15,42.9300,43.6000,42.9000,43.2400,43.2400,1424591,0.0000,1.0000
2020-01-14,43.1700,43.1800,42.5100,42.8500,42.8500,2092361,0.0000,1.0000
2020-01-13,42.3900,43.2500,42.3600,43.1700,43.1700,1588754,0.0000,1.0000
2020-01-10,41.8100,42.4200,41.7600,42.3600,42.3600,1394290,0.0000,1.0000
2020-01-09,41.8000,41.9400,41.5300,41.8100,41.8100,2542740,0.0000,1.0000
2020-01-08,41.6900,41.9000,41.4800,41.7400,41.7400,2156154,0.0000,1.0000
2020-01-07,42.0600,42.1200,41.3900,41.6900,41.6900,1168994,0.0000,1.0000
2020-01-06,42.0000,42.4240,41.8500,42.1200,42.1200,1922883,0.0000,1.0000
2020-01-03,41.5000,42.2200,41.4100,42.0900,42.0900,949943,0.0000,1.0000
2020-01-02,42.5800,42.6400,41.2034,41.6700,41.6700,1350178,0.0000,1.0000
2019-12-31,41.6800,42.4100,41.6000,42.3500,42.3500,1333472,0.0000,1.0000
2019-12-30,41.6900,41.7900,41.4000,41.7500,41.7500,1046835,0.0000,1.0000
2019-12-27,41.7300,41.8200,41.4899,41.7500,41.7500,806487,0.0000,1.0000
2019-12-26,41.4400,41.6000,41.3500,41.5600,41.5600,765665,0.0000,1.0000
2019-12-24,41.6300,41.7148,41.3300,41.3800,41.3800,439809,0.0000,1.0000
2019-12-23,42.5300,42.6300,41.5300,41.6200,41.6200,1143057,0.0000,1.0000
2019-12-20,41.7400,42.5700,41.6900,42.5300,42.5300,4900325,0.0000,1.0000
2019-12-19,40.7400,41.4000,40.7200,41.3600,41.3600,2261563,0.0000,1.0000
2019-12-18,40.6500,40.9900,40.5900,40.7100,40.7100,1990961,0.0000,1.0000
2019-12-17,41.3200,41.4500,40.5600,40.6700,40.6700,1727279,0.0000,1.0000
2019-12-16,41.0900,41.2500,40.6600,41.1500,41.1500,2299188,0.0000,1.0000
2019-12-13,41.4200,41.8200,40.8400,41.0300,41.0300,1785482,0.0000,1.0000
2019-12-12,42.1200,42.3700,41.1700,41.4200,41.4200,1317124,0.0000,1.0000
2019-12-11,42.7600,42.8900,42.0000,42.1200,42.1200,1369190,0.0000,1.0000
2019-12-10,42.7700,43.0000,42.4600,42.8900,42.8900,1373743,0.0000,1.0000
2019-12-09,42.4900,43.0300,42.4100,42.7200,42.7200,1469888,0.0000,1.0000
2019-12-06,42.3700,42.8800,42.3600,42.4800,42.4800,1917180,0.0000,1.0000
2019-12-05,41.9000,42.3300,41.8600,42.2900,42.2900,1988039,0.0000,1.0000
2019-12-04,41.7200,42.3850,41.6600,41.9200,41.9200,1350573,0.0000,1.0000
2019-12-03,41.6300,41.9500,41.4200,41.9200,41.9200,1470542,0.0000,1.0000
2019-12-02,41.9500,42.0200,41.4000,41.5800,41.5800,1860340,0.0000,1.0000
2019-11-29,42.4000,42.6500,42.0000,42.0300,42.0300,917857,0.0000,1.0000
2019-11-27,41.9500,42.4700,41.8300,42.4700,42.4700,1889033,0.0000,1.0000
2019-11-26,41.7500,42.0900,41.6100,42.0700,42.0700,11323493,0.0000,1.0000
2019-11-25,41.0400,41.8150,41.0100,41.6400,41.6400,2506309,0.0000,1.0000
2019-11-22,41.0500,41.2300,40.6450,40.8700,40.8700,1264284,0.0000,1.0000
2019-11-21,41.4500,41.7109,41.0000,41.0000,41.0000,1287109,0.0000,1.0000
2019-11-20,41.7700,42.0100,41.2800,41.6200,41.6200,2071844,0.0000,1.0000
2019-11-19,41.7500,41.9700,41.5700,41.7800,41.7800,1097837,0.0000,1.0000
2019-11-18,41.1800,41.9000,41.1600,41.5900,41.5900,1244043,0.0000,1.0000
2019-11-15,41.7200,41.8987,41.0500,41.1800,41.1800,1630985,0.0000,1.0000
2019-11-14,41.4200,41.7850,41.3400,41.7500,41.7500,1223327,0.0000,1.0000
2019-11-13,41.1600,41.5400,41.1550,41.2900,41.2900,1556685,0.0000,1.0000
2019-11-12,41.2600,41.7800,41.0000,41.1600,41.1600,2336573,0.0000,1.0000
2019-11-11,41.3000,41.3800,40.8350,41.0700,41.0700,1716859,0.0000,1.0000
2019-11-08,41.1100,41.6750,41.0100,41.0700,41.0700,2557156,0.0000,1.0000
2019-11-07,42.2100,42.3900,40.9350,41.2300,41.2300,2113856,0.0000,1.0000
2019-11-06,43.0000,43.0000,42.0100,42.4700,42.4700,2722792,0.0000,1.0000
2019-11-05,43.1300,43.2900,41.7400,42.3900,42.3900,3221012,0.0000,1.0000
2019-11-04,43.8200,43.8900,43.0900,43.4100,43.4100,1591333,0.0000,1.0000
2019-11-01,44.1000,44.2300,43.3100,43.9500,43.9500,1836636,0.0000,1.0000
2019-10-31,43.9000,44.3300,43.7400,44.0400,44.0400,1673753,0.0000,1.0000
2019-10-30,43.4900,43.8800,43.4000,43.8200,43.8200,1742211,0.6700,1.0000
2019-10-29,43.7100,44.5100,43.7015,44.1600,43.4950,1684976,0.0000,1.0000
2019-10-28,43.7500,44.0200,43.5300,43.6900,43.0320,1674622,0.0000,1.0000
2019-10-25,44.3000,44.4200,43.7800,43.9200,43.2586,1743311,0.0000,1.0000
2019-10-24,44.5000,44.5900,44.1700,44.3900,43.7215,1369823,0.0000,1.0000
2019-10-23,44.4600,44.6900,44.0701,44.4000,43.7314,1831195,0.0000,1.0000
2019-10-22,44.4000,44.7000,44.2000,44.4100,43.7412,1496403,0.0000,1.0000
2019-10-21,44.4000,44.7000,43.8000,44.4000,43.7314,2269928,0.0000,1.0000
2019-10-18,44.2400,45.0100,44.2200,44.9600,44.2829,1083869,0.0000,1.0000
2019-10-17,43.4000,44.2500,43.2000,44.2000,43.5344,1722547,0.0000,1.0000
2019-10-16,43.4200,43.4931,42.9300,43.2900,42.6381,1161933,0.0000,1.0000
2019-10-15,43.1100,43.6300,43.0200,43.4100,42.7563,1545846,0.0000,1.0000
2019-10-14,42.5000,43.0800,42.3700,43.0200,42.3721,944552,0.0000,1.0000
2019-10-11,42.3900,42.9150,42.1500,42.4200,41.7812,1357375,0.0000,1.0000
2019-10-10,42.2000,42.5163,41.9000,42.2500,41.6137,1000046,0.0000,1.0000
2019-10-09,42.8200,42.9400,42.2300,42.2500,41.6137,1098215,0.0000,1.0000
2019-10-08,42.3800,42.7200,41.9400,42.6400,41.9979,1735234,0.0000,1.0000
2019-10-07,42.0900,42.5800,42.0900,42.3600,41.7221,1214166,0.0000,1.0000
2019-10-04,42.0300,42.4300,42.0300,42.4100,41.7713,922257,0.0000,1.0000
2019-10-03,41.5200,42.2100,41.4000,42.0000,41.3675,1094164,0.0000,1.0000
2019-10-02,41.2800,41.5600,41.0300,41.4000,40.7765,1117654,0.0000,1.0000
2019-10-01,41.7000,41.9000,41.1505,41.2800,40.6583,1115657,0.0000,1.0000
2019-09-30,41.6900,41.9600,41.6000,41.7900,41.1607,1064035,0.0000,1.0000
2019-09-27,42.0600,42.2300,41.4450,41.6200,40.9932,1321456,0.0000,1.0000
2019-09-26,42.1300,42.2500,41.8400,42.0100,41.3773,1244952,0.0000,1.0000
2019-09-25,41.6900,42.1500,41.6200,41.8800,41.2493,1545546,0.0000,1.0000
2019-09-24,41.3700,41.9900,41.3400,41.7500,41.1213,2548508,0.0000,1.0000
2019-09-23,40.9500,41.5100,40.9100,41.2700,40.6485,1798116,0.0000,1.0000
2019-09-20,41.2000,41.3600,40.9400,40.9500,40.3333,2434001,0.0000,1.0000
2019-09-19,41.3400,41.4300,41.0400,41.1800,40.5598,983632,0.0000,1.0000
2019-09-18,41.5700,41.6100,40.8500,41.1300,40.5106,2183333,0.0000,1.0000
2019-09-17,41.2100,41.6500,41.1960,41.4200,40.7962,1475257,0.0000,1.0000
2019-09-16,40.6600,41.1100,40.4100,41.0200,40.4023,1391363,0.0000,1.0000
2019-09-13,41.0000,41.6300,40.2600,40.5200,39.9098,1371961,0.0000,1.0000
2019-09-12,41.2100,41.4300,40.8700,41.1600,40.5401,1558178,0.0000,1.0000
2019-09-11,40.3400,40.7500,40.0500,40.6600,40.0477,1692574,0.0000,1.0000
2019-09-10,40.2500,40.3400,39.8300,40.1800,39.5749,3958963,0.0000,1.0000
2019-09-09,41.4400,41.4700,40.9750,41.3600,40.7371,1198810,0.0000,1.0000
2019-09-06,41.3900,41.6400,41.3300,41.5000,40.8750,911818,0.0000,1.0000
2019-09-05,41.3700,41.5600,40.8640,41.3900,40.7667,1049908,0.0000,1.0000
2019-09-04,41.4900,41.6700,41.3000,41.5500,40.9243,1089562,0.0000,1.0000
2019-09-03,40.7400,41.4900,40.6600,41.2400,40.6189,1661259,0.0000,1.0000
2019-08-30,40.6800,40.8450,40.4201,40.6800,40.0674,1045522,0.0000,1.0000
2019-08-29,40.4400,40.7200,40.2710,40.6500,40.0378,947698,0.0000,1.0000
2019-08-28,40.0600,40.4400,39.9100,40.1800,39.5749,1204522,0.0000,1.0000
2019-08-27,40.6100,40.8400,40.0600,40.0600,39.4567,1826094,0.0000,1.0000
2019-08-26,40.5700,40.8400,39.9600,40.3800,39.7719,2199922,0.0000,1.0000
2019-08-23,40.1300,41.3150,40.1300,40.3900,39.7817,3798130,0.0000,1.0000
2019-08-22,39.4800,40.2200,39.3900,40.1800,39.5749,2550610,0.0000,1.0000
2019-08-21,39.2500,39.6500,39.0300,39.5100,38.9150,2634665,0.0000,1.0000
2019-08-20,39.4400,39.4900,39.0600,39.1900,38.5998,2464866,0.0000,1.0000
2019-08-19,39.0200,39.5550,38.9000,39.3200,38.7279,3007034,0.0000,1.0000
2019-08-16,38.3000,39.3700,38.3000,39.2200,38.6294,2105529,0.0000,1.0000
2019-08-15,38.3300,38.5000,37.9600,38.3000,37.7232,2257695,0.0000,1.0000
2019-08-14,38.2300,38.5200,38.0300,38.1800,37.6050,1628534,0.0000,1.0000
2019-08-13,38.1800,38.5700,37.8100,38.5500,37.9695,1655636,0.0000,1.0000
2019-08-12,38.7000,38.7800,37.8900,38.2600,37.6838,1759700,0.0000,1.0000
