timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-17,0.0000,0.0000,0.0000,21.7500,21.7500,0,0.0000,1.0000
2019-04-23,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-22,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-18,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-17,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-15,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-12,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-11,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-10,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-09,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-08,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-05,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-04,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-03,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-02,21.7500,21.7500,21.7500,21.7500,21.7500,0,0.0000,1.0000
2019-04-01,21.2700,21.2700,21.2700,21.2700,21.2700,0,0.0000,1.0000
2019-03-29,21.2700,21.2700,21.2700,21.2700,21.2700,0,0.0000,1.0000
2019-03-28,21.4900,21.7500,20.8700,21.7500,21.7500,80501,0.0000,1.0000
2019-03-27,21.6900,21.8100,21.5300,21.5400,21.5400,100055,0.0000,1.0000
2019-03-26,21.4500,21.8300,21.4500,21.7600,21.7600,34233,0.0000,1.0000
2019-03-25,20.7400,21.6300,20.7400,21.5000,21.5000,67693,0.0000,1.0000
2019-03-22,20.8100,21.0300,20.7200,20.8200,20.8200,24218,0.2400,1.0000
2019-03-21,21.1500,21.3000,21.0000,21.0300,20.7903,62728,0.0000,1.0000
2019-03-20,20.7600,21.1800,20.7600,21.0300,20.7903,26438,0.0000,1.0000
2019-03-19,21.2100,21.2600,21.0000,21.0100,20.7706,23669,0.0000,1.0000
2019-03-18,21.0500,21.3350,21.0500,21.3100,21.0672,12116,0.0000,1.0000
2019-03-15,20.9700,21.2000,20.9100,21.0300,20.7903,23936,0.0000,1.0000
2019-03-14,21.2700,21.3700,20.9400,20.9400,20.7014,30291,0.0000,1.0000
2019-03-13,21.9500,21.9500,20.4900,21.2800,21.0375,22974,0.0000,1.0000
2019-03-12,22.0800,22.2100,21.9900,22.0600,21.8086,25459,0.0000,1.0000
2019-03-11,22.1442,22.6605,22.0250,22.2000,21.9470,20843,0.0000,1.0000
2019-03-08,21.9800,22.1300,21.8300,21.9100,21.6603,11700,0.0000,1.0000
2019-03-07,21.9300,22.1000,21.7900,21.9700,21.7196,29836,0.0000,1.0000
2019-03-06,22.3200,22.3400,21.8400,22.0000,21.7493,54533,0.0000,1.0000
2019-03-05,22.6600,22.6900,22.2900,22.3100,22.0558,28749,0.0000,1.0000
2019-03-04,22.6900,22.8000,22.6300,22.7500,22.4907,38499,0.0000,1.0000
2019-03-01,22.9000,22.9300,22.7300,22.7500,22.4907,39189,0.0000,1.0000
2019-02-28,22.3500,22.9500,22.2900,22.9100,22.6489,109593,0.0000,1.0000
2019-02-27,22.4900,22.5000,22.2100,22.4900,22.2337,48775,0.0000,1.0000
2019-02-26,22.2800,22.5000,22.2800,22.4800,22.2238,26067,0.0000,1.0000
2019-02-25,22.4200,22.5600,22.2700,22.4000,22.1447,60796,0.0000,1.0000
2019-02-22,22.3500,22.5000,22.0950,22.4800,22.2238,287861,0.0000,1.0000
2019-02-21,21.9100,22.4560,21.9100,22.4500,22.1942,58369,0.0000,1.0000
2019-02-20,22.4300,22.5300,21.9300,22.0300,21.7789,84038,0.0000,1.0000
2019-02-19,22.6100,22.6800,22.4800,22.5700,22.3128,20292,0.0000,1.0000
2019-02-15,22.1900,22.6500,22.1900,22.6100,22.3523,19029,0.0000,1.0000
2019-02-14,22.5000,22.7500,22.3100,22.6400,22.3820,57081,0.0000,1.0000
2019-02-13,22.4650,22.5000,22.3000,22.4900,22.2337,16007,0.0000,1.0000
2019-02-12,22.1100,22.4000,22.1000,22.3400,22.0854,9513,0.0000,1.0000
2019-02-11,21.8900,22.2500,21.8900,22.1400,21.8877,37748,0.0000,1.0000
2019-02-08,21.6100,22.0100,21.6100,21.7400,21.4923,31382,0.0000,1.0000
2019-02-07,21.8900,21.9593,21.6500,21.8300,21.5812,14413,0.0000,1.0000
2019-02-06,22.0200,22.0200,21.8001,21.8950,21.6455,7921,0.0000,1.0000
2019-02-05,22.0000,22.0400,21.8000,21.9100,21.6603,20646,0.0000,1.0000
2019-02-04,22.0000,22.0000,21.3100,21.9500,21.6999,43743,0.0000,1.0000
2019-02-01,21.7750,21.9000,21.7100,21.7500,21.5021,15065,0.0000,1.0000
2019-01-31,21.7300,22.0000,21.5200,21.6800,21.4329,14412,0.0000,1.0000
2019-01-30,20.9900,21.3400,20.9900,21.3400,21.0968,10092,0.0000,1.0000
2019-01-29,20.9900,21.1600,20.9500,21.1000,20.8595,16830,0.0000,1.0000
2019-01-28,20.6000,21.0000,20.6000,21.0000,20.7607,39680,0.0000,1.0000
2019-01-25,20.5900,20.9500,20.4900,20.7500,20.5135,12372,0.0000,1.0000
2019-01-24,20.5000,20.6500,20.5000,20.6400,20.4048,17518,0.0000,1.0000
2019-01-23,20.5400,20.5500,20.3000,20.5300,20.2960,28421,0.0000,1.0000
2019-01-22,20.1900,20.5500,20.1900,20.4300,20.1972,12609,0.0000,1.0000
2019-01-18,20.5000,20.7000,20.3400,20.5200,20.2862,38647,0.0000,1.0000
2019-01-17,20.2900,20.5000,20.2900,20.4500,20.2170,45625,0.0000,1.0000
2019-01-16,20.3800,20.5000,20.2900,20.4900,20.2565,21372,0.0000,1.0000
2019-01-15,20.2200,20.5701,20.2200,20.4100,20.1774,17055,0.0000,1.0000
2019-01-14,20.0400,20.2000,19.9500,20.1500,19.9204,16652,0.0000,1.0000
2019-01-11,20.1300,20.2000,20.0600,20.1900,19.9599,10422,0.0000,1.0000
2019-01-10,19.9100,20.1200,19.8000,20.1200,19.8907,1247,0.0000,1.0000
2019-01-09,19.7600,20.1200,19.7600,20.1000,19.8709,12839,0.0000,1.0000
2019-01-08,19.7800,20.1500,19.7001,19.9000,19.6732,17984,0.0000,1.0000
2019-01-07,19.2500,19.6200,19.2500,19.6000,19.3766,43884,0.0000,1.0000
2019-01-04,19.0600,19.5000,19.0600,19.4500,19.2283,7431,0.0000,1.0000
2019-01-03,19.0500,19.2800,19.0500,19.1800,18.9614,3699,0.0000,1.0000
2019-01-02,18.6900,19.3900,18.5900,19.0500,18.8329,18422,0.0000,1.0000
2018-12-31,18.8500,18.8700,18.7800,18.7900,18.5759,8385,0.0000,1.0000
2018-12-28,18.9300,19.1400,18.7900,18.9000,18.6846,2747,0.2000,1.0000
2018-12-27,18.9300,19.1100,18.5757,18.8500,18.4401,6015,0.0000,1.0000
2018-12-26,18.1400,19.1300,18.1150,19.0800,18.6651,11607,0.0000,1.0000
2018-12-24,18.6500,18.6500,18.0300,18.3600,17.9607,37721,0.0000,1.0000
2018-12-21,18.8300,19.1700,18.4910,18.8500,18.4401,8646,0.0000,1.0000
2018-12-20,19.6500,19.6500,18.6800,18.9900,18.5770,6451,0.0000,1.0000
2018-12-19,19.3700,19.9900,19.2600,19.5200,19.0955,41660,0.0000,1.0000
2018-12-18,19.0500,20.0800,19.0100,19.5900,19.1640,43875,0.0000,1.0000
2018-12-17,20.3900,20.3900,19.0500,19.0500,18.6357,60240,0.0000,1.0000
2018-12-14,20.7300,20.7500,20.2400,20.2400,19.7998,15899,0.0000,1.0000
2018-12-13,20.4000,20.6500,20.3800,20.6500,20.2009,30870,0.0000,1.0000
2018-12-12,20.3600,20.5600,20.0500,20.2800,19.8390,64791,0.0000,1.0000
2018-12-11,20.3700,20.6500,20.3600,20.4500,20.0053,46832,0.0000,1.0000
2018-12-10,20.2400,20.7500,20.2400,20.3900,19.9466,23676,0.0000,1.0000
2018-12-07,20.1600,20.4400,20.0400,20.3300,19.8879,57386,0.0000,1.0000
2018-12-06,19.9200,20.1200,19.8400,20.0700,19.6335,41653,0.0000,1.0000
2018-12-04,20.5100,20.5900,20.0800,20.1900,19.7509,37155,0.0000,1.0000
2018-12-03,20.0900,20.4500,20.0000,20.4500,20.0053,128720,0.0000,1.0000
2018-11-30,19.5100,20.0900,19.5100,20.0700,19.6335,57457,0.0000,1.0000
2018-11-29,19.6500,20.0000,19.6500,19.9500,19.5161,15091,0.0000,1.0000
2018-11-28,19.9300,20.0500,19.8000,19.8000,19.3694,158459,0.0000,1.0000
2018-11-27,19.8000,20.0000,19.8000,19.9700,19.5357,48320,0.0000,1.0000
2018-11-26,19.7400,19.9900,19.7300,19.8600,19.4281,24630,0.0000,1.0000
2018-11-23,19.5700,19.7900,19.5300,19.7900,19.3596,13370,0.0000,1.0000
2018-11-21,19.0500,19.6500,19.0500,19.5700,19.1444,73664,0.0000,1.0000
2018-11-20,19.1300,19.5500,19.0900,19.4500,19.0270,27406,0.0000,1.0000
2018-11-19,18.8100,19.5237,18.8100,19.2000,18.7824,47612,0.0000,1.0000
2018-11-16,19.6200,19.7500,19.2700,19.2700,18.8509,20494,0.0000,1.0000
2018-11-15,19.4300,19.6300,19.2500,19.5800,19.1542,64075,0.0000,1.0000
2018-11-14,19.0500,20.0000,18.2500,19.5100,19.0857,73213,0.0000,1.0000
2018-11-13,20.1000,20.1000,19.6800,19.7900,19.3596,88801,0.0000,1.0000
2018-11-12,20.1100,20.4000,19.8500,20.0500,19.6140,105234,0.0000,1.0000
2018-11-09,19.2000,20.3200,19.2000,19.9700,19.5357,264486,0.0000,1.0000
2018-11-08,18.7000,19.8300,18.2500,19.4300,19.0074,563716,0.0000,1.0000
2018-11-07,14.9700,15.0100,14.8700,14.9600,14.6347,16951,0.0000,1.0000
2018-11-06,15.0800,15.1450,15.0000,15.0000,14.6738,2824,0.0000,1.0000
2018-11-05,15.1900,15.1900,14.9500,14.9500,14.6249,9293,0.0000,1.0000
2018-11-02,15.3500,15.4800,15.1000,15.1000,14.7716,6238,0.0000,1.0000
2018-11-01,15.3900,15.6500,15.3150,15.3900,15.0553,11834,0.0000,1.0000
2018-10-31,15.1420,15.3900,15.0800,15.3000,14.9673,21689,0.0000,1.0000
2018-10-30,15.2519,15.3800,15.0500,15.0500,14.7227,14153,0.0000,1.0000
2018-10-29,15.2546,15.3800,15.2546,15.3400,15.0064,6559,0.0000,1.0000
2018-10-26,15.4200,15.5000,15.3000,15.3000,14.9673,15220,0.0000,1.0000
