timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,89.6800,89.7800,89.0700,89.6500,89.6500,1040677,0.0000,1.0000
2020-01-22,89.2100,89.9450,88.9400,89.6000,89.6000,1369005,0.0000,1.0000
2020-01-21,88.0100,88.9200,87.9800,88.6500,88.6500,1566371,0.0000,1.0000
2020-01-17,88.2000,88.2800,87.8800,88.2400,88.2400,1585576,0.0000,1.0000
2020-01-16,88.0900,88.2321,87.4100,87.9700,87.9700,1478196,0.0000,1.0000
2020-01-15,86.7900,87.8300,86.7900,87.3700,87.3700,2091036,0.0000,1.0000
2020-01-14,86.7200,87.4600,86.2100,86.6200,86.6200,1518429,0.0000,1.0000
2020-01-13,85.6100,86.3700,85.5100,86.2600,86.2600,1048657,0.0000,1.0000
2020-01-10,86.1900,86.3035,85.1700,85.2700,85.2700,1048480,0.0000,1.0000
2020-01-09,85.3900,86.2000,85.1950,85.7450,85.7450,1245634,0.0000,1.0000
2020-01-08,84.4300,85.4900,84.2800,85.1700,85.1700,1500533,0.0000,1.0000
2020-01-07,84.4900,84.6220,84.1100,84.3400,84.3400,1362956,0.0000,1.0000
2020-01-06,84.4800,84.8500,84.3650,84.8100,84.8100,1196725,0.0000,1.0000
2020-01-03,84.7100,85.0400,84.4000,84.8200,84.8200,964658,0.0000,1.0000
2020-01-02,85.5000,85.6348,84.7100,85.1100,85.1100,1202928,0.0000,1.0000
2019-12-31,84.5000,85.1900,84.3900,85.0600,85.0600,1034167,0.0000,1.0000
2019-12-30,85.0500,85.0650,84.3100,84.8900,84.8900,970918,0.0000,1.0000
2019-12-27,84.8700,85.1800,84.4200,85.1200,85.1200,958278,0.0000,1.0000
2019-12-26,84.6100,85.0400,84.4200,84.7100,84.7100,820990,0.0000,1.0000
2019-12-24,84.9300,85.0642,84.5700,84.6500,84.6500,422455,0.0000,1.0000
2019-12-23,85.5900,85.8322,84.7300,84.9100,84.9100,1998874,0.0000,1.0000
2019-12-20,85.5400,85.9400,84.7700,85.5300,85.5300,3741268,0.0000,1.0000
2019-12-19,84.9600,85.2700,83.9300,85.0000,85.0000,2192955,0.0000,1.0000
2019-12-18,87.1200,87.8400,83.7100,84.7700,84.7700,3043514,0.0000,1.0000
2019-12-17,85.3800,85.6800,84.8200,85.2100,85.2100,2189534,0.0000,1.0000
2019-12-16,85.4300,85.8600,84.8800,84.9100,84.9100,1991010,0.0000,1.0000
2019-12-13,84.6700,85.2300,84.0800,85.0800,85.0800,1255647,0.0000,1.0000
2019-12-12,84.1500,85.0800,83.7500,84.7400,84.7400,1844385,0.0000,1.0000
2019-12-11,84.5700,84.7800,83.6100,84.2700,84.2700,1315013,0.0000,1.0000
2019-12-10,84.5600,84.9400,84.3000,84.5100,84.5100,916740,0.0000,1.0000
