timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,61.0000,64.4985,61.0000,63.9800,63.9800,254981,0.0000,1.0000
2020-01-22,59.9100,60.5500,59.6100,60.0900,60.0900,103057,0.0000,1.0000
2020-01-21,60.5900,60.5900,59.8700,59.9100,59.9100,102074,0.0000,1.0000
2020-01-17,60.5000,60.9600,60.3100,60.8000,60.8000,105166,0.0000,1.0000
2020-01-16,59.1700,60.4100,59.1000,60.3500,60.3500,203222,0.0000,1.0000
2020-01-15,59.2400,59.2400,58.4860,58.8400,58.8400,204153,0.0000,1.0000
2020-01-14,59.0400,59.4900,58.8200,59.3800,59.3800,185432,0.0000,1.0000
2020-01-13,58.9400,59.1100,58.5800,59.0200,59.0200,134149,0.0000,1.0000
2020-01-10,58.5100,58.8700,58.1800,58.8200,58.8200,77929,0.0000,1.0000
2020-01-09,58.8300,59.1900,58.2000,58.5750,58.5750,63436,0.0000,1.0000
2020-01-08,58.6900,59.2650,58.4800,58.5800,58.5800,87708,0.0000,1.0000
2020-01-07,58.4400,58.7600,58.0400,58.6900,58.6900,92060,0.0000,1.0000
2020-01-06,58.8300,59.5200,58.1600,59.3100,59.3100,79674,0.3000,1.0000
2020-01-03,59.4300,59.8200,58.8800,59.7100,59.4095,69662,0.0000,1.0000
2020-01-02,60.3900,60.3900,59.3400,60.1100,59.8075,80846,0.0000,1.0000
2019-12-31,60.2000,60.4900,59.7900,60.0900,59.7876,106437,0.0000,1.0000
2019-12-30,59.9900,60.4900,59.7800,60.2600,59.9567,51477,0.0000,1.0000
2019-12-27,60.0100,60.0950,59.4600,59.8200,59.5189,95735,0.0000,1.0000
2019-12-26,59.9500,60.0850,59.3800,60.0000,59.6980,41920,0.0000,1.0000
2019-12-24,59.2400,59.8200,58.9600,59.8200,59.5189,30272,0.0000,1.0000
2019-12-23,59.7000,59.7000,58.6300,59.0700,58.7727,62495,0.0000,1.0000
2019-12-20,59.2900,59.6600,58.9000,59.5000,59.2006,413246,0.0000,1.0000
