timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,124.3000,126.5500,123.6500,124.5655,124.5655,8137030,0.0000,1.0000
2020-01-22,126.3300,126.6795,125.8300,126.3100,126.3100,7183276,0.0000,1.0000
2020-01-21,126.4100,126.6200,124.8400,126.0900,126.0900,8553058,0.0000,1.0000
2020-01-17,126.3500,127.0000,125.8800,126.4100,126.4100,11314279,0.0000,1.0000
2020-01-16,126.1100,126.7800,125.5900,126.0700,126.0700,6233709,0.0000,1.0000
2020-01-15,125.0600,126.1200,125.0100,125.9600,125.9600,4843703,0.0000,1.0000
2020-01-14,124.6500,125.2000,124.4800,124.6900,124.6900,7829661,0.0000,1.0000
2020-01-13,124.0000,124.9000,123.8100,124.8800,124.8800,8409206,0.0000,1.0000
2020-01-10,123.9000,124.3200,123.2950,123.9700,123.9700,3927056,0.0000,1.0000
2020-01-09,122.5100,123.8800,122.5100,123.8500,123.8500,5943993,0.0000,1.0000
2020-01-08,122.1900,123.4299,122.0003,122.5100,122.5100,5385050,0.0000,1.0000
2020-01-07,122.8800,123.2059,121.8700,121.9900,121.9900,7583952,0.0000,1.0000
2020-01-06,122.5700,123.1900,122.3787,122.7500,122.7500,6668540,0.0000,1.0000
2020-01-03,122.1600,123.5300,121.8600,122.5800,122.5800,7970514,0.0000,1.0000
2020-01-02,124.5000,124.7300,122.9400,123.4100,123.4100,8130493,0.0000,1.0000
2019-12-31,124.4300,124.9900,123.9500,124.9000,124.9000,4798910,0.0000,1.0000
2019-12-30,125.7600,125.9800,124.1400,124.4700,124.4700,3884343,0.0000,1.0000
2019-12-27,125.5600,126.2950,125.3900,126.0900,126.0900,5192014,0.0000,1.0000
2019-12-26,125.1000,125.7450,124.8700,125.2200,125.2200,4760426,0.0000,1.0000
2019-12-24,124.7900,125.3099,124.5800,125.2200,125.2200,2022053,0.0000,1.0000
2019-12-23,125.5200,125.8200,124.6850,124.9000,124.9000,6619530,0.0000,1.0000
2019-12-20,126.1500,126.6000,125.0300,125.3600,125.3600,16250519,0.0000,1.0000
