timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,24.5500,24.5500,23.1500,23.4800,23.4800,33778,0.0000,1.0000
2020-01-22,24.5400,24.7025,24.4000,24.5000,24.5000,19445,0.0000,1.0000
2020-01-21,24.5400,24.7510,24.2870,24.4000,24.4000,28330,0.0000,1.0000
2020-01-17,24.9000,24.9000,24.5400,24.5400,24.5400,9988,0.0000,1.0000
2020-01-16,24.5000,24.8800,24.5000,24.7300,24.7300,5030,0.0000,1.0000
2020-01-15,24.4400,24.6700,24.1610,24.5000,24.5000,15384,0.0000,1.0000
2020-01-14,24.6500,24.7500,24.3200,24.3800,24.3800,18404,0.0000,1.0000
2020-01-13,24.4400,24.8500,24.3000,24.5600,24.5600,14844,0.0000,1.0000
2020-01-10,24.4000,24.5800,24.2200,24.4700,24.4700,22999,0.0000,1.0000
2020-01-09,24.6100,24.6900,24.2500,24.3900,24.3900,6834,0.1600,1.0000
2020-01-08,24.6900,24.9000,24.5700,24.8300,24.6682,8659,0.0000,1.0000
2020-01-07,24.5600,24.7391,24.4500,24.5600,24.3999,8914,0.0000,1.0000
2020-01-06,24.5600,24.8100,24.1535,24.6600,24.4993,21922,0.0000,1.0000
2020-01-03,24.8300,24.8300,24.5507,24.6000,24.4397,6709,0.0000,1.0000
2020-01-02,25.3900,25.3900,24.8000,24.8800,24.7178,32240,0.0000,1.0000
2019-12-31,25.1800,25.3900,25.1100,25.3900,25.2245,20241,0.0000,1.0000
2019-12-30,24.9300,25.2000,24.9300,25.1600,24.9960,6429,0.0000,1.0000
2019-12-27,25.1900,25.2000,24.9300,25.1500,24.9861,7119,0.0000,1.0000
2019-12-26,25.1400,25.1500,24.9350,25.0600,24.8967,10957,0.0000,1.0000
2019-12-24,25.0838,25.0838,24.9100,25.0000,24.8371,4121,0.0000,1.0000
2019-12-23,25.2416,25.2416,24.8500,25.0100,24.8470,22373,0.0000,1.0000
2019-12-20,25.2600,25.2600,24.4400,25.2000,25.0358,50118,0.0000,1.0000
2019-12-19,25.3001,25.3001,25.1700,25.2500,25.0854,27058,0.0000,1.0000
2019-12-18,25.4500,25.4500,24.9600,25.1700,25.0060,19051,0.0000,1.0000
2019-12-17,25.0500,25.4500,25.0299,25.1600,24.9960,29868,0.0000,1.0000
2019-12-16,24.4900,25.1500,24.2500,25.1000,24.9364,21091,0.0000,1.0000
2019-12-13,23.9700,24.4900,23.9000,24.4100,24.2509,24979,0.0000,1.0000
2019-12-12,24.0900,24.4800,24.0800,24.1700,24.0125,34134,0.0000,1.0000
2019-12-11,24.0300,24.1900,23.7500,24.0900,23.9330,36941,0.0000,1.0000
2019-12-10,23.7900,24.2028,23.7100,24.0900,23.9330,30564,0.0000,1.0000
2019-12-09,23.3000,23.9990,23.3000,23.7000,23.5455,35657,0.0000,1.0000
2019-12-06,23.3800,23.3800,23.1200,23.1900,23.0389,38985,0.0000,1.0000
2019-12-05,23.1800,23.3300,23.1400,23.1800,23.0289,21421,0.0000,1.0000
2019-12-04,23.3200,23.5200,23.0900,23.0900,22.9395,32285,0.0000,1.0000
2019-12-03,23.3100,23.6450,23.3100,23.3500,23.1978,4260,0.0000,1.0000
2019-12-02,23.7208,23.8700,23.5250,23.6500,23.4959,6340,0.0000,1.0000
2019-11-29,23.7800,23.9500,23.7800,23.9300,23.7740,3293,0.0000,1.0000
2019-11-27,23.5682,23.7900,23.5682,23.7600,23.6051,3921,0.0000,1.0000
2019-11-26,23.7200,23.7200,23.5300,23.5400,23.3866,6476,0.0000,1.0000
2019-11-25,23.4000,23.8500,23.3600,23.6300,23.4760,21664,0.0000,1.0000
2019-11-22,23.2350,23.3700,23.2350,23.3700,23.2177,5741,0.0000,1.0000
2019-11-21,23.3400,23.3500,23.1370,23.1900,23.0389,7362,0.0000,1.0000
2019-11-20,23.2700,23.4900,23.2100,23.2100,23.0587,13442,0.0000,1.0000
2019-11-19,23.3400,23.5400,23.3400,23.4100,23.2574,26077,0.0000,1.0000
2019-11-18,23.0600,23.3800,23.0600,23.3400,23.1879,9782,0.0000,1.0000
2019-11-15,23.5600,23.5600,22.1864,23.0100,22.8600,29365,0.0000,1.0000
2019-11-14,23.4850,23.6700,23.4100,23.4100,23.2574,16331,0.0000,1.0000
2019-11-13,23.8300,23.8400,23.2700,23.6200,23.4661,15103,0.0000,1.0000
2019-11-12,24.0600,24.1600,23.9000,24.0000,23.8436,6831,0.0000,1.0000
2019-11-11,23.7900,23.9900,23.7900,23.9900,23.8336,5770,0.0000,1.0000
2019-11-08,23.9000,24.0400,23.6250,24.0200,23.8635,10333,0.0000,1.0000
2019-11-07,24.1000,24.1000,23.9300,23.9800,23.8237,11829,0.0000,1.0000
2019-11-06,24.3900,24.3900,23.9600,23.9600,23.8038,9278,0.0000,1.0000
2019-11-05,24.2000,24.4900,24.1500,24.3400,24.1814,6304,0.0000,1.0000
2019-11-04,24.2200,24.5000,24.1800,24.2900,24.1317,15804,0.0000,1.0000
2019-11-01,23.9500,24.2000,23.9400,24.2000,24.0423,12297,0.0000,1.0000
2019-10-31,24.0800,24.0800,23.8000,24.0400,23.8833,14032,0.0000,1.0000
2019-10-30,24.1000,24.1600,23.5100,23.9900,23.8336,9576,0.0000,1.0000
2019-10-29,24.0800,24.2000,24.0800,24.1400,23.9827,6629,0.0000,1.0000
2019-10-28,24.3000,24.4000,24.0200,24.2200,24.0622,7155,0.0000,1.0000
2019-10-25,24.0400,24.2500,23.9400,24.0800,23.9231,6620,0.0000,1.0000
