timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,151.3900,153.2500,149.9300,152.7100,152.7100,2118137,0.0000,1.0000
2020-01-22,151.9600,153.0200,151.6500,152.2600,152.2600,2582034,0.0000,1.0000
2020-01-21,152.1400,153.3300,151.4600,151.6500,151.6500,2036205,0.0000,1.0000
2020-01-17,153.0500,154.0500,152.8500,153.3600,153.3600,2515591,0.0000,1.0000
2020-01-16,153.5800,153.7000,149.9500,152.6200,152.6200,3831555,1.1500,1.0000
2020-01-15,158.3100,158.3100,153.3300,154.0800,152.9277,4078271,0.0000,1.0000
2020-01-14,159.1700,160.9500,158.8100,159.8800,158.6843,3333886,0.0000,1.0000
2020-01-13,158.8800,159.5400,157.8200,159.4400,158.2476,2391060,0.0000,1.0000
2020-01-10,160.9800,160.9800,158.4700,158.5700,157.3841,2182480,0.0000,1.0000
2020-01-09,160.3800,161.2500,159.8400,160.8100,159.6073,1651980,0.0000,1.0000
2020-01-08,158.0000,159.9050,157.3000,158.8900,157.7017,1958425,0.0000,1.0000
2020-01-07,157.4300,158.4000,156.6100,157.2600,156.0839,1936338,0.0000,1.0000
2020-01-06,158.1000,158.6818,157.4500,158.5100,157.3246,1332155,0.0000,1.0000
2020-01-03,158.4100,159.5900,157.4318,158.8300,157.6422,1374430,0.0000,1.0000
2020-01-02,159.7500,160.3700,158.9000,160.3700,159.1706,1881277,0.0000,1.0000
2019-12-31,159.8500,160.3700,158.9900,159.6300,158.4362,1499788,0.0000,1.0000
2019-12-30,161.5900,161.7900,159.8800,160.0200,158.8233,1401139,0.0000,1.0000
2019-12-27,161.5500,161.7200,160.5600,160.8100,159.6073,1051812,0.0000,1.0000
2019-12-26,160.4800,161.2700,160.2850,161.1500,159.9448,798026,0.0000,1.0000
2019-12-24,159.8400,160.5600,159.5800,160.4200,159.2203,1230041,0.0000,1.0000
2019-12-23,160.0800,160.6400,158.9200,159.5300,158.3369,1253565,0.0000,1.0000
2019-12-20,161.2000,161.3700,159.3700,159.8200,158.6248,3340262,0.0000,1.0000
2019-12-19,160.2700,160.9500,158.7200,159.5300,158.3369,1577590,0.0000,1.0000
2019-12-18,160.8100,160.9100,159.3800,160.0500,158.8530,1621155,0.0000,1.0000
2019-12-17,158.9700,160.9100,158.4800,160.3600,159.1607,1527770,0.0000,1.0000
2019-12-16,160.3000,160.8700,158.8900,159.0000,157.8109,1644433,0.0000,1.0000
2019-12-13,158.1600,160.0800,157.3900,158.6400,157.4536,2472608,0.0000,1.0000
2019-12-12,155.6600,159.6400,155.1200,159.0000,157.8109,3113569,0.0000,1.0000
2019-12-11,155.8300,156.1200,154.9000,155.0000,153.8408,1701907,0.0000,1.0000
2019-12-10,153.7000,156.8300,152.7400,155.6000,154.4363,2606535,0.0000,1.0000
2019-12-09,152.2000,154.0600,152.0401,153.7000,152.5505,1699562,0.0000,1.0000
2019-12-06,154.0800,154.8200,153.5000,153.8100,152.6597,2700966,0.0000,1.0000
2019-12-05,152.2800,152.6300,151.5900,152.2000,151.0617,2087076,0.0000,1.0000
2019-12-04,149.7400,151.8400,149.6400,151.3500,150.2181,1703166,0.0000,1.0000
2019-12-03,150.2700,150.2850,148.0900,149.7400,148.6201,2379925,0.0000,1.0000
2019-12-02,153.9300,154.4400,151.9400,151.9800,150.8434,1234289,0.0000,1.0000
2019-11-29,153.6400,154.4500,152.9400,153.2100,152.0642,736257,0.0000,1.0000
2019-11-27,153.6700,154.1500,152.5300,153.2900,152.1436,1315344,0.0000,1.0000
2019-11-26,153.1400,153.4700,152.3400,152.8900,151.7466,1571408,0.0000,1.0000
2019-11-25,153.5500,154.4200,152.7300,153.4000,152.2528,2438336,0.0000,1.0000
2019-11-22,151.3600,153.7166,150.9400,152.8500,151.7069,1080611,0.0000,1.0000
2019-11-21,152.6700,153.5300,151.3100,151.6900,150.5556,1402898,0.0000,1.0000
2019-11-20,151.2700,152.6600,150.4400,151.7800,150.6449,1456386,0.0000,1.0000
2019-11-19,152.0000,153.1000,150.7500,151.7200,150.5853,1646957,0.0000,1.0000
2019-11-18,150.5200,152.4300,150.4900,151.7100,150.5754,1616634,0.0000,1.0000
2019-11-15,150.1100,150.9200,149.4100,150.8600,149.7318,1773044,0.0000,1.0000
2019-11-14,150.1600,150.8600,148.4800,149.0200,147.9055,1972957,0.0000,1.0000
2019-11-13,150.6400,151.7500,150.0700,150.8200,149.6921,1687346,0.0000,1.0000
2019-11-12,152.1400,153.1700,151.1100,152.3000,151.1610,1182208,0.0000,1.0000
2019-11-11,151.5000,153.2300,151.3800,152.4600,151.3198,1354834,0.0000,1.0000
2019-11-08,152.5700,152.9200,151.6300,152.2000,151.0617,1845821,0.0000,1.0000
2019-11-07,152.9500,154.7500,152.5200,153.0700,151.9252,1564977,0.0000,1.0000
2019-11-06,150.5500,151.7600,149.9500,151.7100,150.5754,1650286,0.0000,1.0000
2019-11-05,150.6300,152.1400,150.0000,151.0300,149.9005,1381888,0.0000,1.0000
2019-11-04,150.3900,150.7300,149.6900,150.0100,148.8881,1192869,0.0000,1.0000
2019-11-01,148.3200,148.9100,147.3100,148.8100,147.6971,1109540,0.0000,1.0000
2019-10-31,146.6700,147.7500,145.0400,146.7000,145.6029,1266893,0.0000,1.0000
2019-10-30,147.8500,148.7700,146.5200,147.7500,146.6450,1168020,0.0000,1.0000
2019-10-29,147.1200,149.3900,147.1200,148.2900,147.1810,1411653,0.0000,1.0000
2019-10-28,147.7200,148.4950,147.1900,147.7700,146.6649,1250675,0.0000,1.0000
2019-10-25,145.2900,147.8600,145.2900,146.6700,145.5731,1072488,0.0000,1.0000
2019-10-24,146.2000,146.6900,144.6920,145.6000,144.5111,1143786,0.0000,1.0000
2019-10-23,144.9800,146.4300,144.7000,146.3700,145.2753,1106487,0.0000,1.0000
2019-10-22,145.5500,146.8800,144.5400,145.4600,144.3721,1701069,0.0000,1.0000
2019-10-21,145.0000,146.3900,144.7132,145.5300,144.4416,1763400,0.0000,1.0000
2019-10-18,142.4500,144.7000,142.0900,143.5200,142.4467,1900976,0.0000,1.0000
2019-10-17,142.4500,144.1000,142.0500,142.6600,141.5931,1748686,0.0000,1.0000
2019-10-16,142.6600,143.2700,139.9200,141.4600,140.4021,2696807,1.1500,1.0000
2019-10-15,140.6700,142.8500,140.0400,141.8700,139.6735,2298104,0.0000,1.0000
2019-10-14,139.7000,140.7700,139.3600,140.5200,138.3444,1460344,0.0000,1.0000
2019-10-11,140.8600,142.4800,140.2700,140.4000,138.2263,2419897,0.0000,1.0000
2019-10-10,137.1400,139.6170,136.8800,138.4200,136.2769,1288109,0.0000,1.0000
2019-10-09,137.3300,137.6800,136.3300,136.5600,134.4457,1480443,0.0000,1.0000
2019-10-08,138.1800,138.4557,136.0400,136.1800,134.0716,2228872,0.0000,1.0000
2019-10-07,140.6900,141.7200,139.1000,139.9500,137.7832,1783856,0.0000,1.0000
2019-10-04,136.8800,140.6900,136.8800,140.4700,138.2952,2113192,0.0000,1.0000
2019-10-03,134.8200,136.7500,133.3700,136.7300,134.6131,2064583,0.0000,1.0000
2019-10-02,136.4700,136.6500,134.7800,135.7000,133.5990,1849242,0.0000,1.0000
2019-10-01,141.1500,141.5500,137.0700,137.2000,135.0758,1518938,0.0000,1.0000
2019-09-30,141.1700,141.1700,139.3600,140.1600,137.9900,1732707,0.0000,1.0000
2019-09-27,141.5100,142.2300,139.7800,140.3900,138.2164,1368600,0.0000,1.0000
