timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,35.3500,35.6500,34.6400,35.5100,35.5100,450612,0.0000,1.0000
2020-01-22,35.9300,35.9740,35.3850,35.6900,35.6900,288335,0.0000,1.0000
2020-01-21,36.4100,36.4100,35.8000,35.8100,35.8100,334879,0.0000,1.0000
2020-01-17,36.8300,36.9178,36.3400,36.6100,36.6100,918058,0.0000,1.0000
2020-01-16,36.1600,36.7600,36.0100,36.7400,36.7400,465281,0.0000,1.0000
2020-01-15,35.4400,35.9600,35.3500,35.8600,35.8600,422788,0.0000,1.0000
2020-01-14,35.8300,35.9100,35.2000,35.7000,35.7000,530880,0.0000,1.0000
2020-01-13,35.1100,35.1700,34.8300,34.9000,34.9000,714707,0.0000,1.0000
2020-01-10,34.9900,35.4100,34.7900,34.8900,34.8900,504119,0.0000,1.0000
2020-01-09,35.0400,35.2300,34.7600,35.0600,35.0600,432256,0.0000,1.0000
2020-01-08,35.0400,35.1700,34.4800,34.9300,34.9300,745367,0.0000,1.0000
2020-01-07,35.1200,35.5550,34.9850,35.1200,35.1200,669665,0.0000,1.0000
2020-01-06,35.0000,35.5800,34.8800,35.3400,35.3400,505276,0.0000,1.0000
2020-01-03,35.9500,36.1500,35.4300,35.4400,35.4400,749321,0.0000,1.0000
2020-01-02,37.1200,37.1200,36.1300,36.7800,36.7800,539714,0.0000,1.0000
2019-12-31,36.7400,37.2700,36.7400,36.7900,36.7900,621486,0.0000,1.0000
2019-12-30,36.8400,37.1100,36.6900,36.9400,36.9400,745254,0.0000,1.0000
2019-12-27,37.2200,37.2800,36.7900,36.8200,36.8200,632164,0.0000,1.0000
2019-12-26,36.9900,37.0950,36.8200,36.9800,36.9800,485800,0.0000,1.0000
2019-12-24,37.2300,37.3300,36.9328,37.0100,37.0100,217095,0.0000,1.0000
2019-12-23,37.0000,37.2100,36.4500,37.2000,37.2000,617962,0.0000,1.0000
2019-12-20,36.1900,37.1200,35.8200,37.0500,37.0500,1728032,0.0000,1.0000
2019-12-19,33.4500,36.0400,33.2200,35.9700,35.9700,1625127,0.0000,1.0000
2019-12-18,32.4800,32.5800,32.0400,32.5100,32.5100,381868,0.0000,1.0000
2019-12-17,31.5700,32.4900,31.4300,32.4300,32.4300,527279,0.0000,1.0000
2019-12-16,31.5100,31.9300,31.2900,31.5200,31.5200,621561,0.0000,1.0000
2019-12-13,31.7300,31.9800,31.0600,31.1300,31.1300,554631,0.0000,1.0000
2019-12-12,30.9100,31.9250,30.6900,31.8300,31.8300,387200,0.2025,1.0000
2019-12-11,31.2400,31.5400,30.8200,31.1400,30.9431,343680,0.0000,1.0000
2019-12-10,31.1800,31.4100,30.9400,31.1400,30.9431,272365,0.0000,1.0000
2019-12-09,31.1700,31.5500,31.0100,31.1400,30.9431,447261,0.0000,1.0000
2019-12-06,31.4700,31.7700,31.2300,31.2500,31.0524,499151,0.0000,1.0000
2019-12-05,31.0100,31.1950,30.5700,30.9800,30.7842,453252,0.0000,1.0000
2019-12-04,31.1200,31.5300,30.8800,30.9100,30.7146,272939,0.0000,1.0000
2019-12-03,30.5800,30.9400,30.2200,30.8400,30.6450,324893,0.0000,1.0000
2019-12-02,31.6900,31.8500,30.9200,31.0200,30.8239,513682,0.0000,1.0000
2019-11-29,31.8600,31.8600,31.5000,31.5300,31.3307,88259,0.0000,1.0000
2019-11-27,32.1200,32.2900,31.8100,32.0600,31.8573,176611,0.0000,1.0000
2019-11-26,32.1700,32.4450,31.7900,32.0500,31.8474,299249,0.0000,1.0000
2019-11-25,32.0800,32.5100,31.8300,32.2200,32.0163,426873,0.0000,1.0000
2019-11-22,31.8300,32.1700,31.6600,31.8400,31.6387,414557,0.0000,1.0000
2019-11-21,31.9400,31.9600,31.5000,31.6300,31.4300,190376,0.0000,1.0000
2019-11-20,32.5400,32.7100,31.8200,31.8800,31.6785,468054,0.0000,1.0000
2019-11-19,33.0000,33.0100,32.5500,32.7700,32.5628,294700,0.0000,1.0000
2019-11-18,32.5800,33.0200,32.5100,32.8000,32.5926,344036,0.0000,1.0000
2019-11-15,33.2100,33.2550,32.7400,32.7600,32.5529,664943,0.0000,1.0000
2019-11-14,32.3200,33.0200,32.3200,32.8700,32.6622,429172,0.0000,1.0000
2019-11-13,33.2300,33.2300,32.3700,32.3900,32.1852,448829,0.0000,1.0000
2019-11-12,33.5200,33.8700,33.2200,33.6300,33.4174,282015,0.0000,1.0000
2019-11-11,33.0600,33.5500,32.8250,33.4000,33.1889,219085,0.0000,1.0000
2019-11-08,33.3900,33.7700,33.0900,33.4800,33.2683,230539,0.0000,1.0000
2019-11-07,33.0100,33.5100,33.0000,33.4800,33.2683,313881,0.0000,1.0000
2019-11-06,33.0400,33.0750,32.5500,32.6700,32.4635,473056,0.0000,1.0000
2019-11-05,33.7000,34.1400,33.0500,33.1600,32.9504,398020,0.0000,1.0000
2019-11-04,33.4300,33.6200,32.9500,33.4900,33.2783,385740,0.0000,1.0000
2019-11-01,32.2900,33.1400,32.0600,33.0200,32.8113,357868,0.0000,1.0000
2019-10-31,32.3400,32.4900,31.5800,32.0500,31.8474,482942,0.0000,1.0000
2019-10-30,32.6000,32.7600,32.2300,32.5700,32.3641,454461,0.0000,1.0000
2019-10-29,31.8900,32.8400,31.8900,32.7600,32.5529,432312,0.0000,1.0000
2019-10-28,32.4000,32.9050,32.1300,32.1500,31.9468,415359,0.0000,1.0000
2019-10-25,32.1300,32.6750,31.9500,32.2100,32.0064,343072,0.0000,1.0000
2019-10-24,32.9000,33.1000,31.9000,32.2800,32.0759,418853,0.0000,1.0000
2019-10-23,32.8500,33.1000,31.8525,32.6700,32.4635,896553,0.0000,1.0000
2019-10-22,31.7500,33.5200,31.5000,32.8500,32.6423,865351,0.0000,1.0000
2019-10-21,32.0400,32.4800,31.5700,31.7100,31.5095,564373,0.0000,1.0000
2019-10-18,31.6100,32.1100,31.6000,31.7600,31.5592,318557,0.0000,1.0000
2019-10-17,32.1000,32.2400,31.5300,31.7900,31.5890,424756,0.0000,1.0000
2019-10-16,32.5500,33.1100,31.8500,31.8900,31.6884,659287,0.0000,1.0000
2019-10-15,32.5100,33.2900,32.3700,32.8400,32.6324,395288,0.0000,1.0000
2019-10-14,32.4000,32.6400,32.1600,32.3700,32.1654,232827,0.0000,1.0000
2019-10-11,31.7500,33.0500,31.7500,32.7400,32.5330,472200,0.0000,1.0000
2019-10-10,31.2600,31.4400,30.6200,30.9200,30.7245,544178,0.0000,1.0000
2019-10-09,30.9700,31.2700,30.6900,31.1600,30.9630,267221,0.0000,1.0000
2019-10-08,31.4400,31.4500,30.5400,30.5500,30.3569,480743,0.0000,1.0000
2019-10-07,31.9900,32.3400,31.4600,31.8800,31.6785,345869,0.0000,1.0000
2019-10-04,31.3200,32.2400,31.2800,32.1800,31.9766,263689,0.0000,1.0000
2019-10-03,30.7300,31.2500,30.2400,31.2400,31.0425,742546,0.0000,1.0000
2019-10-02,31.1300,31.1400,30.3200,30.8600,30.6649,533882,0.0000,1.0000
2019-10-01,32.9400,33.4200,31.4500,31.4600,31.2611,416675,0.0000,1.0000
2019-09-30,32.6600,32.8900,32.0700,32.6500,32.4436,392890,0.0000,1.0000
2019-09-27,32.3200,32.9600,32.1200,32.5800,32.3740,842954,0.0000,1.0000
2019-09-26,32.3600,32.4600,31.9700,32.2300,32.0263,280060,0.0000,1.0000
2019-09-25,31.6400,32.6731,31.6400,32.5200,32.3144,474440,0.0000,1.0000
2019-09-24,31.9100,32.3900,31.3600,31.6000,31.4002,516895,0.0000,1.0000
2019-09-23,31.2700,32.4800,30.8900,32.0900,31.8871,487467,0.0000,1.0000
2019-09-20,32.8500,32.8500,31.2300,31.5600,31.3605,1315447,0.0000,1.0000
2019-09-19,32.6900,33.4700,32.6900,32.8500,32.6423,542366,0.0000,1.0000
2019-09-18,32.8200,32.9200,32.2800,32.6000,32.3939,527661,0.0000,1.0000
2019-09-17,33.3500,33.4700,32.5700,32.9100,32.7020,572133,0.0000,1.0000
2019-09-16,34.5400,34.6700,33.5200,33.6500,33.4373,753428,0.0000,1.0000
2019-09-13,34.9900,35.3000,34.6800,34.9600,34.7390,536852,0.0000,1.0000
2019-09-12,34.9500,35.1200,34.2050,34.4000,34.1825,687656,0.1950,1.0000
2019-09-11,34.1600,35.1900,33.5800,35.0000,34.5827,913339,0.0000,1.0000
2019-09-10,33.6300,34.0600,33.4100,33.9900,33.5847,549768,0.0000,1.0000
2019-09-09,32.6500,33.7400,32.6000,33.5700,33.1698,357251,0.0000,1.0000
2019-09-06,33.0700,33.2500,32.4900,32.5000,32.1125,275171,0.0000,1.0000
2019-09-05,32.5000,33.3800,32.4500,33.0200,32.6263,310661,0.0000,1.0000
2019-09-04,32.0900,32.3700,31.7200,32.0000,31.6185,319633,0.0000,1.0000
2019-09-03,31.8800,31.9700,31.0800,31.5900,31.2134,331444,0.0000,1.0000
2019-08-30,32.4600,32.5600,31.8500,32.0100,31.6284,403630,0.0000,1.0000
2019-08-29,31.5600,32.1400,31.4750,32.1300,31.7469,279003,0.0000,1.0000
2019-08-28,30.6900,31.2200,30.3900,31.0400,30.6699,572704,0.0000,1.0000
2019-08-27,31.2300,31.4600,30.6900,30.7500,30.3834,485774,0.0000,1.0000
2019-08-26,31.1000,31.1450,30.5700,30.8500,30.4822,621768,0.0000,1.0000
2019-08-23,32.0100,32.0450,30.5400,30.6500,30.2846,579064,0.0000,1.0000
2019-08-22,32.6800,32.9500,32.2300,32.2700,31.8853,530075,0.0000,1.0000
2019-08-21,32.0600,32.8300,31.9350,32.6800,32.2904,560361,0.0000,1.0000
2019-08-20,32.0200,32.1900,31.4950,31.6600,31.2825,615010,0.0000,1.0000
2019-08-19,32.0800,32.8500,31.6800,32.3000,31.9149,873369,0.0000,1.0000
2019-08-16,30.4700,31.1600,30.2600,31.0400,30.6699,260388,0.0000,1.0000
2019-08-15,29.9100,30.3400,29.6000,30.2200,29.8597,368377,0.0000,1.0000
2019-08-14,30.6400,30.8200,29.6500,29.6900,29.3360,515366,0.0000,1.0000
2019-08-13,30.7500,31.8100,30.7000,31.3200,30.9466,467329,0.0000,1.0000
2019-08-12,31.0500,31.1600,30.6500,30.9100,30.5415,317073,0.0000,1.0000
2019-08-09,31.7700,31.8250,31.0000,31.3100,30.9367,297774,0.0000,1.0000
2019-08-08,31.5100,32.1500,31.4900,32.0000,31.6185,533920,0.0000,1.0000
2019-08-07,30.1900,31.1500,30.0950,31.1200,30.7490,500820,0.0000,1.0000
2019-08-06,30.3800,30.6900,29.9300,30.6200,30.2549,302654,0.0000,1.0000
2019-08-05,30.7300,30.9871,29.8800,30.2400,29.8795,557983,0.0000,1.0000
2019-08-02,31.3400,31.4700,30.7600,31.3600,30.9861,363743,0.0000,1.0000
2019-08-01,32.6400,33.0400,31.4400,31.6700,31.2924,543886,0.0000,1.0000
2019-07-31,33.0400,33.4400,32.3000,32.7700,32.3793,842835,0.0000,1.0000
2019-07-30,32.0100,33.1200,31.8300,33.0800,32.6856,734304,0.0000,1.0000
2019-07-29,32.1700,32.4300,31.9300,32.3200,31.9347,851225,0.0000,1.0000
2019-07-26,33.0800,33.0800,31.8900,32.2100,31.8260,927229,0.0000,1.0000
2019-07-25,32.3700,34.2000,32.1600,32.9900,32.5967,995652,0.0000,1.0000
2019-07-24,30.9400,31.9200,30.8400,31.8800,31.4999,592364,0.0000,1.0000
2019-07-23,30.6100,31.3100,30.6000,31.2500,30.8774,574464,0.0000,1.0000
2019-07-22,31.2500,31.4600,30.3650,30.4500,30.0870,459122,0.0000,1.0000
2019-07-19,30.4100,30.7000,30.2100,30.4100,30.0474,337520,0.0000,1.0000
2019-07-18,30.1300,30.5450,29.9800,30.4200,30.0573,319126,0.0000,1.0000
2019-07-17,30.6300,30.6300,29.9900,30.1900,29.8301,350107,0.0000,1.0000
2019-07-16,30.1200,30.7300,30.0000,30.4800,30.1166,227712,0.0000,1.0000
2019-07-15,30.4500,30.5700,29.8900,30.2200,29.8597,233541,0.0000,1.0000
2019-07-12,29.7300,30.4800,29.6200,30.3300,29.9684,230267,0.0000,1.0000
2019-07-11,30.0200,30.1800,29.3800,29.5900,29.2372,415619,0.0000,1.0000
2019-07-10,30.4500,30.5800,29.9000,30.0300,29.6720,250297,0.0000,1.0000
2019-07-09,30.2800,30.3400,29.7900,30.1800,29.8202,410353,0.0000,1.0000
2019-07-08,30.7700,30.9600,30.3150,30.5400,30.1759,357983,0.0000,1.0000
2019-07-05,30.4500,30.9700,30.3200,30.9700,30.6008,221341,0.0000,1.0000
2019-07-03,31.2100,31.2100,30.6900,30.7800,30.4130,311203,0.0000,1.0000
2019-07-02,30.9900,31.1100,30.6400,31.0800,30.7094,534323,0.0000,1.0000
2019-07-01,31.5500,31.7500,30.8102,30.9500,30.5810,905736,0.0000,1.0000
2019-06-28,30.4700,31.4500,30.1400,31.3900,31.0157,2164952,0.0000,1.0000
2019-06-27,29.6900,30.6600,29.5700,30.4400,30.0771,935616,0.0000,1.0000
2019-06-26,29.3100,29.7300,29.3100,29.5600,29.2076,305769,0.0000,1.0000
2019-06-25,29.0400,29.4100,28.7600,29.2500,28.9013,423888,0.0000,1.0000
2019-06-24,29.5600,29.5600,28.8000,28.9000,28.5554,406823,0.0000,1.0000
2019-06-21,29.6500,29.8500,29.1950,29.5700,29.2174,764669,0.0000,1.0000
2019-06-20,29.5500,29.6900,29.3600,29.6700,29.3163,673626,0.0000,1.0000
2019-06-19,29.3100,29.4700,28.8900,29.1400,28.7926,560018,0.0000,1.0000
2019-06-18,28.6300,29.6100,28.6300,29.3600,29.0099,671463,0.0000,1.0000
2019-06-17,28.6600,28.6900,28.2875,28.3100,27.9725,640311,0.0000,1.0000
2019-06-14,29.3200,29.3700,28.6400,28.6800,28.3381,542863,0.0000,1.0000
2019-06-13,29.1900,29.5000,28.9500,29.4900,29.1384,541250,0.1950,1.0000
