timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,220.5700,222.7800,219.8600,220.7800,220.7800,207813,0.0000,1.0000
2020-01-22,219.7800,221.3800,219.3800,220.5900,220.5900,158999,0.0000,1.0000
2020-01-21,219.6400,220.2400,218.3400,219.2900,219.2900,186331,0.0000,1.0000
2020-01-17,218.5400,220.8700,218.0050,219.8200,219.8200,158365,0.0000,1.0000
2020-01-16,217.4800,218.9100,216.8000,218.4500,218.4500,123296,0.0000,1.0000
2020-01-15,214.8300,219.1100,214.8300,217.0300,217.0300,164237,0.0000,1.0000
2020-01-14,216.4700,217.4500,215.0100,215.6200,215.6200,152041,0.0000,1.0000
2020-01-13,217.4300,219.3200,214.3100,216.6100,216.6100,235737,0.0000,1.0000
2020-01-10,214.8300,217.9300,213.8300,217.0400,217.0400,188444,0.0000,1.0000
2020-01-09,214.7400,216.5900,214.0300,214.5100,214.5100,170445,0.0000,1.0000
2020-01-08,213.5300,215.2700,213.2700,214.1000,214.1000,220116,0.0000,1.0000
2020-01-07,213.4300,214.6800,212.9600,213.0200,213.0200,267468,0.0000,1.0000
2020-01-06,214.8100,215.3400,211.8700,215.0800,215.0800,137165,0.0000,1.0000
2020-01-03,212.6500,215.6800,211.9250,215.0400,215.0400,193301,0.0000,1.0000
2020-01-02,212.2400,213.8800,210.3400,213.8100,213.8100,155742,0.0000,1.0000
2019-12-31,214.6300,215.4800,211.9450,212.3800,212.3800,167233,0.0000,1.0000
2019-12-30,213.2700,215.5700,211.8400,214.9400,214.9400,120050,0.0000,1.0000
2019-12-27,213.2500,214.3278,212.1650,213.3400,213.3400,124863,0.0000,1.0000
2019-12-26,213.1000,213.4800,209.5850,212.7000,212.7000,110218,0.0000,1.0000
2019-12-24,210.0600,213.9500,210.0000,213.3100,213.3100,85588,0.0000,1.0000
2019-12-23,215.5400,215.5400,210.0900,210.2800,210.2800,153517,0.0000,1.0000
2019-12-20,213.3400,216.0800,213.0700,215.1100,215.1100,341667,0.0000,1.0000
2019-12-19,210.1800,212.5600,208.0200,212.2600,212.2600,241700,0.0000,1.0000
2019-12-18,212.0000,212.0000,208.8000,209.9800,209.9800,181540,0.0000,1.0000
2019-12-17,208.9200,212.0000,208.1400,211.8300,211.8300,171910,0.0000,1.0000
2019-12-16,206.2900,208.9400,205.6000,208.3200,208.3200,138055,0.0000,1.0000
2019-12-13,207.0300,207.0600,203.9100,205.4300,205.4300,199420,0.0000,1.0000
2019-12-12,207.7500,209.3450,206.6600,207.4900,207.4900,185419,0.0000,1.0000
2019-12-11,207.3600,208.6350,206.6050,207.7600,207.7600,256113,0.0000,1.0000
2019-12-10,207.7100,208.6450,206.8600,207.3500,207.3500,105984,0.0000,1.0000
2019-12-09,210.1400,211.6200,207.7900,208.6100,208.6100,130362,0.0000,1.0000
2019-12-06,210.0000,211.1400,208.3900,210.6400,210.6400,180221,0.0000,1.0000
2019-12-05,207.2700,210.5300,207.1200,210.0900,210.0900,137923,0.0000,1.0000
2019-12-04,205.0800,207.9600,205.0300,206.3200,206.3200,254116,0.0000,1.0000
2019-12-03,205.5000,206.2600,204.1600,204.7800,204.7800,150344,0.0000,1.0000
2019-12-02,206.4700,209.2300,205.6300,206.0100,206.0100,149268,0.0000,1.0000
2019-11-29,209.4000,209.8100,206.2300,206.4500,206.4500,82626,0.0000,1.0000
2019-11-27,211.3900,211.6356,208.3500,209.7500,209.7500,210906,0.0000,1.0000
2019-11-26,205.2300,210.3100,204.4800,210.2600,210.2600,164625,0.0000,1.0000
2019-11-25,207.9800,209.8000,204.6900,205.3000,205.3000,173180,0.0000,1.0000
2019-11-22,204.7500,208.2600,203.9300,207.4500,207.4500,135431,0.0000,1.0000
2019-11-21,211.7700,211.7700,204.3550,204.7400,204.7400,280262,0.0000,1.0000
2019-11-20,208.9100,212.4900,208.4700,210.7600,210.7600,300262,0.0000,1.0000
2019-11-19,208.8000,210.1500,206.1200,208.0800,208.0800,216789,0.0000,1.0000
2019-11-18,207.3700,209.4500,206.7100,208.5300,208.5300,197150,0.0000,1.0000
2019-11-15,206.2300,209.1900,204.9100,207.3200,207.3200,555506,0.0000,1.0000
2019-11-14,204.9700,206.9200,203.8600,205.3400,205.3400,150020,0.0000,1.0000
2019-11-13,203.5600,206.3600,203.1000,204.6300,204.6300,216315,0.5500,1.0000
2019-11-12,204.2900,208.1900,204.1100,204.3600,203.8122,212529,0.0000,1.0000
2019-11-11,200.5500,205.3950,200.4500,203.7500,203.2038,184766,0.0000,1.0000
2019-11-08,201.8200,202.7400,200.0000,202.0900,201.5483,125558,0.0000,1.0000
2019-11-07,203.1100,203.6900,200.2940,200.9900,200.4512,309478,0.0000,1.0000
2019-11-06,200.2000,202.6750,198.6523,202.3100,201.7677,160980,0.0000,1.0000
2019-11-05,203.7200,205.7200,199.1300,199.5300,198.9951,171160,0.0000,1.0000
2019-11-04,206.7100,208.5800,203.2554,203.8450,203.2986,190765,0.0000,1.0000
2019-11-01,208.6900,209.5600,206.4200,207.2100,206.6546,209239,0.0000,1.0000
2019-10-31,207.9400,209.8500,206.4000,207.4000,206.8440,260445,0.0000,1.0000
