timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,59.6600,60.0300,59.5100,59.9500,59.9500,581083,0.0000,1.0000
2020-01-22,59.4200,59.7400,59.4000,59.5900,59.5900,467668,0.0000,1.0000
2020-01-21,58.8700,59.2800,58.6000,59.2500,59.2500,441374,0.0000,1.0000
2020-01-17,58.5400,58.8900,58.4500,58.8100,58.8100,460547,0.0000,1.0000
2020-01-16,58.0000,58.5100,58.0000,58.4600,58.4600,511948,0.0000,1.0000
2020-01-15,57.0000,57.8950,57.0000,57.8200,57.8200,670249,0.0000,1.0000
2020-01-14,56.8500,57.0100,56.5500,56.9900,56.9900,451985,0.0000,1.0000
2020-01-13,56.0400,56.8650,55.8900,56.7900,56.7900,666373,0.0000,1.0000
2020-01-10,55.7400,56.1700,55.6500,56.0600,56.0600,596154,0.0000,1.0000
2020-01-09,55.2000,55.7500,55.0500,55.6400,55.6400,481063,0.0000,1.0000
2020-01-08,54.5900,55.3300,54.5900,55.1900,55.1900,684491,0.0000,1.0000
2020-01-07,55.1200,55.2200,54.6900,55.1700,55.1700,505350,0.0000,1.0000
2020-01-06,54.6900,55.2000,54.6800,54.9500,54.9500,335913,0.0000,1.0000
2020-01-03,54.9900,55.1800,54.7200,54.7800,54.7800,479823,0.0000,1.0000
2020-01-02,55.9000,55.9400,54.5500,54.8900,54.8900,353619,0.0000,1.0000
2019-12-31,55.7600,56.0550,55.6000,55.7900,55.7900,612340,0.0000,1.0000
2019-12-30,55.4100,55.8300,55.3600,55.8100,55.8100,405877,0.0000,1.0000
2019-12-27,55.4500,55.6100,55.3000,55.5400,55.5400,262464,0.0000,1.0000
2019-12-26,55.4700,55.6300,55.0600,55.4600,55.4600,433419,0.0000,1.0000
2019-12-24,55.6300,55.6300,55.2200,55.5400,55.5400,145711,0.3850,1.0000
2019-12-23,56.8400,56.8400,55.7640,55.9800,55.5946,424126,0.0000,1.0000
2019-12-20,56.3900,57.0900,56.2700,56.8200,56.4288,849161,0.0000,1.0000
2019-12-19,56.2600,56.5000,56.0600,56.3500,55.9621,362140,0.0000,1.0000
2019-12-18,56.0900,56.3800,55.7500,56.3400,55.9521,563348,0.0000,1.0000
2019-12-17,55.6300,56.1000,55.4000,55.8900,55.5052,591290,0.0000,1.0000
2019-12-16,54.7000,55.7100,54.4750,55.6300,55.2470,661503,0.0000,1.0000
2019-12-13,54.5700,54.7380,54.3600,54.6800,54.3036,678470,0.0000,1.0000
2019-12-12,55.0900,55.3200,54.5200,54.6400,54.2638,623690,0.0000,1.0000
2019-12-11,55.1200,55.3900,54.8300,55.1400,54.7604,656964,0.0000,1.0000
2019-12-10,55.1000,55.3000,54.9600,55.1100,54.7306,493900,0.0000,1.0000
2019-12-09,55.4100,55.4100,54.9750,55.1000,54.7207,404244,0.0000,1.0000
2019-12-06,55.4500,55.8500,55.3000,55.3300,54.9491,367640,0.0000,1.0000
2019-12-05,55.2300,55.5000,55.1000,55.4900,55.1080,393274,0.0000,1.0000
2019-12-04,54.9200,55.4700,54.9200,55.3500,54.9690,464816,0.0000,1.0000
2019-12-03,55.2300,55.2500,54.8701,55.0400,54.6611,481063,0.0000,1.0000
2019-12-02,55.2400,55.4400,54.9500,55.0300,54.6512,533046,0.0000,1.0000
2019-11-29,55.6600,55.9800,55.4300,55.5100,55.1279,237700,0.0000,1.0000
2019-11-27,55.7200,55.8500,55.2500,55.6400,55.2570,435026,0.0000,1.0000
2019-11-26,55.3000,55.7500,55.2000,55.6300,55.2470,505742,0.0000,1.0000
2019-11-25,55.4900,55.6600,55.1600,55.3100,54.9292,539717,0.0000,1.0000
2019-11-22,55.7200,55.7200,55.1250,55.4800,55.0981,760844,0.0000,1.0000
2019-11-21,55.8100,55.9000,55.2400,55.5300,55.1477,574006,0.0000,1.0000
2019-11-20,55.0900,55.7500,55.0900,55.7100,55.3265,422775,0.0000,1.0000
2019-11-19,55.2500,55.6100,55.0600,55.1600,54.7803,317470,0.0000,1.0000
2019-11-18,55.5500,56.0200,55.1600,55.2700,54.8895,388973,0.0000,1.0000
2019-11-15,55.7200,55.9200,55.1550,55.4900,55.1080,434047,0.0000,1.0000
2019-11-14,55.7000,56.1400,55.5100,55.7700,55.3861,465113,0.0000,1.0000
2019-11-13,54.8100,55.9100,54.7950,55.5300,55.1477,587113,0.0000,1.0000
2019-11-12,54.4200,54.7900,54.2400,54.6700,54.2936,714668,0.0000,1.0000
2019-11-11,54.6200,54.8800,54.3400,54.3700,53.9957,327357,0.0000,1.0000
2019-11-08,54.7800,54.9000,54.3300,54.7400,54.3632,558023,0.0000,1.0000
2019-11-07,55.5900,55.7950,54.3500,54.8500,54.4724,857824,0.0000,1.0000
2019-11-06,55.6400,56.0600,55.5700,55.8100,55.4258,484788,0.0000,1.0000
2019-11-05,56.4000,56.6800,55.4550,55.6100,55.2272,564295,0.0000,1.0000
2019-11-04,57.9100,57.9100,56.3600,56.6500,56.2600,711489,0.0000,1.0000
2019-11-01,56.9900,57.9200,56.6800,57.8100,57.4120,965747,0.0000,1.0000
2019-10-31,56.8600,57.0300,56.3300,56.8800,56.4884,491457,0.0000,1.0000
2019-10-30,56.2800,57.1600,56.1800,56.8700,56.4785,386080,0.0000,1.0000
2019-10-29,56.0700,56.4200,56.0200,56.2000,55.8131,412695,0.0000,1.0000
2019-10-28,56.4500,56.6100,56.0050,56.0700,55.6840,385841,0.0000,1.0000
2019-10-25,57.4200,57.4200,56.4600,56.6600,56.2699,390881,0.0000,1.0000
2019-10-24,57.2000,57.5200,56.8422,57.4100,57.0148,378718,0.0000,1.0000
2019-10-23,56.9600,57.2100,56.7700,57.1000,56.7069,363122,0.0000,1.0000
2019-10-22,57.0100,57.3900,56.8800,56.9500,56.5579,381823,0.0000,1.0000
2019-10-21,57.0600,57.1500,56.7700,56.9600,56.5679,414721,0.0000,1.0000
2019-10-18,56.3800,57.1700,56.2400,57.0300,56.6374,703963,0.0000,1.0000
2019-10-17,56.2200,56.7100,56.1450,56.4900,56.1011,764808,0.0000,1.0000
2019-10-16,55.6300,56.2500,55.5200,56.2300,55.8429,823781,0.0000,1.0000
2019-10-15,55.7500,55.9300,55.4050,55.6700,55.2868,1006153,0.0000,1.0000
2019-10-14,56.5100,56.6800,55.6100,55.6600,55.2768,348625,0.0000,1.0000
2019-10-11,56.2700,56.6300,55.7700,56.3900,56.0018,870558,0.0000,1.0000
2019-10-10,56.3700,56.4300,55.7700,56.2700,55.8826,638614,0.0000,1.0000
2019-10-09,56.2900,56.6400,56.0800,56.5100,56.1210,647005,0.0000,1.0000
2019-10-08,56.7900,56.9300,56.0200,56.0800,55.6939,629815,0.0000,1.0000
2019-10-07,57.1700,57.3900,56.6350,56.8200,56.4288,691963,0.0000,1.0000
2019-10-04,56.1000,56.8200,55.8800,56.7900,56.3990,504079,0.0000,1.0000
2019-10-03,56.0300,56.3200,55.7010,55.8500,55.4655,516675,0.0000,1.0000
2019-10-02,56.5000,56.7600,55.8700,56.1000,55.7138,579726,0.0000,1.0000
2019-10-01,56.3000,56.7000,56.2000,56.5500,56.1607,534365,0.0000,1.0000
2019-09-30,56.7600,57.2900,56.2700,56.3700,55.9819,759461,0.0000,1.0000
2019-09-27,56.8200,57.0700,56.5400,56.7400,56.3494,710836,0.0000,1.0000
2019-09-26,56.7500,57.1900,56.7100,56.8200,56.4288,451213,0.0000,1.0000
2019-09-25,56.5900,56.8600,56.2500,56.7000,56.3097,599045,0.0000,1.0000
2019-09-24,56.2700,56.9000,56.2550,56.5900,56.2004,720803,0.3850,1.0000
2019-09-23,56.4600,57.0400,56.4300,56.5000,55.7319,662745,0.0000,1.0000
2019-09-20,56.1700,56.6699,56.0500,56.4900,55.7220,1003246,0.0000,1.0000
2019-09-19,56.1100,56.4200,55.9950,56.2000,55.4360,453775,0.0000,1.0000
2019-09-18,55.7200,56.1800,55.3000,55.8500,55.0907,738052,0.0000,1.0000
2019-09-17,55.4600,56.0700,55.1700,55.4500,54.6962,810125,0.0000,1.0000
2019-09-16,55.3800,55.7600,55.0800,55.4900,54.7356,340271,0.0000,1.0000
2019-09-13,55.7100,55.8700,55.2600,55.3700,54.6172,657455,0.0000,1.0000
2019-09-12,56.0900,56.3200,55.5600,55.7600,55.0019,471818,0.0000,1.0000
2019-09-11,55.0400,55.8600,54.7800,55.7200,54.9625,648294,0.0000,1.0000
2019-09-10,55.7300,55.7300,54.8700,55.1100,54.3608,626425,0.0000,1.0000
2019-09-09,56.0800,56.2800,55.4200,55.8200,55.0611,636931,0.0000,1.0000
2019-09-06,57.2200,57.4200,56.2300,56.2800,55.5149,512618,0.0000,1.0000
2019-09-05,57.4800,57.5363,56.7200,56.9800,56.2054,496460,0.0000,1.0000
2019-09-04,58.3600,58.4300,57.4500,57.7800,56.9945,574475,0.0000,1.0000
2019-09-03,56.9700,58.2100,56.7700,58.0900,57.3003,544221,0.0000,1.0000
2019-08-30,56.9600,57.2700,56.5600,56.8900,56.1166,583148,0.0000,1.0000
2019-08-29,56.5500,56.8500,56.3500,56.8100,56.0377,371033,0.0000,1.0000
2019-08-28,56.4300,56.6600,56.0600,56.2300,55.4656,575474,0.0000,1.0000
2019-08-27,56.6900,56.9500,56.2400,56.3200,55.5543,442995,0.0000,1.0000
2019-08-26,55.9100,56.3700,55.8600,56.3400,55.5741,296140,0.0000,1.0000
2019-08-23,56.6000,56.9700,55.6000,55.7500,54.9921,394091,0.0000,1.0000
2019-08-22,56.5000,56.8200,56.1700,56.6500,55.8798,595598,0.0000,1.0000
2019-08-21,56.0400,56.5500,55.9300,56.5000,55.7319,582024,0.0000,1.0000
2019-08-20,56.2700,56.2700,55.9200,56.0400,55.2781,297622,0.0000,1.0000
2019-08-19,56.3900,56.6400,56.1000,56.2000,55.4360,499957,0.0000,1.0000
2019-08-16,55.9800,56.5900,55.9800,56.3000,55.5346,523509,0.0000,1.0000
2019-08-15,55.3000,56.1100,55.0500,55.9800,55.2189,392139,0.0000,1.0000
2019-08-14,55.6600,55.9300,54.9800,55.1900,54.4397,338370,0.0000,1.0000
2019-08-13,55.5100,55.8700,55.2150,55.6600,54.9033,394878,0.0000,1.0000
2019-08-12,55.5300,55.7500,55.2600,55.6500,54.8934,385846,0.0000,1.0000
2019-08-09,55.5700,55.8400,55.4600,55.4900,54.7356,412681,0.0000,1.0000
2019-08-08,55.0300,55.9200,54.8469,55.6000,54.8441,358078,0.0000,1.0000
2019-08-07,54.7100,55.3900,53.9600,54.9900,54.2424,442824,0.0000,1.0000
2019-08-06,54.1800,54.7950,53.4700,54.7000,53.9564,570956,0.0000,1.0000
2019-08-05,54.4000,55.2500,53.8800,54.3000,53.5618,679157,0.0000,1.0000
2019-08-02,54.4600,55.1000,53.5600,54.4000,53.6604,1410868,0.0000,1.0000
2019-08-01,54.7600,55.7100,54.6400,55.4000,54.6468,480544,0.0000,1.0000
2019-07-31,55.2300,55.7050,54.7700,54.8500,54.1043,726420,0.0000,1.0000
2019-07-30,55.1300,55.4550,54.9400,55.2100,54.4594,507275,0.0000,1.0000
2019-07-29,55.2300,55.4201,54.8900,55.3400,54.5876,413420,0.0000,1.0000
2019-07-26,54.6800,55.1000,54.5650,55.0800,54.3312,312201,0.0000,1.0000
2019-07-25,54.9800,55.1900,54.4900,54.6500,53.9070,472262,0.0000,1.0000
2019-07-24,54.7300,54.9500,54.4100,54.8400,54.0944,456665,0.0000,1.0000
2019-07-23,54.4700,54.8750,54.0400,54.6600,53.9169,600217,0.0000,1.0000
2019-07-22,54.7700,55.0100,54.2600,54.4300,53.6900,594508,0.0000,1.0000
2019-07-19,55.4500,55.8400,54.5900,54.6100,53.8676,562398,0.0000,1.0000
2019-07-18,55.2400,55.8000,54.8700,55.7200,54.9625,641907,0.0000,1.0000
2019-07-17,55.5000,55.9500,55.0650,55.2700,54.5186,839205,0.0000,1.0000
2019-07-16,54.7700,55.3500,54.6800,55.3000,54.5482,630623,0.0000,1.0000
2019-07-15,54.4900,54.8700,54.2800,54.8200,54.0747,1433624,0.0000,1.0000
2019-07-12,55.3600,55.4250,54.3800,54.5200,53.7788,876168,0.0000,1.0000
2019-07-11,55.4000,55.6400,54.9400,55.2100,54.4594,856955,0.0000,1.0000
2019-07-10,55.6300,55.8000,55.2000,55.4400,54.6863,411144,0.0000,1.0000
2019-07-09,55.0200,55.5400,54.9300,55.5400,54.7849,703626,0.0000,1.0000
2019-07-08,55.0600,55.4500,54.8800,55.0200,54.2720,336898,0.0000,1.0000
2019-07-05,54.6600,55.1700,54.2200,55.0100,54.2621,293971,0.0000,1.0000
2019-07-03,54.7200,55.2700,54.7200,55.1400,54.3904,193502,0.0000,1.0000
2019-07-02,54.0500,54.5600,53.9100,54.4900,53.7492,396456,0.0000,1.0000
2019-07-01,54.2600,54.3750,53.3800,53.9400,53.2067,283955,0.0000,1.0000
2019-06-28,53.8700,54.5700,53.6935,54.1700,53.4336,994375,0.0000,1.0000
2019-06-27,53.8400,54.0500,53.5300,53.9100,53.1771,389225,0.0000,1.0000
2019-06-26,54.9600,55.0300,53.7600,53.8000,53.0686,542423,0.0000,1.0000
2019-06-25,55.0000,55.3350,54.7500,55.0400,54.2917,604819,0.0000,1.0000
2019-06-24,55.2900,55.4800,54.8550,54.9800,54.2325,574094,0.3850,1.0000
2019-06-21,55.2500,55.5800,55.0400,55.5500,54.4138,1092004,0.0000,1.0000
2019-06-20,55.8000,55.9800,55.2900,55.6900,54.5509,378389,0.0000,1.0000
2019-06-19,54.8000,55.7400,54.7900,55.6300,54.4921,450001,0.0000,1.0000
2019-06-18,55.7800,55.7800,54.6400,54.9700,53.8456,399218,0.0000,1.0000
2019-06-17,55.5000,55.6800,55.0500,55.4100,54.2766,339004,0.0000,1.0000
2019-06-14,55.2600,55.7500,54.9700,55.5300,54.3942,278606,0.0000,1.0000
2019-06-13,55.2300,55.2900,54.5900,55.2800,54.1493,538560,0.0000,1.0000
2019-06-12,54.2600,55.0900,54.2600,55.0700,53.9436,493055,0.0000,1.0000
2019-06-11,54.5500,54.7600,53.8400,54.1200,53.0130,295778,0.0000,1.0000
2019-06-10,54.7000,54.7750,54.1901,54.5700,53.4538,299796,0.0000,1.0000
2019-06-07,55.4100,55.7000,54.7200,54.7300,53.6105,417059,0.0000,1.0000
2019-06-06,54.7300,55.2500,54.7000,55.1200,53.9926,473463,0.0000,1.0000
2019-06-05,53.6900,54.8200,53.6000,54.6800,53.5616,530727,0.0000,1.0000
2019-06-04,53.9000,53.9000,52.7200,53.6000,52.5036,557985,0.0000,1.0000
2019-06-03,53.1800,53.8900,52.8200,53.8000,52.6996,529300,0.0000,1.0000
2019-05-31,52.0300,52.9400,52.0100,52.8600,51.7788,468761,0.0000,1.0000
2019-05-30,52.3100,52.5700,51.8600,52.0500,50.9854,410503,0.0000,1.0000
2019-05-29,52.8400,52.9800,52.0900,52.2600,51.1911,343705,0.0000,1.0000
2019-05-28,53.7100,53.9300,52.6900,52.8300,51.7494,396045,0.0000,1.0000
2019-05-24,53.5700,53.8800,53.4700,53.6500,52.5526,378703,0.0000,1.0000
2019-05-23,53.1600,53.5300,52.9800,53.4700,52.3763,399516,0.0000,1.0000
2019-05-22,53.1000,53.3600,52.8200,53.2600,52.1706,375009,0.0000,1.0000
2019-05-21,53.3100,53.7200,52.9800,53.0300,51.9453,430138,0.0000,1.0000
2019-05-20,53.3500,53.7800,53.1100,53.2500,52.1608,265960,0.0000,1.0000
2019-05-17,53.2200,53.7700,53.0100,53.3600,52.2686,303393,0.0000,1.0000
2019-05-16,53.0400,53.6100,52.8400,53.2800,52.1902,268636,0.0000,1.0000
2019-05-15,53.2700,53.4800,53.1100,53.1900,52.1020,255461,0.0000,1.0000
2019-05-14,53.5900,53.7599,53.1900,53.2700,52.1804,553469,0.0000,1.0000
2019-05-13,52.9100,53.7700,52.6500,53.7100,52.6114,462935,0.0000,1.0000
2019-05-10,52.0300,53.0800,51.8700,53.0600,51.9747,335231,0.0000,1.0000
2019-05-09,51.7400,52.1800,51.6600,51.9700,50.9070,285759,0.0000,1.0000
2019-05-08,52.5900,52.6700,51.6700,51.7000,50.6425,483880,0.0000,1.0000
2019-05-07,52.5500,52.7446,52.3450,52.5500,51.4751,325856,0.0000,1.0000
2019-05-06,52.4800,52.7500,52.3300,52.6000,51.5241,335835,0.0000,1.0000
2019-05-03,51.8300,52.5100,51.7500,52.4900,51.4164,448491,0.0000,1.0000
2019-05-02,52.0300,52.2800,51.6900,51.8800,50.8188,317989,0.0000,1.0000
2019-05-01,52.2900,52.4700,51.8900,52.1100,51.0441,480698,0.0000,1.0000
2019-04-30,51.7000,52.4000,51.6500,52.3100,51.2400,776081,0.0000,1.0000
2019-04-29,52.0300,52.1500,51.5700,51.7200,50.6621,742260,0.0000,1.0000
2019-04-26,52.0000,52.5500,51.8850,52.1200,51.0539,707968,0.0000,1.0000
2019-04-25,51.0100,51.6200,50.8900,51.4800,50.4270,638012,0.0000,1.0000
2019-04-24,50.8200,51.3900,50.7511,51.1900,50.1429,528179,0.0000,1.0000
2019-04-23,50.1000,50.6900,49.8800,50.6100,49.5748,628530,0.0000,1.0000
2019-04-22,50.1500,50.2600,49.7900,50.0700,49.0458,381895,0.0000,1.0000
2019-04-18,50.3600,50.5700,50.2200,50.2600,49.2320,420896,0.0000,1.0000
2019-04-17,50.7500,50.7500,50.2100,50.3300,49.3005,479934,0.0000,1.0000
2019-04-16,51.4800,51.6900,50.5300,50.6200,49.5846,428264,0.0000,1.0000
2019-04-15,51.7900,51.9800,51.3900,51.5200,50.4662,324919,0.0000,1.0000
2019-04-12,51.5000,51.7700,51.1900,51.7600,50.7013,475514,0.0000,1.0000
2019-04-11,51.2900,51.6400,51.1500,51.6300,50.5739,370154,0.0000,1.0000
2019-04-10,51.5800,51.8900,51.2300,51.2700,50.2213,447299,0.0000,1.0000
2019-04-09,51.1700,51.4000,51.1000,51.3400,50.2899,599066,0.0000,1.0000
2019-04-08,51.6300,51.7100,51.0700,51.1300,50.0842,446618,0.0000,1.0000
2019-04-05,50.9100,51.8600,50.9100,51.8300,50.7699,774419,0.0000,1.0000
2019-04-04,51.6300,51.7200,50.9400,51.2500,50.2017,335649,0.0000,1.0000
2019-04-03,51.6500,51.7200,51.1900,51.5400,50.4858,663125,0.0000,1.0000
2019-04-02,51.8500,51.8500,51.3000,51.5600,50.5054,411232,0.0000,1.0000
2019-04-01,51.8900,51.8900,51.2900,51.7300,50.6719,902157,0.0000,1.0000
2019-03-29,51.6200,51.9400,51.5000,51.8400,50.7796,508239,0.0000,1.0000
2019-03-28,52.1000,52.3600,51.3100,51.5500,50.4956,814802,0.0000,1.0000
2019-03-27,52.5300,52.5300,51.9400,52.0900,51.0245,697181,0.0000,1.0000
2019-03-26,52.1500,52.5900,52.0400,52.4600,51.3870,692812,0.0000,1.0000
2019-03-25,51.7000,52.2100,51.5500,52.0700,51.0049,559753,0.0000,1.0000
2019-03-22,51.3300,51.9300,51.1200,51.7400,50.6817,839880,0.3625,1.0000
2019-03-21,50.9600,51.6800,50.9400,51.5900,50.1832,606412,0.0000,1.0000
2019-03-20,50.9500,51.5500,50.7000,51.0400,49.6482,516821,0.0000,1.0000
2019-03-19,51.8100,51.8100,50.7000,50.8400,49.4536,742979,0.0000,1.0000
2019-03-18,52.2400,52.3100,51.6750,51.8600,50.4458,433221,0.0000,1.0000
2019-03-15,52.1200,52.6000,51.8500,52.3400,50.9127,1522843,0.0000,1.0000
2019-03-14,52.2100,52.4200,51.8800,51.9400,50.5236,468308,0.0000,1.0000
2019-03-13,52.1700,52.3900,52.0300,52.2500,50.8252,617584,0.0000,1.0000
2019-03-12,52.0200,52.2650,51.8900,52.1400,50.7182,603734,0.0000,1.0000
2019-03-11,51.6000,52.0300,51.5600,52.0200,50.6014,893124,0.0000,1.0000
2019-03-08,51.0600,51.5800,50.8900,51.4900,50.0859,624209,0.0000,1.0000
2019-03-07,50.7400,51.1600,50.5800,50.9300,49.5412,759247,0.0000,1.0000
2019-03-06,50.4600,50.8000,50.2700,50.6300,49.2493,545877,0.0000,1.0000
2019-03-05,50.6000,50.8800,50.3000,50.3800,49.0062,602606,0.0000,1.0000
2019-03-04,50.4600,50.8300,50.0300,50.7800,49.3953,691072,0.0000,1.0000
2019-03-01,50.2500,50.3300,49.6500,50.3200,48.9478,672615,0.0000,1.0000
2019-02-28,49.8100,50.3400,49.5300,50.1400,48.7727,908451,0.0000,1.0000
2019-02-27,49.4200,49.7600,49.0800,49.7400,48.3836,761521,0.0000,1.0000
2019-02-26,49.8600,49.9000,49.3800,49.5000,48.1502,440276,0.0000,1.0000
2019-02-25,50.3400,50.4200,49.5800,49.8500,48.4906,421551,0.0000,1.0000
2019-02-22,49.8200,50.4500,49.6000,50.4500,49.0743,604686,0.0000,1.0000
2019-02-21,49.5100,49.9900,49.3000,49.7300,48.3739,497302,0.0000,1.0000
2019-02-20,48.9400,49.7200,48.7300,49.5700,48.2183,513485,0.0000,1.0000
2019-02-19,48.8600,49.0300,48.3900,48.9000,47.5665,695174,0.0000,1.0000
2019-02-15,49.1000,49.3700,48.3400,48.9300,47.5957,1133214,0.0000,1.0000
2019-02-14,48.8500,49.2000,48.6600,48.8500,47.5179,774937,0.0000,1.0000
2019-02-13,48.7600,48.8800,48.3900,48.6500,47.3233,459109,0.0000,1.0000
2019-02-12,49.1600,49.4400,48.8000,48.9900,47.6541,334239,0.0000,1.0000
2019-02-11,49.1400,49.5000,48.7400,49.0100,47.6735,497017,0.0000,1.0000
2019-02-08,48.5600,49.2700,48.5100,49.2700,47.9264,561987,0.0000,1.0000
2019-02-07,47.8100,48.6950,47.5500,48.5800,47.2552,739926,0.0000,1.0000
2019-02-06,47.7800,47.9900,47.5500,47.8100,46.5062,356575,0.0000,1.0000
2019-02-05,47.9500,48.0700,47.5500,47.8100,46.5062,375710,0.0000,1.0000
2019-02-04,47.6300,47.9100,47.1700,47.9000,46.5938,380109,0.0000,1.0000
2019-02-01,48.3000,48.4500,47.0500,47.7000,46.3992,769598,0.0000,1.0000
2019-01-31,47.1900,48.4900,47.1300,48.3200,47.0023,854003,0.0000,1.0000
2019-01-30,46.7600,47.3900,46.6300,47.1900,45.9032,466674,0.0000,1.0000
2019-01-29,46.7800,47.1400,46.6300,46.7900,45.5141,360989,0.0000,1.0000
2019-01-28,47.0000,47.5500,46.4100,46.7000,45.4265,450757,0.0000,1.0000
2019-01-25,47.3200,47.6100,47.0100,47.0700,45.7864,681470,0.0000,1.0000
2019-01-24,46.9300,47.5700,46.5400,47.5300,46.2339,716685,0.0000,1.0000
2019-01-23,46.3200,46.9800,46.3200,46.9500,45.6697,526433,0.0000,1.0000
2019-01-22,45.8600,46.5500,45.7600,46.2100,44.9499,706268,0.0000,1.0000
2019-01-18,45.9200,46.1000,45.7200,45.8400,44.5900,494712,0.0000,1.0000
2019-01-17,45.2800,45.8800,45.2800,45.8200,44.5705,745474,0.0000,1.0000
2019-01-16,45.0700,45.4800,44.7800,45.4100,44.1717,552596,0.0000,1.0000
2019-01-15,44.2800,45.3400,44.2800,45.0500,43.8215,856934,0.0000,1.0000
2019-01-14,44.7900,44.8500,44.0300,44.5100,43.2962,546340,0.0000,1.0000
2019-01-11,45.3100,45.6100,45.0600,45.2100,43.9771,528498,0.0000,1.0000
2019-01-10,44.8800,45.4800,44.8000,45.4100,44.1717,461881,0.0000,1.0000
2019-01-09,45.1200,45.4300,44.4700,44.7900,43.5686,569476,0.0000,1.0000
2019-01-08,44.4300,45.3100,44.1900,45.3000,44.0647,543793,0.0000,1.0000
2019-01-07,44.4900,44.7300,44.0900,44.4300,43.2184,494369,0.0000,1.0000
2019-01-04,44.2400,45.0600,44.2400,44.8200,43.5978,558698,0.0000,1.0000
2019-01-03,44.4600,44.8500,44.2300,44.4200,43.2087,469721,0.0000,1.0000
2019-01-02,45.6200,45.6200,44.1900,44.5500,43.3351,844245,0.0000,1.0000
2018-12-31,45.5400,45.8500,44.9100,45.8500,44.5997,414708,0.0000,1.0000
2018-12-28,45.3000,45.9200,45.1346,45.5000,44.2592,512709,0.0000,1.0000
2018-12-27,44.8000,45.3400,44.1100,45.3400,44.1036,586591,0.0000,1.0000
2018-12-26,44.1500,45.0100,43.7300,44.9400,43.7145,764322,0.0000,1.0000
2018-12-24,46.4200,46.4200,44.0100,44.1900,42.9850,372707,0.3625,1.0000
2018-12-21,47.2700,48.4800,46.6200,46.6700,45.0280,1189596,0.0000,1.0000
2018-12-20,47.5700,48.1400,46.9200,47.2700,45.6068,599912,0.0000,1.0000
2018-12-19,47.3600,47.8700,46.7400,47.4400,45.7709,585970,0.0000,1.0000
2018-12-18,47.7700,48.1900,47.0600,47.1600,45.5007,752065,0.0000,1.0000
2018-12-17,48.9900,49.1850,47.1750,47.5100,45.8384,1153033,0.0000,1.0000
2018-12-14,49.5500,49.5700,48.8900,48.9600,47.2374,495685,0.0000,1.0000
