timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,36.1700,36.7700,36.0600,36.7100,36.7100,4455720,0.0000,1.0000
2020-01-22,36.0100,36.2150,35.8700,36.1700,36.1700,3836257,0.0000,1.0000
2020-01-21,36.0300,36.0800,35.6150,36.0300,36.0300,6298463,0.0000,1.0000
2020-01-17,35.9600,36.1000,35.7250,36.0900,36.0900,3885968,0.0000,1.0000
2020-01-16,35.9000,36.0400,35.7200,35.9600,35.9600,4074446,0.0000,1.0000
2020-01-15,35.6700,36.0100,35.5900,35.8500,35.8500,4044756,0.0000,1.0000
2020-01-14,35.2300,35.5900,35.1250,35.5800,35.5800,3894768,0.0000,1.0000
2020-01-13,35.4500,35.6900,35.3400,35.4300,35.4300,3974517,0.0000,1.0000
2020-01-10,35.4900,35.8500,35.4250,35.4400,35.4400,3422422,0.0000,1.0000
2020-01-09,35.3400,35.6100,35.3400,35.5100,35.5100,3266820,0.0000,1.0000
2020-01-08,35.4200,35.6000,35.2850,35.3800,35.3800,5247149,0.0000,1.0000
2020-01-07,35.4600,35.5400,35.1100,35.1800,35.1800,4288269,0.0000,1.0000
2020-01-06,35.3000,35.5400,35.2300,35.4200,35.4200,6198349,0.0000,1.0000
2020-01-03,35.1600,35.4956,35.1100,35.3800,35.3800,4105082,0.0000,1.0000
2020-01-02,36.0000,36.0400,35.2400,35.4200,35.4200,6116364,0.0000,1.0000
2019-12-31,35.7400,35.9000,35.6300,35.8800,35.8800,4720783,0.0000,1.0000
2019-12-30,35.5200,35.7000,35.4300,35.6700,35.6700,2308307,0.0000,1.0000
2019-12-27,35.5000,35.5600,35.3800,35.5200,35.5200,1820898,0.0000,1.0000
2019-12-26,35.5600,35.6200,35.2800,35.5300,35.5300,2907185,0.0000,1.0000
2019-12-24,35.7100,35.7400,35.4450,35.6200,35.6200,1137546,0.0000,1.0000
2019-12-23,35.9100,35.9600,35.4200,35.6600,35.6600,3747163,0.0000,1.0000
2019-12-20,35.8900,36.2400,35.6900,35.8300,35.8300,8753763,0.0000,1.0000
2019-12-19,35.8800,35.9300,35.3400,35.7200,35.7200,6115840,0.0000,1.0000
2019-12-18,36.0100,36.0300,35.6600,35.9700,35.9700,5894879,0.0000,1.0000
2019-12-17,35.9900,36.2800,35.8380,35.9700,35.9700,6270900,0.0000,1.0000
2019-12-16,35.6400,36.2500,35.5000,36.2500,36.2500,8429906,0.0000,1.0000
2019-12-13,34.9000,35.8400,34.7500,35.6400,35.6400,13346409,0.0000,1.0000
2019-12-12,33.6900,34.1000,33.4100,33.6000,33.6000,6157651,0.0000,1.0000
2019-12-11,33.9000,34.0400,33.6500,33.7600,33.7600,5415618,0.0000,1.0000
2019-12-10,33.7100,33.8200,33.5800,33.8000,33.8000,4720644,0.0000,1.0000
2019-12-09,34.0700,34.2500,33.6800,33.7100,33.7100,3349776,0.4125,1.0000
2019-12-06,34.2800,34.5800,34.2500,34.3700,33.9545,3408500,0.0000,1.0000
2019-12-05,34.5500,34.5700,34.2000,34.3200,33.9051,4462246,0.0000,1.0000
2019-12-04,34.0500,34.6600,34.0500,34.5600,34.1422,4548097,0.0000,1.0000
2019-12-03,34.1800,34.3000,34.0300,34.1900,33.7767,3700424,0.0000,1.0000
2019-12-02,34.0500,34.3200,33.9800,34.1900,33.7767,3808800,0.0000,1.0000
2019-11-29,34.3000,34.4000,34.0000,34.0300,33.6186,2739963,0.0000,1.0000
2019-11-27,34.1000,34.3250,33.9500,34.3000,33.8854,3337731,0.0000,1.0000
2019-11-26,33.9000,34.1100,33.8000,34.1000,33.6878,4546579,0.0000,1.0000
2019-11-25,33.8100,34.1000,33.7900,33.8600,33.4507,4922688,0.0000,1.0000
2019-11-22,33.7900,33.8400,33.5500,33.8200,33.4112,2500911,0.0000,1.0000
2019-11-21,33.7700,33.8100,33.4800,33.6700,33.2630,3395684,0.0000,1.0000
2019-11-20,33.6000,33.8550,33.5000,33.7800,33.3716,3554105,0.0000,1.0000
2019-11-19,33.6900,33.7100,33.4200,33.5700,33.1642,5074241,0.0000,1.0000
2019-11-18,33.8500,34.1500,33.5600,33.6500,33.2432,6882366,0.0000,1.0000
2019-11-15,33.7000,33.9100,33.6100,33.9100,33.5001,5102864,0.0000,1.0000
2019-11-14,33.8400,33.9600,33.5900,33.6200,33.2136,3897591,0.0000,1.0000
2019-11-13,33.7700,33.8700,33.5900,33.8100,33.4013,4275036,0.0000,1.0000
2019-11-12,33.6300,33.7800,33.5200,33.7300,33.3222,3765419,0.0000,1.0000
2019-11-11,33.7500,33.7900,33.4600,33.6300,33.2235,4862468,0.0000,1.0000
2019-11-08,33.2000,33.7300,33.0850,33.7200,33.3124,7032557,0.0000,1.0000
2019-11-07,33.2000,33.4700,33.0300,33.2500,32.8480,8650485,0.0000,1.0000
2019-11-06,33.5900,33.6800,33.1700,33.3100,32.9073,6519378,0.0000,1.0000
2019-11-05,33.4100,33.7000,33.2100,33.5700,33.1642,7442351,0.0000,1.0000
2019-11-04,33.5800,33.8300,33.3300,33.4700,33.0654,5007812,0.0000,1.0000
2019-11-01,33.5200,33.6050,33.2700,33.5900,33.1839,3393095,0.0000,1.0000
2019-10-31,33.2800,33.5100,33.0200,33.4900,33.0851,5144287,0.0000,1.0000
2019-10-30,32.8600,33.3200,32.8600,33.2900,32.8876,3455927,0.0000,1.0000
2019-10-29,32.9000,33.0200,32.7100,32.9700,32.5714,3131584,0.0000,1.0000
2019-10-28,33.0500,33.2100,32.9000,32.9400,32.5418,3300830,0.0000,1.0000
2019-10-25,33.0300,33.2400,32.9400,33.2200,32.8184,3447961,0.0000,1.0000
2019-10-24,33.2300,33.4400,32.9500,33.1300,32.7295,4909685,0.0000,1.0000
2019-10-23,32.8000,33.2700,32.7900,33.1800,32.7789,4973691,0.0000,1.0000
2019-10-22,32.6500,33.2500,32.3900,32.7400,32.3442,5871682,0.0000,1.0000
2019-10-21,32.0800,32.6600,32.0800,32.6500,32.2553,3581241,0.0000,1.0000
2019-10-18,32.0100,32.2300,31.7600,32.0300,31.6428,6166634,0.0000,1.0000
2019-10-17,32.3300,32.4100,31.8400,32.0900,31.7021,5114508,0.0000,1.0000
2019-10-16,31.6300,32.4200,31.5500,32.4100,32.0182,7301101,0.0000,1.0000
2019-10-15,32.0600,32.1087,31.5200,31.9200,31.5341,10778245,0.0000,1.0000
2019-10-14,31.8500,32.5800,31.6180,32.1500,31.7613,13934237,0.0000,1.0000
2019-10-11,30.9400,31.7400,30.8100,31.4300,31.0500,7180739,0.0000,1.0000
2019-10-10,30.2500,30.6100,30.1150,30.5600,30.1906,4195500,0.0000,1.0000
2019-10-09,30.3000,30.4800,30.1000,30.3100,29.9436,2805324,0.0000,1.0000
2019-10-08,30.7500,30.7569,30.2100,30.2100,29.8448,4994522,0.0000,1.0000
2019-10-07,30.8500,30.9501,30.5350,30.8100,30.4375,3509108,0.0000,1.0000
2019-10-04,30.5900,30.9500,30.3000,30.9300,30.5561,3418318,0.0000,1.0000
2019-10-03,30.5800,30.6286,30.2400,30.5700,30.2004,4933862,0.0000,1.0000
2019-10-02,31.2600,31.3100,30.5550,30.5800,30.2103,4861501,0.0000,1.0000
2019-10-01,31.4900,31.5500,31.1700,31.3100,30.9315,3872712,0.0000,1.0000
2019-09-30,31.6700,31.9000,31.4350,31.4900,31.1093,6935506,0.0000,1.0000
2019-09-27,31.7200,31.8750,31.4400,31.6000,31.2180,3469525,0.0000,1.0000
2019-09-26,31.2900,31.7200,31.1800,31.7100,31.3267,3791429,0.0000,1.0000
2019-09-25,31.5500,31.5900,31.0900,31.1500,30.7734,5821339,0.0000,1.0000
2019-09-24,31.6400,31.6800,31.4000,31.5800,31.1982,5050602,0.0000,1.0000
2019-09-23,31.5500,31.7900,31.5200,31.5900,31.2081,3118441,0.0000,1.0000
2019-09-20,31.6100,31.7200,31.3500,31.6800,31.2970,6108060,0.0000,1.0000
2019-09-19,31.3400,31.5700,31.2600,31.5400,31.1587,3708921,0.0000,1.0000
2019-09-18,31.1900,31.4000,31.0600,31.2200,30.8426,4146609,0.0000,1.0000
2019-09-17,31.0900,31.2950,30.9600,31.1200,30.7438,3316009,0.0000,1.0000
2019-09-16,30.9800,31.2500,30.5700,31.1300,30.7537,4518981,0.0000,1.0000
2019-09-13,30.9200,31.3850,30.8100,30.8800,30.5067,6400438,0.0000,1.0000
2019-09-12,30.8500,30.9400,30.5500,30.8800,30.5067,4568912,0.0000,1.0000
2019-09-11,29.9900,30.7500,29.7700,30.7500,30.3783,5694862,0.0000,1.0000
2019-09-10,29.4000,30.0000,29.3200,30.0000,29.6373,5580599,0.0000,1.0000
2019-09-09,29.3600,29.4800,29.1950,29.3500,28.9952,5054315,0.4125,1.0000
2019-09-06,30.1600,30.1600,29.7850,29.7900,29.0220,3845189,0.0000,1.0000
2019-09-05,29.5900,30.1300,29.5500,30.1100,29.3337,5184464,0.0000,1.0000
2019-09-04,29.8000,29.9800,29.5000,29.6900,28.9246,2825546,0.0000,1.0000
2019-09-03,29.5500,29.6900,29.3150,29.6800,28.9148,4085753,0.0000,1.0000
2019-08-30,29.3800,29.6300,29.3000,29.5500,28.7882,4791285,0.0000,1.0000
2019-08-29,29.3300,29.4800,29.1600,29.3100,28.5544,2206695,0.0000,1.0000
2019-08-28,29.1400,29.2800,29.0000,29.1700,28.4180,3984813,0.0000,1.0000
2019-08-27,29.6200,29.6399,29.1050,29.1800,28.4277,3224320,0.0000,1.0000
2019-08-26,29.5500,29.6300,29.3500,29.4800,28.7200,2376281,0.0000,1.0000
2019-08-23,29.8200,29.9600,29.3400,29.4500,28.6908,3877650,0.0000,1.0000
2019-08-22,29.8500,29.8900,29.5610,29.8200,29.0512,2677586,0.0000,1.0000
2019-08-21,29.5600,29.7600,29.4400,29.7600,28.9928,2075318,0.0000,1.0000
2019-08-20,29.4600,29.5500,29.2700,29.5400,28.7784,2704359,0.0000,1.0000
2019-08-19,29.4300,29.6300,29.3600,29.4500,28.6908,5827428,0.0000,1.0000
2019-08-16,29.2700,29.5400,29.1500,29.4100,28.6518,4934653,0.0000,1.0000
2019-08-15,29.1600,29.4600,29.0400,29.2200,28.4667,3406141,0.0000,1.0000
2019-08-14,29.6400,29.6900,29.1200,29.1800,28.4277,2782576,0.0000,1.0000
2019-08-13,29.1500,29.6600,29.0900,29.6400,28.8759,4532540,0.0000,1.0000
2019-08-12,29.3500,29.4300,29.0900,29.3100,28.5544,3906200,0.0000,1.0000
2019-08-09,29.8600,29.8600,29.1300,29.3800,28.6226,3928047,0.0000,1.0000
2019-08-08,29.7600,29.9050,29.5400,29.8100,29.0415,3839965,0.0000,1.0000
2019-08-07,29.5100,29.9800,29.3900,29.8000,29.0317,5545466,0.0000,1.0000
2019-08-06,29.5400,29.6400,28.5500,29.5900,28.8271,4931801,0.0000,1.0000
2019-08-05,29.7300,29.8300,28.8700,28.9800,28.2329,5516786,0.0000,1.0000
2019-08-02,29.9600,29.9850,29.5500,29.6600,28.8953,4357284,0.0000,1.0000
2019-08-01,29.5700,29.9200,29.5700,29.7200,28.9538,4736085,0.0000,1.0000
2019-07-31,29.7600,30.0100,29.4300,29.6300,28.8661,5704908,0.0000,1.0000
2019-07-30,30.0300,30.1300,29.5774,29.7200,28.9538,3835422,0.0000,1.0000
2019-07-29,30.4400,30.4900,29.8657,30.0600,29.2850,4222930,0.0000,1.0000
2019-07-26,30.2100,30.5100,30.1800,30.3200,29.5383,3581111,0.0000,1.0000
2019-07-25,30.2500,30.4050,30.0600,30.1800,29.4019,3848571,0.0000,1.0000
2019-07-24,30.2600,30.4000,30.0350,30.3200,29.5383,3394815,0.0000,1.0000
2019-07-23,30.1800,30.3000,30.0600,30.0900,29.3143,3163182,0.0000,1.0000
2019-07-22,30.2600,30.3400,29.9350,30.1600,29.3824,4853497,0.0000,1.0000
2019-07-19,30.6200,30.6400,30.1700,30.1700,29.3922,3724710,0.0000,1.0000
2019-07-18,30.4300,30.7400,30.2168,30.7000,29.9085,4369565,0.0000,1.0000
2019-07-17,30.4400,30.6200,30.3600,30.3900,29.6065,3151741,0.0000,1.0000
2019-07-16,30.3500,30.5000,30.1600,30.3600,29.5773,3836639,0.0000,1.0000
2019-07-15,30.2200,30.5800,30.2200,30.5100,29.7234,4098410,0.0000,1.0000
2019-07-12,30.4000,30.4100,30.0550,30.2600,29.4799,2951158,0.0000,1.0000
2019-07-11,30.3500,30.5850,30.1500,30.4600,29.6747,3976379,0.0000,1.0000
2019-07-10,30.7900,30.8800,30.2400,30.3500,29.5675,6688100,0.0000,1.0000
2019-07-09,31.0000,31.0000,30.5400,30.6900,29.8988,3728328,0.0000,1.0000
2019-07-08,30.9800,31.0800,30.8268,31.0300,30.2300,1993909,0.0000,1.0000
2019-07-05,30.8800,31.0740,30.6500,31.0100,30.2105,2366389,0.0000,1.0000
2019-07-03,30.9400,31.2450,30.9400,31.0900,30.2885,2319419,0.0000,1.0000
2019-07-02,30.6700,30.9300,30.5600,30.7900,29.9962,3421273,0.0000,1.0000
2019-07-01,31.1100,31.1600,30.3700,30.5800,29.7916,4838831,0.0000,1.0000
2019-06-28,31.1400,31.2900,30.8600,31.0100,30.2105,7408062,0.0000,1.0000
2019-06-27,31.2000,31.4300,31.0100,31.1900,30.3859,2680575,0.0000,1.0000
2019-06-26,31.3300,31.4600,31.0300,31.0600,30.2592,4434971,0.0000,1.0000
2019-06-25,31.5500,31.6450,31.3600,31.4200,30.6100,2856590,0.0000,1.0000
2019-06-24,31.7700,31.8000,31.3750,31.5800,30.7658,4242074,0.0000,1.0000
2019-06-21,31.6100,31.7600,31.2600,31.7500,30.9315,6402348,0.0000,1.0000
2019-06-20,31.5800,31.7800,31.1650,31.5400,30.7269,3044111,0.0000,1.0000
2019-06-19,30.9600,31.5350,30.9100,31.3800,30.5710,3952728,0.0000,1.0000
2019-06-18,31.1600,31.1600,30.7900,31.0800,30.2787,3539954,0.0000,1.0000
2019-06-17,31.3000,31.4575,30.6600,30.9400,30.1423,4630552,0.0000,1.0000
2019-06-14,31.2300,31.4900,31.1100,31.4500,30.6392,3298800,0.0000,1.0000
2019-06-13,31.2500,31.3400,30.9600,31.1100,30.3080,5885281,0.0000,1.0000
2019-06-12,30.7200,31.2100,30.7200,31.1600,30.3567,3138363,0.0000,1.0000
2019-06-11,30.6400,30.8000,30.3800,30.6100,29.8208,3633226,0.0000,1.0000
2019-06-10,30.8800,30.8800,30.5300,30.6900,29.8988,3598963,0.0000,1.0000
2019-06-07,31.3500,31.4900,31.0200,31.0200,30.2203,5258105,0.4125,1.0000
2019-06-06,31.2500,31.6000,31.0900,31.5200,30.3044,4066735,0.0000,1.0000
2019-06-05,30.6400,31.3200,30.4900,31.1500,29.9487,5039240,0.0000,1.0000
2019-06-04,30.2200,30.5800,30.0100,30.5600,29.3814,3921156,0.0000,1.0000
2019-06-03,29.8800,30.2200,29.7200,30.1800,29.0161,5287145,0.0000,1.0000
2019-05-31,29.9500,30.0301,29.7300,29.7600,28.6123,4557119,0.0000,1.0000
2019-05-30,29.9100,30.1300,29.7900,29.8900,28.7373,3276687,0.0000,1.0000
2019-05-29,30.6200,30.6200,29.8450,29.8500,28.6988,4741157,0.0000,1.0000
2019-05-28,30.7800,30.8550,30.4400,30.5800,29.4007,7399840,0.0000,1.0000
2019-05-24,30.4200,30.8450,30.3900,30.8000,29.6122,5360088,0.0000,1.0000
2019-05-23,30.0700,30.3800,30.0200,30.3600,29.1891,3899059,0.0000,1.0000
2019-05-22,30.1400,30.2200,29.7800,30.0500,28.8911,5113226,0.0000,1.0000
2019-05-21,29.7800,30.5300,29.7700,30.2200,29.0545,4874873,0.0000,1.0000
2019-05-20,29.8500,30.1200,29.6100,29.6900,28.5450,5987796,0.0000,1.0000
2019-05-17,29.9000,30.0600,29.7100,29.7900,28.6411,6915866,0.0000,1.0000
2019-05-16,30.5600,30.7500,29.7800,29.9300,28.7757,8514425,0.0000,1.0000
2019-05-15,30.9000,31.0000,30.5800,30.6500,29.4680,3887279,0.0000,1.0000
2019-05-14,31.2800,31.3950,31.0700,31.0900,29.8910,4329432,0.0000,1.0000
2019-05-13,30.8900,31.4200,30.8650,31.3500,30.1410,3795003,0.0000,1.0000
2019-05-10,30.2900,31.0400,30.2500,31.0400,29.8429,3369293,0.0000,1.0000
2019-05-09,30.4000,30.5400,29.9542,30.2600,29.0930,4551310,0.0000,1.0000
2019-05-08,30.8900,31.0000,30.3350,30.3700,29.1988,4372839,0.0000,1.0000
2019-05-07,30.9900,31.1350,30.8131,30.9600,29.7660,3765161,0.0000,1.0000
2019-05-06,31.1700,31.1700,30.9100,31.0100,29.8141,2769067,0.0000,1.0000
2019-05-03,30.7500,31.2400,30.7200,31.2200,30.0160,3584464,0.0000,1.0000
2019-05-02,30.9400,31.1300,30.6800,30.7400,29.5545,5035194,0.0000,1.0000
2019-05-01,31.0600,31.4500,31.0500,31.0900,29.8910,5753814,0.0000,1.0000
2019-04-30,30.6700,31.2400,30.5900,31.2100,30.0064,11079350,0.0000,1.0000
2019-04-29,30.7800,30.8400,30.4700,30.5700,29.3910,4254822,0.0000,1.0000
2019-04-26,30.9800,31.1500,30.7700,30.7800,29.5929,3958047,0.0000,1.0000
2019-04-25,30.8200,31.1000,30.7100,30.8000,29.6122,4227119,0.0000,1.0000
2019-04-24,30.8900,31.1150,30.8400,30.9500,29.7564,2628274,0.0000,1.0000
2019-04-23,30.8900,30.9600,30.6800,30.8600,29.6699,4603071,0.0000,1.0000
2019-04-22,31.0500,31.0500,30.7500,30.8400,29.6506,4134822,0.0000,1.0000
2019-04-18,31.0400,31.2400,30.9300,30.9700,29.7756,4119473,0.0000,1.0000
2019-04-17,31.3100,31.3100,31.0100,31.0900,29.8910,3037145,0.0000,1.0000
2019-04-16,31.8100,31.9200,31.2250,31.3200,30.1121,4098856,0.0000,1.0000
2019-04-15,31.9400,31.9800,31.7300,31.8800,30.6505,3348638,0.0000,1.0000
2019-04-12,31.8800,31.9700,31.6100,31.8600,30.6313,3853118,0.0000,1.0000
2019-04-11,31.7400,31.9950,31.7000,31.9700,30.7370,2953811,0.0000,1.0000
2019-04-10,32.0600,32.2100,31.6900,31.7400,30.5159,2781821,0.0000,1.0000
2019-04-09,31.9500,32.0000,31.7800,32.0000,30.7659,2524240,0.0000,1.0000
2019-04-08,32.1300,32.1300,31.7200,31.9300,30.6986,2597912,0.0000,1.0000
2019-04-05,31.7400,32.1600,31.7100,32.1500,30.9101,3776694,0.0000,1.0000
2019-04-04,31.9600,32.0000,31.4250,31.6700,30.4486,3276892,0.0000,1.0000
2019-04-03,31.8000,32.0200,31.6050,31.8900,30.6601,4164807,0.0000,1.0000
2019-04-02,31.7000,31.7500,31.4800,31.7200,30.4967,3749080,0.0000,1.0000
2019-04-01,31.7000,31.7300,31.3450,31.6400,30.4198,6379607,0.0000,1.0000
2019-03-29,31.6400,31.7700,31.4591,31.7400,30.5159,4841624,0.0000,1.0000
2019-03-28,32.3800,32.4100,31.5300,31.5900,30.3717,5626203,0.0000,1.0000
2019-03-27,32.5000,32.5300,32.1600,32.3400,31.0928,2802874,0.0000,1.0000
2019-03-26,32.3800,32.5700,32.3500,32.4500,31.1985,3006476,0.0000,1.0000
2019-03-25,32.3100,32.4850,32.2500,32.3500,31.1024,2856663,0.0000,1.0000
2019-03-22,32.4000,32.5652,32.1900,32.1900,30.9486,4185021,0.0000,1.0000
2019-03-21,32.1300,32.3800,32.1100,32.3000,31.0543,3673376,0.0000,1.0000
2019-03-20,32.1400,32.4300,32.0300,32.1100,30.8716,3667268,0.0000,1.0000
