timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,125.5400,126.3700,123.1900,125.5500,125.5500,296818,0.0000,1.0000
2020-01-22,126.9500,127.4950,126.4000,126.6500,126.6500,160540,0.0000,1.0000
2020-01-21,127.8200,128.3071,126.0750,126.4100,126.4100,268907,0.0000,1.0000
2020-01-17,128.5000,129.2400,128.2900,128.4300,128.4300,106823,0.0000,1.0000
2020-01-16,128.2900,129.0550,127.7200,128.3700,128.3700,168647,0.0000,1.0000
2020-01-15,127.7100,129.1000,126.8668,127.5300,127.5300,172483,0.0000,1.0000
2020-01-14,129.2300,129.8700,128.2800,128.6200,128.6200,174497,0.0000,1.0000
2020-01-13,129.8600,129.8600,128.6100,129.1500,129.1500,147675,0.0000,1.0000
2020-01-10,130.8900,131.0400,128.8400,129.2400,129.2400,149423,0.0000,1.0000
2020-01-09,129.7500,131.5000,129.6000,130.8700,130.8700,124419,0.0000,1.0000
2020-01-08,130.4800,131.5700,129.5400,129.7000,129.7000,133351,0.0000,1.0000
2020-01-07,129.9800,131.2250,129.6700,130.4900,130.4900,96831,0.0000,1.0000
2020-01-06,130.3300,130.8900,129.5800,130.5800,130.5800,225777,0.0000,1.0000
2020-01-03,129.9500,132.1350,129.3300,131.7100,131.7100,182182,0.0000,1.0000
2020-01-02,130.8900,131.8600,130.4000,131.8300,131.8300,140467,0.0000,1.0000
2019-12-31,130.5500,131.8300,130.3400,130.5600,130.5600,146097,0.0000,1.0000
2019-12-30,131.3200,131.4600,130.0000,130.5500,130.5500,157651,0.0000,1.0000
2019-12-27,132.1500,132.1500,130.5700,130.6300,130.6300,176754,0.0000,1.0000
2019-12-26,133.1000,133.1900,131.8000,132.0700,132.0700,105615,0.0000,1.0000
2019-12-24,132.7000,133.2500,132.6100,132.6800,132.6800,45322,0.0000,1.0000
2019-12-23,133.5700,133.5700,132.1650,132.9300,132.9300,160302,0.0000,1.0000
2019-12-20,135.6300,135.7550,133.3400,133.4500,133.4500,582634,0.0000,1.0000
2019-12-19,135.2300,135.2350,134.3200,134.9400,134.9400,155559,0.0000,1.0000
2019-12-18,137.3600,137.4000,135.1600,135.3300,135.3300,151642,0.0000,1.0000
2019-12-17,137.0700,137.8700,136.7000,136.7700,136.7700,161825,0.0000,1.0000
2019-12-16,137.2800,138.0500,137.0000,137.3400,137.3400,196406,0.0000,1.0000
2019-12-13,136.1700,137.7211,135.3457,136.5600,136.5600,193791,0.0000,1.0000
2019-12-12,135.8200,137.8400,135.2300,136.5000,136.5000,284052,0.0000,1.0000
2019-12-11,134.8000,135.6100,134.3900,135.4500,135.4500,126066,0.0000,1.0000
2019-12-10,135.1000,135.5200,134.8800,135.2700,135.2700,123493,0.0000,1.0000
