timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,101.4900,102.1300,100.0000,102.0800,102.0800,3520291,0.0000,1.0000
2020-01-22,102.8000,102.9900,101.5650,101.8600,101.8600,2477515,0.0000,1.0000
2020-01-21,102.5000,102.9900,101.9100,102.3400,102.3400,2102017,0.0000,1.0000
2020-01-17,103.7900,103.9500,102.5200,103.3100,103.3100,2781495,0.0000,1.0000
2020-01-16,105.5600,105.6700,103.6500,103.7900,103.7900,2568191,0.0000,1.0000
2020-01-15,105.5700,105.7100,104.1200,104.8900,104.8900,2386282,0.0000,1.0000
2020-01-14,105.2700,106.6600,104.9880,106.3800,106.3800,2753427,0.0000,1.0000
2020-01-13,104.9200,106.0200,104.5400,105.3000,105.3000,2243088,0.0000,1.0000
2020-01-10,105.6400,106.7500,104.8100,104.8700,104.8700,1910747,0.0000,1.0000
2020-01-09,103.3800,105.6700,102.2200,105.6200,105.6200,3127683,0.0000,1.0000
2020-01-08,108.3200,108.4400,103.8100,104.1000,104.1000,3452628,0.0000,1.0000
2020-01-07,107.1300,108.2200,106.7400,108.1400,108.1400,2688535,0.0000,1.0000
2020-01-06,108.2400,108.4400,107.2100,107.8100,107.8100,3913229,0.0000,1.0000
2020-01-03,111.2500,112.4200,108.1900,108.4900,108.4900,2236935,0.0000,1.0000
2020-01-02,112.0800,113.1800,111.3800,112.2000,112.2000,1607907,0.0000,1.0000
2019-12-31,110.2200,111.4100,110.0400,111.4100,111.4100,1695942,0.0000,1.0000
2019-12-30,110.5000,111.2500,110.1300,110.3700,110.3700,1712035,0.0000,1.0000
2019-12-27,112.4100,112.4100,110.5300,110.6000,110.6000,1427480,0.0000,1.0000
2019-12-26,112.5700,113.2000,111.8500,112.0600,112.0600,1147672,0.0000,1.0000
2019-12-24,112.6500,113.2400,112.5900,113.2000,113.2000,1190781,0.0000,1.0000
2019-12-23,113.4000,113.6700,112.2100,112.6700,112.6700,1937506,0.0000,1.0000
2019-12-20,113.7900,114.1500,112.8500,113.3500,113.3500,4666850,0.0000,1.0000
2019-12-19,113.4100,113.6200,112.4900,112.8100,112.8100,1850496,0.0000,1.0000
2019-12-18,113.2900,113.9350,112.5900,113.0400,113.0400,2663781,0.0000,1.0000
2019-12-17,114.1600,114.9500,112.7100,113.0300,113.0300,2671965,0.0000,1.0000
2019-12-16,113.1400,114.6300,112.7900,114.1400,114.1400,2097679,0.0000,1.0000
2019-12-13,113.8800,114.6600,112.6950,112.9900,112.9900,1621930,0.0000,1.0000
2019-12-12,112.1300,113.9700,111.9200,113.7300,113.7300,1618810,0.0000,1.0000
2019-12-11,111.9400,112.6500,111.4800,112.2100,112.2100,1558121,0.0000,1.0000
2019-12-10,112.3000,112.5700,111.6900,111.9300,111.9300,2215780,0.0000,1.0000
2019-12-09,113.2000,113.2800,111.8500,111.9600,111.9600,1585283,0.0000,1.0000
2019-12-06,113.0600,114.3204,112.9500,113.5600,113.5600,2142636,0.0000,1.0000
2019-12-05,112.7800,113.2100,112.1700,112.5400,112.5400,1688644,0.0000,1.0000
2019-12-04,113.5400,114.0000,112.4300,112.5700,112.5700,2128875,0.0000,1.0000
2019-12-03,113.6800,113.6800,112.4200,112.7500,112.7500,4624610,0.0000,1.0000
2019-12-02,114.8700,116.0600,114.0600,114.3300,114.3300,2418315,0.0000,1.0000
2019-11-29,114.4200,115.1400,114.1700,114.7200,114.7200,1105696,0.0000,1.0000
2019-11-27,114.9300,115.3200,114.0400,114.6900,114.6900,2290451,0.0000,1.0000
2019-11-26,115.5300,115.7600,114.0500,114.3300,114.3300,4118132,0.0000,1.0000
2019-11-25,117.0000,117.0000,115.1700,115.4200,115.4200,2758857,0.0000,1.0000
2019-11-22,118.8800,118.9200,116.2000,116.6300,116.6300,2261036,0.0000,1.0000
2019-11-21,116.3600,118.6800,115.9000,118.3700,118.3700,2396852,0.0000,1.0000
2019-11-20,117.2700,117.2700,114.4400,116.0600,116.0600,4337044,0.0000,1.0000
2019-11-19,117.8600,118.9600,117.0300,117.4200,117.4200,2781514,0.0000,1.0000
2019-11-18,118.1500,118.6700,117.5300,118.6500,118.6500,1365005,0.0000,1.0000
2019-11-15,119.2100,119.2100,117.8200,118.3600,118.3600,1636696,0.9000,1.0000
2019-11-14,118.6500,119.5800,118.3800,119.4400,118.5386,1507476,0.0000,1.0000
2019-11-13,117.3500,118.9200,117.1200,118.4300,117.5363,1555431,0.0000,1.0000
2019-11-12,118.8600,119.5700,117.5600,118.1000,117.2088,2178390,0.0000,1.0000
2019-11-11,118.6500,119.8200,118.3500,118.4100,117.5164,1634274,0.0000,1.0000
2019-11-08,118.8900,119.9200,118.1000,119.7000,118.7967,1577558,0.0000,1.0000
2019-11-07,119.1500,119.7900,118.3950,119.5700,118.6677,2386393,0.0000,1.0000
2019-11-06,119.1800,119.3900,117.7600,118.4200,117.5263,2130305,0.0000,1.0000
