timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,92.8500,92.9500,91.4600,92.0000,92.0000,11248537,0.0000,1.0000
2020-01-22,95.2600,95.3900,92.7100,92.9700,92.9700,8318531,0.0000,1.0000
2020-01-21,95.3300,95.7199,93.4229,94.5400,94.5400,10429181,0.0000,1.0000
2020-01-17,93.0000,96.1700,92.9500,95.9100,95.9100,23694368,0.0000,1.0000
2020-01-16,90.2200,92.2290,89.8200,91.7900,91.7900,9295519,0.0000,1.0000
2020-01-15,90.7500,91.1800,89.2500,89.6700,89.6700,7259093,0.0000,1.0000
2020-01-14,91.1300,91.6100,90.2900,90.5600,90.5600,7801839,0.0000,1.0000
2020-01-13,91.0500,92.7300,90.5485,90.9700,90.9700,8618170,0.0000,1.0000
2020-01-10,90.5100,92.3900,89.8700,90.2600,90.2600,9670161,0.0000,1.0000
2020-01-09,89.6600,90.7200,88.8300,89.9100,89.9100,9182018,0.0000,1.0000
2020-01-08,88.9000,89.4700,87.9200,88.7100,88.7100,7621947,0.0000,1.0000
2020-01-07,87.0400,89.4900,86.9100,88.9700,88.9700,8477788,0.0000,1.0000
2020-01-06,85.9100,86.5500,85.5400,86.5100,86.5100,8383247,0.0000,1.0000
2020-01-03,87.2600,87.6400,86.4400,87.0200,87.0200,8340945,0.0000,1.0000
2020-01-02,89.0500,89.8100,88.0800,88.6900,88.6900,8416991,0.0000,1.0000
2019-12-31,87.9900,88.7700,87.8800,88.2300,88.2300,5173531,0.0000,1.0000
2019-12-30,88.7100,88.7800,87.3100,88.4300,88.4300,6545516,0.0000,1.0000
2019-12-27,88.9000,88.9500,88.0900,88.8000,88.8000,5809692,0.0000,1.0000
2019-12-26,88.9200,88.9600,87.9965,88.4000,88.4000,5072875,0.0000,1.0000
2019-12-24,88.6200,88.8100,87.9800,88.7700,88.7700,2435244,0.0000,1.0000
2019-12-23,89.0100,89.3300,88.2450,88.4500,88.4500,7277068,0.0000,1.0000
2019-12-20,89.1500,89.8500,88.1800,88.8500,88.8500,17593140,0.0000,1.0000
2019-12-19,88.3600,88.7010,87.6200,88.4900,88.4900,7802786,0.0000,1.0000
2019-12-18,88.5400,88.6500,87.5900,87.9800,87.9800,5869644,0.0000,1.0000
2019-12-17,89.0000,89.0400,87.6800,88.3200,88.3200,7487131,0.0000,1.0000
2019-12-16,89.2800,90.4600,88.3500,88.4300,88.4300,8719995,0.0000,1.0000
2019-12-13,88.9100,89.7000,87.5640,87.8300,87.8300,12270500,0.0000,1.0000
2019-12-12,86.8400,89.2290,86.3700,89.0500,89.0500,12174233,0.0000,1.0000
2019-12-11,84.8400,87.1000,84.7600,86.9900,86.9900,9577072,0.0000,1.0000
2019-12-10,85.0400,85.3300,83.6900,84.1150,84.1150,8085329,0.0000,1.0000
2019-12-09,84.0000,85.3000,83.8401,84.9200,84.9200,8464304,0.0000,1.0000
2019-12-06,83.4500,84.2500,83.4200,83.8200,83.8200,6861714,0.0000,1.0000
2019-12-05,82.6500,83.4409,81.7800,82.5850,82.5850,6362029,0.0000,1.0000
2019-12-04,80.9200,82.4400,80.4500,82.0800,82.0800,8478868,0.6200,1.0000
2019-12-03,81.3800,81.3900,79.8100,80.5800,79.9759,11241842,0.0000,1.0000
2019-12-02,83.9800,84.2900,82.3100,82.4500,81.8319,7677407,0.0000,1.0000
2019-11-29,84.5100,85.1000,83.4200,83.5500,82.9236,3882382,0.0000,1.0000
2019-11-27,85.1600,85.3100,84.4713,84.8000,84.1643,5217649,0.0000,1.0000
2019-11-26,85.2500,85.5450,84.1400,84.6300,83.9955,11587629,0.0000,1.0000
2019-11-25,85.7600,86.2900,85.0800,85.2900,84.6506,8967364,0.0000,1.0000
2019-11-22,85.2900,85.8200,84.5300,84.8900,84.2536,6166677,0.0000,1.0000
2019-11-21,84.7900,86.3000,84.5500,85.1100,84.4719,10180379,0.0000,1.0000
2019-11-20,87.8200,88.3600,85.3100,85.6200,84.9781,13050440,0.0000,1.0000
2019-11-19,91.2500,91.3900,86.6800,87.9600,87.3006,18096637,0.0000,1.0000
2019-11-18,90.8100,91.9750,89.2800,90.4800,89.8017,10367010,0.0000,1.0000
2019-11-15,92.6000,93.9400,90.5801,90.8100,90.1292,25491086,0.0000,1.0000
2019-11-14,90.3100,90.5800,89.4300,90.4800,89.8017,8794397,0.0000,1.0000
2019-11-13,90.7000,91.9000,89.6200,90.4700,89.7917,9519644,0.0000,1.0000
2019-11-12,92.1800,92.2500,90.1700,90.9700,90.2880,9335820,0.0000,1.0000
2019-11-11,91.7100,92.5244,90.8900,91.8400,91.1515,11301319,0.0000,1.0000
2019-11-08,89.9800,94.1100,89.6000,94.0300,93.3251,16375239,0.0000,1.0000
2019-11-07,89.8300,92.5000,88.3200,89.9800,89.3054,30254016,0.0000,1.0000
2019-11-06,85.3400,85.6050,84.2242,84.6300,83.9955,9755311,0.0000,1.0000
2019-11-05,85.2000,85.7400,84.7300,85.4600,84.8193,7280027,0.0000,1.0000
2019-11-04,84.5400,85.8700,84.3082,85.0900,84.4521,8389196,0.0000,1.0000
2019-11-01,81.5900,83.6500,81.2500,83.5800,82.9534,8620326,0.0000,1.0000
2019-10-31,81.4400,81.4700,79.8400,80.4400,79.8369,5693660,0.0000,1.0000
2019-10-30,82.1000,82.2482,80.8500,81.4400,80.8294,3970995,0.0000,1.0000
2019-10-29,82.7500,82.8500,81.4400,81.6600,81.0478,4993553,0.0000,1.0000
2019-10-28,80.5500,83.1300,80.5400,83.0500,82.4274,9750884,0.0000,1.0000
2019-10-25,79.0000,80.2300,78.9100,80.1700,79.5690,6712346,0.0000,1.0000
2019-10-24,78.0600,79.0200,77.5900,78.9900,78.3978,5422321,0.0000,1.0000
