timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,43.4100,43.5100,43.1700,43.3200,43.3200,237386,0.0000,1.0000
2020-01-22,43.5500,44.0000,43.2900,43.4400,43.4400,393870,0.0000,1.0000
2020-01-21,44.2100,44.3000,43.5800,43.5800,43.5800,423414,0.0000,1.0000
2020-01-17,44.6300,44.7200,44.2900,44.3200,44.3200,230262,0.0000,1.0000
2020-01-16,44.6400,44.8400,44.3700,44.5200,44.5200,251764,0.0000,1.0000
2020-01-15,44.6600,45.1600,44.5000,44.5600,44.5600,454860,0.0000,1.0000
2020-01-14,44.4600,44.8200,44.3600,44.6600,44.6600,457631,0.0000,1.0000
2020-01-13,43.8700,44.6900,43.8350,44.5200,44.5200,311273,0.0000,1.0000
2020-01-10,43.7300,43.9299,43.4200,43.7000,43.7000,463072,0.0000,1.0000
2020-01-09,43.2300,44.2100,43.2200,43.7900,43.7900,487886,0.0000,1.0000
2020-01-08,43.1700,43.2600,42.9000,43.1800,43.1800,387899,0.0000,1.0000
2020-01-07,43.4900,43.4900,42.7500,43.2600,43.2600,422809,0.0000,1.0000
2020-01-06,42.6200,43.4200,42.5800,43.3100,43.3100,532277,0.0000,1.0000
2020-01-03,42.7400,43.1800,42.7400,42.9800,42.9800,388897,0.0000,1.0000
2020-01-02,42.9500,43.1100,42.3700,42.9600,42.9600,584858,0.0000,1.0000
2019-12-31,43.0300,43.2200,42.8200,42.9500,42.9500,211313,0.0000,1.0000
2019-12-30,43.2800,43.2800,42.9700,43.0600,43.0600,255084,0.0000,1.0000
2019-12-27,43.4000,43.5200,43.1800,43.2600,43.2600,182858,0.0000,1.0000
2019-12-26,43.4600,43.4600,42.9800,43.0900,43.0900,193388,0.0000,1.0000
2019-12-24,43.1800,43.6000,43.0400,43.4500,43.4500,206805,0.0000,1.0000
2019-12-23,43.4700,43.6800,43.1600,43.2000,43.2000,249910,0.0000,1.0000
2019-12-20,43.3000,43.6000,43.1200,43.5200,43.5200,322841,0.0000,1.0000
2019-12-19,42.8900,43.3588,42.8800,43.2300,43.2300,432995,0.0000,1.0000
2019-12-18,43.1700,43.3500,43.0000,43.0000,43.0000,507054,0.0000,1.0000
2019-12-17,43.1500,43.3400,42.9800,43.2600,43.2600,204331,0.0000,1.0000
2019-12-16,43.1000,43.3300,42.4500,43.0500,43.0500,437455,0.0000,1.0000
2019-12-13,43.1200,43.3300,42.8400,42.9400,42.9400,433005,0.0000,1.0000
2019-12-12,43.5200,43.7300,43.2000,43.2300,43.2300,256346,0.0000,1.0000
2019-12-11,43.3300,43.6600,43.2600,43.5700,43.5700,214536,0.0000,1.0000
2019-12-10,43.1700,43.6500,43.1200,43.3100,43.3100,214202,0.0000,1.0000
2019-12-09,43.4300,43.5656,43.2300,43.3300,43.3300,178570,0.0000,1.0000
2019-12-06,43.9100,44.0100,43.4200,43.4500,43.4500,984353,0.0000,1.0000
2019-12-05,43.7100,44.0351,43.5500,43.9300,43.9300,666658,0.0000,1.0000
2019-12-04,43.4500,44.2200,43.4500,43.6500,43.6500,418809,0.0000,1.0000
2019-12-03,43.2900,43.4100,43.0080,43.4100,43.4100,229807,0.0000,1.0000
2019-12-02,43.1300,43.4500,42.9600,43.2700,43.2700,287773,0.0000,1.0000
2019-11-29,43.4500,43.5800,42.9800,42.9900,42.9900,198795,0.0000,1.0000
2019-11-27,43.2400,43.6900,43.0600,43.3900,43.3900,436079,0.0000,1.0000
2019-11-26,42.3000,43.2600,42.0000,43.0900,43.0900,790150,0.2000,1.0000
2019-11-25,41.9100,42.7650,41.8100,42.4200,42.2240,575045,0.0000,1.0000
2019-11-22,41.9000,41.9900,41.5100,41.9000,41.7064,227112,0.0000,1.0000
2019-11-21,41.8700,41.9900,41.5900,41.8000,41.6069,351492,0.0000,1.0000
2019-11-20,42.0500,42.2000,41.5700,41.8300,41.6367,219813,0.0000,1.0000
2019-11-19,42.0100,42.3000,41.8400,42.2000,42.0050,377960,0.0000,1.0000
2019-11-18,42.2300,42.3300,41.7800,42.0100,41.8159,382073,0.0000,1.0000
2019-11-15,42.4000,42.5200,42.1200,42.2700,42.0747,312389,0.0000,1.0000
2019-11-14,41.5400,42.4300,41.3732,42.4000,42.2041,705814,0.0000,1.0000
2019-11-13,41.8300,42.1100,41.5300,41.5400,41.3481,671121,0.0000,1.0000
2019-11-12,41.9800,42.1400,41.7400,41.8900,41.6965,474901,0.0000,1.0000
2019-11-11,41.3300,42.3650,41.1900,41.9000,41.7064,791997,0.0000,1.0000
2019-11-08,41.2700,42.9700,39.4200,41.2800,41.0893,1077636,0.0000,1.0000
2019-11-07,41.6300,41.6700,41.2600,41.6600,41.4675,443264,0.0000,1.0000
2019-11-06,41.5200,41.6500,41.2200,41.4800,41.2884,408718,0.0000,1.0000
2019-11-05,41.6900,41.8800,41.2200,41.5400,41.3481,394197,0.0000,1.0000
2019-11-04,41.2400,41.7300,41.1950,41.5700,41.3779,467105,0.0000,1.0000
2019-11-01,41.2600,41.5200,41.0300,41.3100,41.1191,381112,0.0000,1.0000
2019-10-31,40.8900,41.2500,40.6500,41.1200,40.9300,384435,0.0000,1.0000
2019-10-30,40.6200,41.0000,40.3500,40.9000,40.7110,357940,0.0000,1.0000
2019-10-29,40.5100,40.7500,40.3500,40.6300,40.4423,231913,0.0000,1.0000
2019-10-28,40.2400,40.7800,40.2400,40.4700,40.2830,270993,0.0000,1.0000
2019-10-25,40.2400,40.9300,40.0600,40.1300,39.9446,358783,0.0000,1.0000
2019-10-24,39.8600,40.2600,39.5600,40.1800,39.9944,477147,0.0000,1.0000
2019-10-23,40.2100,40.2400,39.6600,39.8000,39.6161,253722,0.0000,1.0000
2019-10-22,40.1900,40.7800,40.0900,40.3400,40.1536,339274,0.0000,1.0000
2019-10-21,40.0400,40.4800,39.9800,40.1600,39.9745,288496,0.0000,1.0000
2019-10-18,39.8000,40.0900,39.6900,39.8700,39.6858,220334,0.0000,1.0000
2019-10-17,39.4800,39.8700,39.2150,39.7300,39.5464,522208,0.0000,1.0000
2019-10-16,39.3200,39.5350,38.8600,39.3900,39.2080,434137,0.0000,1.0000
2019-10-15,39.5000,39.7200,39.0900,39.2600,39.0786,308025,0.0000,1.0000
2019-10-14,39.3900,39.6500,39.2300,39.4800,39.2976,494195,0.0000,1.0000
2019-10-11,39.9500,39.9900,39.3700,39.4100,39.2279,391269,0.0000,1.0000
2019-10-10,39.2800,39.8200,39.2700,39.5500,39.3673,339787,0.0000,1.0000
2019-10-09,39.4700,39.5400,39.1400,39.3600,39.1782,236708,0.0000,1.0000
2019-10-08,39.2600,39.5100,39.0700,39.1900,39.0089,266221,0.0000,1.0000
2019-10-07,38.9200,39.3900,38.8900,39.3800,39.1981,472308,0.0000,1.0000
2019-10-04,39.2200,39.4700,39.0700,39.1500,38.9691,595591,0.0000,1.0000
2019-10-03,39.1300,39.4300,38.6900,39.1200,38.9393,366019,0.0000,1.0000
2019-10-02,39.0000,39.2400,38.7600,39.0700,38.8895,307277,0.0000,1.0000
2019-10-01,39.9600,40.1600,39.2900,39.3800,39.1981,353895,0.0000,1.0000
2019-09-30,39.5100,40.0900,39.5100,39.9000,39.7157,300981,0.0000,1.0000
2019-09-27,39.4200,39.9100,39.1800,39.5900,39.4071,404398,0.0000,1.0000
2019-09-26,38.5400,39.4600,38.4500,39.2500,39.0687,211066,0.0000,1.0000
2019-09-25,39.1000,39.1000,38.6000,38.6400,38.4615,261084,0.0000,1.0000
2019-09-24,38.6900,39.3700,38.4100,39.1500,38.9691,289289,0.0000,1.0000
2019-09-23,38.2800,38.6100,37.9900,38.6000,38.4217,333332,0.0000,1.0000
2019-09-20,38.3100,38.6300,38.1000,38.2400,38.0633,348936,0.0000,1.0000
2019-09-19,38.2000,38.7400,38.0900,38.3300,38.1529,177391,0.0000,1.0000
