timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,163.5600,164.3300,160.8900,161.3900,161.3900,531873,0.0000,1.0000
2020-01-22,162.9000,165.0000,161.8400,164.3800,164.3800,371768,0.0000,1.0000
2020-01-21,160.3900,162.3100,160.0100,161.9400,161.9400,506493,0.0000,1.0000
2020-01-17,160.9800,161.9800,160.2400,160.5700,160.5700,475831,0.0000,1.0000
2020-01-16,159.5200,160.7500,158.2000,160.7300,160.7300,725298,0.0000,1.0000
2020-01-15,158.4300,159.7300,157.9000,158.7200,158.7200,408888,0.0000,1.0000
2020-01-14,157.4800,158.4200,156.9500,158.3200,158.3200,312111,0.0000,1.0000
2020-01-13,157.4000,158.5800,156.4450,158.2700,158.2700,383627,0.0000,1.0000
2020-01-10,158.0000,158.4600,155.8700,156.8900,156.8900,392924,0.0000,1.0000
2020-01-09,157.0800,158.4300,156.5700,157.5800,157.5800,444666,0.0000,1.0000
2020-01-08,155.7300,157.5000,154.1800,156.2700,156.2700,474772,0.0000,1.0000
2020-01-07,155.0100,156.0900,154.7315,155.1500,155.1500,352234,0.0000,1.0000
2020-01-06,154.9600,156.1200,153.8500,156.0300,156.0300,449113,0.0000,1.0000
2020-01-03,154.0900,155.9400,153.1200,155.2900,155.2900,417165,0.0000,1.0000
2020-01-02,155.4000,156.1700,154.0400,156.1100,156.1100,444151,0.0000,1.0000
2019-12-31,154.2200,155.1600,153.5700,154.9700,154.9700,503144,0.0000,1.0000
2019-12-30,156.2100,156.6900,154.1600,154.5900,154.5900,288008,0.0000,1.0000
2019-12-27,156.2300,156.3800,155.0850,156.2000,156.2000,308946,0.0000,1.0000
2019-12-26,156.6600,156.6600,155.0704,155.7900,155.7900,253554,0.0000,1.0000
2019-12-24,155.6600,156.9300,154.9000,156.7000,156.7000,120887,0.0000,1.0000
2019-12-23,155.5300,156.4200,155.0000,155.6900,155.6900,409085,0.0000,1.0000
2019-12-20,157.3600,157.8600,155.5600,155.9300,155.9300,1102226,0.0000,1.0000
2019-12-19,156.6500,156.6700,155.1400,156.0400,156.0400,466611,0.0000,1.0000
2019-12-18,156.6600,157.2500,155.0700,156.0200,156.0200,766215,0.0000,1.0000
2019-12-17,156.4800,156.7400,154.5200,156.4800,156.4800,512497,0.0000,1.0000
2019-12-16,154.7100,156.2000,154.2600,156.0000,156.0000,1021664,0.0000,1.0000
2019-12-13,151.4300,153.9600,151.3100,153.6300,153.6300,584311,0.0000,1.0000
2019-12-12,150.8000,152.5300,150.3700,152.2500,152.2500,453504,0.0000,1.0000
2019-12-11,149.1100,150.5500,148.6150,150.4800,150.4800,348380,0.0000,1.0000
2019-12-10,149.6300,149.9200,148.5600,148.9800,148.9800,321631,0.0000,1.0000
2019-12-09,150.8400,151.3400,149.0400,149.3200,149.3200,391153,0.0000,1.0000
2019-12-06,151.4600,151.6000,150.4800,150.5900,150.5900,314058,0.0000,1.0000
2019-12-05,150.2900,150.5700,149.3900,150.1800,150.1800,516724,0.0000,1.0000
2019-12-04,149.4600,150.5600,148.8500,150.1500,150.1500,511746,0.0000,1.0000
2019-12-03,147.3900,150.0000,147.1700,149.4700,149.4700,632462,0.0000,1.0000
2019-12-02,149.8900,149.9400,147.7300,149.0100,149.0100,351544,0.0000,1.0000
2019-11-29,150.6000,151.3000,148.8400,149.6000,149.6000,255668,0.0000,1.0000
2019-11-27,149.9500,151.1400,149.1500,150.8300,150.8300,420064,0.0000,1.0000
2019-11-26,147.4300,149.7600,146.6800,149.5800,149.5800,1261603,0.0000,1.0000
2019-11-25,145.0800,146.9400,145.0100,146.3100,146.3100,397086,0.0000,1.0000
2019-11-22,146.6300,146.6300,144.5600,145.2500,145.2500,588435,0.0000,1.0000
2019-11-21,148.9800,148.9800,145.7500,146.3400,146.3400,697382,0.0000,1.0000
2019-11-20,148.6400,151.4600,148.1300,149.6400,149.6400,459842,0.0000,1.0000
2019-11-19,148.5800,149.9400,148.0000,149.3900,149.3900,401955,0.0000,1.0000
