timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,199.6700,202.7700,196.7500,202.3000,202.3000,709394,0.0000,1.0000
2020-01-22,203.6300,203.8700,199.0900,199.3800,199.3800,682757,0.0000,1.0000
2020-01-21,203.5200,204.3200,201.3700,201.7900,201.7900,719171,0.0000,1.0000
2020-01-17,205.7800,206.5450,204.4900,204.7400,204.7400,594620,0.0000,1.0000
2020-01-16,203.6300,205.3200,202.5700,205.2600,205.2600,562852,0.0000,1.0000
2020-01-15,202.5100,205.4150,201.6400,202.2300,202.2300,711595,0.0000,1.0000
2020-01-14,206.5800,206.5800,202.3000,202.9000,202.9000,805008,0.0000,1.0000
2020-01-13,205.0000,206.6000,204.6500,206.5800,206.5800,547411,0.0000,1.0000
2020-01-10,207.0400,207.6200,204.7000,205.0900,205.0900,777225,0.0000,1.0000
2020-01-09,206.7100,207.9400,204.9700,207.1700,207.1700,676054,0.0000,1.0000
2020-01-08,202.7800,206.8000,200.5200,205.3800,205.3800,671085,0.0000,1.0000
2020-01-07,204.5000,205.2695,202.2500,203.8300,203.8300,715876,0.0000,1.0000
2020-01-06,201.4800,204.3200,200.9200,204.2500,204.2500,1006877,0.0000,1.0000
2020-01-03,201.9100,203.2300,200.5100,202.6400,202.6400,542613,0.0000,1.0000
2020-01-02,203.8200,205.6400,202.6000,205.6400,205.6400,638239,0.0000,1.0000
2019-12-31,202.5400,204.1200,202.3300,202.6700,202.6700,436298,0.0000,1.0000
2019-12-30,203.2900,204.2800,202.6700,202.9300,202.9300,336987,0.0000,1.0000
2019-12-27,204.6300,204.7200,202.5650,202.9700,202.9700,451087,0.0000,1.0000
2019-12-26,203.2800,204.2200,201.3700,204.2200,204.2200,297591,0.0000,1.0000
2019-12-24,204.6600,204.6600,202.2800,202.8400,202.8400,253941,0.0000,1.0000
2019-12-23,201.9200,204.5150,200.8300,204.3000,204.3000,1001576,0.0000,1.0000
2019-12-20,204.0800,204.4600,202.0700,204.3500,204.3500,1256084,0.0000,1.0000
2019-12-19,203.6800,204.1500,202.2500,202.8400,202.8400,893347,0.0000,1.0000
2019-12-18,204.4100,204.8300,202.3900,203.8500,203.8500,939273,0.0000,1.0000
2019-12-17,203.8600,204.8600,201.6800,203.6200,203.6200,908296,0.0000,1.0000
2019-12-16,204.9500,205.9900,203.1000,204.4100,204.4100,962969,0.0000,1.0000
2019-12-13,205.6200,206.9500,202.1800,203.4700,203.4700,938495,0.0000,1.0000
2019-12-12,202.8600,205.6900,201.5000,205.4700,205.4700,828897,0.0000,1.0000
2019-12-11,201.1000,203.5700,200.2500,203.2600,203.2600,717060,0.0000,1.0000
2019-12-10,198.3700,200.7299,197.3400,199.7500,199.7500,641526,0.0000,1.0000
2019-12-09,198.2400,200.3050,198.2400,198.7600,198.7600,891737,0.0000,1.0000
2019-12-06,199.0600,199.7100,197.8600,198.1800,198.1800,647678,0.0000,1.0000
2019-12-05,196.0200,196.6500,195.3200,196.4300,196.4300,543592,0.0000,1.0000
2019-12-04,194.6200,197.5600,194.5600,195.0100,195.0100,911537,0.0000,1.0000
2019-12-03,191.1400,194.8300,190.2100,194.0400,194.0400,981834,0.0000,1.0000
2019-12-02,196.6800,198.6200,193.7700,193.9700,193.9700,696388,0.0000,1.0000
2019-11-29,196.2700,197.3000,194.8300,195.8400,195.8400,330775,0.0000,1.0000
2019-11-27,197.6800,197.6800,195.2700,196.4200,196.4200,659450,0.0000,1.0000
2019-11-26,195.1700,196.4800,193.9800,196.3200,196.3200,924577,0.0000,1.0000
2019-11-25,195.0600,197.4200,194.3700,195.7200,195.7200,976495,0.0000,1.0000
2019-11-22,196.2400,196.5400,194.1000,194.8000,194.8000,644072,0.0000,1.0000
2019-11-21,195.4800,196.6600,194.5200,195.2100,195.2100,937426,0.0000,1.0000
2019-11-20,196.2300,197.7600,194.7800,196.2100,196.2100,1135604,0.0000,1.0000
2019-11-19,195.9700,198.5400,195.3600,196.6700,196.6700,777412,0.0000,1.0000
2019-11-18,199.4100,200.0000,196.9000,197.6700,197.6700,1156518,0.0000,1.0000
2019-11-15,199.6000,200.8800,198.3250,200.2700,200.2700,829258,0.0000,1.0000
2019-11-14,198.3300,199.9000,197.0750,198.7500,198.7500,1214725,0.0000,1.0000
2019-11-13,195.6800,201.2100,194.5600,198.0700,198.0700,1516793,0.0000,1.0000
2019-11-12,201.0300,207.1100,196.3400,198.0100,198.0100,4131961,0.0000,1.0000
2019-11-11,177.1200,181.0000,176.8400,179.2000,179.2000,1210135,0.0000,1.0000
2019-11-08,176.6400,178.1500,176.2710,177.8200,177.8200,627810,1.0200,1.0000
2019-11-07,180.4300,180.8400,177.6800,178.0500,177.0345,1059236,0.0000,1.0000
2019-11-06,181.4500,181.4550,177.6800,178.4200,177.4024,1124090,0.0000,1.0000
