timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,117.3400,118.6200,116.0400,118.2100,118.2100,1989000,0.0000,1.0000
2020-01-22,118.1300,118.5000,117.4000,117.4100,117.4100,1769648,0.0000,1.0000
2020-01-21,117.2500,118.2200,117.1700,117.8000,117.8000,1666307,0.0000,1.0000
2020-01-17,118.2100,118.7200,117.4500,117.6800,117.6800,2094840,0.0000,1.0000
2020-01-16,118.3900,118.9200,117.4500,118.0500,118.0500,1853653,0.0000,1.0000
2020-01-15,118.5100,119.3700,117.4500,117.7700,117.7700,1409128,0.0000,1.0000
2020-01-14,120.0400,120.1300,118.8100,118.9600,118.9600,1828055,0.0000,1.0000
2020-01-13,120.6800,120.7800,119.2390,119.9700,119.9700,1392048,0.0000,1.0000
2020-01-10,122.1000,122.3750,120.5000,120.7200,120.7200,1271757,0.0000,1.0000
2020-01-09,120.6700,122.6200,119.5400,122.1300,122.1300,2185800,0.0000,1.0000
2020-01-08,119.1100,120.0900,118.9500,119.1500,119.1500,1565172,0.0000,1.0000
2020-01-07,117.0100,118.8800,116.5400,118.8000,118.8000,1962432,0.0000,1.0000
2020-01-06,116.2500,117.4800,115.6407,117.4300,117.4300,1573578,0.0000,1.0000
2020-01-03,115.4300,117.0000,115.2000,116.8600,116.8600,1486507,0.0000,1.0000
2020-01-02,116.4800,116.8400,115.4700,116.8300,116.8300,1722533,0.0000,1.0000
2019-12-31,116.5900,117.0400,115.6500,116.4200,116.4200,1576068,0.0000,1.0000
2019-12-30,114.6700,117.0100,114.1600,116.5000,116.5000,1415423,0.0000,1.0000
2019-12-27,116.1000,116.1000,114.5300,114.9600,114.9600,895613,0.0000,1.0000
2019-12-26,115.0500,115.6000,114.2700,115.3100,115.3100,1032987,0.0000,1.0000
2019-12-24,114.5500,115.4000,114.2750,115.1200,115.1200,535707,0.0000,1.0000
2019-12-23,115.3600,115.5300,114.1000,114.2000,114.2000,1470753,0.0000,1.0000
2019-12-20,116.1300,116.1300,114.5150,115.2300,115.2300,3701798,0.0000,1.0000
2019-12-19,113.7400,115.2000,113.7400,115.1600,115.1600,1427893,0.0000,1.0000
2019-12-18,113.8100,114.1500,112.5800,113.4900,113.4900,1863830,0.0000,1.0000
2019-12-17,114.7100,114.7100,113.5000,113.8100,113.8100,1746014,0.0000,1.0000
2019-12-16,116.0300,116.5300,114.1800,114.3900,114.3900,1937501,0.0000,1.0000
2019-12-13,116.3000,116.3900,115.2400,115.4900,115.4900,1319210,0.0000,1.0000
2019-12-12,114.8800,116.7900,114.5700,116.4500,116.4500,2041831,0.0000,1.0000
2019-12-11,115.3000,115.3000,114.1300,114.8500,114.8500,1403582,0.0000,1.0000
2019-12-10,114.9800,115.3700,114.2000,114.9500,114.9500,1264294,0.0000,1.0000
2019-12-09,113.7600,115.3800,113.6900,115.0600,115.0600,1955421,0.0000,1.0000
2019-12-06,114.8400,115.1350,113.7000,113.9100,113.9100,1243518,0.0000,1.0000
2019-12-05,114.2400,114.3000,113.2089,113.4900,113.4900,1359281,0.2550,1.0000
2019-12-04,114.5200,115.1131,113.5900,114.1500,113.8941,1964624,0.0000,1.0000
2019-12-03,115.0100,115.8500,113.5800,114.2700,114.0138,1907782,0.0000,1.0000
2019-12-02,116.6500,117.5800,115.8900,116.0000,115.7399,2535229,0.0000,1.0000
2019-11-29,116.5800,117.2400,116.0500,116.1500,115.8896,1411533,0.0000,1.0000
2019-11-27,116.1200,116.4900,115.2000,116.3300,116.0692,1589988,0.0000,1.0000
2019-11-26,113.3800,116.0300,112.9900,115.3300,115.0714,5066586,0.0000,1.0000
2019-11-25,112.0300,113.9900,111.5500,113.3300,113.0759,2210059,0.0000,1.0000
2019-11-22,113.0800,113.8900,108.4100,111.5200,111.2700,3955545,0.0000,1.0000
2019-11-21,111.1700,111.8500,110.6000,111.7900,111.5394,2495621,0.0000,1.0000
2019-11-20,112.4000,112.9082,109.9850,110.4400,110.1924,2269722,0.0000,1.0000
2019-11-19,112.7200,113.9600,111.8150,112.4200,112.1680,1993510,0.0000,1.0000
2019-11-18,112.9400,113.3400,111.8350,112.1900,111.9385,1801107,0.0000,1.0000
2019-11-15,113.6600,113.6735,112.2400,113.3650,113.1109,1151812,0.0000,1.0000
2019-11-14,111.7600,113.0000,111.0000,112.8400,112.5870,1291427,0.0000,1.0000
2019-11-13,111.0100,111.9400,109.3300,111.3900,111.1403,1718706,0.0000,1.0000
2019-11-12,112.1500,112.4100,110.8400,110.9700,110.7212,1327068,0.0000,1.0000
2019-11-11,111.6600,112.3800,111.1100,112.1800,111.9285,1126286,0.0000,1.0000
2019-11-08,112.7700,113.0600,111.4000,111.8200,111.5693,1432041,0.0000,1.0000
2019-11-07,112.3500,113.7200,112.1800,113.0700,112.8165,1389706,0.0000,1.0000
2019-11-06,112.4500,112.5200,111.3200,112.2600,112.0083,1282153,0.0000,1.0000
2019-11-05,111.4900,112.8000,111.4100,112.0600,111.8088,1704693,0.0000,1.0000
2019-11-04,111.6100,112.0200,110.9900,111.7700,111.5194,1540419,0.0000,1.0000
2019-11-01,110.1900,111.5700,109.7400,110.9900,110.7412,1294437,0.0000,1.0000
2019-10-31,110.4900,110.9700,109.2300,109.6700,109.4241,1790926,0.0000,1.0000
2019-10-30,108.6900,110.3900,108.5900,110.3200,110.0727,1579130,0.0000,1.0000
2019-10-29,109.4500,110.5000,108.7450,108.8200,108.5760,1565693,0.0000,1.0000
2019-10-28,110.6200,111.1200,109.2600,109.3900,109.1448,1482098,0.0000,1.0000
2019-10-25,110.1000,111.6100,109.6550,110.6900,110.4418,1116894,0.0000,1.0000
2019-10-24,110.2200,110.6900,109.1800,110.4400,110.1924,1367211,0.0000,1.0000
2019-10-23,111.9800,112.2200,109.6700,109.8900,109.6436,1553432,0.0000,1.0000
2019-10-22,111.2800,112.9800,111.0300,111.9000,111.6491,1463941,0.0000,1.0000
2019-10-21,111.4900,113.2200,109.0700,110.9800,110.7312,2832674,0.0000,1.0000
2019-10-18,112.8100,114.8250,112.5000,114.1300,113.8741,1588274,0.0000,1.0000
2019-10-17,112.9800,113.6900,112.5900,113.0300,112.7766,1030356,0.0000,1.0000
2019-10-16,111.9500,112.6750,111.5000,112.2550,112.0033,1862648,0.0000,1.0000
2019-10-15,111.6500,112.5000,111.6400,111.9400,111.6890,1629498,0.0000,1.0000
2019-10-14,112.4300,112.8400,111.3300,111.4000,111.1503,1356546,0.0000,1.0000
2019-10-11,112.0000,113.5100,111.6550,112.4600,112.2079,1972219,0.0000,1.0000
2019-10-10,108.8700,111.1900,108.5200,111.0100,110.7611,2069221,0.0000,1.0000
2019-10-09,108.5000,109.4300,108.0300,109.1700,108.9253,1471176,0.0000,1.0000
2019-10-08,107.4600,109.3100,106.8000,107.8800,107.6381,1715622,0.0000,1.0000
2019-10-07,108.2100,108.9700,107.7500,108.1400,107.8976,1638017,0.0000,1.0000
2019-10-04,107.3200,109.2700,107.2600,108.9300,108.6858,1593477,0.0000,1.0000
2019-10-03,107.0500,107.2400,104.8200,106.9300,106.6903,1361206,0.0000,1.0000
2019-10-02,108.8700,108.8900,106.9400,107.5300,107.2889,1724630,0.0000,1.0000
2019-10-01,110.3700,111.4199,109.2400,109.3000,109.0550,1975427,0.0000,1.0000
2019-09-30,109.1400,110.3900,109.1400,109.8500,109.6037,1617716,0.0000,1.0000
2019-09-27,108.6100,109.4300,108.1370,109.0500,108.8055,1944599,0.0000,1.0000
2019-09-26,108.7100,109.0000,106.9900,107.8500,107.6082,1397180,0.0000,1.0000
2019-09-25,107.6900,109.1300,107.6900,108.2400,107.9973,1725492,0.0000,1.0000
2019-09-24,108.3000,109.1200,106.7700,107.6400,107.3987,2184494,0.0000,1.0000
2019-09-23,105.3600,107.3100,105.2800,107.0300,106.7901,2736596,0.0000,1.0000
2019-09-20,108.5700,109.5400,104.5700,104.7500,104.5152,4640988,0.0000,1.0000
2019-09-19,108.8100,109.6400,108.3900,108.6100,108.3665,1209160,0.0000,1.0000
2019-09-18,108.0900,108.8100,107.3200,108.7100,108.4663,2008904,0.0000,1.0000
2019-09-17,107.8100,108.9750,107.3950,108.1400,107.8976,1859353,0.0000,1.0000
2019-09-16,108.5800,108.5800,107.5000,107.5900,107.3488,1518598,0.0000,1.0000
2019-09-13,109.6100,110.2550,109.0200,109.1300,108.8853,1576072,0.0000,1.0000
2019-09-12,109.2600,110.8800,109.0000,109.3600,109.1148,2242131,0.0000,1.0000
2019-09-11,107.3800,108.6000,106.6700,108.3100,108.0672,2020564,0.2550,1.0000
2019-09-10,108.5500,108.6900,106.4300,108.1600,107.6640,2081548,0.0000,1.0000
2019-09-09,109.3100,109.6900,107.6800,108.4900,107.9925,1443322,0.0000,1.0000
2019-09-06,109.6500,110.6700,109.0400,109.1800,108.6794,1436381,0.0000,1.0000
2019-09-05,107.0000,109.4800,106.7400,109.3600,108.8585,2440947,0.0000,1.0000
2019-09-04,105.4800,106.0000,104.8050,105.9700,105.4841,1612155,0.0000,1.0000
2019-09-03,105.1700,106.0900,104.0700,105.0200,104.5384,2095782,0.0000,1.0000
2019-08-30,107.4300,108.4800,105.7800,106.0100,105.5239,2290601,0.0000,1.0000
2019-08-29,105.9900,107.5600,105.9900,107.1100,106.6189,1927082,0.0000,1.0000
2019-08-28,102.3000,104.8200,102.0000,104.5600,104.0805,2088384,0.0000,1.0000
2019-08-27,105.1100,105.1300,102.5400,102.5800,102.1096,2355036,0.0000,1.0000
2019-08-26,103.3500,104.7600,103.3000,104.5600,104.0805,1787546,0.0000,1.0000
2019-08-23,105.6400,106.3700,102.4100,102.9500,102.4779,3919595,0.0000,1.0000
2019-08-22,106.8700,107.9400,105.7000,107.4000,106.9075,3930841,0.0000,1.0000
2019-08-21,105.7100,106.6200,104.2600,105.7000,105.2153,1688028,0.0000,1.0000
2019-08-20,103.0200,105.0800,102.6000,104.1900,103.7122,2308004,0.0000,1.0000
